date,open,high,low,close,volume
2024-01-16,413,419.99,410.07,413.06,5900
2024-01-17,418.8,438,411.15,417.39,681900
2024-01-18,415,415,401.25,403.91,98000
2024-01-19,409.99,418,406.02,409.05,52000
2024-01-22,407,417,407,411.92,36900
2024-01-23,411.9,412,407,409.13,16100
2024-01-24,410,420.7,409.11,414.15,26400
2024-01-25,416.99,419.5,405,407.33,24100
2024-01-26,404,415,403.01,408.69,10700
2024-01-29,414.4,418.8,404,409.52,45800
2024-01-30,408,408,390,400.92,39500
2024-01-31,403,404,400,400,6400
2024-02-01,398,398,392.12,393.49,15900
2024-02-02,405,420,400,401.4,8200
2024-02-06,395,419.84,395,403.57,7900
2024-02-07,405,412.88,405,410.08,6000
2024-02-09,400,405,400,403.5,1400
2024-02-12,400,400,380,387.76,20900
2024-02-13,360,404,358.68,385.62,43600
2024-02-14,396.99,402.99,388.5,399.36,9500
2024-02-15,390.15,398.99,388,390.28,4900
2024-02-16,372,384.5,372,380,4600
2024-02-19,385,388.5,383,383,1200
2024-02-20,385.05,388,385,385,3800
2024-02-21,399.5,402,386,396.07,11200
2024-02-22,409,409,396,396.92,3900
2024-02-23,390.03,395,388.9,390.13,4500
2024-02-26,392,399.98,383.77,388.56,10000
2024-02-27,389.97,390,388.5,388.5,800
2024-02-28,390,392,387,392,1800
2024-02-29,395,395,388.06,388.3,9200
2024-03-01,387.1,400,387.1,388,3100
2024-03-04,390,404.99,386.6,388.15,12500
2024-03-05,392,394,386.07,390,8300
2024-03-06,388,388,385,385.64,3200
2024-03-07,386,386,380,381.1,4800
2024-03-08,384.89,386.5,379,380.5,7000
2024-03-11,375,385.99,375,382.4,15100
2024-03-12,380,380,374,374.54,4300
2024-03-13,371.1,373,367.73,369,4500
2024-03-14,378.77,378.77,370,376.33,10000
2024-03-15,371.01,378.99,368.1,377.7,1300
2024-03-18,362,372.5,362,368.95,3400
2024-03-19,369,370.1,367,367.1,7700
2024-03-20,372.99,373.87,372,372.82,2500
2024-03-21,380,380,372,372.13,2200
2024-03-22,373,375,369.08,372.04,300
2024-03-25,367.11,374,367.11,370,700
2024-03-26,374.99,375,374.99,375,900
2024-03-27,371,381.05,371,381.01,2700
2024-03-28,385,388,378,384.86,2400
2024-03-29,373.05,382.5,373.05,380,1800
2024-04-01,381.1,381.1,373.26,373.26,3100
2024-04-02,375,376.25,372,375.75,3300
2024-04-03,375.05,375.05,373,373.5,1100
2024-04-04,379,379.99,375.1,377.5,1600
2024-04-08,377.5,380,370.11,380,6300
2024-04-09,380,384,380,383.29,4900
2024-04-15,390.01,398,390,394.15,10100
2024-04-16,389.3,397,389.1,395,9900
2024-04-17,395,396,390.55,395.13,6600
2024-04-18,395,396,388.13,392.64,4100
2024-04-19,392,395.8,391,392.35,8100
2024-04-22,391,408,391,401.98,15341
2024-04-23,404.88,404.88,398,398,4555
2024-04-24,394.63,401.49,394.63,397,5028
2024-04-25,397,403.87,397,400.25,4544
2024-04-26,401,424,400.02,411.16,40646
2024-04-29,417.5,425,414,416.13,17328
2024-04-30,417,419.93,400,403.22,7935
2024-05-02,403,403,380.5,385.84,13047
2024-05-03,392.45,396,389,392.54,4866
2024-05-06,398.99,418,386,411.33,47235
2024-05-07,413,421.98,413,413.5,28131
2024-05-08,419.9,419.9,401,407.91,3798
2024-05-09,403.56,411.99,403.55,408.43,3214
2024-05-10,405.5,422,402.01,414.61,9061
2024-05-13,417.99,418.5,414,416.74,11387
2024-05-14,420.4,448,413.1,448,103322
2024-05-15,455,481.6,441,481.6,132043
2024-05-16,500,517.72,485,501.27,177669
2024-05-17,500,515,497,500.28,32699
2024-05-20,506.99,507,480,486.82,32778
2024-05-21,487,487,470,474.75,26962
2024-05-22,476,483.99,463,464.93,19426
2024-05-23,466,472.9,460.1,461.57,9316
2024-05-24,461,485,460.6,470.69,12115
2024-05-27,479,508.35,473,508.35,91131
2024-05-29,520,530,515.1,523.75,70475
2024-05-30,523.75,527,505,519.17,25329
2024-05-31,521.99,524.95,513.55,518.19,18140
2024-06-03,519,527.9,514,515.5,17489
2024-06-04,510,516,497.97,499.13,12141
2024-06-05,496.01,539.06,495.6,539.06,40366
2024-06-06,555,575,503,506.95,84329
2024-06-07,501,520,490,511.77,31542
2024-06-10,513.1,513.1,501.51,505.37,10228
2024-06-11,518,518,494,496.21,11773
2024-06-12,496,509.99,495,499.64,5380
2024-06-13,505,516,505,513.05,25873
2024-06-14,514.99,556.66,514.5,556.66,117783
2024-06-20,565,603.98,565,603.98,93326
2024-06-21,603.98,629,585,598.69,84964
2024-06-24,598.69,600,571,580.27,20656
2024-06-25,575,588.9,575,582.49,16279
2024-06-26,589,598.98,581,583.7,24246
2024-06-27,592,592,580,581.49,9030
2024-06-28,588.98,591.4,578,589.31,19769
2024-07-01,593,594,570,573.77,39269
2024-07-02,574,577.99,570,573.38,31365
2024-07-03,575,624.98,553,624.98,69017
2024-07-04,637,665,624,646.19,81738
2024-07-05,646.1,655,630,651.54,31117
2024-07-08,658,705,648,687.96,53656
2024-07-09,700,753.32,695,749.21,132421
2024-07-10,770,820.38,769.98,820.38,42391
2024-07-11,879.99,898.32,850.5,898.32,179837
2024-07-12,950,983.66,913.5,983.66,266415
2024-07-15,1040,1077.11,1001.01,1077.11,232710
2024-07-18,1088.05,1164.99,1010,1080.13,231283
2024-07-19,1105,1105,968.47,970.03,145807
2024-07-22,906,999,906,946.03,116613
2024-07-23,950,1025,950,1003.22,128365
2024-07-24,1006,1010,951,962.04,32920
2024-07-25,958.88,959.87,908,917.28,36289
2024-07-26,901.15,935,866,922.55,66354
2024-07-29,931.99,988,925,967.09,70340
2024-07-30,973,988,938,943.17,28105
2024-07-31,958.99,958.99,891.02,903.34,20082
2024-08-01,903.34,912.7,880.8,900.37,36704
2024-08-02,934.99,970,904.51,936.48,32549
2024-08-05,900.01,929,890,896.94,16767
2024-08-06,905,913.99,875,896.52,10658
2024-08-07,905,986.17,895.51,986.17,139812
2024-08-08,997.88,1014,966,973.11,122493
2024-08-09,962.05,983.5,962.05,970.02,19131
2024-08-12,972,985,875.1,902.49,36815
2024-08-13,902.49,992.74,840,992.74,108407
2024-08-15,1020,1090,999,1013.3,161272
2024-08-16,1013.3,1029,925,929.72,81771
2024-08-19,915.01,949,900.25,925.44,23515
2024-08-20,918,939,905,912.55,5588
2024-08-21,920,934,900,917.7,12465
2024-08-22,930,957.8,925,940.23,18922
2024-08-23,944.67,999,855,942.59,16448
2024-08-26,949.75,949.75,920,924.28,7756
2024-08-27,929.95,975,915.01,938.88,5202
2024-08-28,945,950,920,921.14,5673
2024-08-29,930,979.9,915.52,934.51,19461
2024-08-30,935.01,940,905,914.16,10582
2024-09-02,925,954,917.3,925.97,16562
2024-09-03,916.01,949,916.01,937.41,6670
2024-09-04,930.05,945,925,927.16,7105
2024-09-05,921.06,937.95,920,923.03,4535
2024-09-06,900.05,932.97,900.05,908.39,8980
2024-09-09,920,920,900,903.17,3198
2024-09-10,903.17,914.99,900.11,901.72,2478
2024-09-11,901.2,920,895,910.13,10405
2024-09-12,919.97,919.97,902,903.81,5089
2024-09-13,902,939,902,910.29,19941
2024-09-16,911.82,925,901,909.16,6504
2024-09-18,902.1,910,900,902.12,3283
2024-09-19,901.99,904,870,889.92,19269
2024-09-20,895,895,868.4,879.11,5749
2024-09-23,865.14,889,865.14,871.4,2852
2024-09-24,865.5,875,840,856.96,2863
2024-09-25,864,895,851,892.6,14817
2024-09-26,890,905,880,881.24,5638
2024-09-27,880,884,850,872.28,7386
2024-09-30,856,887,856,880.45,2302
2024-10-01,925,925,861,873.99,2700
2024-10-02,865,883.63,865,874.38,7880
2024-10-03,880,880,860.1,860.72,3491
2024-10-04,878.5,878.5,850,861.58,6189
2024-10-07,867.99,904.4,851.11,895.26,13510
2024-10-08,900,905,860.03,884.24,8718
2024-10-09,887,900,861,871.33,7576
2024-10-10,871.33,885,861,874.32,2786
2024-10-11,865,930,865,890.4,55806
2024-10-14,880,897.86,878,881.46,12277
2024-10-15,880,890,861.61,868.89,13059
2024-10-16,874.91,877.98,865,870.2,7130
2024-10-17,875.8,880,866.2,869.66,2865
2024-10-18,883,883,850,855.59,5597
2024-10-21,860,865.9,845,848.69,14675
2024-10-22,848.01,855,840,844.84,17502
2024-10-23,859.8,859.8,839.02,840.56,11549
2024-10-24,849.99,852,836.1,838.08,12475
2024-10-25,843.85,843.85,825.55,829.9,11831
2024-10-28,805,829,800,801.96,77539
2024-10-29,800,806,785,793.02,29562
2024-10-30,790,799.99,778.5,781.7,9101
2024-10-31,790.65,794,777,793.21,8347
2024-11-01,799.99,802.85,780,793.4,4662
2024-11-04,790.01,798.98,780,782.43,17533
2024-11-05,787.99,798.78,780.05,791.44,15443
2024-11-06,798,850,798,840.45,67922
2024-11-07,845,874,845,854.38,53992
2024-11-08,855.87,889,855.87,866.04,24253
2024-11-11,890,896,877.77,880.76,99296
2024-11-12,880.76,885,865,870.92,44365
2024-11-13,871.33,871.33,865.55,866.61,8726
2024-11-14,873.5,873.5,850,865.27,9218
2024-11-15,870,872,855.01,869.61,8517
2024-11-18,863.1,870,850,860.13,8922
2024-11-19,857.01,908.89,857,902.41,57848
2024-11-20,903.01,937,890.1,916.35,49520
2024-11-21,916,930,891,913.04,14025
2024-11-22,912,920,900,904.22,14238
2024-11-25,912,912,884,896.4,6875
2024-11-26,894,897,806.76,818.79,18661
2024-11-27,826,870,826,861.59,12328
2024-11-28,874,877,865.1,871.31,7004
2024-11-29,876.95,885,784.18,839.22,75472
2024-12-02,842.5,844.7,815,843.34,30256
2024-12-03,849,849,825,836.39,15779
2024-12-04,835,835,825,830.95,19015
