date,open,high,low,close,volume
2023-01-03,4.48,4.49,4.48,4.49,5000
2023-01-09,4.15,4.15,4.15,4.15,5000
2023-01-17,4.01,4.01,4,4,15000
2023-01-24,4.2,4.2,4.2,4.2,500
2023-01-27,4.4,4.4,4.4,4.4,500
2023-01-31,4.39,4.4,4.39,4.4,15500
2023-03-21,4.44,4.44,4.44,4.44,5000
2023-04-10,3.8,3.8,3.8,3.8,500
2023-04-27,3.3,3.6,3,3.6,3000
2023-05-11,4,4,3.98,4,1500
2023-05-22,3.5,3.5,3.5,3.5,1000
2023-05-25,4,4,4,4,1000
2023-05-30,3.65,3.65,3.65,3.65,1000
2023-06-14,3.85,3.85,3.85,3.85,5000
2023-06-27,3.3,3.3,2.85,3.08,1000
2023-07-06,3.79,3.79,3.79,3.79,500
2023-08-28,3.75,3.75,3.75,3.75,500
2023-08-30,3.2,3.2,2.81,2.91,2000
2023-09-11,3.5,3.5,3.5,3.5,500
2023-09-15,3.3,3.3,3.3,3.3,500
2023-09-18,3.6,3.6,3.6,3.6,500
2023-09-19,3.8,3.85,3.8,3.85,1500
2023-10-05,3.8,4.69,3.8,4.69,17000
2023-10-06,4,4,4,4,1500
2023-10-09,3.9,4,3.62,3.64,23500
2023-10-10,3.65,3.89,3.5,3.5,12000
2023-10-13,3.5,3.7,3.3,3.7,5500
2023-10-23,3.5,3.5,3.5,3.5,1000
2023-10-26,3.75,3.75,3.75,3.75,500
2023-10-30,3.9,3.9,3.9,3.9,500
2023-11-01,3.5,3.5,3.5,3.5,2500
2023-11-02,3.5,3.5,3.5,3.5,1000
2023-11-10,3.3,3.45,3.3,3.45,6000
2023-11-13,3.3,3.3,3.3,3.3,500
2023-11-16,3.2,3.2,3.2,3.2,500
2023-11-17,3.1,3.1,3.1,3.1,500
2023-11-21,3.35,4,3.35,4,2500
2023-11-22,3.89,3.89,3.5,3.5,21500
2023-11-23,3.55,3.55,3.5,3.5,8000
2023-11-29,3.5,3.5,3.5,3.5,3500
2023-12-05,3.7,3.7,3.7,3.7,1000
2023-12-06,3.8,4,3.8,3.99,50000
2023-12-15,3.55,4.2,3.55,4.1,1500
2023-12-18,4,4,4,4,11000
2024-01-03,3.5,4,3.5,4,4500
2024-01-26,3.53,3.53,3.5,3.51,3500
2024-02-13,3.8,3.8,3.8,3.8,500
2024-03-06,3.9,3.9,3.9,3.9,500
2024-03-08,3.5,3.5,3.5,3.5,500
2024-03-22,3,3,2.53,3,24500
2024-04-15,3.3,3.7,3.3,3.48,1500
2024-04-26,3.2,3.7,3,3.3,9000
2024-04-29,3.2,3.3,3.2,3.3,10500
2024-04-30,3,3.15,3,3,41000
2024-05-03,3.3,3.3,3.3,3.3,500
2024-05-06,3.02,3.11,3,3,126500
2024-05-08,3.3,3.3,3.1,3.1,55500
2024-05-31,3,3.1,2.61,3.01,502
2024-06-04,3.2,3.2,2.7,3.2,501
2024-06-05,2.89,3.25,2.89,3.25,501
2024-06-11,3.29,4,3.29,3.96,3079
2024-06-13,3.5,3.5,3.5,3.5,10500
2024-06-14,3,3,3,3.5,450
2024-06-21,3.5,3.5,3.5,3.5,2
2024-06-24,3.7,3.7,3.5,3.5,1001
2024-06-26,3.5,3.5,3.5,3.5,1
2024-06-27,3.5,3.5,3.5,3.5,1
2024-07-01,3.48,3.48,3.48,3.5,1
2024-07-02,3.49,3.49,3.49,3.49,1024
2024-07-03,3.7,3.7,3.49,3.49,95501
2024-07-04,3.49,3.49,3.13,3.19,2115
2024-07-05,3.43,3.43,3.43,3.19,130
2024-07-08,3.2,3.2,3.2,3.2,1002
2024-07-09,3.22,3.22,3.22,3.22,500
2024-07-12,3.25,3.25,3.24,3.25,20200
2024-07-15,3.39,3.41,3.39,3.4,5028
2024-07-18,3.4,3.4,3.4,3.4,5000
2024-07-19,3.5,3.5,3.25,3.25,3750
2024-07-25,3.05,3.55,3.05,3.25,306
2024-07-26,3.6,3.6,3.5,3.58,1127
2024-07-30,3.45,3.45,3.3,3.58,300
2024-08-05,3.6,3.6,3.6,3.58,200
2024-08-06,3.3,3.3,3.3,3.58,200
2024-08-07,3.2,3.5,3.2,3.23,556
2024-08-09,3.5,3.5,3.5,3.23,10
2024-08-15,3.5,3.5,3.5,3.5,31797
2024-08-19,3.2,3.2,3.2,3.2,500
2024-08-20,3.2,3.2,3.2,3.2,127
2024-08-22,3.2,3.4,3.2,3.2,2321
2024-08-23,3.6,3.6,3.6,3.2,20
2024-08-27,3.6,3.6,3.6,3.2,300
2024-08-28,3.21,3.5,3.21,3.49,4040
2024-08-30,3.6,3.7,3.6,3.7,3000
2024-09-02,3.85,3.89,3.85,3.89,16322
2024-09-03,3.79,3.9,3.79,3.9,5000
2024-09-05,3.85,3.85,3.7,3.9,498
2024-09-06,3.9,4,3.7,3.85,40555
2024-09-09,3.99,3.99,3.99,3.85,1
2024-09-10,3.99,3.99,3.99,3.85,5
2024-09-11,3.99,3.99,3.5,3.6,30603
2024-09-13,3.5,3.55,3.5,3.55,2000
2024-09-16,3.5,4.5,3.5,3.98,85600
2024-09-18,3.99,3.99,3.1,3.85,112150
2024-09-19,3.36,3.7,3.35,3.44,814
2024-09-20,3.3,3.6,3.3,3.31,801
2024-09-23,3.7,3.7,3.25,3.26,500
2024-09-24,3.43,3.43,3.43,3.26,27
2024-09-25,3.35,3.35,3.35,3.35,1500
2024-09-26,3.35,3.6,3.35,3.35,4
2024-09-30,3.6,4,3.6,3.78,1150
2024-10-01,3.35,3.5,3.35,3.35,7000
2024-10-03,3.35,3.35,3.35,3.35,1
2024-10-04,3.7,3.9,3.7,3.79,900
2024-10-07,3.9,3.9,3.35,3.35,1152
2024-10-08,3.7,3.9,3.5,3.89,3112
