date,open,high,low,close,volume
2023-01-11,370,370,370,370,100
2023-01-19,370,370,370,370,100
2023-01-26,370,370,370,370,100
2023-02-22,370,370,370,370,100
2023-03-16,360,360,360,360,1700
2023-03-27,350,350,350,350,100
2023-03-28,345,345,345,345,800
2023-04-07,340,340,340,340,1200
2023-04-10,354,354,354,354,600
2023-05-04,330,330,330,330,100
2023-05-05,320,320,320,320,100
2023-05-16,339.9,339.9,339.9,339.9,100
2023-05-19,350,350,350,350,100
2023-05-25,355,376.25,355,375.17,7200
2023-05-26,375,375,375,375,1500
2023-05-29,403.13,403.13,372,403.13,2800
2023-05-30,433.36,433.36,400,400,3800
2023-05-31,400,400.05,400,400,2500
2023-06-02,390,390,389,390,2400
2023-06-05,385,390,385,390,800
2023-06-06,400,415,400,400,1800
2023-06-07,390,430,390,400,1100
2023-06-09,400.02,400.02,397.02,397.02,2000
2023-06-13,390,390,390,390,5000
2023-06-14,389,389,389,389,5000
2023-06-15,360,360,360,360,100
2023-06-16,360,360,360,360,200
2023-06-21,333,365,333,335,104200
2023-06-23,350,350,350,350,1100
2023-06-26,323.75,323.75,323.75,323.75,100
2023-07-03,340,340,340,340,300
2023-07-12,345,365.5,345,365.5,200
2023-07-13,365.5,365.5,365.5,365.5,300
2023-07-25,392.91,392.91,392.91,392.91,100
2023-07-27,363.44,363.44,363.44,363.44,400
2023-07-31,360,360,360,360,100
2023-08-04,360,360,360,360,100
2023-08-10,360,360,360,360,1000
2023-10-16,350,350,345,345,500
2023-10-18,355,355,355,355,400
2023-10-23,328.38,328.38,328.38,328.38,100
2023-10-24,329,329,329,329,500
2023-10-25,350,350,350,350,600
2023-10-26,330,330,330,330,300
2023-11-01,350,350,350,350,5500
2023-11-02,325,325,325,325,5500
2023-11-08,348.9,348.9,348.9,348.9,100
2023-11-10,374,374,374,374,200
2023-11-13,402,402,402,402,100
2023-11-14,432.15,432.15,371.85,371.85,300
2023-11-15,343.96,344,343.96,343.96,1000
2023-11-16,320,340,320,330,700
2023-11-17,340,340,340,340,800
2023-11-20,333,333,333,333,200
2023-11-23,357.98,357.98,356,357.98,1700
2023-11-27,357,360,357,360,200
2023-11-28,360,370,350,370,1300
2023-11-29,365,365,350,350,1300
2023-12-01,375,375,375,375,100
2023-12-04,403.12,403.12,375,375,300
2023-12-07,375,375,375,375,200
2023-12-08,402.9,402.9,402.9,402.9,100
2023-12-14,433.12,433.12,433.12,433.12,200
2023-12-15,465.6,465.6,401,401,400
2023-12-18,390,390,371,371,300
2023-12-19,343.18,385,343.18,385,1400
2023-12-20,395,395,390,390,200
2023-12-27,360.75,360.75,360.75,360.75,300
2023-12-28,333.7,340,333.7,340,600
2023-12-29,340,340,340,340,500
2024-01-01,345,345,340,340,600
2024-01-03,365.5,365.5,365.5,365.5,100
2024-01-05,338.1,339.01,338.1,338.74,500
2024-01-09,364.15,364.15,330,347.08,200
2024-01-10,330,340,330,330.11,800
2024-01-12,331.05,342,330,342,2400
2024-01-23,365,365,365,365,100
2024-01-24,337.63,345,337.63,342.82,2100
2024-01-25,340,359.99,340,359.99,700
2024-01-29,335.01,335.01,332.99,335,11900
2024-02-01,330,330,326.1,327.55,300
2024-02-06,326,331.5,325,331.5,300
2024-02-07,322,322,322,322,100
2024-02-09,335.99,335.99,327.99,327.99,200
2024-02-14,315.03,315.03,315.02,315.02,300
2024-02-22,300.51,300.51,300.5,300.5,400
2024-02-23,310,320,310,320,200
2024-02-26,305.01,305.01,305,305,300
2024-02-27,301,301,301,301,100
2024-03-05,301,311.99,301,311.99,200
2024-03-14,335.39,335.39,300.1,308.84,600
2024-03-15,300.01,311.48,300.01,311.48,200
2024-03-29,288.12,305,288.12,305,600
2024-04-09,308,308,308,308,100
2024-04-16,310,310,310,310,100
2024-04-17,333,333,333,333,1200
2024-04-22,308.03,330,308.03,310.19,632
2024-04-23,325,325,305.1,305.27,102
2024-04-24,313,313,309,309,211
2024-04-25,319,319,306,306.51,206
2024-04-26,318,318,318,306.51,1
2024-04-29,329.5,329.5,301,301.14,345
2024-04-30,313,313,300,300.83,109
2024-05-02,315,315,300,300.14,107
2024-05-03,315,315,300,314.8,103
2024-05-06,314.96,314.96,299,300.07,207
2024-05-07,305,305,280.2,305,6
2024-05-08,285,305,285,300.07,2
2024-05-09,305,305,288,300.07,9
2024-05-10,305,315,285,308.06,156
2024-05-13,311,311,295.1,295.15,113
2024-05-14,307.99,307.99,286.02,306.52,116
2024-05-15,300,300,285,306.52,44
2024-05-16,292.02,303,292.01,306.52,17
2024-05-17,300,305,299.99,300,1043
2024-05-20,314.9,314.9,296,300,12
2024-05-21,305,305,299.9,299.98,217
2024-05-22,305,305,299.85,299.91,347
2024-05-23,305,305,305,299.91,1
2024-05-24,310,310,295,300.06,166
2024-05-27,305,305,299.99,300.06,2
2024-05-29,305,305,305,300.06,1
2024-05-30,305,305,305,300.06,1
2024-05-31,305,305,290,290.28,102
2024-06-03,295,295,290,290.28,3
2024-06-04,295,295,294,290.28,12
2024-06-05,295,295,290,290.02,256
2024-06-06,295,300,290,290.02,54
2024-06-07,299.99,308,299,299.9,218
2024-06-10,315.99,315.99,282,297,298
2024-06-11,309,309,295,297,56
2024-06-12,299.99,299.99,299.99,297,1
2024-06-13,300,300,280,297,41
2024-06-14,299,299,290,297,3
2024-06-20,286,295,275.1,280,5861
2024-06-21,293.5,293.5,280,280,5
2024-06-24,292,292,292,280,1
2024-06-25,290,290,288,280,3
2024-06-26,280,290,260,288.28,211
2024-06-27,275.01,288,275,288.28,58
2024-06-28,294.9,294.9,275.01,280.12,1020
2024-07-01,292,292,277.01,277.3,618
2024-07-02,285.9,285.9,285.9,277.3,1
2024-07-03,289.8,289.8,285,277.3,11
2024-07-04,287,287,281.99,277.3,12
2024-07-05,296,296,275,276.44,238
2024-07-08,285,285,270.5,270.99,101
2024-07-09,271.1,271.1,270.99,270.99,60
2024-07-10,278,278,251.1,270.99,77
2024-07-11,279,279,278.08,270.99,4
2024-07-12,280,280,256,260.95,931
