date,open,high,low,close,volume
2024-01-08,2.33,2.4,2.28,2.29,71500
2024-01-09,2.32,2.32,2.23,2.29,28000
2024-01-10,2.31,2.31,2.31,2.31,1000
2024-01-11,2.38,2.38,2.3,2.31,256000
2024-01-12,2.35,2.36,2.25,2.3,283500
2024-01-15,2.3,2.32,2.27,2.27,20500
2024-01-16,2.15,2.26,2.15,2.25,42000
2024-01-17,2.25,2.37,2.25,2.37,24000
2024-01-18,2.05,2.25,2,2.16,37500
2024-01-19,2.03,2.25,2.03,2.25,12500
2024-01-22,2.14,2.32,2.11,2.15,204500
2024-01-23,2.18,2.2,2.17,2.2,427500
2024-01-24,2.2,2.2,2.2,2.2,612000
2024-01-26,2.06,2.24,2.05,2.12,51500
2024-01-29,2.15,2.2,2.05,2.05,183500
2024-01-30,2.1,2.15,2.02,2.02,94000
2024-01-31,1.96,2.1,1.95,2.1,16000
2024-02-01,1.9,2,1.9,2,17000
2024-02-02,2.09,2.1,2.05,2.05,16000
2024-02-07,2.1,2.11,2.09,2.11,27000
2024-02-09,2.11,2.48,2.11,2.19,157500
2024-02-12,2.12,2.12,2.11,2.11,5500
2024-02-13,2,2.15,2,2.1,17500
2024-02-14,2.1,2.27,2.1,2.27,1500
2024-02-15,2.25,2.25,2.15,2.16,24500
2024-02-16,1.92,2.3,1.9,2.3,12000
2024-02-20,2.24,2.25,2.06,2.19,52000
2024-02-21,2.15,2.15,2.13,2.13,31000
2024-02-22,2.24,2.24,2.1,2.11,24000
2024-02-23,2.15,2.5,2.15,2.2,24500
2024-02-26,2.1,2.29,2.1,2.25,12500
2024-02-27,2.4,2.4,2,2.03,170500
2024-02-28,2.09,2.19,2.09,2.19,1000
2024-02-29,2.04,2.15,2.04,2.15,38500
2024-03-04,2.07,2.24,2.07,2.24,2500
2024-03-05,2.11,2.12,2.1,2.12,34000
2024-03-06,2.12,2.52,2.11,2.47,978000
2024-03-07,2.41,3.2,2.41,2.85,3919000
2024-03-08,2.87,3.05,2.7,2.71,1477500
2024-03-11,2.8,2.99,2.59,2.62,679500
2024-03-12,2.6,2.6,2.4,2.43,282000
2024-03-13,2.35,2.35,2.18,2.19,360000
2024-03-14,2.43,2.59,2.35,2.53,147000
2024-03-15,2.58,2.69,2.4,2.4,53000
2024-03-18,2.3,2.5,2.3,2.37,20000
2024-03-19,2.16,2.43,2.16,2.34,29500
2024-03-20,2.45,2.74,2.35,2.61,817500
2024-03-21,2.9,3.5,2.83,3.07,5349500
2024-03-22,3.09,3.09,2.81,2.92,601500
2024-03-25,2.6,2.98,2.51,2.85,240500
2024-03-26,2.85,2.85,2.6,2.67,572000
2024-03-27,2.6,2.75,2.52,2.58,185000
2024-03-28,2.85,2.85,2.5,2.6,566000
2024-03-29,2.53,2.53,2.5,2.5,87500
2024-04-01,2.41,2.45,2.3,2.32,147000
2024-04-02,2.43,2.49,2.28,2.45,114000
2024-04-03,2.4,2.5,2.28,2.35,117000
2024-04-04,2.35,2.38,2.23,2.26,791500
2024-04-08,2.3,2.42,2.25,2.33,225000
2024-04-09,2.31,2.32,2.2,2.26,204000
2024-04-15,2.48,2.89,2.3,2.4,137500
2024-04-16,2.4,2.4,2.31,2.38,65500
2024-04-17,2.35,2.74,2.3,2.56,371000
2024-04-18,2.51,2.65,2.5,2.59,337000
2024-04-19,2.6,2.75,2.5,2.53,376500
2024-04-22,2.63,2.63,2.47,2.52,131500
2024-04-23,2.49,2.55,2.39,2.39,49000
2024-04-24,2.5,2.5,2.34,2.35,260000
2024-04-25,2.29,2.36,2.25,2.28,587000
2024-04-26,2.3,2.33,2.21,2.3,154000
2024-04-29,2.3,2.42,2.23,2.31,258500
2024-04-30,2.25,2.58,2.21,2.25,536500
2024-05-02,2.3,2.3,2.21,2.21,33500
2024-05-03,2.23,2.26,2.15,2.2,136000
2024-05-06,2.14,2.25,2.14,2.18,213000
2024-05-08,2.2,2.2,2,2.03,1511500
2024-05-09,2.06,2.25,2.06,2.2,579500
2024-05-10,2.25,2.29,2.11,2.18,196000
2024-05-13,2.2,2.25,2.15,2.22,29000
2024-05-14,2.29,2.29,2.18,2.2,28500
2024-05-15,2.24,2.25,2.19,2.2,181500
2024-05-16,2.2,2.2,2.2,2.2,18000
2024-05-17,2.05,2.24,2,2.22,29500
2024-05-20,2.06,2.17,2.06,2.17,18000
2024-05-21,2.2,2.21,2.19,2.2,7500
2024-05-22,2.35,2.54,2.25,2.43,1532000
2024-05-23,2.45,2.7,2.45,2.54,938000
2024-05-24,2.46,2.68,2.45,2.49,723500
2024-05-27,2.5,2.5,2.42,2.42,95500
2024-05-29,2.4,2.54,2.36,2.4,288252
2024-05-30,2.59,2.59,2.36,2.46,63657
2024-05-31,2.55,2.55,2.25,2.48,1119048
2024-06-03,2.35,2.5,2.35,2.46,7707
2024-06-04,2.5,2.54,2.39,2.42,20515
2024-06-05,2.45,2.45,2.35,2.35,27935
2024-06-06,2.4,2.5,2.36,2.44,112408
2024-06-07,2.49,2.58,2.3,2.51,103414
2024-06-10,2.59,2.63,2.34,2.36,281077
2024-06-11,2.37,2.43,2.26,2.33,172196
2024-06-12,2.39,2.39,2.21,2.23,63613
2024-06-13,2.36,2.37,2.16,2.25,50357
2024-06-14,2.18,2.39,2.18,2.32,23241
2024-06-20,2.32,2.32,2.28,2.3,17876
2024-06-21,2.52,2.52,2.27,2.3,10111
2024-06-24,2.45,2.45,2.2,2.35,95817
2024-06-25,2.42,2.42,2.16,2.21,80251
2024-06-26,2.48,2.48,2.12,2.22,36595
