date,open,high,low,close,volume
2024-01-11,47.5,50.8,47.5,50.24,158000
2024-01-12,50.5,50.5,49.1,50,118500
2024-01-15,48.76,51,48.51,50.5,137000
2024-01-16,50.4,50.4,50.4,50.4,500
2024-01-17,50,54.18,49.5,50.25,91000
2024-01-18,47.56,50.25,47.55,50.22,112000
2024-01-19,50.9,51.99,50.51,51.37,97000
2024-01-22,50.51,51.59,50.51,51.05,9500
2024-01-23,47.76,51.89,47.7,50.99,37500
2024-01-24,50.84,51,50.5,50.5,7000
2024-01-25,50.35,50.35,48,49.84,153500
2024-01-26,48,48,48,48,3000
2024-01-29,47.01,48.48,47.01,48.48,1000
2024-01-30,47.06,47.5,44.84,45.47,14000
2024-01-31,45.98,45.98,45.98,45.98,1500
2024-02-01,45,45.69,45,45.65,2000
2024-02-02,44,44.99,42.5,44.4,160000
2024-02-07,44,45.99,43.5,44.62,7500
2024-02-09,42.03,44.64,42.03,43.9,3500
2024-02-12,42.99,47,42.99,45.5,8000
2024-02-13,45,45.5,42.1,44.83,7000
2024-02-14,46.5,46.5,43.51,46.12,1500
2024-02-15,42.7,45.75,42.7,45.11,8000
2024-02-16,47.9,47.9,41.9,43.28,5000
2024-02-19,40.52,44.99,40.52,44.49,6000
2024-02-20,46,46,43.1,44.75,39000
2024-02-21,44.75,46.8,44.75,46.8,7500
2024-02-22,43.5,47.5,43.5,47.25,5500
2024-02-23,48.5,48.5,43.71,44.54,27000
2024-02-26,46.74,47.88,45.5,47.84,17500
2024-02-27,45.56,45.99,44.81,45.59,4000
2024-02-28,46.49,46.5,45,45.34,12000
2024-02-29,43,48.48,42.1,44.67,206000
2024-03-01,42.05,45.94,42.05,44.97,108000
2024-03-04,46.99,46.99,44,44.94,3500
2024-03-05,43,45.98,41.57,41.69,41500
2024-03-06,42.87,42.9,41,41.95,75000
2024-03-07,41,41,38.8,38.8,50500
2024-03-08,38.4,39,36.5,38.31,34500
2024-03-11,37.53,37.98,35.44,35.44,206500
2024-03-12,32.78,32.78,32.78,32.78,42000
2024-03-13,30.32,31.2,30.32,30.32,779500
2024-03-14,31.15,31.5,30.5,31.2,184000
2024-03-15,31.59,31.65,31,31.21,41500
2024-03-18,31,31.45,30.5,30.73,22000
2024-03-19,30.5,32.4,30.5,31.5,111000
2024-03-20,31.5,31.5,31,31.07,10000
2024-03-21,30.5,31.8,29.31,30.15,86000
2024-03-22,29.99,30.3,29.99,30,24000
2024-03-25,29.61,30,29.1,29.21,47500
2024-03-26,29.9,30,29.89,30,28000
2024-03-27,30.9,30.9,29.26,29.38,32500
2024-03-28,29.2,29.69,29.1,29.69,3500
2024-03-29,29.01,29.75,29.01,29.75,3000
2024-04-01,28.75,29.5,28.75,29.5,1500
2024-04-02,29,30.39,28.99,30.39,20000
2024-04-03,30,32,30,31.89,83000
2024-04-04,32.9,33,30.75,32,49000
2024-04-08,31.99,32.8,31.25,32.42,162500
2024-04-09,32.65,33,31.71,32,25000
2024-04-15,31.6,34.4,31.6,34.08,395000
2024-04-16,33.61,35.84,33.61,34.82,183000
2024-04-17,35.45,36,34,34.21,332000
2024-04-18,34.49,34.5,32.65,32.65,46500
2024-04-19,33,33.29,32.51,32.97,9500
2024-04-22,32.5,33.8,32.5,33.39,44500
2024-04-23,33,34.23,32.5,32.85,116000
2024-04-24,33.5,33.6,32.7,33.06,42000
2024-04-25,33.96,33.96,32.5,32.54,48500
2024-04-26,32.25,32.69,31.8,32.32,17000
2024-04-29,33.44,33.44,31.5,32.9,36500
2024-04-30,32.01,33.48,31.5,32,28000
2024-05-02,30.52,31.74,30.52,31.01,60000
2024-05-03,31.99,32.5,31.5,32.04,34500
2024-05-06,32.5,33.5,32,32.06,132000
2024-05-07,31.01,33.29,31.01,32.85,144000
2024-05-08,33.6,33.6,31.65,32.15,60000
2024-05-09,32,32.5,32,32.49,14500
2024-05-10,32.9,33.8,32.9,33.25,255500
2024-05-13,33.51,34.5,32.85,33.79,215000
2024-05-14,33.51,34.7,33.2,33.69,133500
2024-05-15,33.75,34.05,33,33.36,65000
2024-05-16,33,33.75,33,33.25,79500
2024-05-17,33.7,35.74,33.55,35.74,288000
2024-05-20,37.1,37.5,36.5,37.35,351500
2024-05-21,37.99,37.99,36.1,36.18,59000
2024-05-22,36.95,36.95,34.2,34.56,85000
2024-05-23,34.55,35.33,34.55,34.69,23500
2024-05-24,35,35,33.5,33.73,22000
2024-05-27,32.1,34.27,32.1,34,30200
2024-05-29,34,34,32.75,33.5,4501
2024-05-30,33.5,34.1,33,33.97,22492
2024-05-31,33.99,34.44,33.99,34.35,28501
2024-06-03,34.5,35,33.85,33.89,92540
2024-06-04,34.21,34.21,33,33.4,23952
2024-06-05,33.33,33.33,32.66,33.24,2002
2024-06-06,33.89,34.1,32.56,33.23,22704
2024-06-07,32.01,33.49,32,33.31,73003
2024-06-10,33.99,34,33,33.1,8309
2024-06-11,33.5,33.5,32,32,67081
2024-06-12,32,32.95,30.85,31.1,167499
2024-06-13,32.24,33.54,31.51,33.16,102701
2024-06-14,34.34,34.6,31,31.15,153617
2024-06-20,31.99,32.5,31.13,31.97,80354
2024-06-21,33.95,34.34,32,32.21,55922
2024-06-24,30.6,33.3,30.6,31.46,58066
2024-06-25,32.85,32.85,29.66,30,112306
2024-06-26,30,30,29.51,29.96,55813
2024-06-27,30.93,30.93,29.3,29.36,62221
2024-06-28,30.49,30.49,27.16,29.72,9404
2024-07-01,31.89,31.89,28.21,30,18433
2024-07-02,29.5,30.85,29.21,29.99,6760
2024-07-03,30.5,30.5,28.05,29.18,56738
2024-07-04,29.5,29.98,29,29.02,26544
2024-07-05,29,29.8,29,29.55,57082
2024-07-08,29.9,29.9,27.6,29.26,9030
2024-07-09,29.01,29.93,29,29.43,38204
2024-07-10,29.18,29.35,29,29.01,19551
2024-07-11,29.5,29.5,28.45,28.92,2449
2024-07-12,28.5,29.95,28,28.37,63348
2024-07-15,28.45,29.4,28.45,28.97,21079
2024-07-18,29.44,30,29,29.62,112471
2024-07-19,30.5,30.5,28.57,28.99,66192
