date,open,high,low,close,volume
2024-01-15,222,225.5,218.02,218.53,22600
2024-01-16,215.02,219.8,215.01,217.35,21100
2024-01-17,215.35,220,213.11,215.31,26600
2024-01-18,213.06,214.99,205,208.01,59100
2024-01-19,208.99,212.8,208.99,210.33,29500
2024-01-22,210.98,211.99,207.26,208.9,18900
2024-01-23,210.01,221,210,218.41,96800
2024-01-24,220.99,221,212.25,214.91,42700
2024-01-25,215,215,212,212.01,10200
2024-01-26,214.5,216,209,211.57,12500
2024-01-29,209.01,210,200,202.17,50100
2024-01-30,204.75,204.85,199.5,199.62,11400
2024-01-31,203.8,203.8,197,198.13,18600
2024-02-01,197.55,205.8,197.5,202.43,105300
2024-02-02,204.4,217.61,203.2,217.61,223100
2024-02-06,222.21,233.93,222,233.93,355400
2024-02-07,236.02,244,231.5,240.58,375800
2024-02-09,235,235,223.01,231.51,171700
2024-02-12,227.33,228.2,219,221.49,131400
2024-02-13,212.5,232.9,211,229.79,131700
2024-02-14,231.99,239.5,231.5,237.22,80000
2024-02-15,234.01,239.44,221,223.89,109400
2024-02-16,225,227.5,219,220.64,74600
2024-02-19,218.01,224,216,223,15000
2024-02-20,230.99,239.73,229.8,239.73,188300
2024-02-21,247.49,256.49,239,253.33,638300
2024-02-22,253.05,254.9,236.13,239.34,197100
2024-02-23,238,243,236.25,241.92,99800
2024-02-26,242,245.73,238,240.56,56400
2024-02-27,238.1,241.95,238.1,238.86,20400
2024-02-28,241.4,242.93,227.4,230.16,228100
2024-02-29,232,234.4,226,228.55,46400
2024-03-01,230,230,226.55,228.87,26100
2024-03-04,230.8,231,227,227.89,42700
2024-03-05,229.8,229.95,227,227.02,6500
2024-03-06,229.87,237,229,233.81,117700
2024-03-07,233.01,236,231.02,233.4,28300
2024-03-08,235.79,236,232,233.92,61700
2024-03-11,235.5,242,234.1,237.46,237500
2024-03-12,235.59,236.3,228,228.57,31000
2024-03-13,228.15,230,220.01,220.47,26700
2024-03-14,222.03,227,222,225.08,52900
2024-03-15,222.05,226.94,222,223.03,19000
2024-03-18,223.3,225.99,220.8,223.81,25800
2024-03-19,225.99,226.3,221.55,223.43,20700
2024-03-20,222.05,224.21,221,221.19,19000
2024-03-21,221.1,227.15,221.1,221.83,46600
2024-03-22,221.1,222.95,220,220.15,3800
2024-03-25,219.03,224,219,223.74,24700
2024-03-26,223.99,223.99,222.37,223.14,2200
2024-03-27,222.99,225,221,223.56,13700
2024-03-28,223,229,222,223.5,12300
2024-03-29,223.1,223.85,219.11,219.44,33400
2024-04-01,220,221.49,218.06,219.88,10700
2024-04-02,220.5,221,218,220,13600
2024-04-03,221,221.5,217.9,219.94,36500
2024-04-04,236.44,236.44,224.01,228.97,305900
2024-04-08,231.97,233,223,231.2,129100
2024-04-09,231,231,226.15,227.77,44800
2024-04-15,226.01,227.74,220.72,224.04,45000
2024-04-16,224,227.7,221.51,224,67600
2024-04-17,224,227,221,225.43,89300
2024-04-18,224.11,226,221.51,224,34500
2024-04-19,222,226,221.5,225.45,61900
2024-04-22,226,232.4,225.15,231.29,165000
2024-04-23,232,232.99,228,228.46,28055
2024-04-24,227.16,230.7,225.5,225.95,30521
2024-04-25,230.55,230.99,225.1,226.08,73323
2024-04-26,225.01,227,222,222.54,56661
2024-04-29,223.02,224,221.12,221.39,23687
2024-04-30,220.5,222.9,219.01,220.17,29561
2024-05-02,222.95,222.95,218,218.34,15943
2024-05-03,220,221.95,218,219.96,14708
2024-05-06,220,231.5,220,225.37,170320
2024-05-07,224.25,237,223.02,232,381788
2024-05-08,236.1,236.1,229,233.01,152107
2024-05-09,236,250.49,233,250.49,546261
2024-05-10,253.97,255.95,243,248.14,357813
2024-05-13,251,252.75,246,248.43,226486
2024-05-14,251.9,260,249,252.96,440049
2024-05-15,254,264.4,254,256.31,531360
2024-05-16,257.95,259.89,251.05,252.34,103626
2024-05-17,254,254.97,250.51,252.67,78305
2024-05-20,253,253,245,247.47,47522
2024-05-21,249.95,254.99,247,247.76,68205
2024-05-22,249.9,249.9,240,241.36,42381
2024-05-23,242.01,244,239.7,240.17,52637
2024-05-24,243.95,243.95,240,241.16,35346
2024-05-27,242.99,242.99,226.01,228.01,109492
2024-05-29,228,229.49,226.5,227.44,52979
2024-05-30,230,232.8,228,228.07,29240
2024-05-31,230,237.48,230,233.68,26100
2024-06-03,235,238,232.35,236.45,14685
2024-06-04,236.5,238,229.03,230.14,83650
2024-06-05,229.03,232.96,227,227.65,14890
2024-06-06,226.11,231,225,230.03,74639
2024-06-07,228,245,226,242.3,158018
