date,open,high,low,close,volume
2024-01-12,118.99,119.5,117.9,118.01,1048863
2024-01-15,118.99,119.55,117.91,118.09,1444701
2024-01-16,118.96,118.96,116.95,117.83,629325
2024-01-17,117,118,116.95,117.08,698466
2024-01-18,117.58,117.58,115.9,116.76,474281
2024-01-19,117,118.05,117,117.75,409948
2024-01-22,118.09,119.1,117.77,118.93,317007
2024-01-23,119.15,119.84,118,119.31,2605017
2024-01-24,119.31,120.04,117.5,117.7,1769486
2024-01-25,118,118.9,117.8,118.05,2291175
2024-01-26,118.88,119.09,114.76,115.16,2000174
2024-01-29,115.5,115.55,113.66,113.96,1410951
2024-01-30,114,114.7,112.04,112.84,2273164
2024-01-31,112.5,114.25,112.5,113.47,2834118
2024-02-01,113.7,114.5,113.25,113.94,986980
2024-02-02,114,114.25,113.02,113.86,596889
2024-02-06,113.12,114.8,113.08,113.25,3839057
2024-02-07,113.7,113.85,113.27,113.52,670013
2024-02-09,112.42,113.6,110,112.6,1663532
2024-02-12,112.25,113.2,111.53,112.45,904332
2024-02-13,112,113.4,111.15,113.25,311896
2024-02-14,113.45,114,112,112.84,424317
2024-02-15,112.99,113,110.85,111.32,828170
2024-02-16,111.35,111.89,108.52,109.25,1358006
2024-02-19,108.5,109.75,108,109.06,309586
2024-02-20,109,110.49,108.25,109.13,798244
2024-02-21,110,110.38,108.7,109.28,602733
2024-02-22,109.8,110.51,108.91,110.01,1458865
2024-02-23,110,114.48,110,113.23,1496539
2024-02-26,113.9,114,112.5,112.89,360446
2024-02-27,113,113.5,112.8,112.94,221420
2024-02-28,113.58,118,112.76,117.29,2079428
2024-02-29,118,121.55,117.3,119.33,3414841
2024-03-01,119.4,120.5,118.3,120.14,637892
2024-03-04,120.6,120.95,119,119.36,388961
2024-03-05,120,120,118,118.76,409390
2024-03-06,119,119,118,118.4,118534
2024-03-07,117.86,118.44,117.4,117.9,470451
2024-03-08,117.52,118.25,117,117.13,287027
2024-03-11,117.5,118.35,117.5,117.98,453500
2024-03-12,117.86,118.3,117.25,117.38,124947
2024-03-13,117.38,118.5,116.95,117.26,222341
2024-03-14,118.4,118.85,117.5,118.32,267056
2024-03-15,117.5,118.45,116.9,117.73,991183
2024-03-18,117.8,120.56,117.55,120.12,855092
2024-03-19,120.1,122.74,120.1,121.78,2268635
2024-03-20,122.1,124.28,122.1,124,3207061
2024-03-21,120.98,123.5,120.55,121.63,1112002
2024-03-22,122,122,120.5,121.14,226320
2024-03-25,121,122.5,120.55,122.01,1866971
2024-03-26,122,127.75,122,127.27,3355357
2024-03-27,128,129.7,127.75,128.65,4035570
2024-03-28,129,130.45,128,128.52,14651169
2024-03-29,128.55,128.6,126,126.25,688287
2024-04-01,126.25,126.5,124.9,125.68,578543
2024-04-02,125.99,127.4,124.9,126.86,1102039
2024-04-03,127,127.55,126.4,126.85,1134308
2024-04-04,127.01,128,126.13,126.47,694820
2024-04-08,126.5,134.7,126.5,132.66,3250425
2024-04-09,132.02,142.61,132.02,142.61,3786880
2024-04-15,144.38,145.9,140.3,143.51,4881164
2024-04-16,144.2,147,139.9,140.23,3382388
2024-04-17,140,141.5,138.5,138.76,898888
2024-04-18,139.38,140,136.4,139.23,1564517
2024-04-19,139.23,141.75,138.6,141.2,1457153
2024-04-22,141.7,144,140.79,142.51,2153745
2024-04-23,143.1,143.49,141.07,142.08,903225
2024-04-24,142.49,144.9,141.45,142.19,3602518
2024-04-25,142.45,143,141.75,142.51,935937
2024-04-26,142.04,151.5,141.85,147.22,3468073
2024-04-29,147.7,150.4,142.8,144.72,4646319
2024-04-30,145,147.75,144.8,145.64,2832211
2024-05-02,145.64,145.75,142.75,143.36,3072687
2024-05-03,144,146.75,143.5,146.07,2823345
2024-05-06,147,151.3,147,149.98,3430657
2024-05-07,150,151,149.05,149.5,1106218
2024-05-08,149.1,152.4,148.01,151.05,9933330
2024-05-09,145.7,145.7,141.6,142.46,3508992
2024-05-10,142.5,143.89,142.5,143.08,542503
2024-05-13,144.5,144.5,141.01,141.93,1356545
2024-05-14,142,145.9,142,142.42,2246006
2024-05-15,143.13,144.06,141.02,142.98,1586598
2024-05-16,143.01,143.98,142,143.27,997743
2024-05-17,143.05,144.8,143,144.47,1136130
2024-05-20,144.5,145.4,143.01,144.27,633851
2024-05-21,144.5,144.99,142.2,142.8,652521
2024-05-22,142.1,144.65,142.1,143.97,1271233
