date,open,high,low,close,volume
2023-01-16,2.0,2.2,2.0,2.2,2000
2023-01-26,2.01,2.01,2.0,2.0,5000
2023-02-02,2.0,2.12,1.96,2.12,1500
2023-02-28,1.95,1.95,1.86,1.87,12000
2023-03-03,1.85,1.87,1.85,1.87,3500
2023-03-10,1.9,1.9,1.9,1.9,1000
2023-03-27,1.9,1.9,1.9,1.9,500
2023-04-03,1.9,1.9,1.9,1.9,1500
2023-04-17,1.91,1.91,1.9,1.9,2000
2023-04-27,2.0,2.0,2.0,2.0,500
2023-05-03,1.85,2.0,1.82,1.82,4000
2023-05-04,1.81,1.81,1.81,1.81,500
2023-05-08,1.82,1.82,1.81,1.81,3500
2023-05-09,1.8,1.81,1.8,1.8,2000
2023-05-19,1.75,1.9,1.72,1.9,5500
2023-05-31,1.72,1.72,1.71,1.71,5000
2023-06-14,1.73,1.73,1.73,1.73,4000
2023-06-16,1.7,1.7,1.7,1.7,500
2023-06-20,1.7,1.7,1.7,1.7,500
2023-07-07,1.9,1.99,1.9,1.99,2500
2023-07-17,1.9,1.9,1.9,1.99,27500
2023-07-18,2.0,2.0,2.0,2.0,500
2023-07-20,2.0,2.2,2.0,2.2,2000
2023-07-24,2.01,2.01,2.01,2.01,1000
2023-07-25,2.2,2.98,2.2,2.78,35000
2023-07-26,2.55,2.55,2.55,2.55,1000
2023-07-31,2.51,2.51,2.51,2.51,500
2023-08-04,2.5,2.5,2.4,2.4,1000
2023-08-07,2.6,2.6,2.6,2.6,500
2023-08-15,2.55,2.55,2.55,2.55,500
2023-08-17,2.5,2.5,2.5,2.5,500
2023-08-24,2.8,3.1,2.8,2.9,17000
2023-08-25,2.75,2.95,2.75,2.95,1500
2023-08-29,3.0,3.0,3.0,3.0,7500
2023-08-30,3.0,3.0,3.0,3.0,1500
2023-08-31,3.0,3.0,3.0,3.0,1000
2023-09-07,3.0,3.0,3.0,3.0,500
2023-09-14,3.0,3.0,3.0,3.0,15000
2023-09-15,3.0,3.0,3.0,3.0,1000
2023-09-25,3.0,3.0,3.0,3.0,5000
2023-09-26,2.9,3.0,2.8,2.81,3500
2023-10-06,2.85,2.85,2.85,2.85,1000
2023-10-09,2.83,2.83,2.81,2.81,1500
2023-10-11,2.85,2.85,2.85,2.85,500
2023-10-19,2.72,2.72,2.71,2.71,1000
2023-10-20,2.72,2.72,2.72,2.72,500
2023-10-25,2.8,2.8,2.8,2.8,2000
2023-10-27,2.72,2.72,2.71,2.71,1500
2023-10-30,2.85,2.85,2.85,2.85,500
2023-10-31,2.7,2.8,2.7,2.8,4000
2023-11-14,2.9,2.9,2.9,2.9,1000
2023-11-20,2.7,2.7,2.7,2.7,3000
2023-11-29,2.6,2.6,2.6,2.6,500
2023-12-11,2.56,2.56,2.56,2.56,500
2023-12-12,2.55,2.55,2.55,2.55,1500
2023-12-13,2.7,2.7,2.7,2.7,500
2023-12-14,2.56,2.7,2.56,2.7,1000
2023-12-15,2.55,3.1,2.55,3.03,9500
2023-12-18,2.81,3.2,2.81,3.2,4000
2024-01-10,2.75,2.95,2.71,2.95,2000
2024-01-12,3.1,3.1,2.8,2.8,2000
2024-01-26,2.7,2.7,2.65,2.65,1000
2024-02-12,2.2,2.2,2.2,2.2,500
2024-02-27,2.45,2.45,2.45,2.45,500
2024-03-01,2.5,2.5,2.5,2.5,10000
2024-03-19,2.51,2.51,2.51,2.51,500
2024-03-21,2.5,2.5,2.5,2.5,4000
2024-03-25,2.6,2.6,2.5,2.5,2000
2024-03-28,2.5,2.5,2.5,2.5,1000
2024-04-03,2.74,2.74,2.74,2.74,500
2024-04-19,2.26,2.26,2.26,2.26,500
2024-04-29,2.27,2.27,2.27,2.27,3000
2024-04-30,2.22,2.5,2.22,2.5,1000
2024-05-03,2.35,2.35,2.3,2.32,1500
2024-05-06,2.22,2.22,2.22,2.22,500
2024-05-07,2.22,2.22,2.22,2.22,500
2024-05-09,2.45,2.45,2.26,2.26,8000
2024-05-14,2.22,2.22,2.0,2.2,9000
2024-05-16,2.25,2.35,2.25,2.25,4000
2024-05-21,2.35,2.35,2.35,2.35,500
2024-05-22,2.35,2.35,2.35,2.35,8000
2024-05-30,2.21,2.21,2.21,2.21,715
2024-05-31,2.22,2.22,2.22,2.21,1
2024-06-05,2.39,2.4,2.25,2.37,1670
2024-06-06,2.36,2.36,2.36,2.36,1000
2024-06-10,2.25,2.49,2.25,2.49,4080
2024-06-11,2.27,2.27,2.27,2.49,50
2024-06-14,2.2,2.21,2.2,2.2,1539
2024-06-20,2.3,2.35,2.01,2.02,307001
2024-06-21,2.18,2.19,2.18,2.19,2500
2024-06-25,2.24,2.24,2.24,2.19,2
2024-06-26,2.15,2.2,2.14,2.2,11500
2024-06-27,2.13,2.13,2.13,2.13,500
2024-06-28,2.16,2.16,2.16,2.13,10
2024-07-02,2.24,2.24,2.24,2.24,1000
2024-07-03,2.29,2.75,2.29,2.61,41943
2024-07-04,2.88,2.88,2.5,2.5,5522
2024-07-05,2.58,2.58,2.58,2.5,10
2024-07-08,2.5,2.5,2.5,2.5,2500
2024-07-09,2.26,2.63,2.25,2.63,9503
2024-07-10,2.3,2.62,2.3,2.62,3000
2024-07-11,2.33,2.33,2.33,2.33,500
2024-07-12,2.3,2.3,2.27,2.27,1000
2024-07-18,2.45,2.45,2.45,2.27,100
2024-07-19,2.21,2.21,2.21,2.21,500
2024-07-23,2.02,2.02,2.01,2.01,2417
2024-07-25,2.2,2.2,2.2,2.2,500
2024-07-29,2.3,2.3,2.3,2.2,100
2024-07-30,2.11,2.11,2.1,2.1,1000
2024-07-31,2.16,2.16,2.15,2.1,349
2024-08-01,2.25,2.25,2.25,2.25,5930
2024-08-13,2.2,2.2,2.2,2.2,2011
2024-08-19,2.2,2.2,2.2,2.2,1193
2024-08-20,2.44,2.44,2.44,2.2,10
2024-08-22,2.2,2.2,2.2,2.2,1
2024-08-27,2.45,2.6,2.45,2.48,1956
2024-08-28,2.36,2.36,2.36,2.36,800
2024-08-30,2.31,2.31,2.31,2.36,6
2024-09-05,2.3,2.3,2.3,2.36,16
2024-09-06,2.3,2.35,2.3,2.35,1254
2024-09-10,2.3,2.64,2.3,2.64,2384
2024-09-11,2.35,2.59,2.35,2.35,24011
2024-09-13,2.59,2.59,2.59,2.35,29
2024-09-16,2.4,2.63,2.35,2.63,2512
2024-09-18,2.61,2.61,2.61,2.61,2000
2024-09-19,2.4,2.64,2.4,2.61,12
2024-09-20,2.36,2.36,2.36,2.61,5
2024-09-23,2.58,2.58,2.58,2.61,50
2024-09-25,2.65,2.7,2.35,2.35,1900
2024-09-26,2.59,2.59,2.4,2.5,1372
2024-09-27,2.59,2.59,2.58,2.5,180
2024-09-30,2.35,2.55,2.25,2.26,1512
2024-10-02,2.6,2.6,2.6,2.26,7
2024-10-07,2.21,2.21,2.2,2.2,1000
2024-10-08,2.3,2.3,2.3,2.2,7
2024-10-10,2.42,3.2,2.3,2.5,106746
2024-10-11,2.74,2.8,2.74,2.79,1554
2024-10-14,2.4,2.8,2.4,2.8,1002
2024-10-15,2.35,2.8,2.35,2.8,2
2024-10-21,2.3,2.77,2.3,2.77,1500
2024-10-22,2.3,2.7,2.3,2.3,701
2024-10-23,2.33,2.54,2.3,2.31,1048
2024-10-24,2.3,2.4,2.12,2.4,7326
2024-10-25,2.4,2.52,2.21,2.52,8411
2024-10-28,2.22,2.4,2.22,2.4,3600
2024-10-29,2.4,2.4,2.4,2.4,70
2024-10-30,2.23,2.44,2.1,2.1,9501
2024-10-31,2.1,3.1,2.05,2.69,126100
2024-11-01,2.69,2.69,2.35,2.67,2413
2024-11-04,2.33,2.5,2.25,2.29,3407
2024-11-05,2.4,2.45,2.4,2.45,1500
2024-11-06,2.35,2.35,2.25,2.35,2682
2024-11-07,2.54,2.54,2.03,2.3,8129
2024-11-08,2.3,2.3,2.3,2.3,6
2024-11-11,2.3,2.3,2.3,2.3,10
2024-11-12,2.13,2.4,2.13,2.39,1099
2024-11-13,2.3,2.3,2.3,2.39,62
2024-11-14,2.3,2.44,2.3,2.44,3144
