date,open,high,low,close,volume
2023-02-09,4.7,6,4.7,6,22000
2023-02-23,6.89,6.89,5,5,1500
2023-02-27,5.89,5.89,5.89,5.89,500
2023-02-28,6.48,6.48,6.48,6.48,500
2023-03-10,5.44,5.44,5.44,5.44,1000
2023-03-13,5.3,5.3,5.3,5.3,500
2023-03-30,5.9,5.9,5.9,5.9,500
2023-04-17,4.9,5.89,4.9,4.92,32000
2023-04-18,4.93,4.94,4.93,4.94,2000
2023-04-20,4.1,4.1,4.1,4.1,500
2023-05-04,3.65,3.65,3.65,3.65,1000
2023-06-07,3.06,3.06,2.7,2.82,229000
2023-06-09,2.61,2.61,2.6,2.6,5500
2023-06-13,2.4,2.4,2.4,2.4,1000
2023-06-15,2.6,2.6,2.6,2.6,1000
2023-07-03,3,3,3,3,500
2023-07-04,3,3,3,3,1000
2023-07-06,2.95,3,2.95,3,6000
2023-07-18,2.65,2.71,2.65,2.7,23500
2023-07-20,3.09,3.09,3.08,3.09,12500
2023-07-25,3,3,3,3,2500
2023-07-31,2.9,3,2.9,2.9,15000
2023-09-18,2.3,2.3,2.3,2.3,500
2023-10-05,2.8,2.8,2.8,2.8,500
2023-10-11,2.5,2.5,2.11,2.12,50000
2023-10-12,2.25,2.25,2.2,2.2,31000
2023-10-17,2.6,2.6,2.26,2.34,9500
2023-10-18,2.5,2.65,2.5,2.6,27500
2023-10-19,2.4,2.65,2.4,2.64,69500
2023-10-20,2.6,2.6,2.6,2.6,4500
2023-10-23,2.6,2.6,2.12,2.2,116000
2023-10-24,2.5,2.5,2.2,2.2,16000
2023-10-25,2.26,2.26,2.18,2.19,44500
2023-10-26,2.3,2.3,2.15,2.15,28000
2023-10-27,2.3,2.5,2.3,2.5,2500
2023-10-30,2.21,2.21,2.21,2.21,500
2023-11-02,2.3,2.3,2.2,2.25,8500
2023-11-07,2.4,2.4,2.4,2.4,8000
2023-11-08,2.69,2.69,2.65,2.65,6000
2023-11-10,2.7,2.7,2.7,2.7,500
2023-11-15,2.7,2.7,2.5,2.65,53500
2023-11-20,2.5,2.5,2.5,2.5,9000
2023-11-21,2.5,2.51,2.5,2.5,9000
2023-11-22,2.45,2.45,2.45,2.45,1000
2023-11-27,2.45,2.6,2.3,2.5,12000
2023-11-28,2.45,2.6,2.45,2.6,10000
2023-11-30,2.5,2.5,2.5,2.5,3000
2023-12-01,2.5,2.5,2.5,2.5,2000
2023-12-04,2.54,2.65,2.5,2.65,48000
2023-12-05,2.7,2.7,2.7,2.7,5500
2023-12-06,2.9,2.94,2.8,2.85,62000
2023-12-07,2.9,2.91,2.9,2.9,17000
2023-12-08,3.17,3.17,3.17,3.17,500
2023-12-11,2.4,3.17,2.4,3.13,34500
2023-12-12,3.6,3.6,3.6,3.6,3000
2023-12-18,3.39,3.39,3.39,3.39,500
2023-12-19,2.7,2.8,2.52,2.8,3500
2023-12-21,3.44,3.6,3.44,3.6,43000
2023-12-22,3.29,3.6,3.29,3.46,41500
2023-12-28,3.2,3.6,3.2,3.58,48000
2023-12-29,3.6,3.6,2.63,2.63,1000
2024-01-01,3.58,3.58,3.47,3.47,10000
2024-01-02,3.21,3.7,3.21,3.6,30500
2024-01-05,3.7,3.7,3.7,3.7,5500
2024-01-08,3.7,3.7,3.25,3.25,6000
2024-01-09,3.7,3.8,3.7,3.7,12000
2024-01-10,3.8,3.8,3.8,3.8,5000
2024-01-17,3.01,3.01,3,3,15000
2024-01-18,3.5,3.8,3.5,3.8,15000
2024-01-19,3.8,3.8,3.8,3.8,12000
2024-01-22,3.3,3.3,3.3,3.3,1000
2024-01-23,3.36,3.36,3.35,3.36,5500
2024-01-25,3.26,3.26,3.1,3.12,121000
2024-01-26,3.02,3.02,3,3.01,5000
2024-01-29,3.35,3.5,3.35,3.5,2000
2024-02-02,3,3.15,3,3.1,70000
2024-02-06,3.28,3.3,3.28,3.3,2000
2024-02-07,3.11,3.11,3.11,3.11,500
2024-02-13,3.6,3.6,3.6,3.6,500
