date,open,high,low,close,volume
2024-06-05,175.46,205.98,175.46,176.41,1915
2024-06-06,190.52,190.52,175,175.17,176
2024-06-07,189,189,187,175.17,104
2024-06-10,189.99,189.99,160.28,161.02,1184
2024-06-11,174.71,174.71,147.33,148.8,1052
2024-06-12,161.45,161.45,136.15,136.21,856
2024-06-13,137,147,125,125.15,285
2024-06-14,134.5,134.5,127.99,125.15,201
2024-06-20,135.75,135.75,115,124.11,855
2024-06-21,134.6,134.6,134.4,134.4,305
2024-06-25,141,141,141,134.4,101
2024-06-27,122.3,123.02,122.3,122.54,498
2024-06-28,122,122,121.99,122.54,151
2024-07-01,112,113,111.66,112.16,2873
2024-07-03,121,121,119,119.65,551
2024-07-05,128,128,128,119.65,1
2024-07-08,108.28,128,108.28,119.65,132
2024-07-09,109.01,110,109.01,119.65,2
2024-07-10,111,118.5,110,118.48,2065
2024-07-11,108.11,114.44,107.5,118.48,161
2024-07-12,107.22,128.74,107.22,118.48,25
2024-07-15,107.45,117.77,107.22,118.48,110
2024-07-18,107.25,128,107.22,127,979
2024-07-19,115,137,114.94,127,42
2024-07-22,137,137,114.3,114.42,1051
2024-07-23,112.52,112.52,112.52,114.42,1
2024-07-25,105.02,118,105.01,111.28,824
2024-07-29,103.15,103.15,103.15,111.28,493
2024-07-30,100.15,114,100.15,101.44,3812
2024-07-31,106.66,106.66,91.3,91.5,1771
2024-08-01,91.4,91.4,83.2,91.5,38
2024-08-02,99,99,85,85.42,1284
2024-08-05,92.99,92.99,76.88,76.89,5228
2024-08-06,84.54,84.54,76,80.42,1962
2024-08-07,88.45,88.46,88,88.15,2242
2024-08-08,96.97,96.97,94.99,96.33,374
2024-08-09,87.1,95.5,87.1,96.33,118
2024-08-12,87,104,87,96.33,51
2024-08-13,100.88,100.88,100.88,96.33,1
2024-08-15,100,100,100,96.33,1
2024-08-16,102,102,87.2,96.33,22
2024-08-20,88,88,87.1,96.33,12
2024-08-21,94,94,93.2,96.33,101
2024-08-22,89,89,89,96.33,101
2024-08-23,87,96,87,96.33,91
2024-08-26,87,94.5,87,96.33,146
2024-08-27,95,95,87,96.33,46
2024-08-28,87.13,87.13,87.13,96.33,2
2024-08-29,90.9,94.01,87.3,96.33,128
2024-08-30,87.11,105.96,87.11,105.96,7128
2024-09-02,116.56,116.56,116.55,116.56,9320
2024-09-03,128.22,128.22,128.22,128.22,5849
2024-09-04,141,141,115.4,128,3875
2024-09-05,133.5,133.5,116.01,128,87
2024-09-06,117,130,117,128,88
2024-09-09,115.2,127.98,115.2,128,153
2024-09-10,115.2,124,115.2,128,123
2024-09-11,117.01,124,115.22,115.58,378
2024-09-12,105.1,122.62,105.1,115.58,11
2024-09-13,104.02,127.14,104.02,127.14,10298
2024-09-16,139.85,139.85,114.43,139.85,4819
2024-09-18,153.84,153.84,153.84,153.84,727
2024-09-19,169.22,169.22,169.22,168.22,102
2024-09-20,185.04,185.04,185.04,185.04,115
2024-09-23,203.54,203.54,167,189.45,15569
2024-09-24,187,187.86,170.51,170.51,1340
2024-09-25,153.47,185.24,153.47,156.26,746
2024-09-26,159.9,165,159.9,163.32,373
2024-09-27,164,164,147,163.32,40
2024-09-30,147,148.1,147,147.93,190
2024-10-01,148,148,133.14,147.93,163
2024-10-02,140,140,133.15,137.38,1417
2024-10-03,140,140.01,140,140.01,716
2024-10-07,127.5,127.5,127.5,140.01,1
2024-10-08,130,130,130,140.01,50
2024-10-09,144.5,144.5,144.5,140.01,1
2024-10-11,130.5,130.5,130,140.01,19
2024-10-14,148,148,126.01,140.01,114
2024-10-17,130,130,130,140.01,34
2024-10-21,0,0,0,140.01,1
2024-10-24,130,137.9,130,140.01,128
2024-10-25,126.02,130,126.02,140.01,119
