date,open,high,low,close,volume
2023-12-07,143.0,143.01,143.0,143.01,400
2023-12-11,140.0,140.0,140.0,140.0,500
2023-12-13,139.89,139.89,139.89,139.89,200
2023-12-14,136.0,136.0,136.0,136.0,200
2023-12-20,125.8,125.81,125.8,125.81,800
2024-04-01,135.25,135.25,135.25,125.83,100
2024-04-23,116.4,134.2,116.4,117.45,756
2024-04-26,126.26,126.26,126.26,117.45,1
2024-04-29,126.26,126.26,126.26,126.26,400
2024-04-30,135.72,135.72,135.35,135.7,210
2024-05-03,145.4,145.52,145.4,145.48,426
2024-05-06,155.6,156.39,155.6,153.68,147
2024-05-07,165.2,165.2,165.2,165.2,20
2024-05-08,165.2,165.21,165.2,160.2,13
2024-05-09,172.11,172.21,172.11,160.2,20
2024-05-10,168.5,172.21,168.5,160.39,73
2024-05-13,160.39,172.42,160.39,160.39,20
2024-05-21,172.41,172.41,148.4,160.39,16
2024-05-22,150.0,150.0,150.0,160.39,1
2024-05-23,172.4,172.42,172.4,160.39,9
2024-05-30,155.0,155.0,155.0,155.0,489
2024-06-03,155.0,155.0,155.0,155.0,50
2024-06-05,160.0,160.0,157.49,159.99,501
2024-06-14,163.0,173.0,163.0,173.0,779
2024-06-21,187.71,187.71,187.71,173.0,10
2024-07-10,187.0,187.0,187.0,173.0,10
2024-07-18,188.89,188.89,188.89,173.0,1
2024-07-25,173.0,177.77,173.0,173.0,11
2024-07-26,170.11,170.11,170.11,173.0,55
2024-08-09,173.0,173.0,173.0,173.0,50
2024-08-15,173.0,173.0,173.0,173.0,21
2024-08-21,172.73,172.73,172.73,173.0,1
2024-08-22,160.0,173.0,160.0,173.0,6
2024-08-28,173.0,173.0,173.0,173.0,1
2024-08-29,173.0,173.0,173.0,173.0,123
2024-09-06,155.7,180.0,155.7,155.78,320
2024-09-19,171.36,171.36,140.2,155.78,23
2024-09-27,150.0,150.0,150.0,155.78,5
2024-10-02,171.6,171.6,171.6,156.0,1
2024-10-04,156.0,156.0,156.0,156.0,1
2024-10-17,126.9,126.9,126.9,141.0,1
2024-11-12,155.1,155.1,155.1,141.0,49
2024-11-13,141.01,155.1,141.01,148.24,202
2024-11-14,163.06,163.06,163.06,163.06,424
2024-11-15,179.36,179.37,179.0,179.36,315
2024-11-18,190.0,190.0,162.03,179.36,59
2024-11-19,161.44,179.76,161.44,179.36,19
2024-11-20,197.29,197.29,162.01,179.36,166
2024-11-21,189.0,189.0,189.0,179.36,25
2024-11-22,179.0,196.99,162.0,194.72,432
2024-11-25,200.0,214.19,200.0,202.4,2396
2024-11-26,185.0,210.0,182.16,197.16,950
2024-11-27,183.5,216.5,183.5,215.75,272
2024-11-28,200.0,229.0,200.0,215.75,92
2024-12-03,210.0,220.0,194.18,215.75,112
2024-12-05,211.4,211.4,211.0,215.75,34
2024-12-06,195.0,195.0,195.0,215.75,11
2024-12-09,215.0,215.0,215.0,215.75,15
2024-12-10,196.0,200.0,194.19,200.0,761
2024-12-11,200.0,200.0,200.0,200.0,4
2024-12-16,185.0,185.0,185.0,200.0,10
2024-12-17,185.0,210.0,185.0,200.0,50
2024-12-18,180.01,180.01,180.01,200.0,10
2024-12-19,180.0,180.0,180.0,200.0,510
2024-12-23,215.0,220.0,180.01,220.0,1354
2024-12-27,240.0,240.0,200.0,211.2,512
2024-12-30,215.0,215.0,191.0,211.2,42
2024-12-31,223.0,223.0,223.0,211.2,1
2025-01-06,210.0,210.0,210.0,211.2,26
2025-01-07,210.0,210.0,210.0,211.2,1
2025-01-10,200.0,200.0,200.0,211.2,17
2025-01-13,191.0,200.0,191.0,211.2,2
2025-01-14,210.0,210.0,210.0,210.0,863
2025-01-17,200.0,220.0,200.0,210.0,6
2025-01-21,205.0,205.0,205.0,210.0,8
2025-01-28,0.0,0.0,0.0,210.0,100
2025-01-31,189.0,189.0,189.0,189.0,220
2025-02-14,0.0,0.0,0.0,189.0,50
2025-03-03,0.0,0.0,0.0,189.0,100
2025-03-06,175.0,175.0,175.0,189.0,68
2025-03-10,172.05,172.05,172.05,189.0,50
2025-03-13,175.0,175.0,175.0,189.0,18
2025-03-24,200.0,200.0,200.0,189.0,1
2025-03-25,200.0,200.0,200.0,189.0,1
2025-03-26,200.0,200.0,200.0,189.0,5
2025-03-27,170.1,199.96,170.1,189.0,2
2025-04-04,170.1,195.0,170.1,189.0,12
2025-04-22,200.0,200.0,200.0,189.0,6
2025-05-06,200.0,207.9,172.0,207.9,685
2025-05-07,200.0,200.0,200.0,207.9,5
2025-05-08,190.0,190.0,187.11,187.88,139
2025-05-09,185.0,206.0,169.09,187.88,5
2025-05-12,200.0,200.0,200.0,187.88,69
2025-05-13,0.0,0.0,0.0,187.88,100
2025-05-14,201.0,206.67,201.0,201.07,336
2025-05-15,221.0,221.0,221.0,201.07,1
2025-05-22,181.01,220.0,181.0,181.17,231
