date,open,high,low,close,volume
2024-01-10,7.43,7.43,6.85,6.93,1343000
2024-01-11,7.18,7.18,6.9,7.05,655000
2024-01-12,7.23,7.23,7.0,7.01,507500
2024-01-15,7.02,7.05,6.87,6.88,210000
2024-01-16,6.82,6.95,6.6,6.82,98000
2024-01-17,6.91,7.0,6.85,6.92,227500
2024-01-18,6.96,6.96,6.7,6.82,238000
2024-01-19,6.81,6.94,6.67,6.79,50500
2024-01-22,6.92,6.92,6.55,6.69,198500
2024-01-23,6.75,6.87,6.69,6.71,102000
2024-01-24,6.87,7.1,6.75,7.02,476500
2024-01-25,7.14,7.23,6.76,6.88,620000
2024-01-26,6.89,6.9,6.76,6.8,188000
2024-01-29,6.72,6.72,6.62,6.66,1256000
2024-01-30,6.7,6.83,6.25,6.6,685500
2024-01-31,6.4,6.76,6.4,6.64,348000
2024-02-01,6.79,7.02,6.72,6.88,134500
2024-02-02,7.03,7.09,6.85,6.89,90500
2024-02-06,6.76,6.95,6.76,6.85,233500
2024-02-07,6.9,6.99,6.81,6.91,119000
2024-02-09,6.99,6.99,6.75,6.8,114000
2024-02-12,6.71,6.78,6.57,6.65,473500
2024-02-13,6.56,6.99,6.55,6.78,316500
2024-02-14,6.9,7.02,6.8,6.91,371500
2024-02-15,6.74,6.95,6.74,6.81,58500
2024-02-16,6.82,6.82,6.32,6.59,317500
2024-02-19,6.69,6.69,6.44,6.54,810000
2024-02-20,6.54,6.65,6.54,6.55,84500
2024-02-21,6.7,6.8,6.6,6.7,153500
2024-02-22,6.81,6.81,6.62,6.74,2202500
2024-02-23,6.66,6.8,6.21,6.67,1726000
2024-02-26,6.6,6.9,6.53,6.89,255500
2024-02-27,6.85,7.0,6.79,6.9,244500
2024-02-28,6.76,7.14,6.67,7.09,534500
2024-02-29,7.13,7.18,6.88,6.95,457000
2024-03-01,6.85,7.1,6.77,6.85,297500
2024-03-04,6.98,7.0,6.82,6.9,224000
2024-03-05,6.81,7.05,6.8,6.92,216000
2024-03-06,6.83,7.0,6.83,6.88,143000
2024-03-07,6.81,6.9,6.81,6.85,111000
2024-03-08,7.07,7.07,6.89,6.91,562500
2024-03-11,6.92,7.1,6.91,6.99,262500
2024-03-12,6.79,7.0,6.79,6.81,187000
2024-03-13,6.99,7.19,6.69,6.72,1050500
2024-03-14,6.78,6.97,6.78,6.89,391000
2024-03-15,6.87,6.95,6.83,6.88,336000
2024-03-18,6.85,6.9,6.8,6.85,145500
2024-03-19,6.92,6.92,6.84,6.85,125500
2024-03-20,6.71,7.0,6.71,6.89,165500
2024-03-21,6.84,6.99,6.72,6.86,240000
2024-03-22,6.84,6.85,6.75,6.77,141500
2024-03-25,6.75,6.96,6.73,6.87,323000
2024-03-26,6.97,7.0,6.82,6.87,95500
2024-03-27,6.9,6.98,6.62,6.79,255500
2024-03-28,6.8,6.83,6.71,6.77,525500
2024-03-29,6.77,6.9,6.63,6.71,278500
2024-04-01,6.7,7.04,6.7,6.98,402000
2024-04-02,6.92,7.98,6.8,7.9,7382500
2024-04-03,8.19,8.9,7.83,8.79,21459500
2024-04-04,8.9,8.9,8.26,8.52,3959500
2024-04-08,8.46,8.6,8.08,8.14,1561500
2024-04-09,7.95,8.29,7.95,8.15,547000
2024-04-15,8.01,8.65,7.86,8.04,7461000
2024-04-16,8.25,8.29,8.05,8.17,2279500
2024-04-17,8.07,8.49,8.06,8.13,2145500
2024-04-18,8.11,8.25,7.9,8.0,1035000
2024-04-19,8.03,8.13,7.85,7.93,1627500
2024-04-22,7.78,8.2,7.78,7.93,1127000
2024-04-23,7.9,8.6,7.9,8.12,4530000
2024-04-24,8.2,9.12,8.1,8.89,9597000
2024-04-25,8.99,9.25,8.7,8.76,6327500
2024-04-26,8.94,8.94,8.58,8.66,2014000
2024-04-29,8.51,8.88,8.4,8.49,2688500
2024-04-30,8.69,8.69,8.12,8.31,2699500
2024-05-02,8.47,8.47,7.95,8.13,1184000
2024-05-03,8.1,8.8,8.1,8.65,2682000
2024-05-06,8.78,9.25,8.5,8.72,8374500
2024-05-07,8.75,8.77,8.4,8.4,3201500
2024-05-08,8.36,8.55,8.25,8.3,1199500
2024-05-09,8.35,8.9,8.35,8.77,1724500
2024-05-10,8.82,9.5,8.8,9.16,7256500
2024-05-13,9.54,10.13,9.16,9.68,9763547
2024-05-14,9.75,9.8,9.3,9.71,3044202
2024-05-15,9.61,9.9,9.25,9.44,6049119
2024-05-16,9.45,9.65,9.16,9.54,3087473
2024-05-17,9.65,10.0,9.53,9.87,9292432
2024-05-20,9.99,9.99,9.46,9.66,3282559
2024-05-21,9.74,9.91,9.49,9.58,2956061
2024-05-22,9.78,9.85,9.15,9.25,3122689
2024-05-23,9.2,9.37,9.06,9.28,1077923
2024-05-24,9.26,9.53,9.25,9.35,1454681
2024-05-27,9.55,9.55,9.03,9.07,973884
2024-05-29,9.24,9.24,8.81,8.97,3534405
2024-05-30,9.05,9.25,8.95,9.11,1453025
2024-05-31,9.22,9.39,8.9,8.96,3927503
2024-06-03,9.09,9.33,9.01,9.14,1608663
2024-06-04,9.2,9.23,8.79,8.86,1336337
2024-06-05,8.99,9.05,8.57,8.64,1530864
2024-06-06,8.8,8.89,8.31,8.49,1097017
2024-06-07,8.59,8.9,8.11,8.78,1211931
2024-06-10,8.73,8.99,8.7,8.8,483809
2024-06-11,9.1,9.15,8.05,8.14,3846153
2024-06-12,8.19,9.02,8.1,8.72,5415505
2024-06-13,8.98,9.65,8.71,9.58,6788853
2024-06-14,9.65,9.65,9.0,9.07,1525378
2024-06-20,9.3,9.35,9.1,9.14,1180333
2024-06-21,9.1,9.34,8.6,8.7,1423820
2024-06-24,8.8,8.81,8.4,8.51,983816
2024-06-25,8.52,9.0,8.37,8.65,1909404
2024-06-26,8.7,8.95,8.25,8.34,1429115
2024-06-27,8.5,8.59,8.25,8.44,644260
2024-06-28,8.48,8.5,8.25,8.32,795882
2024-07-01,8.31,8.59,8.3,8.45,545599
2024-07-02,8.6,8.77,8.37,8.57,577962
2024-07-03,8.71,8.79,8.4,8.66,2414838
2024-07-04,8.74,9.17,8.71,9.01,2002024
2024-07-05,9.1,9.1,8.65,8.74,376490
2024-07-08,8.7,8.75,8.0,8.64,862859
2024-07-09,8.8,9.07,8.62,8.82,1980169
2024-07-10,8.7,8.99,8.6,8.68,983528
2024-07-11,8.69,8.78,8.51,8.54,413190
2024-07-12,8.69,8.7,8.15,8.33,1653060
2024-07-15,8.6,8.78,8.32,8.5,507103
2024-07-18,8.49,8.65,8.35,8.5,456868
2024-07-19,8.41,8.6,8.05,8.14,1256546
2024-07-22,8.03,8.2,7.9,8.06,1333729
2024-07-23,8.2,8.34,8.0,8.01,620622
2024-07-24,7.93,8.22,7.92,7.95,1441462
2024-07-25,8.05,8.05,7.81,7.86,696767
2024-07-26,7.8,7.99,7.5,7.68,840040
2024-07-29,7.5,8.1,7.5,8.02,480839
2024-07-30,8.1,8.15,7.82,7.9,624193
2024-07-31,7.9,7.9,7.58,7.61,550042
2024-08-01,7.6,8.0,7.5,7.82,798690
2024-08-02,7.86,8.14,7.75,7.79,1164753
2024-08-05,7.79,8.6,7.79,8.28,5716215
2024-08-06,8.28,9.28,8.2,9.28,11331876
2024-08-07,9.45,10.28,9.45,10.28,9526287
2024-08-08,10.73,10.8,9.75,9.83,7432108
2024-08-09,9.8,10.34,9.6,10.1,2925802
2024-08-12,10.1,10.7,9.9,10.0,3541227
2024-08-13,9.95,10.4,9.75,10.12,1359402
2024-08-15,10.02,10.4,9.9,10.01,2033528
2024-08-16,9.56,10.71,9.37,10.38,9433424
2024-08-19,10.68,11.42,10.65,10.96,15135807
2024-08-20,11.18,12.06,11.11,11.58,17469961
2024-08-21,11.8,12.74,11.7,12.74,10272695
2024-08-22,13.1,14.01,13.0,14.01,10143058
2024-08-23,14.5,15.19,13.95,14.22,22250258
2024-08-26,14.3,14.3,13.55,13.75,5001823
2024-08-27,13.5,15.13,13.5,14.51,10882070
2024-08-28,14.25,14.75,13.8,13.91,5145672
2024-08-29,14.0,14.46,13.83,14.02,5126063
2024-08-30,14.02,14.75,14.02,14.39,7933178
2024-09-02,14.34,14.4,13.21,14.02,3610163
2024-09-03,14.02,15.42,13.9,15.42,17408663
2024-09-04,15.9,16.96,15.82,16.34,35345035
2024-09-05,16.29,16.39,15.55,15.64,6649538
2024-09-06,15.94,16.0,15.2,15.48,2182243
2024-09-09,15.7,16.8,15.11,16.32,6924570
2024-09-10,16.7,16.9,16.25,16.46,5479117
2024-09-11,16.49,17.2,16.05,16.53,6245908
2024-09-12,16.56,16.85,16.25,16.54,5074209
2024-09-13,16.74,16.85,15.55,16.23,5067578
2024-09-16,16.0,16.32,15.65,15.79,2013641
2024-09-18,16.0,16.08,15.25,15.5,2017515
2024-09-19,15.4,17.05,15.4,16.55,15419701
2024-09-20,16.75,16.75,16.1,16.47,3221037
2024-09-23,16.41,17.41,16.15,17.05,6126949
2024-09-24,17.2,18.14,16.65,17.92,10227672
2024-09-25,18.0,18.5,17.62,17.9,5769921
2024-09-26,18.19,18.2,17.5,17.7,3743697
2024-09-27,17.7,18.3,17.25,17.83,4887712
2024-09-30,17.84,17.9,17.25,17.59,4216778
2024-10-01,17.69,18.44,17.6,17.94,4540248
2024-10-02,17.99,18.0,16.6,16.71,10435919
2024-10-03,16.72,17.18,15.25,15.45,10793963
2024-10-04,15.6,16.85,14.8,16.25,9696984
2024-10-07,16.3,16.95,16.11,16.74,4270092
2024-10-08,16.86,17.32,16.49,16.55,2500287
2024-10-09,16.5,16.85,16.15,16.3,2350788
2024-10-10,16.41,16.84,16.02,16.09,1208012
2024-10-11,16.13,16.5,15.8,16.08,1588923
2024-10-14,16.2,16.45,15.81,16.1,1622447
2024-10-15,16.0,16.69,16.0,16.52,1972872
2024-10-16,16.7,17.47,16.5,17.17,7084273
2024-10-17,17.21,17.39,16.92,17.05,6152796
2024-10-18,17.01,18.4,17.01,18.01,9846056
2024-10-21,18.26,19.81,18.26,19.8,18493294
2024-10-22,20.25,21.35,20.25,20.58,12484184
2024-10-23,20.58,20.8,20.01,20.32,7094411
2024-10-24,20.4,20.68,19.87,20.46,14205612
2024-10-25,20.69,20.69,19.9,20.13,3345451
2024-10-28,19.85,20.35,19.85,20.08,3172501
2024-10-29,20.08,20.25,19.8,20.08,7869259
2024-10-30,20.15,22.09,20.15,22.09,8256634
2024-10-31,23.38,23.38,21.5,21.68,4270784
2024-11-01,21.8,23.85,21.35,23.85,4185187
2024-11-04,24.5,26.24,24.25,26.24,4362453
2024-11-05,27.78,28.29,26.59,27.08,20831591
2024-11-06,27.57,29.49,26.8,28.76,7331920
2024-11-07,29.7,29.8,25.88,25.88,24987249
2024-11-08,25.0,25.92,23.29,24.56,33005335
2024-11-11,25.1,25.3,23.81,24.23,3434066
2024-11-12,24.23,24.3,23.1,23.63,1680248
2024-11-13,23.6,24.85,23.11,24.26,6158181
2024-11-14,24.5,25.0,24.01,24.34,2808986
2024-11-15,24.99,24.99,23.8,23.88,1652067
2024-11-18,24.0,24.9,23.16,24.26,5788900
2024-11-19,24.35,24.6,24.05,24.3,2036414
2024-11-20,24.5,24.66,23.5,23.99,2987446
2024-11-21,24.2,24.2,23.51,23.66,963832
2024-11-22,23.9,24.1,21.46,22.69,2521947
2024-11-25,22.8,23.49,21.6,22.64,4954668
2024-11-26,22.99,23.29,20.38,20.42,6851327
2024-11-27,21.06,21.94,20.6,21.59,6000559
2024-11-28,22.05,23.75,21.5,23.65,11644465
2024-11-29,23.79,26.02,23.55,25.96,16373699
2024-12-02,26.25,28.56,25.8,28.56,13962036
2024-12-03,29.59,31.42,29.3,31.1,19495493
