date,open,high,low,close,volume
2023-12-27,1.99,2.09,1.95,2.09,22500
2023-12-28,1.9,2.09,1.71,1.9,41000
2024-01-01,2.0,2.06,1.91,1.99,49500
2024-01-02,1.91,2.0,1.75,2.0,9000
2024-01-03,2.0,2.05,2.0,2.05,6500
2024-01-04,2.05,2.05,1.98,1.99,42000
2024-01-05,1.96,2.07,1.85,2.05,8000
2024-01-08,1.81,2.7,1.74,1.94,255500
2024-01-09,2.1,2.1,1.8,2.0,60500
2024-01-10,2.01,2.01,2.01,2.01,1000
2024-01-11,1.81,2.05,1.81,2.05,26000
2024-01-12,2.05,2.05,2.05,2.05,23000
2024-01-15,1.9,2.05,1.9,2.0,4500
2024-01-16,2.0,2.0,2.0,2.0,1000
2024-01-17,1.83,1.9,1.8,1.9,76500
2024-01-22,1.62,1.97,1.62,1.97,21000
2024-01-23,1.81,1.85,1.81,1.85,1000
2024-01-24,1.8,1.98,1.8,1.98,5500
2024-01-25,1.8,1.95,1.8,1.95,2000
2024-01-31,1.8,1.8,1.8,1.8,500
2024-02-01,1.8,1.8,1.6,1.8,2500
2024-02-06,1.7,1.85,1.65,1.85,5000
2024-02-07,1.85,1.85,1.85,1.85,500
2024-02-09,1.7,1.85,1.33,1.84,11500
2024-02-12,1.6,1.78,1.4,1.78,11500
2024-02-13,1.78,1.78,1.77,1.77,1500
2024-02-14,1.77,1.77,1.76,1.77,13000
2024-02-15,1.98,1.98,1.7,1.94,8000
2024-02-16,1.94,1.94,1.61,1.7,11000
2024-02-19,1.84,1.9,1.84,1.9,11500
2024-02-20,1.8,1.98,1.8,1.97,29500
2024-02-21,2.17,2.17,1.82,1.83,8500
2024-02-22,1.83,1.83,1.71,1.74,37500
2024-02-23,1.8,1.83,1.75,1.8,136000
2024-02-26,1.85,1.85,1.7,1.7,8000
2024-02-27,1.7,1.76,1.51,1.76,39000
2024-02-28,1.8,1.8,1.7,1.7,5000
2024-02-29,1.7,1.95,1.7,1.8,14500
2024-03-01,1.95,1.95,1.8,1.8,65500
2024-03-04,1.9,1.9,1.73,1.74,12000
2024-03-05,1.75,1.75,1.71,1.71,32000
2024-03-06,1.75,1.75,1.74,1.74,6000
2024-03-07,1.8,1.8,1.72,1.75,28500
2024-03-08,1.74,1.74,1.7,1.7,5500
2024-03-11,1.72,1.76,1.7,1.75,16500
2024-03-13,1.63,1.63,1.6,1.6,2500
2024-03-14,1.52,1.7,1.52,1.7,1500
2024-03-15,1.6,1.74,1.45,1.61,12500
2024-03-18,1.69,1.73,1.69,1.73,2000
2024-03-19,1.68,1.68,1.61,1.65,1500
2024-03-20,1.67,1.67,1.67,1.67,500
2024-03-21,1.6,1.69,1.6,1.6,7000
2024-03-22,1.61,1.7,1.6,1.7,3500
2024-03-25,1.8,1.8,1.63,1.74,2000
2024-03-26,1.66,1.89,1.66,1.89,20500
2024-03-27,1.7,1.78,1.7,1.75,1500
2024-03-28,1.75,1.79,1.75,1.79,9500
2024-03-29,1.75,1.75,1.75,1.75,500
2024-04-01,1.7,1.7,1.45,1.7,20500
2024-04-02,1.7,1.7,1.7,1.7,6000
2024-04-03,1.75,1.75,1.7,1.7,1500
2024-04-04,1.86,1.88,1.65,1.68,14500
2024-04-08,1.66,1.8,1.66,1.72,3000
2024-04-09,1.75,1.75,1.66,1.7,27500
2024-04-15,1.7,1.75,1.7,1.72,4000
2024-04-16,1.81,1.81,1.71,1.71,2000
2024-04-17,1.9,1.9,1.61,1.78,14000
2024-04-22,1.67,1.78,1.67,1.67,8500
2024-04-23,1.79,1.79,1.76,1.76,1500
2024-04-24,1.84,1.84,1.67,1.68,12500
2024-04-25,1.86,1.86,1.66,1.75,13000
2024-04-26,1.66,1.7,1.53,1.6,191500
