date,open,high,low,close,volume
2023-01-11,19.41,19.5,19.41,19.5,3000
2023-01-12,18.18,18.18,18.18,18.18,500
2023-01-13,17.04,17.04,16.82,16.82,15000
2023-01-17,16.25,16.25,16.25,16.25,500
2023-01-18,15.26,15.26,15.04,15.04,21000
2023-01-20,14.01,14.01,13.92,13.92,14500
2023-01-26,13.88,13.88,13.88,13.88,500
2023-02-02,13.9,14.92,13.9,14.89,8000
2023-02-03,15,15.99,15,15.99,1000
2023-02-06,15,15.3,14.96,15.3,3000
2023-02-07,15.1,15.1,15.1,15.1,500
2023-02-08,15.4,15.4,15.4,15.4,500
2023-02-09,16.55,16.55,16.2,16.2,3000
2023-02-10,15.26,15.5,15.26,15.5,1000
2023-02-13,15.7,15.7,15.61,15.61,1500
2023-02-20,15.52,15.52,15.52,15.52,1000
2023-02-28,15.3,15.3,14.8,15,10000
2023-03-02,16.12,16.12,16.12,16.12,500
2023-04-17,15.5,15.5,15.5,15.5,1000
2023-04-26,15.5,16.66,15.5,16.66,4000
2023-05-03,16,16,15.5,15.5,2500
2023-05-04,16,16,16,16,1000
2023-05-08,16,16,16,16,5000
2023-05-09,17,17,17,17,500
2023-05-10,18,18,17,18,1000
2023-05-11,19.33,19.33,19.33,19.33,500
2023-05-12,20.76,20.76,19,19.59,2000
2023-06-05,21,21,21,21,500
2023-06-07,22,22,22,22,500
2023-07-25,23.65,23.65,23.65,23.65,1000
2023-07-26,21.88,21.88,21.88,21.88,1500
2023-07-27,20.24,20.24,20.24,20.24,2000
2023-08-01,19.5,19.5,19.5,19.5,500
2023-08-10,18,18,18,18,1000
2023-08-11,18,18,18,18,2000
2023-08-16,18,18,18,18,1000
2023-10-02,17.58,17.59,17.58,17.58,2500
2023-10-03,16.75,16.75,16.75,16.75,1000
2023-10-04,16.9,17,16.9,17,1500
2023-10-05,16.25,16.25,16,16.13,1000
2023-10-06,16,16.8,15.8,16.8,5000
2023-10-12,15.54,15.54,15.54,15.54,1000
2023-10-24,16.5,16.5,16.5,16.5,500
2023-10-25,17,17.4,17,17.4,1000
2023-10-26,18.4,18.5,18,18,2500
2023-10-27,17,17,17,17,1000
2023-10-31,15.73,15.99,15.73,15.99,2500
2023-11-06,15.01,15.5,15.01,15.5,1000
2023-11-07,14.56,16.62,14.56,16.62,1000
2023-11-10,17.75,17.75,17.75,17.75,500
2023-11-13,18.9,18.9,16.43,16.43,1500
2023-11-14,15.2,15.56,15.2,15.2,6000
2023-11-16,15,15,14.5,14.59,11500
2023-11-17,14.1,15.08,13.99,15.08,32000
2023-11-20,15.75,15.75,15,15.5,28000
2023-11-21,15.75,15.75,15.73,15.73,10500
2023-11-23,15.72,16.49,15.5,15.5,7000
2023-11-24,14.56,14.56,14.55,14.55,5000
2023-11-29,15.42,15.64,15.42,15.64,18500
2023-11-30,16.7,16.81,16,16.81,27500
2023-12-01,17.88,18.07,17.88,18.07,20500
2023-12-04,18.1,18.1,18.1,18.1,1000
2023-12-05,18,18,18,18,500
2023-12-06,19.35,19.35,19.35,19.35,1000
2023-12-07,17.9,17.9,17.9,17.9,500
2023-12-08,18.01,19.24,18.01,19.12,2500
2023-12-12,17.69,18.5,17.69,17.71,8000
2023-12-13,18,19.04,18,18,7500
2023-12-14,17.15,17.15,17.15,17.15,1000
2023-12-18,18,18,16.5,16.51,5500
2023-12-19,16.99,17.75,16.99,17.75,3500
2023-12-20,19,19.08,17.5,17.5,18000
2023-12-22,17.79,17.79,17.79,17.79,1000
2024-01-02,17.8,17.8,17.8,17.8,1000
2024-01-04,17.3,17.3,17.01,17.01,1500
2024-01-11,15.91,17.97,15.91,17.97,1500
2024-01-19,17,17,17,17,8000
2024-01-22,17.75,18.15,17.5,18.15,11000
2024-02-01,17,17,17,17,1000
2024-02-02,17.2,17.2,17.2,17.2,1000
2024-02-07,16.99,16.99,16.99,16.99,1000
2024-02-12,15.72,18.26,15.72,17.52,1500
2024-02-21,17,17,17,17,500
2024-02-22,17.49,17.49,17.49,17.49,500
2024-03-06,16.18,17.5,16.18,17.5,1000
2024-03-29,16.19,16.19,16.19,16.19,500
2024-04-03,17.4,17.4,17.35,17.35,1000
2024-04-15,16.06,17.12,16.06,17.12,1000
2024-04-16,17.5,18.4,17.5,18.4,12500
2024-04-17,19.5,19.5,19.5,19.5,500
2024-04-18,19.5,20.96,19.5,20.96,1000
2024-04-25,19.39,19.39,19.39,19.39,1500
2024-04-26,20.8,20.8,20.8,20.8,1000
2024-05-15,19.24,19.26,19.24,19.26,1500
2024-05-16,18.5,18.5,18.01,18.01,25500
2024-05-20,18,18,18,18,500
2024-05-27,19.44,19.44,19.44,18,203
2024-05-29,17.2,17.98,17.2,18,5
2024-05-31,16.56,19.4,16.56,18.95,1003
2024-06-05,18,18,18,18,500
2024-06-06,17.91,17.91,17.91,18,311
2024-06-07,16.67,16.67,16.67,18,1
2024-06-11,16.52,19.4,16.52,18,105
2024-06-24,17.5,17.5,17.5,18,2
2024-06-26,16.38,16.38,16.38,18,3
2024-06-27,17.96,17.96,17.96,18,1
2024-07-01,18.45,18.45,18.45,18,6
2024-07-03,17.74,19.47,17.5,18.02,6947
2024-07-04,17,18,17,18.02,105
2024-07-05,19,19.47,18.6,19,4510
2024-07-08,17.6,18.5,17.6,19,9
2024-07-09,17.2,19.8,17.2,19,1520
2024-07-10,18.01,19.8,18.01,18.03,2011
2024-07-11,17.9,18.5,17.26,18.5,10754
2024-07-12,18,18,16.74,18.5,9
2024-07-15,18,18,18,18.5,1
2024-07-18,18,18,18,18,3000
2024-07-22,17.5,17.5,16.2,18,10027
2024-07-23,17.02,19.8,17,19.8,5003
2024-07-24,18.99,19,17.82,18,13563
2024-07-25,17,17.61,16.2,18,305
2024-07-29,17.5,17.5,17.5,18,160
2024-07-30,18,18.49,18,18,200
2024-08-02,19.19,19.19,19.19,18,1
2024-08-07,17.1,17.25,16.25,16.25,3000
2024-08-08,17.88,17.88,15.5,17.7,28558
2024-08-09,17.7,17.89,17.12,17.89,1001
2024-08-12,16.88,17.9,16.88,17.03,1645
2024-08-13,16.97,17.49,16.97,17.03,41
2024-08-15,18.5,18.5,15.5,17,8609
2024-08-16,16.37,18.68,15.41,17,312
2024-08-19,16.39,17,15.35,16,1398
2024-08-20,15.51,16.8,14.8,14.87,11614
2024-08-21,13.61,16.36,13.61,16.28,5487
2024-08-22,15.76,15.76,15.75,16.28,301
2024-09-04,17.9,17.9,15.03,15.69,501
2024-09-05,16.96,16.96,14.15,15.97,3506
2024-09-06,17,17.57,15.25,16.68,2115
2024-09-09,15.01,16.74,15.01,16.68,289
2024-09-10,16.96,17,15.2,15.96,1190
2024-09-11,14.36,17,14.36,15.96,23
2024-09-12,14.55,15.7,14.55,15.96,1931
2024-09-13,14.44,16.99,14.44,15.96,10
2024-09-16,17.1,17.1,15,15.96,188
2024-09-18,15.96,15.96,15.96,15.96,100
2024-09-19,16.99,16.99,15.96,15.96,2
2024-09-20,0,0,0,15.96,3
2024-09-23,17.1,17.56,15.21,17.56,30304
2024-09-24,17.55,19.32,16.01,19.32,35920
2024-09-25,20.99,21.25,18,21.25,42602
2024-09-26,22.9,22.95,19.13,19.13,100468
2024-09-27,19.8,19.8,19.8,19.13,1
2024-09-30,19.13,19.13,17.6,19.13,107
2024-10-01,18.99,19.99,17.7,19.49,1607
2024-10-02,17.61,19.25,17.61,18,1384
2024-10-03,19,19,16.23,18.6,6405
2024-10-04,18,19,18,18.6,109
2024-10-07,18.9,18.9,16.74,18.6,120
2024-10-08,17.02,18.9,16.8,18.36,4406
2024-10-09,18.4,18.4,18.07,18.36,27
2024-10-11,16.56,18,16.56,17.79,1624
2024-10-14,16.24,17.5,16.24,17.79,102
2024-10-15,16.06,17.49,16.05,17,9101
2024-10-16,17.05,17.1,17.05,17.07,751
2024-10-17,16.01,17,16.01,17.07,178
2024-10-18,17.1,17.1,17.1,17.1,500
2024-10-22,17.5,17.95,15.5,15.63,2690
2024-10-23,16.1,17.19,16.1,17.19,17672
2024-10-24,17,18.49,16.7,17.09,18597
2024-10-25,17.5,18,17,17.1,23459
2024-10-28,17,17.25,17,17.2,10031
2024-10-29,17.1,17.9,16.7,16.91,14268
2024-10-30,18.2,18.5,18.2,18.28,500
2024-10-31,18.1,20.05,18.1,18.16,5102
2024-11-04,17.51,18.25,17.49,18.16,335
2024-11-05,18,18,17,17,3688
2024-11-06,17,17.1,17,17,2204
2024-11-07,16.26,18.7,16.26,17.04,613
2024-11-08,17.1,18.73,17.04,18.01,556
2024-11-11,16.24,17.85,16.21,16.21,96928
2024-11-12,16.03,16.75,15,15.8,24640
2024-11-13,15.8,16,15.2,16,12200
2024-11-14,16,17,15.81,16.49,41098
2024-11-15,16.1,18.14,16.1,17.57,26368
2024-11-18,17,17,17,17.57,701
2024-11-19,17.3,17.3,17.11,17.13,500
2024-11-20,17.25,17.5,17,17.3,3035
2024-11-21,16.33,17.97,16,17,15005
2024-11-25,15.95,16.5,15.65,15.78,6390
2024-11-28,15.8,15.8,15.8,15.78,15
2024-11-29,16.6,16.99,16,16.52,5600
2024-12-02,16.5,16.95,16,16.66,3615
2024-12-03,16.99,17,16,16.03,53913
2024-12-04,16.9,17.3,16.15,17.07,6237
2024-12-05,17,17.5,17,17,26616
2024-12-06,17,17,17,17,5500
