date,open,high,low,close,volume
2024-06-05,67.48,67.48,67.48,67.48,23704
2024-06-06,72.88,72.88,72.88,72.88,2703
2024-06-07,67.05,78.67,67.05,67.08,427
2024-06-10,63.0,63.0,63.0,67.08,170
2024-06-11,63.0,63.0,63.0,67.08,250
2024-06-12,72.0,72.78,72.0,72.78,846
2024-06-13,78.97,78.97,78.97,76.03,201
2024-06-14,81.73,81.73,81.73,81.73,500
2024-06-20,76.0,88.68,76.0,81.73,5
2024-06-28,89.0,89.0,89.0,89.0,500
2024-07-01,90.0,90.0,83.01,88.28,550
2024-07-08,88.28,88.28,88.28,88.28,500
2024-07-11,81.0,89.0,79.89,79.93,1702
2024-07-12,79.8,79.8,72.35,72.35,1000
2024-07-18,79.0,79.0,79.0,72.35,1
2024-07-22,70.0,79.0,65.28,72.35,220
2024-07-26,72.0,72.0,72.0,72.35,5
2024-07-29,72.0,72.0,72.0,72.35,20
2024-08-05,66.0,79.59,66.0,79.59,11000
2024-08-06,87.0,87.55,87.0,87.32,474
2024-08-07,96.0,96.05,96.0,96.05,9775
2024-08-08,105.0,105.65,104.99,104.99,502
2024-08-09,112.5,112.5,112.5,112.5,231
2024-08-12,101.25,115.0,101.25,113.05,236
2024-08-13,101.75,101.75,101.75,113.05,189
2024-08-16,124.3,124.3,123.23,113.05,106
2024-08-19,101.75,108.76,101.75,108.76,3030
2024-08-21,105.0,105.0,97.88,104.99,4239
2024-08-22,94.5,94.52,94.5,104.99,250
2024-08-23,94.5,94.5,94.5,104.99,50
2024-08-26,94.49,94.49,94.49,98.33,180
2024-08-27,88.6,89.0,88.5,88.91,1387
2024-08-28,80.11,80.11,80.02,80.02,654
2024-08-29,74.1,86.86,74.1,77.78,1125
2024-08-30,79.99,85.56,75.0,85.56,3569
2024-09-02,94.0,94.12,80.01,94.02,956
2024-09-03,94.0,100.0,86.25,98.01,318
2024-09-10,88.21,88.22,88.21,88.21,1175
2024-09-13,96.9,97.03,96.9,97.02,425
2024-09-16,87.56,100.0,87.55,91.27,349
2024-09-19,99.9,100.4,86.0,93.18,799
2024-09-20,102.44,102.5,102.0,102.41,339
2024-09-23,112.4,112.65,112.0,112.15,904
2024-09-24,101.85,101.85,100.94,112.15,101
2024-09-25,112.0,112.0,112.0,112.0,3888
2024-09-26,119.15,119.15,119.15,112.0,10
2024-09-30,100.8,100.8,100.8,112.0,1
2024-10-01,100.8,100.8,100.8,112.0,11
2024-10-02,101.0,101.0,100.9,112.0,204
2024-10-15,111.0,111.0,111.0,112.0,30
2024-10-16,100.8,109.0,100.8,112.0,98
2024-10-17,109.0,109.0,109.0,112.0,64
2024-10-25,100.8,100.8,100.8,112.0,100
2024-11-05,100.77,100.79,100.77,111.97,55
2024-11-11,121.8,121.8,100.77,111.97,110
2024-11-13,101.0,101.0,100.77,111.97,23
2024-11-19,105.0,105.0,105.0,111.97,6
2024-12-05,100.77,100.77,100.77,100.77,1111
