date,open,high,low,close,volume
2023-07-25,6.56,6.56,6.56,6.56,500
2023-07-27,7,7.5,7,7.25,21000
2023-07-31,7.5,7.5,7.5,7.5,5000
2023-08-01,8,8,8,8,1500
2023-08-02,9,9,9,9,500
2023-08-03,9,9.94,9,9.94,1000
2023-08-07,10.2,10.2,10.2,10.2,500
2023-08-09,10.77,10.77,10.77,10.77,500
2023-09-07,10,10,10,10,500
2023-09-08,10,10,10,10,500
2023-09-19,10.88,11,10.88,10.96,1500
2023-09-20,11.94,11.94,11.94,11.94,500
2023-09-22,13.4,13.4,13.4,13.4,500
2023-09-25,14.41,14.41,14.41,14.41,10000
2023-09-27,15,15,15,15,5000
2023-09-28,16,16,16,16,5000
2023-10-03,17.2,17.2,17.2,17.2,10000
2023-10-04,18.49,18.49,18.48,18.49,10500
2023-10-05,18.1,19.6,18.1,18.51,3000
2023-10-09,19.55,19.9,19.55,19.9,3500
2023-10-10,21.34,21.39,21.34,21.39,1000
2023-10-13,22.8,22.99,22.8,22.96,3500
2023-10-17,23,23.3,23,23.15,1000
2023-10-18,24.89,24.89,24.89,24.89,500
2023-10-19,22.46,22.46,19.32,19.36,2000
2023-10-26,17.92,17.92,17.92,17.92,500
2023-11-01,16.58,16.58,16.58,16.58,500
2023-11-06,15.35,15.35,15.35,15.35,500
2023-11-17,13.88,13.88,13.88,13.88,500
2023-11-21,14,14,14,14,1000
2023-12-07,15,15.05,15,15.05,1000
2023-12-11,13.88,13.88,13.88,13.88,1000
2023-12-12,12.85,14.4,12.84,14.4,5500
2023-12-13,13.4,13.4,13.4,13.4,500
2023-12-14,12.5,12.5,12.5,12.5,500
2023-12-18,11.55,11.55,11.55,11.55,1000
2023-12-21,10.56,10.56,10.56,10.56,1000
2023-12-28,11.3,11.3,11.3,11.3,1000
2023-12-29,12.3,12.3,12.3,12.3,2000
2024-01-02,11.5,11.5,11.3,11.3,2000
2024-01-03,12.3,12.3,10.45,11.9,10500
