date,open,high,low,close,volume
2023-05-10,125.75,125.75,125.75,125.75,200
2023-05-12,118.01,135.18,118.01,135.18,1200
2023-05-15,144,145.32,144,144.44,1000
2023-05-16,154.9,155.25,143.1,143.1,700
2023-05-17,137.11,137.11,137.11,137.11,200
2023-05-19,147.39,147.39,147.39,137.5,100
2023-05-22,147.81,147.81,147.49,147.65,300
2023-05-25,148.1,149,148.1,148.91,1000
2023-05-26,148.91,160,148.91,160,600
2023-05-29,160,170,160,170,2800
2023-05-31,170,170,170,170,200
2023-06-01,170,170,157.25,163.63,700
2023-06-02,170,170,170,163.63,100
2023-06-05,175,175,175,175,100
2023-06-07,175.9,175.9,175.5,175.7,400
2023-06-08,176,180,176,179,1300
2023-06-15,166,166,166,166,1200
2023-06-16,153.55,153.55,153.55,166,100
2023-07-03,166,166,154,164.9,500
2023-07-05,154,154,153,153.5,400
2023-07-07,144.2,148.3,143.05,145.68,500
2023-07-10,140.12,148,139,143.5,600
2023-07-12,137.02,140,137.02,138.51,200
2023-07-13,136,137,132.2,135.65,800
2023-07-14,135,135,135,135.65,100
2023-07-21,139.99,140,139.99,140,300
2023-07-24,144,144.98,138,138.01,700
2023-07-25,136.01,137.5,134.03,134.03,700
2023-07-26,136,139.99,136,137.33,400
2023-07-31,130.51,130.85,130.5,130.5,1400
2023-08-01,135,140.29,135,140.29,1400
2023-08-02,135.6,135.6,135.6,140.29,100
2023-08-03,140,140,138,138,300
2023-08-08,132.47,135.99,132.47,134.23,200
2023-08-09,134,137,134,137,1200
2023-08-10,137,137,134,135,5500
2023-08-11,131.5,132,131.5,131.75,200
2023-08-15,134,135,134,134.5,800
2023-08-18,130.02,130.1,130.02,130.06,200
2023-08-21,131,131,131,131,300
2023-08-22,134,135.1,134,135.1,400
2023-08-24,137.1,137.1,134.99,135,5800
2023-08-25,139,139,138.99,139,200
2023-08-29,130.1,130.55,130,130,900
2023-09-08,130,130,130,130,100
2023-09-14,130,130,130,130,100
2023-09-22,135,135.65,135,135.33,300
2023-10-03,130,135.45,130,135,2500
2023-10-04,130,130,130,135,100
2023-10-09,125.02,125.02,125.01,125.02,200
2023-10-10,126.25,130,126.25,130,800
2023-10-12,125,125,120.5,122.36,2100
2023-10-13,123,129.5,123,126.25,200
2023-10-16,122,122,120.1,121.42,500
2023-10-17,122,130.53,122,130,700
2023-10-19,122.1,122.1,122.1,130,100
2023-10-23,130,134,130,131.33,800
2023-10-25,134,134,134,131.33,100
2023-10-26,141.11,141.18,141.11,141.18,3700
2023-10-27,141.16,151.77,132,151.77,4000
2023-10-30,142,152,142,147,200
2023-10-31,153,153,148,150.5,400
2023-11-01,150,150,150,150,200
2023-11-02,145,145,145,145,200
2023-11-03,150,155.88,147.5,151.69,900
2023-11-06,140.5,163.07,140.5,163.07,3200
2023-11-07,152.01,152.01,152.01,163.07,100
2023-11-08,151.01,175.3,151.01,175.28,4900
2023-11-10,176,176,165,168,1400
2023-11-14,168,168,168,168,100
2023-11-16,165,165,165,168,500
2023-11-17,165,165,164,164.5,300
2023-11-20,156.5,172,156.5,164.25,200
2023-11-21,155.65,164,155,163.5,2500
2023-11-22,163,163,163,163.5,100
2023-11-23,167.74,170,165,166,900
2023-11-27,170,170,170,166,100
2023-11-28,165,165,165,165,1500
2023-11-29,159,177.38,159,177.36,20500
2023-11-30,190.6,190.6,185,187.5,700
2023-12-01,173.44,199.5,173.44,198.6,2200
2023-12-04,209,209,186,193.23,6200
2023-12-05,181,182.1,179.25,179.5,1500
2023-12-06,173.5,180.5,173.5,177.8,1200
2023-12-07,164.47,167.1,164.47,165.79,300
2023-12-08,160.01,165.02,160.01,165.02,400
2023-12-13,158.01,160,158.01,160,300
2023-12-14,154.5,160.4,154.5,157.45,200
2023-12-15,160.52,160.52,160.52,157.45,100
2023-12-18,155.2,158,155.2,156.6,300
2023-12-22,157.45,157.45,144.86,151.16,300
2023-12-26,150,150,140.02,146.67,300
2023-12-27,149.99,149.99,149.99,146.67,300
2023-12-28,156,157.67,156,157.67,1700
2023-12-29,150.05,150.05,150.05,157.67,100
2024-01-01,153,160,153,158.93,300
2024-01-03,150,156,148.06,151.35,300
2024-01-15,150.25,151,150.25,150.63,200
2024-01-18,150,155,150,154.75,700
2024-01-19,150.5,150.5,150,150.33,300
2024-01-22,150,150,150,150,400
2024-01-24,154,154,154,154,1000
2024-01-26,145.02,145.02,142.45,144.16,300
2024-01-29,145,151.99,145,151.99,5300
2024-02-07,154,154,154,150,600
2024-02-09,140.52,140.52,140.52,140.52,500
2024-02-12,132.2,132.2,132.2,140.52,100
2024-02-13,140.52,150.49,140.52,150.49,400
2024-02-20,149.99,150,149.99,150,400
2024-02-22,153.97,153.97,148.05,150.05,400
2024-03-01,154,154,150,150,600
2024-03-06,140.02,140.02,140.02,150,100
2024-03-11,145.01,145.01,145,145.01,200
2024-03-12,145.01,145.01,145,145.01,200
2024-03-13,145.01,145.01,145.01,145.01,100
2024-03-15,145.01,145.01,145,145.01,900
2024-03-19,154.85,155.5,154.85,155.2,1000
2024-03-27,144,144,144,144,500
2024-04-01,150,150,150,150,500
2024-04-08,145.01,145.01,141,141,1000
2024-04-18,149.99,151.54,145,149.36,400
2024-04-19,154,154,154,149.36,500
2024-04-23,150,150,150,150,600
2024-04-26,159.5,159.5,159.49,150,52
2024-04-29,142,150.1,142,150.01,1152
2024-04-30,149.9,149.9,139,140.01,10651
2024-05-02,148.99,148.99,148.99,140.01,1
2024-05-03,145,148.5,140,140.01,232
2024-05-06,147.99,147.99,147.99,140.01,1
2024-05-07,139,147.5,139,147.5,298
2024-05-08,141,141,138,138.91,399
2024-05-09,145,145,144,138.91,4
2024-05-10,140,140,140,138.91,520
