date,open,high,low,close,volume
2023-12-11,221.01,226.0,219.1,219.1,900
2023-12-12,222.0,225.0,222.0,222.0,1900
2023-12-13,222.3,222.3,219.0,219.0,4700
2023-12-14,220.0,235.0,220.0,220.0,5200
2023-12-15,220.0,220.0,220.0,220.0,200
2023-12-18,216.01,216.01,215.0,215.51,800
2023-12-19,215.0,215.0,205.0,205.0,2000
2023-12-20,213.0,219.0,192.11,200.58,6100
2023-12-21,203.6,203.6,201.0,203.0,500
2023-12-22,209.5,209.5,202.01,203.0,3200
2023-12-27,204.9,204.95,204.9,204.93,600
2023-12-28,209.99,214.0,206.11,208.06,2400
2023-12-29,209.0,209.0,209.0,208.06,100
2024-01-01,208.0,214.99,207.25,213.2,4900
2024-01-02,206.01,215.89,202.0,209.0,800
2024-01-03,205.11,213.0,205.11,209.06,30200
2024-01-05,214.9,220.0,210.01,211.67,8300
2024-01-08,207.05,213.98,207.05,211.05,2400
2024-01-09,208.0,214.98,208.0,211.0,1700
2024-01-10,213.0,213.0,208.5,211.5,1800
2024-01-11,210.0,210.0,206.01,208.01,1200
2024-01-12,215.9,215.9,205.11,205.11,700
2024-01-16,200.0,204.0,200.0,204.0,2200
2024-01-17,200.01,208.9,200.0,206.0,2700
2024-01-19,213.0,213.0,202.56,204.28,1800
2024-01-24,205.0,205.0,200.0,204.0,2200
2024-01-25,205.0,205.0,204.9,204.97,300
2024-01-26,198.25,198.9,189.9,190.61,5900
2024-01-29,190.95,195.0,187.0,190.0,1400
2024-01-30,190.0,190.0,186.0,186.0,700
2024-01-31,180.01,189.97,180.01,189.97,500
2024-02-01,181.0,190.0,180.0,189.0,2600
2024-02-02,190.0,190.0,190.0,189.0,100
2024-02-07,193.0,193.0,193.0,189.0,100
2024-02-14,199.89,199.9,199.89,199.9,200
2024-02-15,199.99,199.99,199.99,199.99,200
2024-02-19,198.99,198.99,185.0,194.4,1100
2024-02-20,194.89,194.89,194.89,194.4,100
2024-02-21,194.5,194.5,190.0,190.0,800
2024-02-22,189.76,191.89,186.0,186.98,1300
2024-02-23,188.05,188.05,187.0,187.0,1200
2024-02-26,190.0,193.89,185.26,189.58,400
2024-02-27,185.06,185.06,185.05,185.06,300
2024-02-28,185.01,185.01,185.0,185.01,200
2024-02-29,188.0,188.0,188.0,185.01,100
2024-03-01,185.0,192.99,185.0,189.0,200
2024-03-04,178.0,189.96,178.0,186.74,500
2024-03-05,186.0,186.0,186.0,186.0,600
2024-03-07,186.0,186.0,186.0,186.0,400
2024-03-08,197.0,197.0,197.0,197.0,500
2024-03-13,185.0,185.0,185.0,185.0,200
2024-03-14,193.88,193.88,180.0,184.78,1400
2024-03-15,185.0,185.0,185.0,185.0,1000
2024-03-18,185.0,185.0,185.0,185.0,100
2024-03-19,185.0,185.0,185.0,185.0,100
2024-03-20,182.22,182.22,171.13,172.6,6100
2024-03-21,181.74,181.74,173.0,174.94,1500
2024-03-22,173.0,176.0,171.05,174.39,5800
2024-03-25,174.0,174.0,172.0,173.0,200
2024-03-27,172.05,172.05,172.05,172.05,200
2024-03-29,172.25,175.0,172.2,173.33,600
2024-04-01,178.99,178.99,178.0,178.5,200
2024-04-04,176.0,180.0,176.0,178.7,2500
2024-04-08,178.7,180.98,178.7,180.22,2000
2024-04-09,179.0,185.0,179.0,185.0,1700
