date,open,high,low,close,volume
2024-01-17,65.5,66.99,64.5,65.11,418898
2024-01-18,65.89,66.84,61.51,63.82,1332951
2024-01-19,64.9,68.61,64.21,68.61,1143253
2024-01-22,69.97,73.76,69.26,73.76,1493990
2024-01-23,75.6,76,71.3,72.02,1492819
2024-01-24,72,75.89,71.5,72.26,932722
2024-01-25,72.1,73.4,68.5,69.25,383628
2024-01-26,69.25,70.59,67.21,67.52,308384
2024-01-29,68.5,69.1,65.8,66.09,302994
2024-01-30,66.6,67.41,63,63.35,337791
2024-01-31,63.5,65,62.52,63.59,346739
2024-02-01,64,64.25,62.1,62.52,167661
2024-02-02,62.25,64.87,62.25,63.9,145077
2024-02-06,65.9,66.65,63.05,65.43,283781
2024-02-07,65.98,70.34,65.35,70.34,948791
2024-02-09,67.35,68.25,65.2,66.86,763853
2024-02-12,67.01,67.75,62.26,62.87,430836
2024-02-13,62.51,67.3,59.15,64.09,696342
2024-02-14,66.4,68.5,65.65,66.92,505482
2024-02-15,67,67,63.6,64.06,441287
2024-02-16,64.89,64.89,60.3,61.06,220484
2024-02-19,60,65.37,58.52,64.33,452364
2024-02-20,65,66.7,63.51,63.93,356773
2024-02-21,65.25,68.72,64.79,68.44,561768
2024-02-22,69.1,72.6,68.11,70.68,1387744
2024-02-23,70.11,71,68.1,69.32,430742
2024-02-26,69.32,73.99,69.32,71.15,1377925
2024-02-27,71.15,72,68.63,68.98,495884
2024-02-28,68.8,71.6,68.51,70.05,516741
2024-02-29,70.8,71.3,66.8,67.07,638960
2024-03-01,67.69,72.1,66.66,72.1,1396261
2024-03-04,73.5,74.84,70.51,71.48,1392559
2024-03-05,72.01,75.45,71.02,73.38,1965838
2024-03-06,73.5,76.88,73.1,74.15,2174655
2024-03-07,74.16,74.4,71.32,73.23,805468
2024-03-08,73.9,78.72,73.25,78.72,1664972
2024-03-11,80,84.62,80,84.62,686257
2024-03-12,87,88.4,78.3,78.98,2169099
2024-03-13,77.55,81.6,73.08,73.94,1392916
2024-03-14,75.96,79.49,75.6,79.49,1020610
2024-03-15,82.5,85.45,82.11,85.45,753559
2024-03-18,88,91.86,83,89.66,2573665
2024-03-19,90.05,96.38,89.6,92.23,4960748
2024-03-20,94.01,95.99,90.97,92.26,2008071
2024-03-21,92.5,93.5,86,87.83,1405484
2024-03-22,88.3,90.5,85.5,87.28,812852
2024-03-25,87.2,89.5,86.7,87.04,485529
2024-03-26,92.47,93.57,88.99,91.71,4464857
2024-03-27,92.05,94.5,90.05,90.48,1479285
2024-03-28,91,93.3,90.06,92.43,1108291
2024-03-29,92.31,92.68,90.11,91.67,622123
2024-04-01,91.5,94.25,90.55,92.58,1094891
2024-04-02,92.98,99.52,92.4,99.52,2131057
2024-04-03,103.5,106.98,102,104.81,3511605
2024-04-04,105.6,112.67,102.9,112.67,2495737
2024-04-08,116.54,119.45,113.61,115.85,3006585
2024-04-09,117.44,118,107.16,107.68,2833090
2024-04-15,102.78,115.76,102.78,115.76,5044712
2024-04-16,117.64,118.5,111,111.65,3243032
2024-04-17,110,116.09,110,112.87,2344512
2024-04-18,113.52,115.4,111.81,112.62,2206944
