date,open,high,low,close,volume
2023-11-02,15.85,16.5,15.75,15.75,32000
2023-11-03,15.75,15.75,14.57,14.66,10000
2023-11-06,13.8,14.2,13.56,13.58,81000
2023-11-07,13.77,13.8,13.7,13.7,19000
2023-11-10,14.26,14.26,14.26,14.26,1500
2023-11-13,13.3,14.25,13.26,14.25,2000
2023-11-14,13.26,15.05,13.18,15.01,312500
2023-11-15,14.06,15.5,14.02,15.5,3000
2023-11-16,14.52,15,14.52,15,9500
2023-11-17,14.55,15.45,14.55,14.68,5000
2023-11-20,14.25,14.6,14,14.6,2500
2023-11-22,14.6,14.6,14,14.08,9000
2023-11-23,13.75,13.75,13.75,13.75,500
2023-11-24,13.15,13.35,13.15,13.35,3500
2023-11-27,12.9,13.1,12.9,13.02,3000
2023-11-28,13.7,13.7,13,13,26500
2023-11-29,13.32,13.39,12.7,13.39,1500
2023-11-30,12.9,12.9,12.9,12.9,500
2023-12-01,13.5,13.5,13.5,13.5,500
2023-12-04,12.67,14.15,12.6,13.95,14500
2023-12-05,13.25,14.89,13.25,14.18,13500
2023-12-06,14.45,14.79,14.11,14.11,13000
2023-12-07,13.8,15.16,13.8,15,316500
2023-12-08,14.27,15.5,14.27,14.76,17000
2023-12-11,14.11,14.5,14,14.5,67000
2023-12-12,14.7,14.7,14.7,14.7,100000
2023-12-13,13.93,14.9,13.92,14.9,53000
2023-12-14,14.1,14.35,13.9,14.24,27500
2023-12-15,13.85,14.45,13.75,14.01,96500
2023-12-18,13.02,13.4,12.96,13.36,14500
2023-12-19,12.8,12.8,12.55,12.6,2500
2023-12-22,11.61,12.98,11.61,12.98,1000
2023-12-28,12.92,12.95,12.92,12.95,2000
2024-01-02,12.04,12.5,12.04,12.26,2000
2024-01-03,12.9,12.9,12.9,12.9,500
2024-01-05,12,13.65,12,13.58,3000
2024-01-08,13.95,13.95,12.56,12.99,5000
2024-01-09,12,13,12,12.45,18500
2024-01-10,11.6,12.4,11.6,12.4,2000
2024-01-11,12.95,12.95,11.75,11.75,3500
2024-01-12,12.48,12.48,11.22,11.8,8500
2024-01-18,11.31,12.8,11.31,12.04,637000
2024-01-19,13.04,13.04,12.3,13,11500
2024-01-22,13,14,13,14,17500
2024-01-23,14.99,15.05,14.26,14.36,37500
2024-01-24,14.8,14.8,14.75,14.75,1000
2024-01-26,13.64,13.99,13.64,13.99,3000
2024-01-29,12.94,13,12.94,13,4000
2024-01-30,12.01,12.02,12,12,13500
2024-01-31,11.99,12.87,11,11,24500
2024-02-01,10.32,10.95,10.32,10.95,1000
2024-02-02,10.09,10.09,10.06,10.06,3500
2024-02-06,10.06,10.1,10.06,10.08,1500
2024-02-07,9.53,10.89,9.5,10.88,22500
2024-02-12,11.79,11.79,10.75,11.15,28000
2024-02-13,10.18,11.24,10.18,11.24,1000
2024-02-15,11.25,11.25,10.51,10.51,1000
2024-02-16,11.4,11.4,11.4,11.4,500
2024-02-19,11.39,11.39,11.39,11.39,1000
2024-02-22,11.85,11.85,11.85,11.85,500
2024-02-23,12.6,12.6,12.6,12.6,500
2024-02-26,12.85,12.85,11.6,11.6,6000
2024-02-28,11.99,12.6,11.99,12.6,68500
2024-02-29,13.55,13.59,12.7,13,11000
2024-03-01,12.1,13.65,12.1,13.5,18000
2024-03-04,12.5,13.4,12.5,12.9,37000
2024-03-05,13.7,13.7,12.01,12.59,2500
2024-03-06,12.9,13,12.05,12.53,2500
2024-03-07,12.9,12.9,12.9,12.9,500
2024-03-08,13,13.4,13,13.39,20000
2024-03-12,12.4,12.4,12.4,12.4,1000
2024-03-13,11.55,12.9,11.55,12.23,1000
2024-03-14,12.8,12.85,11.8,12.85,1500
2024-03-15,13,13,12,12,45500
2024-03-22,11.01,11.3,11,11.01,15500
2024-03-26,10.16,10.3,10.01,10.07,15000
2024-03-27,10.2,10.2,10.2,10.2,500
2024-04-16,10.6,10.6,10.4,10.4,1500
2024-04-18,10.34,10.39,10.3,10.3,2000
2024-04-19,9.61,10.4,9.61,10.4,2000
2024-04-23,10.14,10.14,9.9,9.9,1500
2024-04-24,9.16,9.16,9.15,9.15,1500
2024-04-25,10.15,10.15,9.6,10.05,2000
2024-04-30,9.31,9.6,9.2,9.6,3500
2024-05-07,9.17,9.17,9.17,9.17,1000
2024-05-08,9.98,9.98,9.9,9.9,2000
2024-05-09,10.09,10.5,10.09,10.5,12000
2024-05-10,10.5,10.75,10,10.69,9000
2024-05-13,11,11.69,11,11.69,22000
2024-05-14,11,11,11,11,2500
2024-05-20,10.98,10.98,10,10,8500
2024-05-21,10.01,10.2,9.93,9.99,5500
2024-05-23,10,10,10,10,1000
2024-05-24,9.56,9.56,9.56,9.56,500
