date,open,high,low,close,volume
2024-01-17,21.28,21.75,20.8,21.09,524878
2024-01-18,21.1,21.1,20.3,20.81,725802
2024-01-19,21.35,21.35,20.42,20.81,575414
2024-01-22,20.75,21.1,20.61,20.93,365117
2024-01-23,21,21.49,20.83,21.37,673170
2024-01-24,21.48,22.5,21.48,21.96,1403719
2024-01-25,21.98,22.45,21.6,21.8,940123
2024-01-26,21.51,21.89,21.06,21.18,516769
2024-01-29,21.49,21.49,20.9,21.03,348085
2024-01-30,20.82,21.15,20.51,20.68,544575
2024-01-31,20.61,20.95,20.51,20.62,138276
2024-02-01,20.75,20.9,20.41,20.64,167509
2024-02-02,20.7,20.79,20.45,20.61,633221
2024-02-06,20.8,21.4,20.7,21.22,569152
2024-02-07,21.44,21.5,21.15,21.38,600496
2024-02-09,20.99,20.99,19.78,20.65,523131
2024-02-12,20.32,20.75,19.8,20.3,755705
2024-02-13,20.01,20.4,19.32,19.84,433958
2024-02-14,19.82,20.6,19.82,20.24,391956
2024-02-15,20.44,20.44,19.9,19.95,169877
2024-02-16,19.75,19.95,19.19,19.27,424258
2024-02-19,19.2,19.45,19,19.27,360356
2024-02-20,19.3,19.89,19,19.03,513321
2024-02-21,19.47,19.85,19.25,19.73,620748
2024-02-22,19.95,19.99,19.7,19.73,309239
2024-02-23,19.53,20.65,19.53,20.32,968923
2024-02-26,20.64,20.84,20.5,20.67,286407
2024-02-27,20.65,20.65,19.85,19.95,465341
2024-02-28,19.81,19.99,19.73,19.85,423267
2024-02-29,19.85,20.19,19.82,19.9,299015
2024-03-01,19.85,20.1,19.8,19.86,183228
2024-03-04,20,20.2,19.8,20.09,149638
2024-03-05,20.11,20.26,19.96,20.08,184418
2024-03-06,20,20.45,20,20.17,499632
2024-03-07,20.05,20.39,19.91,20.04,188670
2024-03-08,20.02,20.4,19.9,20.15,412522
2024-03-11,20.15,20.56,20.15,20.4,564513
2024-03-12,20.5,20.5,19.75,19.89,171970
2024-03-13,20.01,20.2,19.69,19.73,148084
2024-03-14,19.75,20.1,19.75,19.99,258316
2024-03-15,20.1,20.1,19.5,19.65,206418
2024-03-18,19.75,19.88,19.62,19.69,122368
2024-03-19,19.55,19.83,19.49,19.51,239159
2024-03-20,19.89,19.89,19.56,19.6,146148
2024-03-21,19.51,19.99,19.25,19.31,20905550
2024-03-22,19.65,20.05,19.4,19.7,3825858
2024-03-25,19.88,19.9,19.4,19.67,1105452
2024-03-26,19.8,19.9,19.62,19.71,710972
2024-03-27,19.9,20.3,19.75,19.89,1533201
2024-03-28,19.9,20.32,19.9,19.97,1279044
2024-03-29,20,20.1,19.75,19.81,386620
2024-04-01,19.9,20,19.8,19.87,287399
2024-04-02,19.87,19.99,19.52,19.65,247237
2024-04-03,19.8,19.9,19.58,19.64,382076
2024-04-04,19.91,20.25,19.82,19.93,1704208
2024-04-08,19.99,20.24,19.96,20.06,515017
2024-04-09,20.12,20.3,19.92,20,549367
2024-04-15,19.9,20.51,19.72,20.28,2571161
2024-04-16,20.35,20.6,20.14,20.21,1377187
2024-04-17,20.25,21.1,20.15,20.51,3625193
2024-04-18,20.65,20.85,20.22,20.36,981717
2024-04-19,20.6,20.6,20,20.15,700637
2024-04-22,20.27,20.66,20.11,20.38,1564080
2024-04-23,20.5,20.88,20.25,20.46,3722160
2024-04-24,20.5,21.99,20.5,21.99,9367283
2024-04-25,22.48,22.9,21.56,21.73,4431926
2024-04-26,21.8,21.89,21.11,21.27,1654943
2024-04-29,21.45,22.1,21.12,21.34,2227366
2024-04-30,21.1,21.38,20.5,20.56,1515921
2024-05-02,20.64,20.85,19.99,20.14,1626272
2024-05-03,20.3,20.84,20.1,20.72,832302
2024-05-06,20.91,21.62,20.5,21.34,1879107
2024-05-07,21.55,21.6,21.03,21.05,976378
2024-05-08,21.02,21.2,20.75,20.82,681032
2024-05-09,20.99,21.38,20.72,21.16,556502
2024-05-10,21.3,22.73,21.06,22.44,5302701
2024-05-13,22.78,23.3,22.7,22.98,5412522
2024-05-14,22.91,23.27,22.11,22.42,1283197
2024-05-15,22.42,22.5,22,22.04,1493364
2024-05-16,22.2,22.2,21.82,22.13,654707
2024-05-17,22.05,22.25,21.9,22.12,561095
2024-05-20,22.12,22.49,21.94,22.01,767951
2024-05-21,22.07,22.48,22.01,22.09,731582
2024-05-22,22.29,22.32,21.8,21.98,918805
2024-05-23,22,22.07,21.63,21.75,914089
2024-05-24,21.89,22.6,21.83,22.15,1952822
2024-05-27,22.39,22.39,21.56,21.69,667942
2024-05-29,21.72,21.72,20.82,21.15,1017669
2024-05-30,21,21.6,21,21.25,969318
2024-05-31,21.24,21.74,21.05,21.24,761437
2024-06-03,21.75,22,21.3,21.85,504565
2024-06-04,21.65,22.7,21.65,22.11,1630486
2024-06-05,22.39,22.39,21.6,21.7,373800
2024-06-06,21.99,22.08,21.3,21.5,400272
2024-06-07,21.5,21.75,20.65,21.55,935307
2024-06-10,21.25,21.85,21.25,21.72,645070
2024-06-11,22.05,22.2,21.06,21.18,851842
2024-06-12,21.38,21.49,21,21.22,459257
2024-06-13,21,21,19.65,20.31,3124788
2024-06-14,20.43,20.98,20.2,20.35,957096
2024-06-20,20.37,21.2,20.37,20.78,1668391
2024-06-21,20.53,21,20.53,20.6,440117
2024-06-24,20.86,20.86,20.51,20.54,364690
2024-06-25,20.82,20.89,20.25,20.38,326793
2024-06-26,20.5,20.64,20.3,20.32,204092
2024-06-27,20.27,20.6,19.97,20.09,970853
2024-06-28,20.11,21.3,19.95,21.1,2964591
2024-07-01,20.82,20.9,20.3,20.41,319327
2024-07-02,20.41,20.69,20.17,20.31,499087
2024-07-03,20.41,20.42,20.2,20.3,480283
2024-07-04,20.49,20.73,20.32,20.42,666348
2024-07-05,20.62,20.62,20.2,20.32,370239
2024-07-08,20.59,20.65,20.25,20.61,223840
2024-07-09,20.55,21.06,20.55,20.84,828565
2024-07-10,20.81,20.85,20.46,20.52,265938
2024-07-11,20.65,20.75,20.4,20.47,581853
2024-07-12,20.61,20.7,20,20.37,547529
2024-07-15,20.6,20.6,20.25,20.39,514343
2024-07-18,20.49,20.9,20.3,20.61,515166
2024-07-19,20.76,20.81,20.2,20.26,490938
2024-07-22,20.16,20.24,19.65,19.74,1089414
2024-07-23,19.65,20.15,19.65,19.82,239047
2024-07-24,20,20.15,19.8,19.96,369108
2024-07-25,20.1,20.15,19.8,19.87,348935
2024-07-26,20,20,19.3,19.39,498858
2024-07-29,19.43,19.6,19,19.15,618940
2024-07-30,19.27,19.71,19.1,19.69,373354
2024-07-31,19.56,19.71,19.31,19.37,106494
2024-08-01,19.65,19.65,19,19.03,190987
2024-08-02,19.19,19.5,19.11,19.34,135540
2024-08-05,19.31,19.47,19.01,19.09,88398
2024-08-06,19.35,19.45,19.01,19.06,259971
2024-08-07,19.37,19.43,19.2,19.25,242383
2024-08-08,19.4,19.44,19.25,19.35,107793
2024-08-09,19.49,19.54,19.27,19.37,160468
2024-08-12,19.38,19.53,18.86,18.96,450105
2024-08-13,18.9,19.29,18.9,19.24,55604
2024-08-15,19.49,20.4,19.19,19.85,1002899
2024-08-16,20,20.25,19.5,19.51,244207
2024-08-19,19.45,19.75,18.91,19,542595
2024-08-20,19,19.2,18.97,19,113429
2024-08-21,19,19,18.49,18.59,1587710
2024-08-22,18.75,18.94,18.57,18.8,626491
2024-08-23,18.9,19.52,18.89,19.02,1228838
2024-08-26,19.24,19.25,18.6,18.69,319863
2024-08-27,18.69,18.95,18.65,18.7,133247
2024-08-28,18.98,18.98,18.69,18.71,171410
2024-08-29,18.71,18.98,18.55,18.64,430958
2024-08-30,18.84,18.89,18.64,18.68,353739
2024-09-02,18.81,18.89,18.5,18.53,216302
2024-09-03,18.69,18.8,18.51,18.75,93148
