date,open,high,low,close,volume
2024-01-15,12.22,12.22,11.93,12,166500
2024-01-16,11.9,11.9,11.7,11.84,153000
2024-01-17,11.6,11.95,11.56,11.61,693500
2024-01-18,11.44,11.5,11.1,11.32,433000
2024-01-19,11.5,11.65,11.2,11.24,290500
2024-01-22,11.1,11.27,11.1,11.15,38500
2024-01-23,11.06,11.45,11,11.37,256000
2024-01-24,11.1,11.55,11.1,11.22,292500
2024-01-25,11.29,11.35,10.84,10.93,310500
2024-01-26,11.09,11.16,10.8,10.95,478000
2024-01-29,11.1,11.1,10.5,10.56,187000
2024-01-30,10.5,10.74,9.95,9.99,522500
2024-01-31,10.15,10.18,9.82,9.85,489500
2024-02-01,9.83,10.05,9.73,10.01,143500
2024-02-02,9.9,10.2,9.9,10.11,150500
2024-02-06,10.13,10.64,10.11,10.39,766500
2024-02-07,10.5,10.5,10.27,10.37,241000
2024-02-09,10.11,10.25,9.83,10.05,156000
2024-02-12,10.24,10.3,9.68,9.78,173500
2024-02-13,9.52,9.85,9.21,9.62,571500
2024-02-14,9.95,10,9.6,9.68,280500
2024-02-15,10,10,9.4,9.49,555000
2024-02-16,9.51,9.51,9.1,9.3,114500
2024-02-19,9.1,9.2,8.82,9.01,810500
2024-02-20,9.25,9.48,9.1,9.18,189500
2024-02-21,9.4,9.5,9.25,9.45,193500
2024-02-22,9.48,9.8,9.48,9.54,502500
2024-02-23,9.46,9.6,9.41,9.5,110000
2024-02-26,9.55,9.7,9.5,9.51,320000
2024-02-27,9.6,9.78,9.4,9.59,337500
2024-02-28,9.59,10.49,9.5,9.98,1213500
2024-02-29,10.1,10.25,9.7,9.76,483000
2024-03-01,9.95,10.6,9.95,10.43,1314500
2024-03-04,10.6,10.78,10.4,10.43,595500
2024-03-05,10.4,10.45,10.12,10.21,170000
2024-03-06,10.3,10.52,10.16,10.19,1632500
2024-03-07,10.2,10.44,10.1,10.23,565000
2024-03-08,10.2,10.55,10.2,10.39,778500
2024-03-11,10.56,11.39,10.55,10.77,4043000
2024-03-12,10.81,10.97,10.3,10.38,604000
2024-03-13,10.3,10.63,10,10.07,715500
2024-03-14,10.19,10.6,10.19,10.54,602000
2024-03-15,10.56,10.8,10.48,10.66,361500
2024-03-18,10.52,10.74,10.5,10.74,152500
2024-03-19,10.6,11.15,10.56,10.93,349000
2024-03-20,10.86,11.12,10.82,10.83,353000
2024-03-21,10.98,11,10.65,10.67,234000
2024-03-22,10.75,10.75,9.95,10.01,1186000
2024-03-25,10.1,10.1,9.9,10.02,212500
2024-03-26,10.01,10.19,10,10.14,203000
2024-03-27,10.26,10.4,10.25,10.32,398500
2024-03-28,10.45,10.5,10.29,10.32,277000
2024-03-29,10.4,10.5,10.27,10.38,191500
2024-04-01,10.32,10.45,10.25,10.27,119500
2024-04-02,10.25,10.39,10.25,10.32,65000
2024-04-03,10.4,10.59,10.4,10.54,245000
2024-04-04,10.55,10.9,10.5,10.59,647500
2024-04-08,10.7,10.7,10.5,10.53,133500
2024-04-09,10.7,10.7,10.3,10.32,333500
2024-04-15,10.21,10.3,10.1,10.25,266500
2024-04-16,10.25,10.4,10.1,10.18,1176000
2024-04-17,10.25,10.7,10.2,10.29,832000
2024-04-18,10.26,10.35,10.2,10.32,659500
2024-04-19,10.25,10.48,10.2,10.34,1040000
2024-04-22,10.4,10.62,10.4,10.47,603000
2024-04-23,10.5,10.99,10.5,10.67,1417500
2024-04-24,10.66,10.75,10.52,10.57,303500
2024-04-25,10.69,10.8,10.2,10.22,1701000
2024-04-26,10.35,10.35,10.13,10.19,834500
2024-04-29,10.21,10.4,10.1,10.18,407000
2024-04-30,10.39,10.39,9.78,9.82,1194500
2024-05-02,9.85,9.97,9.55,9.6,805000
2024-05-03,9.6,9.98,9.55,9.83,1111000
2024-05-06,9.94,10.34,9.76,10.15,1417500
2024-05-07,10.1,10.66,9.92,10.42,2713500
2024-05-08,10.6,10.89,10.32,10.39,2895500
2024-05-09,10.38,10.73,10.25,10.42,1743500
2024-05-10,10.4,10.55,10.35,10.39,842000
2024-05-13,10.4,11.39,10.4,11.15,7860380
2024-05-14,11.47,11.49,10.82,11.16,4090606
2024-05-15,11.16,11.37,10.6,10.64,1801764
2024-05-16,10.75,10.9,10.45,10.52,678587
2024-05-17,10.31,10.78,10.31,10.54,432106
