date,open,high,low,close,volume
2026-02-19,33,33,29.7,29.72,9372140
2026-02-20,30.1,30.19,26.75,27.68,3273929
2026-02-23,28.1,28.39,26.02,26.81,735420
2026-02-24,26.01,26.8,25,25.17,1261993
2026-02-25,25.17,25.95,25,25.13,374917
2026-02-26,25.13,26.99,24.5,26.16,775476
2026-02-27,25.5,26.16,25.11,25.74,433752
2026-03-02,23.17,23.17,23.17,23.17,294845
2026-03-03,20.85,22,20.85,21.24,1800106
2026-03-04,21,22.9,20.52,21.77,862370
2026-03-05,21.77,22.7,21.47,22.21,747415
2026-03-06,22.26,22.26,19.99,20.33,2134156
2026-03-09,19.53,22.36,18.3,20.81,2624021
2026-03-10,21.98,22,19.26,19.77,2095533
2026-03-11,20.3,20.85,19.8,20.43,435905
2026-03-12,20,21.6,19.9,20.48,601818
2026-03-13,20.38,20.5,19.92,20.07,3730243
2026-03-16,20.07,20.49,19.8,19.96,3177805
2026-03-17,20,20.5,19.1,19.81,487663
2026-03-18,20,20,19.45,19.69,921314
2026-03-19,19.97,19.97,18.9,19.42,1291063
2026-03-24,20.05,20.05,19.32,19.44,482557
2026-03-25,19.5,20.7,19.45,20.06,1653792
2026-03-26,20.39,20.39,18.8,19.72,710889
2026-03-27,19.97,20.98,19.1,19.71,550797
2026-03-30,19.7,19.7,18.8,18.94,334634
2026-03-31,19.12,19.45,18.81,19.09,567546
2026-04-01,19.45,20,19,19.39,751957
2026-04-02,19.24,19.29,18.91,19.11,420903
2026-04-03,18.6,18.99,18.4,18.48,598115
2026-04-06,18.48,18.97,18.3,18.77,340728
2026-04-07,18.89,18.97,18,18.24,885357
2026-04-08,19.9,20,18.49,19.66,5815015
2026-04-09,19.49,19.49,18.6,18.78,1526001
2026-04-10,18.9,20,18.78,19.54,2017838
2026-04-13,19.11,19.19,18.7,18.78,643626
2026-04-14,19.1,19.95,19,19.39,3758513
2026-04-15,19.77,20.45,19.35,19.51,3896967
2026-04-16,19.83,20.16,19.45,19.99,2880531
2026-04-17,20.26,21.58,19.99,20.98,6643431
2026-04-20,20.76,20.98,19.28,20.1,1949897
2026-04-21,20.25,20.5,20.1,20.17,974489
2026-04-22,20.43,21.63,20,21.22,2538978
2026-04-23,21.26,22.7,21.25,22.28,2669817
2026-04-24,22.3,23.98,21.56,23.25,2315504
2026-04-27,23.7,24.8,23.3,23.85,4099825
2026-04-28,23.61,23.74,21.66,22.43,2556203
2026-04-29,22.26,22.9,20.62,20.88,1894583
2026-04-30,20.27,21.49,19.5,20.49,2122282
2026-05-04,20.65,21.49,20.51,20.74,601374
2026-05-05,20.51,20.99,20.4,20.78,360559
2026-05-06,21.06,22.1,21.02,21.77,1507970
2026-05-07,21.5,22.25,21.5,21.79,1626948
2026-05-08,21.79,22.25,21.01,21.54,873584
2026-05-11,21.5,22.24,21.01,21.82,1881697
2026-05-12,21.98,21.98,21,21.07,669503
2026-05-13,21.23,21.45,20.52,20.98,1898669
2026-05-14,21,21.14,20.62,20.71,399601
2026-05-15,21.25,21.25,20.4,20.47,1178916
2026-05-18,20.39,20.47,19.7,19.85,535566
2026-05-19,20,20.2,19.85,19.88,293213
2026-05-20,19.88,20.19,19.81,19.98,212229
2026-05-21,20.4,20.41,19.96,20,525603
2026-05-22,20.1,20.29,19.89,19.92,391612
2026-05-25,20.19,20.26,19.8,19.9,650258
2026-05-29,19.86,20.24,19.82,20.01,509808
2026-06-01,20.19,20.19,19.56,19.75,511671
2026-06-02,19.81,20.1,19.7,19.97,956815
2026-06-03,19.97,21.45,19.95,20.55,7480385
2026-06-04,20.89,20.89,20.45,20.59,1378926
2026-06-05,20.65,21.24,20.46,20.52,1851410
2026-06-08,20.5,20.5,19.9,20,1189241
2026-06-09,20.02,20.29,19.93,20,907542
2026-06-10,20,20.47,19.97,20.07,655092
2026-06-11,20.1,20.7,20,20.39,1151906
2026-06-12,20.45,20.7,20.35,20.5,1157176
2026-06-15,20.8,20.9,20.2,20.32,1270466
2026-06-16,20.35,20.7,20.31,20.47,901037
2026-06-17,20.5,20.95,20.45,20.76,1677481
2026-06-18,20.8,21,20.6,20.79,1261877
2026-06-19,20.89,21.33,20.45,20.6,2565592
2026-06-22,20.86,21.2,20.75,20.99,1349173
2026-06-23,21.1,21.2,20.7,20.79,503096
2026-06-24,20.85,20.95,20.51,20.56,751591
2026-06-29,20.55,20.55,19.5,19.68,2639151
2026-06-30,19.88,20.19,19.83,19.95,754207
2026-07-01,20,20.29,19.9,20.02,1878222
2026-07-02,20.1,20.4,19.92,20.12,1778823
2026-07-03,20.26,20.28,19.92,20.05,1163818
2026-07-06,20.06,20.85,20.05,20.47,1675297
2026-07-07,20.21,20.7,20,20.14,1295610
2026-07-08,20.02,20.19,19.6,19.8,947027
2026-07-09,19.8,20.45,19.8,20.09,1224363
2026-07-10,20.09,20.3,19.86,19.93,771871
2026-07-13,19.91,19.99,19.8,19.92,349465
2026-07-14,19.71,19.8,17.98,18.21,2678820
2026-07-15,18.21,18.81,18.21,18.56,851309
2026-07-16,18.56,18.9,18.56,18.74,538721
2026-07-17,18.74,18.77,18.4,18.56,508533
2026-07-20,18.69,18.7,18,18.56,624332
2026-07-21,18.65,18.8,18.2,18.49,478043
2026-07-22,18.67,18.67,18.1,18.12,478139
2026-07-23,18.39,18.39,16.9,17.22,1691480
2026-07-24,17.05,17.38,16.96,17.29,390795
2026-07-27,17.51,18,17.51,17.9,648195
2026-07-28,17.9,18.1,17.84,17.88,343975
2026-07-29,17.88,18.15,17.79,18.01,220845
2026-07-30,17.86,17.99,17,17.3,913468
2026-07-31,17.47,17.54,17.3,17.37,344696
2026-08-03,17.57,17.64,17.1,17.5,450862
2026-08-04,17.67,17.69,17.37,17.42,89951
2026-08-05,17.69,17.73,17.5,17.57,503980
2026-08-06,17.68,17.78,17.53,17.73,278765
2026-08-07,17.73,18.44,17.56,18.27,918562
2026-08-10,18.4,18.9,18.3,18.42,783542
2026-08-11,18.49,18.49,18.05,18.14,383653
2026-08-12,18.69,18.69,18,18.02,686250
2026-08-13,18.19,18.2,17.2,17.45,1301688
2026-08-17,17.5,18.2,17.4,17.85,1227386
2026-08-18,17.9,17.9,17.23,17.47,639535
2026-08-19,17.59,17.69,17.21,17.25,349058
