date,open,high,low,close,volume
2024-10-21,10.22,10.22,9.36,9.66,2200
2024-10-22,9.01,9.86,8.66,8.9,1232
2024-10-23,7.99,8,7.9,8,2286
2024-10-24,9,9,7.51,8,226
2024-10-28,8.89,8.89,7.02,8,2
2024-10-30,8,8,8,8,1026
2024-11-04,7.5,7.5,7.5,7.5,24037
2024-11-05,7.5,7.5,7.01,7.5,47
2024-11-06,7.05,7.05,7.05,7.05,9756
2024-11-07,7.11,7.96,6.05,7.06,20092
2024-11-11,8.06,8.06,6.6,8.06,1373
2024-11-12,7.6,7.6,7.1,7.22,1000
2024-11-13,8.19,8.22,8.19,7.22,56
2024-11-14,7.92,7.92,7.5,7.5,2700
2024-11-15,7.4,7.4,7.4,7.5,1
2024-11-18,8.5,8.5,8.25,8.25,10868
2024-11-20,9.25,9.25,9.25,8.77,1410
2024-11-21,9.1,9.1,9.1,9.1,1708
2024-11-22,10.1,10.1,10,10,16366
2024-11-25,10,10,10,10,2500
2024-11-27,9.02,10,9.02,10,6757
2024-11-28,10,10,10,10,1927
2024-11-29,9.8,9.8,9.8,9.8,999
2024-12-02,9.02,10.09,9.02,9.5,4251
2024-12-03,9.5,9.5,9.5,9.5,2439
2024-12-04,9.07,9.07,9.02,9.02,2039
2024-12-05,9.01,9.01,9.01,9.01,500
2024-12-09,9.03,9.03,9.03,9.01,460
2024-12-10,9.03,9.03,9.03,9.01,15
2024-12-11,9.5,9.5,8.6,8.6,16320
2024-12-12,9.5,9.5,9.1,9.1,10500
2024-12-23,8.45,8.45,8.45,9.1,10
2024-12-27,8.1,8.15,8.1,8.14,4000
2024-12-31,8,8,8,8,1000
2025-01-07,7.85,8,7,7.57,19663
2025-01-09,7.1,7.1,7.1,7.1,850
2025-01-14,6.6,6.6,6.6,6.6,500
2025-01-17,7.6,7.6,7.6,7.6,1000
2025-01-20,8.6,8.6,8.6,8.6,4000
2025-01-21,9.6,9.6,9.5,9.6,8000
2025-01-22,10,10,10,10,5000
2025-01-23,9.5,9.5,9.5,9.5,1000
2025-01-27,9.51,9.51,9.5,9.5,1000
2025-01-28,9.79,9.79,9.79,9.79,1000
2025-01-30,9.5,9.5,9.5,9.5,2500
2025-01-31,9,9,9,9,1500
2025-02-03,9.92,10,9.92,10,6500
2025-02-06,9,9,9,10,100
2025-02-13,10,10.49,9,9.92,3690
2025-02-18,9.6,9.75,9.6,9.75,1690
2025-02-19,9.75,9.75,9.75,9.75,310
2025-02-20,10,10,10,9.75,10050
2025-02-21,8.8,10,8.75,9.86,4100
2025-02-24,8.88,9.93,8.88,9.93,7000
2025-02-25,10.5,10.5,9.5,9.5,2500
2025-02-27,8.5,8.5,8.5,8.5,500
2025-02-28,9,9,9,8.5,700
2025-03-04,0,0,0,8.5,400
2025-03-05,9.5,9.5,9.5,9.5,500
2025-03-07,0,0,0,9.5,250
2025-03-11,9.89,9.89,9.89,9.5,50
2025-03-12,9,9.5,9,9.29,7000
2025-03-14,0,0,0,9.29,4878
2025-03-18,0,0,0,9.29,2100
2025-03-20,8.29,8.29,8.29,8.29,1500
2025-04-07,7.3,7.3,7.3,7.3,500
2025-04-09,8,8,8,8,1250
2025-04-10,8.5,9,8.5,9,3000
2025-04-24,8,8,8,8,1000
