date,open,high,low,close,volume
2025-05-30,14.62,14.62,14.62,14.62,24101
2025-06-02,16.08,16.08,16.08,16.08,1510
2025-06-03,17.69,17.69,17.69,17.69,5505
2025-06-04,19.46,19.46,19.46,19.46,681
2025-06-05,21.41,21.41,21.41,21.41,105858
2025-06-10,23.55,23.55,23.55,23.55,826
2025-06-11,25.91,25.91,25.91,25.91,5748
2025-06-12,28.5,28.5,28.5,28.5,2165
2025-06-13,31.35,31.35,31.35,31.35,1215
2025-06-16,34.49,34.49,34.49,34.49,6594
2025-06-17,37.94,37.94,37.94,37.94,195
2025-06-18,41.73,41.73,41.73,41.73,3750
2025-06-19,45.9,45.9,45.9,45.56,375
2025-06-20,50.12,50.12,41,41,172517
2025-06-23,36.9,36.9,36.9,36.9,5675
2025-06-24,33.21,33.21,33.21,33.21,2705
2025-06-25,29.9,30,29.89,29.89,49044
2025-06-26,27.5,32,26.9,29.55,60196
2025-06-27,27,32.51,26.62,30.34,36315
2025-06-30,31,33.35,31,33.35,35051
2025-07-01,31,32.9,30.04,32,49811
2025-07-02,30.9,32,30.9,32,15525
2025-07-03,32,32,29.2,32,26511
2025-07-04,30.99,31,30.99,31,3000
2025-07-07,31.5,31.99,28.2,30,5698
2025-07-08,27.02,30.98,27.02,30,7385
2025-07-09,30.4,31,30.4,30,21
2025-07-10,27.5,30.7,27.5,30.7,13033
2025-07-11,27.65,32,27.65,31.14,4515
2025-07-14,31,34.25,31,34.25,16642
2025-07-15,37.68,37.68,37.68,37.68,1070
2025-07-16,35.01,41.45,35.01,41.45,2260
2025-07-17,38.1,38.5,38.1,38.5,1362
2025-07-18,42.35,42.35,42.35,42.35,807
2025-07-21,45.59,46,45.59,46,1494
2025-07-22,46,46,45.99,46,2110
2025-07-23,46,49.06,45.99,45.99,7641
2025-07-24,41.39,45,41.39,45.99,1100
2025-07-25,49,49,47,45.99,16
2025-07-28,48.6,48.6,41.4,45.99,305
2025-07-29,41.41,45.5,41.41,41.41,807
2025-07-30,42.35,42.5,42,42,4092
2025-07-31,44.9,44.9,43,43,930
2025-08-04,43,43,43,43,122
2025-08-05,43,46,39,40.59,1033
2025-08-06,42.9,43,42.9,43,2570
2025-08-07,42,42.02,42,43,200
2025-08-08,43,44,43,44,1099
2025-08-11,44,44,42,43.67,1100
2025-08-12,43,44.15,42,43.67,201
2025-08-13,43.97,43.99,43.97,43.67,201
2025-08-15,43,43,43,43,500
2025-08-18,43.4,43.99,43.4,43.99,2899
2025-08-19,42,42,42,43.99,20
2025-08-20,43.96,43.98,43.96,43.97,3520
2025-08-21,45.79,46,45.5,43.97,122
2025-08-25,45.35,46,45.35,45.83,2524
2025-08-27,41.25,49.49,41.25,45.83,17
2025-09-02,45.2,49,45.2,45.83,50
2025-09-09,42.55,50,42.5,42.71,1526
2025-09-10,45,45,45,42.71,45
2025-09-11,44,46.98,44,45.16,600
