date,open,high,low,close,volume
2023-01-04,7.75,7.75,7.75,7.75,5000
2023-01-30,6.76,7.75,6.76,6.76,10500
2023-02-02,7,7.76,7,7.76,73500
2023-02-03,8,8.3,7.76,8,39000
2023-02-06,7.55,7.75,7,7.44,68500
2023-02-07,7.5,7.98,7.5,7.98,21000
2023-03-09,7.25,7.25,7,7,11500
2023-03-20,8,8,8,8,140000
2023-03-21,7.7,8.88,7.7,8.88,2000
2023-04-07,7,7,7,7,2000
2023-04-10,7,7,7,7,2500
2023-04-12,6.01,6.01,6,6,50000
2023-05-08,7,7,6.3,6.99,214500
2023-05-15,7.95,7.95,7.95,7.95,500
2023-05-29,7,7,7,7,140000
2023-06-01,6.94,6.94,6.94,6.94,200000
2023-07-11,7,7.25,6.9,7,120000
2023-07-17,7,7,7,7,10000
2023-07-26,6.9,6.9,6.9,6.9,500
2023-07-27,6.5,6.5,6.5,6.5,1000
2023-08-02,6,6.5,5.5,6.5,14000
2023-08-03,6.5,6.5,6.5,6.5,15000
2023-08-04,6.5,6.6,6.5,6.6,5500
2023-09-04,7,7,6.9,6.9,60000
2023-10-10,6,6,6,6,1500
2023-10-19,5,5.1,5,5.01,21500
2023-10-20,6,6,5,5,20000
2023-10-23,4.1,4.5,4,4.25,337500
2023-10-26,4.25,4.25,4.25,4.25,147500
2023-11-03,5.25,5.25,5.25,5.25,1500
2023-11-08,5,5,5,5,500
2023-11-13,5.25,5.25,5.25,5.25,400000
2023-11-14,5.36,5.9,5.36,5.85,25000
2023-11-15,6.85,6.85,6,6,18000
2023-11-16,6,6.7,6,6.7,36500
2023-11-21,7.7,7.7,7.7,7.7,500
2023-11-22,8.7,8.7,6.7,6.7,27500
2023-12-11,7.67,7.67,7,7,1000
2023-12-13,6.34,6.34,6.34,6.34,500
2023-12-14,7,7,7,7,5000
2023-12-18,7,7.5,7,7.5,41000
2023-12-19,7,7.01,6.66,7.01,73500
2023-12-20,7.01,7.01,7.01,7.01,5000
2023-12-21,7.05,7.05,7,7,36500
2023-12-26,6.55,6.55,6.55,6.55,771500
2023-12-28,6.94,7,6.94,7,60000
2024-01-02,7.24,7.24,7.24,7.24,30000
2024-01-12,7.1,7.1,7,7,10500
2024-01-16,7,7,7,7,30000
2024-01-17,6.8,6.8,6.8,6.8,64000
2024-01-31,7,7,7,7,1000
2024-02-12,7,7,7,7,105000
2024-02-14,7,7,7,7,125000
2024-02-15,7,7,7,7,15000
2024-02-16,6,8,6,8,100000
2024-02-28,8,8,8,8,500
2024-03-07,7.5,7.5,7,7,13000
2024-03-11,7,7,7,7,15000
