date,open,high,low,close,volume
2023-12-05,6,6.1,5.8,6.1,2500
2023-12-06,5.7,6.09,5.7,6.09,44000
2023-12-07,5.76,5.98,5.7,5.71,53000
2023-12-08,5.93,6,5.71,5.89,10500
2023-12-11,5.74,6.15,5.7,5.94,5000
2023-12-12,6.13,6.14,6.13,6.14,2000
2023-12-13,6.17,6.17,5.7,5.7,1000
2023-12-15,5.92,6.4,5.58,5.9,7000
2023-12-18,5.9,6,5.8,5.85,36000
2023-12-19,5.85,5.88,5.5,5.5,6500
2023-12-20,5.4,5.4,5.01,5.29,9500
2023-12-21,5.4,5.75,5.4,5.65,3500
2023-12-26,5.3,5.3,5,5,12000
2023-12-27,5.3,5.9,5.21,5.36,3000
2023-12-28,5.2,5.5,5.2,5.21,45500
2023-12-29,5.75,5.75,5.75,5.75,500
2024-01-01,5.74,5.75,5.74,5.74,3500
2024-01-03,5.25,5.75,5.01,5.75,5500
2024-01-04,5.31,5.75,5.31,5.75,3500
2024-01-05,5.88,5.88,5.4,5.41,14500
2024-01-08,5.21,5.88,5.21,5.58,5000
2024-01-09,5.41,5.41,5.41,5.41,3000
2024-01-10,5.5,5.89,5.5,5.51,120000
2024-01-11,5.75,5.85,5.75,5.85,14000
2024-01-12,5.5,5.5,5.2,5.49,18500
2024-01-15,5.26,5.27,5.25,5.25,20500
2024-01-16,5.08,5.25,5.03,5.09,11000
2024-01-18,5.1,5.23,5,5.22,8000
2024-01-19,5.01,5.05,5.01,5.02,4500
2024-01-23,5.03,5.03,5.03,5.03,1000
2024-01-24,5.03,5.1,5.03,5.1,6000
2024-01-25,5.04,5.25,5.01,5.1,14000
2024-01-26,5.05,5.05,5.01,5.01,3000
2024-01-29,5.1,5.1,5.1,5.1,4500
2024-01-31,5.03,5.03,5.03,5.03,2000
2024-02-01,4.82,5.49,4.82,5.08,24500
2024-02-06,5.01,5.44,5.01,5.2,51500
2024-02-12,4.9,5.1,4.9,5,105000
2024-02-13,5.18,5.39,5.18,5.2,9500
2024-02-14,5.38,5.6,5.38,5.6,110500
2024-02-15,5.7,6.48,5.6,6.11,114500
