date,open,high,low,close,volume
2024-01-16,6.72,6.9,6.65,6.73,223500
2024-01-17,6.64,6.8,6.64,6.71,254500
2024-01-18,6.64,6.7,6.49,6.55,488500
2024-01-19,6.75,6.75,6.5,6.59,406000
2024-01-22,6.6,6.63,6.45,6.46,144500
2024-01-23,6.45,6.58,6.4,6.45,363000
2024-01-24,6.55,6.64,6.46,6.48,383500
2024-01-25,6.6,6.6,6.4,6.45,165000
2024-01-26,6.36,6.5,6.31,6.34,419000
2024-01-29,6.4,6.4,6.15,6.19,301000
2024-01-30,6.24,6.3,6.01,6.06,254500
2024-01-31,6.06,6.1,6.01,6.02,424000
2024-02-01,6.02,6.17,6,6.03,258500
2024-02-02,6.1,6.15,6.03,6.1,76000
2024-02-06,6.16,6.6,6.13,6.43,726500
2024-02-07,6.44,6.49,6.25,6.41,300500
2024-02-09,6,6.5,6,6.3,220500
2024-02-12,6.3,6.3,5.9,5.99,188000
2024-02-13,5.9,6.08,5.61,5.97,394500
2024-02-14,6.08,6.15,5.94,6.09,294000
2024-02-15,6.04,6.1,5.9,5.9,141500
2024-02-16,5.9,6.04,5.26,5.67,590000
2024-02-19,5.67,5.84,5.6,5.72,516500
2024-02-20,5.66,5.85,5.6,5.61,504500
2024-02-21,5.84,5.89,5.76,5.84,221500
2024-02-22,5.85,6.08,5.85,5.93,393000
2024-02-23,5.9,6,5.82,6,266500
2024-02-26,6.08,6.14,6,6.05,90000
2024-02-27,6.05,6.14,5.95,6,47500
2024-02-28,6,6.4,6,6.2,936500
2024-02-29,6.35,6.35,5.97,6,414000
2024-03-01,5.96,6.08,5.94,5.99,479000
2024-03-04,6.2,6.22,5.96,6,893000
2024-03-05,6,6.09,5.81,5.85,515500
2024-03-06,5.94,5.95,5.85,5.86,194500
2024-03-07,5.9,5.9,5.8,5.82,217000
2024-03-08,5.9,6.08,5.83,5.99,595500
2024-03-11,6,6.8,5.99,6.27,3991000
2024-03-12,6.25,6.29,6,6.03,405000
2024-03-13,6.15,6.15,5.92,5.94,242000
2024-03-14,6.1,6.1,5.98,6.04,272500
2024-03-15,6.18,6.18,6,6.03,61500
2024-03-18,6,6.08,5.96,5.97,249500
2024-03-19,6,6.07,5.99,6.04,290500
2024-03-20,6.15,6.15,5.97,6,304000
2024-03-21,5.95,6.1,5.95,6.01,249000
2024-03-22,6,6,5.97,6,121500
2024-03-25,6,6,5.94,6,94500
2024-03-26,5.94,5.99,5.9,5.94,125000
2024-03-27,6.1,6.1,5.75,5.79,736500
2024-03-28,5.8,5.9,5.8,5.84,1494500
2024-03-29,5.94,5.94,5.7,5.75,541500
2024-04-01,5.81,5.95,5.78,5.87,532500
2024-04-02,5.96,5.96,5.8,5.84,114500
2024-04-03,5.75,5.93,5.75,5.88,81500
2024-04-04,5.92,6.04,5.78,5.8,1463000
2024-04-08,5.88,5.88,5.77,5.8,729500
2024-04-09,5.8,5.93,5.7,5.75,1149000
2024-04-15,5.72,5.87,5.69,5.71,2144500
2024-04-16,5.71,5.91,5.71,5.74,641000
2024-04-17,5.73,5.94,5.73,5.81,594000
2024-04-18,5.81,5.86,5.73,5.76,703000
2024-04-19,5.73,5.8,5.7,5.72,1989000
2024-04-22,5.73,6,5.7,5.81,2852000
2024-04-23,5.86,6.09,5.8,5.91,2804500
2024-04-24,5.95,6.01,5.84,5.87,815500
2024-04-25,5.9,6.03,5.86,5.9,764000
2024-04-26,5.9,6.2,5.86,6.06,2447000
2024-04-29,6.11,6.38,5.9,6.01,3252000
2024-04-30,6.1,6.12,5.85,5.88,1323000
2024-05-02,5.9,5.95,5.84,5.86,697000
2024-05-03,5.95,6.09,5.79,5.93,1012000
2024-05-06,5.95,6.15,5.9,5.97,1505500
2024-05-07,6,6.6,6,6.16,8296500
2024-05-08,6.3,7.1,6.24,6.88,12642000
2024-05-09,6.92,6.99,6.7,6.75,3190500
2024-05-10,6.75,6.95,6.58,6.64,2865000
2024-05-13,6.7,7.64,6.7,7.51,9352308
2024-05-14,7.79,7.9,7.31,7.37,6607079
2024-05-15,7.4,8.1,7.1,7.19,9012241
2024-05-16,7.25,7.3,6.97,7.04,3110818
2024-05-17,7.06,7.25,7.05,7.16,1896822
2024-05-20,7.15,7.2,6.91,7,1449705
2024-05-21,7,7.28,6.91,7.22,1885797
2024-05-22,7.24,7.89,7.24,7.41,7796407
2024-05-23,7.68,7.68,7.09,7.14,3164289
2024-05-24,7.25,7.42,7.2,7.23,1524426
2024-05-27,7.25,7.25,6.98,7,1572580
2024-05-29,7,7,6.71,6.8,855836
2024-05-30,6.76,6.87,6.65,6.69,872356
2024-05-31,6.71,6.84,6.65,6.72,698910
2024-06-03,6.71,6.93,6.71,6.76,550020
