date,open,high,low,close,volume
2024-01-17,10.9,10.95,10.5,10.57,1600779
2024-01-18,10.6,10.67,10.01,10.25,2558853
2024-01-19,10.37,10.48,10.19,10.41,730139
2024-01-22,10.48,10.48,10.1,10.18,1371882
2024-01-23,10.25,10.44,10.16,10.32,1123459
2024-01-24,10.3,10.69,10.3,10.35,2362255
2024-01-25,10.41,10.47,10.17,10.21,883908
2024-01-26,10.35,10.4,10.1,10.14,1240694
2024-01-29,10.1,10.25,9.9,9.94,2302091
2024-01-30,10,10.11,9.6,9.69,1738866
2024-01-31,9.94,10,9.65,9.67,1545856
2024-02-01,9.6,9.79,9.45,9.6,2226127
2024-02-02,9.6,9.83,9.46,9.7,797976
2024-02-06,9.71,10.69,9.53,10.46,4622176
2024-02-07,10.46,10.6,10.33,10.38,1446214
2024-02-09,10.25,10.25,9.7,9.95,1008493
2024-02-12,10,10,9.4,9.78,1464306
2024-02-13,9.51,10.2,9.4,10.07,2168951
2024-02-14,10.25,10.45,9.83,10.12,894408
2024-02-15,10.25,10.25,9.75,9.89,541200
2024-02-16,9.71,10,9.5,9.6,752491
2024-02-19,9.7,9.8,9.42,9.65,1680531
2024-02-20,9.75,9.85,9.44,9.52,922162
2024-02-21,9.76,9.8,9.65,9.74,1423550
2024-02-22,9.82,10.16,9.68,9.82,2689081
2024-02-23,9.88,9.98,9.62,9.79,1213801
2024-02-26,9.85,10.1,9.85,10.02,1247280
2024-02-27,10.14,10.14,9.8,9.84,1485428
2024-02-28,9.81,10.75,9.8,10.33,4051190
2024-02-29,10.44,10.55,10.15,10.25,2019336
2024-03-01,10.09,10.38,10.09,10.21,1596977
2024-03-04,10.35,10.35,10.12,10.24,803663
2024-03-05,10.4,10.4,10.04,10.09,826933
2024-03-06,10.16,10.24,10,10.02,1242402
2024-03-07,10.17,10.17,9.85,9.93,724791
2024-03-08,10,10.43,9.99,10.2,1780490
2024-03-11,10.2,10.85,10.15,10.42,5251291
2024-03-12,10.5,10.57,10.01,10.06,1098543
2024-03-13,10.19,10.19,9.8,9.82,963574
2024-03-14,9.95,10.18,9.95,10.12,737568
2024-03-15,10.1,10.18,10,10.04,619230
2024-03-18,10.06,10.13,9.82,9.9,469735
