date,open,high,low,close,volume
2023-08-09,120.95,120.95,114.5,117.12,1700
2023-08-10,115,116.99,115,116.99,1100
2023-08-11,117.49,117.49,112.2,116.99,1300
2023-08-15,119.7,119.7,115,115,1900
2023-08-16,116.99,116.99,116.99,116.99,500
2023-08-18,111.11,117.49,111.11,117.39,700
2023-08-21,115,116.89,115,116.89,1000
2023-08-22,117.39,117.39,117.39,117.39,400
2023-08-24,117.48,117.48,117.48,117.48,300
2023-08-25,119.95,119.95,119.95,119.95,300
2023-08-28,116,116,116,119.95,100
2023-08-29,112.01,117.89,112,115.94,900
2023-08-30,117.98,117.98,117.98,117.98,400
2023-08-31,109.16,115.93,109.13,113.07,2300
2023-09-01,119.99,119.99,119.99,119.99,1000
2023-09-04,115,117.88,111.2,117.57,1200
2023-09-05,118.98,118.98,118.98,118.98,300
2023-09-06,118.48,118.48,114,116.98,1400
2023-09-07,118.44,118.44,118.44,118.44,300
2023-09-08,119.55,119.55,119.55,119.55,300
2023-09-11,112.01,112.01,112.01,119.55,100
2023-09-15,119.7,119.7,119.7,119.7,400
2023-09-18,117.99,117.99,115.99,119.7,200
2023-09-21,116.49,116.5,116.49,116.49,1100
2023-09-22,119.85,119.9,113.03,117.61,700
2023-09-25,113,115.39,113,115.39,600
2023-09-26,112.51,112.51,112.51,115.39,100
2023-09-27,111.1,114.48,110,114.48,1500
2023-09-28,111.12,116.24,111.12,115.46,1000
2023-10-02,120.95,120.95,111,113.48,1100
2023-10-03,115.48,115.48,115.48,115.48,300
2023-10-04,119.7,119.7,112,115.48,1000
2023-10-05,111.25,115.48,111.25,115.45,2600
2023-10-06,117.7,117.7,114,114.41,1000
2023-10-09,119.85,119.85,110.5,112.97,3000
2023-10-10,111.3,113.99,111.3,113.99,400
2023-10-11,118.45,118.45,112,115.98,1400
2023-10-12,118.45,118.45,118.45,118.45,400
2023-10-13,117,117.84,113,116.99,1700
2023-10-16,118.4,118.4,118.4,118.4,300
2023-10-17,118.98,118.98,112,116.79,1600
2023-10-19,119.64,119.64,114,115.75,1400
