date,open,high,low,close,volume
2023-01-20,62.78,62.78,62.78,62.78,500
2023-01-23,66.95,66.95,58.08,58.2,2500
2023-01-24,62.45,62.45,62.45,62.45,500
2023-01-25,66.95,66.95,66.95,66.95,500
2023-01-27,61.93,61.93,61.93,61.93,500
2023-01-30,65.99,65.99,65.99,65.99,500
2023-02-15,67.9,67.9,67.9,67.9,500
2023-02-21,61.24,61.24,61.24,61.24,500
2023-02-22,64.87,64.87,64.87,64.87,500
2023-02-24,68.9,68.9,64.99,64.99,1000
2023-02-28,67.99,67.99,67.99,67.99,500
2023-03-06,60.54,60.54,60.54,60.54,500
2023-03-07,63.9,63.9,60.99,62.89,4000
2023-03-08,58.2,62.95,58.2,62.95,1000
2023-03-09,67.5,67.5,67.5,67.5,500
2023-03-15,68.9,68.9,68.9,68.9,500
2023-03-16,63.74,63.74,63.74,63.74,2000
2023-03-20,68,68,68,68,500
2023-04-11,58.97,58.97,58.97,58.97,1000
2023-04-12,63.25,63.25,55,55,1000
2023-04-13,59.12,59.12,51,58.85,1500
2023-04-17,63,63,63,63,500
2023-04-20,65,65,65,65,500
2023-05-12,66.5,66.5,66.5,66.5,500
2023-05-15,61.51,61.51,61.51,61.51,8500
2023-05-16,62,62.9,56.95,56.95,3500
2023-05-17,52.7,59.9,52.7,59.9,1500
2023-05-18,59.7,59.9,59.7,59.82,6000
2023-05-19,60,60.95,60,60.95,2000
2023-05-22,62.9,62.9,56.38,56.38,7000
2023-05-23,52.2,52.2,52.2,52.2,500
2023-05-24,55.9,56.1,55.9,56,1000
2023-05-30,57.7,57.7,57.7,57.7,500
2023-05-31,53.4,56.7,53.4,56.6,1500
2023-06-05,57,57,57,57,1000
2023-06-06,57,57,57,57,2500
2023-06-07,57,57,57,57,500
2023-06-08,57,57,57,57,1000
2023-06-09,57,57,57,57,500
2023-06-15,57,57,57,57,1500
2023-06-19,57,57,57,57,1000
2023-06-22,57,57,57,57,500
2023-06-23,56,56,56,56,500
2023-07-11,57,57,57,57,2000
2023-07-12,57,57,57,57,500
2023-07-13,57,57,57,57,500
2023-07-14,57,57,57,57,1000
2023-07-24,57,57,57,57,1000
2023-07-26,57,57,57,57,500
2023-08-01,52.75,52.75,52.75,52.75,500
2023-08-03,56.69,56.69,56.69,56.69,500
2023-08-16,52.45,52.45,52.45,52.45,500
2023-08-17,56,56.25,49,49.05,2000
2023-08-23,50,50,46.1,46.15,1500
2023-08-25,42.75,43.05,42.75,42.9,1000
2023-09-12,46.12,46.12,46.12,46.12,1000
2023-10-17,46.76,46.76,44.35,44.35,5000
2023-10-19,45.01,45.01,45,45,1000
2023-10-24,48.38,48.38,48.38,48.38,500
2023-11-10,49,49,49,49,3000
2023-11-15,52.6,52.67,52.6,52.67,1000
2023-11-21,55.84,55.84,55.84,55.84,500
2023-11-23,60,60,60,60,500
2023-11-24,56,59.9,56,59.9,1000
2023-11-29,55.41,55.41,55.41,55.41,3000
2023-11-30,59,59,53,53,1000
2023-12-13,56.49,56.49,50.51,50.51,2500
2023-12-18,54.3,54.3,54.3,54.3,1000
2023-12-19,52,52,51.5,51.5,5000
2024-01-01,47.65,55,47.65,55,1500
2024-01-04,56,56,56,56,500
2024-01-22,51.8,51.8,51.8,51.8,500
2024-01-23,52.01,52.01,52.01,52.01,5500
2024-01-24,51,51,51,51,500
2024-01-31,51,51,51,51,500
2024-02-02,51,51,51,51,500
2024-02-06,51,51,47.2,49.8,2000
2024-02-07,52.8,52.8,52.8,52.8,9000
2024-02-20,51.99,51.99,51.99,51.99,500
2024-02-21,51.99,51.99,51.99,51.99,500
2024-02-22,51.99,51.99,51.99,51.99,500
2024-02-23,54.9,54.9,54.9,54.9,500
2024-02-28,51,51,50.78,50.78,2000
2024-02-29,50.5,51,50,51,4000
2024-03-01,51,51,51,51,2500
2024-03-04,51,51,50,50,1500
2024-03-05,51,51,51,51,1500
2024-03-12,54.83,54.83,54.83,54.83,500
2024-03-14,51,51,51,51,500
2024-03-27,47.2,47.2,47.2,47.2,500
2024-05-08,50.74,50.74,50.74,50.74,44500
2024-05-09,52.52,52.52,52.44,52.5,2000
2024-06-06,52.5,52.5,52.5,52.5,100
2024-06-10,56.94,56.95,56.94,56.95,1012
2024-06-20,52.25,52.25,52.25,52.25,500
2024-06-24,48.02,56.5,48.02,52.25,42
2024-06-25,56.5,56.5,56.5,52.25,101
2024-07-03,52.24,52.24,52.24,52.25,2
2024-07-09,47.35,57,47.35,56.06,918
2024-07-10,50.85,61.39,50.85,56.06,237
2024-07-11,50.75,61.39,50.75,61.32,21811
2024-07-12,67.15,67.15,61.61,67.07,2746
2024-07-15,73,73,61,67.03,4490
2024-07-18,62,65,60.66,63.15,823
2024-07-19,62,69.15,60,66.12,3791
2024-07-22,72.73,72.73,72.73,72.73,15323
2024-07-23,79,80,72.5,80,15625
2024-07-24,88,88,88,84.98,7256
2024-07-25,93.48,93.48,93.48,93.48,3551
2024-07-26,102.5,102.83,99.9,102.82,13765
2024-07-29,113.1,113.1,112,113.06,37506
2024-07-30,123.98,124,105,108.75,43724
2024-07-31,106,107.97,97.88,97.88,10894
2024-08-01,88.09,94.95,88.09,88.09,14747
2024-08-02,80.05,84,79.28,79.47,14592
2024-08-05,72,79,71.52,72.72,13013
2024-08-06,72.73,79,68,77,4900
2024-08-07,79,79,72,75.01,2253
2024-08-08,77,77,73,73.17,3307
2024-08-09,77,80.49,70.01,73.12,65062
