date,open,high,low,close,volume
2023-12-21,12.5,12.78,12.1,12.41,11500
2023-12-22,13.0,13.05,12.13,12.63,20500
2023-12-26,13.0,13.0,12.01,12.01,19000
2023-12-27,13.0,13.01,13.0,13.01,866000
2023-12-28,14.0,14.0,13.1,13.1,21000
2023-12-29,13.34,13.75,13.34,13.4,24500
2024-01-01,13.75,13.75,13.6,13.6,1000
2024-01-02,13.7,13.7,13.13,13.2,9500
2024-01-03,13.5,13.96,13.21,13.21,35000
2024-01-05,13.03,13.83,13.03,13.7,4000
2024-01-08,13.0,13.86,13.0,13.86,3000
2024-01-09,13.8,13.85,13.8,13.82,15000
2024-01-10,13.3,13.85,13.3,13.85,14000
2024-01-11,13.5,13.85,13.5,13.85,5500
2024-01-12,13.55,14.0,13.55,14.0,3000
2024-01-15,14.2,14.21,14.05,14.05,5000
2024-01-16,13.4,14.0,13.0,13.26,18000
2024-01-17,13.75,13.8,13.75,13.8,2500
2024-01-18,13.9,14.0,13.9,13.9,11500
2024-01-19,13.5,13.5,13.5,13.5,500
2024-01-22,13.99,13.99,13.94,13.94,1500
2024-01-23,13.07,13.9,13.06,13.5,8500
2024-01-24,13.85,13.85,13.85,13.85,500
2024-01-25,13.07,13.07,13.07,13.07,500
2024-01-26,13.17,13.8,13.17,13.35,7000
2024-01-29,13.7,13.7,13.29,13.29,1500
2024-01-30,13.15,13.15,12.99,13.1,7500
2024-01-31,12.55,13.39,12.55,13.39,1500
2024-02-01,13.37,13.37,13.37,13.37,500
2024-02-02,13.01,13.02,13.01,13.02,1500
2024-02-06,13.43,13.43,13.43,13.43,500
2024-02-07,13.35,13.5,13.35,13.49,4000
2024-02-12,12.51,12.98,12.51,12.98,6500
2024-02-13,12.5,13.1,12.5,13.09,13000
2024-02-14,13.33,13.33,13.0,13.0,2500
2024-02-15,13.23,13.25,12.0,12.5,31500
2024-02-16,12.75,12.99,12.36,12.36,3500
2024-02-19,11.87,12.96,11.87,12.35,1500
2024-02-20,12.51,12.51,12.51,12.51,500
2024-02-22,13.12,13.25,13.0,13.2,12000
2024-02-23,13.1,13.1,13.0,13.0,11500
2024-02-26,13.0,13.01,13.0,13.0,3500
2024-02-27,12.85,12.9,12.3,12.46,22000
2024-02-28,12.79,12.8,12.36,12.38,9000
2024-02-29,12.5,12.84,12.5,12.82,57500
2024-03-01,13.0,13.0,13.0,13.0,16500
2024-03-04,13.0,13.01,13.0,13.0,9500
2024-03-05,13.0,13.01,12.75,13.01,14500
2024-03-06,13.0,13.0,13.0,13.0,500
2024-03-07,13.0,13.0,13.0,13.0,500
2024-03-08,13.19,13.19,13.19,13.19,500
2024-03-11,13.19,13.19,13.0,13.0,1500
2024-03-12,12.53,13.2,12.52,12.52,2000
2024-03-13,12.35,12.35,12.33,12.33,1500
2024-03-14,13.1,13.33,13.1,13.23,22500
2024-03-18,13.2,13.2,12.67,12.93,1500
2024-03-19,12.66,12.66,12.62,12.62,6000
2024-03-20,12.7,12.8,12.7,12.8,2500
2024-03-21,12.7,12.9,12.66,12.78,3500
2024-03-22,12.9,12.9,12.9,12.9,1500
2024-03-25,12.8,12.8,12.7,12.7,1000
2024-03-26,12.6,12.8,12.6,12.8,1500
2024-03-27,12.9,13.0,12.9,13.0,1000
2024-04-01,13.0,14.0,13.0,13.0,8500
2024-04-03,12.6,12.8,12.5,12.6,15500
2024-04-04,12.9,13.45,12.65,13.0,7000
2024-04-09,12.71,12.71,12.71,12.71,500
2024-04-15,13.71,13.71,13.0,13.0,1500
2024-04-16,13.1,13.24,13.0,13.19,5500
2024-04-17,13.01,13.01,12.91,12.91,2500
2024-04-18,13.15,13.6,13.15,13.3,16000
2024-04-19,13.8,13.8,13.5,13.79,20000
2024-04-22,13.85,14.0,13.41,13.75,9000
2024-04-23,13.42,13.98,13.4,13.4,8500
2024-04-24,13.16,13.97,13.16,13.56,3500
2024-04-25,13.96,13.96,13.2,13.3,10500
2024-04-26,13.3,14.0,13.3,14.0,63500
2024-04-29,14.0,14.0,13.1,13.75,15500
2024-04-30,13.53,13.99,13.52,13.52,9500
2024-05-03,13.8,13.8,13.8,13.8,1000
2024-05-06,13.7,13.8,13.7,13.79,5500
2024-05-07,13.5,13.56,13.5,13.56,5500
