date,open,high,low,close,volume
2024-01-11,61.6,70.74,61.6,70.74,496000
2024-01-12,72,73.5,68.16,68.66,157000
2024-01-15,70,70.5,66.99,67.24,72500
2024-01-16,64.15,68.4,64.1,67.55,49000
2024-01-17,68,71.8,66.5,70.75,71000
2024-01-18,67.19,70,67.1,68.78,29500
2024-01-19,69,70,69,69.56,20000
2024-01-22,71.98,71.98,68.3,69.25,67500
2024-01-23,69.96,69.96,67,69.05,43000
2024-01-24,69,70.1,68.01,69.82,71000
2024-01-25,67.2,68.98,65.1,65.9,46500
2024-01-26,66,66,63.75,64.69,187000
2024-01-29,65.94,69.54,63,69.54,147000
2024-01-30,71.2,74,70.5,72.03,158500
2024-01-31,68.59,73,68.59,70.15,73500
2024-02-01,71,73,71,72.44,45000
2024-02-02,72.9,73,72,72.25,44500
2024-02-06,71.5,73,71.5,72.18,31000
2024-02-07,70.1,72.39,70.1,72.08,22500
2024-02-09,71.35,73,68.9,71.01,28000
2024-02-12,67.1,71,67.1,68.51,52500
2024-02-13,67,68.01,67,68,8500
2024-02-14,70.98,70.98,68,68.5,17000
2024-02-15,70.77,70.77,66.41,68.98,99000
2024-02-16,66.1,67,65,65,102000
2024-02-19,65,65,64.02,64.5,18000
2024-02-20,64,69,64,65.06,38000
2024-02-21,66,67,66,67,11500
2024-02-22,68.19,68.19,65.53,66.5,12500
2024-02-26,68.89,68.89,65,67,33000
2024-02-27,68.25,69,67.1,68,19500
2024-02-28,69.98,69.99,66.5,66.51,10000
2024-02-29,67.7,70,67.7,70,33000
2024-03-01,69.69,69.7,66.61,68.35,11000
2024-03-04,69.5,69.5,65.6,67.06,9500
2024-03-05,69.94,69.94,66.7,67.4,4000
2024-03-06,69.2,69.33,68.79,69,11000
2024-03-07,69,69,68,68.14,16500
2024-03-08,68.99,68.99,66.15,66.15,4500
2024-03-11,67.4,69,66.51,69,11500
2024-03-12,68.99,70,68,69.33,133000
2024-03-13,69,70,68.02,70,177000
2024-03-14,70.95,72.25,70.4,72.01,352500
2024-03-15,72.51,74.8,72.51,73,94000
2024-03-18,70.21,73.5,70.21,73.21,215000
2024-03-19,73,73.99,73,73.51,144500
2024-03-20,72.62,73.52,72.35,73.51,598500
