date,open,high,low,close,volume
2023-01-05,129,129,129,129,300
2023-01-19,138.5,138.67,138.5,138.59,200
2023-01-24,148.98,148.98,138.59,138.59,100
2023-01-26,148.98,148.98,138.59,138.59,100
2023-01-27,148.98,148.98,148.98,148.98,200
2023-05-02,137.81,137.81,137.81,137.81,200
2023-07-25,148.15,148.15,148.15,148.15,300
2023-10-24,157.11,157.11,157.11,157.11,200
2023-10-26,168,168,168,168,200
2023-11-10,179.95,179.95,179.95,168,100
2023-12-07,175,175,175,168,100
2024-01-01,180.6,180.6,180.6,180.6,200
2024-01-02,194.15,194.15,194.15,181.08,100
2024-01-03,167.5,167.5,167.5,167.5,200
2024-03-22,167.5,167.5,167.5,167.5,100
2024-04-30,180,180,180,167.5,1
2024-05-16,179,179,179,167.5,2
2024-05-23,179,179,179,167.5,2
2024-06-05,179,180.9,179,179.92,692
2024-06-06,179,194,179,187.21,212
2024-06-07,200,200,200,187.21,1
2024-06-14,187,203.12,187,195.06,300
2024-06-20,211.64,211.64,211.64,211.64,1300
2024-06-21,200,200,200,211.64,5
2024-06-28,230.69,230.69,210,211.64,2
2024-08-06,190.48,190.48,190.48,211.64,100
2024-08-22,191.8,191.8,191.8,211.64,1
2024-08-28,195,197.99,195,211.64,30
2024-08-30,195,196,195,211.64,20
2024-09-02,198,199,198,211.64,20
2024-09-06,210.99,210.99,210.99,211.64,2
2024-09-09,210,210,210,211.64,10
2024-09-12,220,220,220,211.64,10
2024-09-18,225,232.8,225,211.64,44
2024-09-20,232.8,232.8,232.8,232.8,310
2024-09-23,256.08,256.08,214,231.35,874
2024-09-24,237.86,237.86,237.86,231.35,10
2024-09-25,237.86,237.86,237.86,231.35,5
2024-09-26,220,220,220,231.35,24
2024-09-27,210.11,249,208.22,212.06,188
2024-10-01,227.86,227.86,227.8,224.53,103
2024-10-02,238,238,235,224.53,36
2024-10-04,240,240,212,224.53,28
2024-10-07,229.99,229.99,229.99,224.53,1
2024-10-08,224,224,220,223.76,157
2024-10-09,210.51,223,210.51,223.76,5
2024-10-10,223,223,220,223.76,19
2024-10-14,201.38,201.38,201.38,223.76,3
2024-10-15,200,200,200,221.26,10
2024-10-16,199.13,199.2,199.13,221.26,11
2024-10-17,233,233,233,221.26,1
2024-10-18,200,200,200,221.26,1
2024-10-21,242.99,242.99,200,235.52,155
2024-10-23,211.97,215,211.97,235.52,14
2024-10-24,245,245,245,235.52,10
2024-10-29,250,250,249,249,560
2024-10-30,224.1,249,224.1,249,7
2024-10-31,230,249,230,249,36
2024-11-04,230,249,225,235.13,125
2024-11-05,230,230,230,235.13,1
2024-11-06,248,248,211.62,235.13,72
2024-11-12,211.63,248,211.63,235.13,3
2024-11-13,211.62,211.62,211.62,235.13,8
2024-11-14,211.62,220,211.62,235.13,17
2024-11-15,215,215,215,235.13,4
2024-11-19,239.7,239.7,239.7,235.13,2
2024-11-20,215,230,211.62,235.13,41
2024-11-21,211.62,225,211.62,214.4,617
2024-11-22,233.98,233.99,233.97,214.4,302
2024-11-26,234.99,234.99,234.99,214.4,25
2024-11-28,220,235.84,220,235.83,1632
2024-11-29,239,259.41,239,258.01,1327
2024-12-02,275,283.81,270,283.81,1224
2024-12-03,312.19,312.19,255.43,262.5,12191
2024-12-04,262.5,267.86,256,262.5,85
2024-12-05,262.5,270,236.25,238.23,979
2024-12-06,250,250,238,238,253
2024-12-09,238.39,245,225,238,107
2024-12-11,240,240,240,238,60
2024-12-16,225,244,225,229.24,296
2024-12-17,252,252,207,219.05,359
2024-12-18,200,229,199,219.05,72
2024-12-19,204,234,204,234,253
2024-12-20,256,257.4,250,256.07,1759
2024-12-23,270,281.68,270,281.68,1926
2024-12-24,262,286,262,281.68,5
2024-12-27,304.9,309.85,255,281.68,24
2024-12-30,306,306,255.2,281.68,39
2024-12-31,304,304,299.99,281.68,20
2025-01-01,267.89,267.89,267.89,281.68,3
2025-01-03,280.81,280.81,280.81,281.68,1
2025-01-06,274.17,274.17,274.17,281.68,3
2025-01-07,253.51,299,253.51,281.68,10
2025-01-08,299.99,299.99,269.99,281.68,26
2025-01-09,299.99,299.99,299.99,281.68,2
2025-01-10,295,295,256,281.68,89
2025-01-14,298,298,276.99,281.68,4
2025-01-15,299,299,256.01,281.68,82
2025-01-16,258.01,297,258,281.68,22
2025-01-20,265,265,265,281.68,25
2025-01-23,260.11,260.11,260.11,281.68,1
2025-01-27,255,280,255,281.68,2
2025-02-11,255.5,255.5,253.51,281.68,27
2025-02-12,290,290,290,281.68,1
2025-02-14,290,290,290,281.68,10
2025-02-19,0,0,0,281.68,1
2025-02-24,255,256,255,281.68,5
2025-02-25,280,280,280,281.68,1
2025-02-27,285,285,285,281.68,1
2025-03-07,259.15,277.08,259.15,281.68,16
2025-03-21,254,254,253.95,281.68,2
2025-04-10,0,0,0,281.68,1
2025-04-14,253.51,255,253.51,281.68,19
2025-04-16,253.51,288,253.51,281.68,18
2025-04-18,281,281,281,281.68,72
2025-04-21,280,280,280,281.68,41
2025-04-23,253.51,275,253.51,270,1607
2025-04-25,280,280,280,270,29
2025-04-29,270,270,270,270,13
2025-05-12,295,295,294.99,270,3
2025-05-13,295,295,295,270,1
2025-05-15,270,275,270,270.05,301
2025-05-19,250,280,250,277.94,200
2025-05-20,260,260,260,277.94,1
2025-05-26,251,262,251,277.94,13
2025-05-30,300,300,290,277.94,71
2025-06-02,255.01,280,255.01,277.94,20
2025-06-03,255,255,252.52,252.52,108
2025-06-04,265,277.77,265,277.77,142
2025-06-05,305.2,305.55,298,300.99,211
2025-06-10,320,320,301,301,99
2025-06-11,273,301.99,273,301,3
2025-06-12,300,300,300,301,1
2025-06-13,271,299.89,271,295.85,78
2025-06-16,0,0,0,295.85,2
2025-06-17,268.1,299.7,268.1,295.85,3
2025-06-19,270.05,299.89,270.05,295.85,4
2025-06-20,267,272,267,295.85,10
2025-06-24,270,272,266.27,295.85,8
2025-06-25,299.89,299.89,299.89,295.85,19
2025-06-26,298.98,298.98,298.98,295.85,56
2025-06-27,299.9,299.9,299.9,299.9,91
2025-07-01,270.15,299.95,270.15,285.05,134
2025-07-04,265.01,299.9,265.01,285.05,7
2025-07-08,300,300,270.11,299.74,160
2025-07-09,315,329.71,270.02,328.99,346
2025-07-10,361.89,361.89,361.89,361.89,314
2025-07-11,398.08,398.08,341,398.08,939
2025-07-14,398.08,408,358.55,385.06,515
2025-07-15,399.95,399.95,346.61,349.72,793
2025-07-16,378,378,320.5,349.43,147
2025-07-17,378.5,378.5,322.34,349.43,24
2025-07-21,340,384,340,377.88,202
2025-07-22,377.76,380,376,377.81,98
2025-07-23,389,400,370.05,393.35,209
2025-07-24,405,405,400,404,250
2025-07-25,404,404,375,389.14,108
2025-07-29,371.1,383,371.1,389.14,21
2025-07-31,0,0,0,389.14,1
2025-08-01,380.01,380.01,380,389.14,26
2025-08-05,375.1,399,375,389.14,37
2025-08-06,361.01,361.01,361.01,389.14,1
2025-08-07,351,398.9,351,389.14,30
2025-08-08,360,384.99,350.23,389.14,54
2025-08-13,351.35,385,351.35,389.14,99
2025-08-18,370,370,351.35,389.14,3
2025-08-22,350.25,385,350.25,385,138
2025-08-26,351.33,384.97,351.33,385,11
2025-08-28,355,355,355,385,1
2025-08-29,351,351,351,385,10
2025-09-01,360,360,360,385,1
2025-09-02,346.5,382,346.5,382,198
2025-09-03,0,0,0,382,1
2025-09-04,345.33,379.99,345.33,382,55
2025-09-05,381.88,381.88,381.88,382,3
2025-09-08,361,380,345.44,370.85,104
2025-09-09,370,370,355,370.85,17
2025-09-10,350,390,333.77,341.96,397
2025-09-11,0,0,0,341.96,22
2025-09-23,349.99,350,349.99,341.96,3
2025-09-24,341.96,341.96,341.96,341.96,1
2025-09-25,310.33,360.99,310.33,341.96,3
2025-09-26,341,341,341,341.96,3
2025-09-30,341,341,341,341.81,7
2025-10-01,337.99,341,337.99,341,210
2025-10-02,341,341,341,341,43
2025-10-03,360.5,360.5,349,341,4
2025-10-06,341,341,340,341,38
2025-10-07,341,341,326.3,341,9
2025-10-08,339.3,355,339.3,340.5,116
2025-10-09,360,360,325.3,343.34,129
2025-10-10,339.99,348,339.99,343.34,7
2025-10-13,344,344,329.01,343.34,14
2025-10-14,339.99,340,306.76,311.87,261
2025-10-15,336,338,334,311.87,23
2025-10-17,325,343.06,325,343.06,412
2025-10-20,377.36,377.36,308.75,312.1,584
2025-10-21,340,340,315,315,122
2025-10-22,334.89,334.89,334.89,315,1
2025-10-23,316,330,316,315,8
2025-10-24,316,316,316,315,26
2025-10-27,313,316,313,315,94
2025-10-28,283.58,300,283.58,315,6
2025-10-29,333,340,333,315,7
2025-10-30,322,322,322,315,20
2025-10-31,321.56,330,321.12,315,7
2025-11-03,325,325,285.01,315,13
2025-11-04,342.39,342.4,325,333.57,115
2025-11-05,333.57,341.49,333.57,333.57,59
2025-11-06,339.49,339.49,305.01,333.57,5
2025-11-07,342,342,342,333.57,1
2025-11-10,311.01,344,311.01,333.57,28
2025-11-11,334,334,333.49,333.57,6
2025-11-12,332.49,332.49,300.53,326.77,54
2025-11-13,319,319,319,326.77,10
2025-11-17,341,341,305,326.77,3
2025-11-18,320,320,320,326.77,13
2025-11-20,325,359.45,325,359.34,403
2025-11-21,330,394,327.2,383.22,339
2025-11-24,383,415,382.99,383.22,57
2025-11-25,382,390,382,383.21,66
2025-11-26,382,382,355.21,383.21,38
2025-11-27,356,379.99,356,383.21,12
2025-11-28,361,375,361,383.21,37
2025-12-01,380,380,380,383.21,10
2025-12-02,355,389,355,383.21,204
2025-12-03,389,389,389,383.21,1
2025-12-05,383,419,344.89,351.11,148
2025-12-08,374,384,355,375.4,123
2025-12-09,395,407.99,337.86,393.66,294
2025-12-10,371.13,398.99,371.12,371.46,84
2025-12-11,369.99,408.61,369.99,408.59,588
2025-12-12,408.59,449.45,408.59,449.25,534
2025-12-15,494,494.18,450,493.54,511
2025-12-16,493.54,542.89,493.54,542.89,254
2025-12-17,551.1,597.18,530,590.07,2657
2025-12-18,591,629.5,591,593.75,627
2025-12-19,580,599,534.38,548.3,666
2025-12-22,493.47,530,493.47,511.62,112
2025-12-23,544,544,497.01,538.01,100
2025-12-24,490.01,545,485,538.01,40
2025-12-26,544.99,545,485,531.5,51
2025-12-29,520.01,548.97,520,531.5,4
2025-12-30,478.35,520,478.35,531.5,48
2025-12-31,515.01,555,478.35,483.27,194
2026-01-01,501.05,514.99,484,483.27,37
2026-01-02,510,510,440,499.82,79
2026-01-05,485.01,505,485.01,499.82,4
2026-01-06,485.03,549,485,545,193
2026-01-07,550,550,490.5,524.02,170
2026-01-08,530,575,495,543.09,150
2026-01-09,510.02,585,501.1,537.07,222
2026-01-12,537.07,539,505.02,537.07,27
2026-01-13,537.07,540,510,537.07,18
2026-01-14,500.02,510,483.36,537.07,44
2026-01-15,511.99,512.01,492.24,505.79,83
2026-01-16,514.44,530,471,515.69,144
2026-01-19,495.02,495.02,495.01,515.69,2
2026-01-20,496.56,520,496.56,520,307
2026-01-21,520,520,485.02,505,110
2026-01-22,486.69,498.99,486.68,505,41
2026-01-23,494.89,510,465,505,14
2026-01-26,520,520,500,505,6
2026-01-28,490.02,490.02,490.02,505,18
2026-01-29,505,505,505,505,1
2026-01-30,475,555,475,505,51
2026-02-02,485.01,485.01,475.02,505,11
2026-02-03,470,519.99,470,505,5
2026-02-06,487.01,487.01,487.01,505,1
2026-02-09,472.02,495.01,472.02,475.02,153
2026-02-10,475.12,475.12,475.1,475.1,878
2026-02-12,509.99,520,509.99,475.1,25
2026-02-13,520,520,445.05,475.1,4
2026-02-16,441.03,441.03,441,475.1,10
2026-02-17,451,475.1,451,452.68,99
2026-02-18,453,453,453,453,103
2026-02-20,498.29,498.3,498.29,453,2
2026-02-23,407.7,415,407.7,407.81,97
2026-02-25,448.59,448.59,448.59,407.81,1
2026-02-26,381.02,381.02,381,407.81,3
2026-02-27,400.05,448.59,400.05,407.81,11
2026-03-03,370.02,435,370,407.81,3
2026-03-04,444.98,444.98,444.98,407.81,1
2026-03-10,367.06,448.59,367.06,407.81,4
2026-03-12,443,443,443,407.81,2
2026-03-24,448,448,448,407.81,1
2026-03-25,380.01,448.59,380.01,448.59,122
2026-03-26,485,493.45,450,448.59,34
2026-03-27,425,492.98,403.73,407.16,126
2026-03-30,447,447,366.44,366.44,1853
2026-03-31,0,0,0,366.44,1
2026-04-01,366.44,399,329.8,346.28,1368
2026-04-02,346.99,346.99,320.02,346.28,74
2026-04-03,376,376,311.66,326.53,89
2026-04-06,326.53,327.01,326.53,326.53,49
2026-04-07,350.99,350.99,350.99,330.25,55
2026-04-08,363,363,297.23,330.25,14
2026-04-09,360.99,363.27,360.99,330.25,4
2026-04-10,360,363.28,360,330.25,6
2026-04-13,363,363,363,330.25,1
