date,open,high,low,close,volume
2023-12-22,8.3,8.6,8.08,8.32,251500
2023-12-26,8.12,8.13,8.0,8.0,29500
2023-12-27,8.34,8.34,8.34,8.34,500
2023-12-28,8.5,8.69,8.25,8.35,40000
2023-12-29,8.26,8.69,8.26,8.48,52000
2024-01-01,8.8,9.27,8.4,9.07,135000
2024-01-02,9.45,9.45,9.0,9.0,40000
2024-01-03,9.0,9.01,9.0,9.0,10000
2024-01-04,9.2,9.2,8.8,8.88,3500
2024-01-05,8.51,8.99,8.51,8.99,16500
2024-01-08,8.99,9.15,8.45,8.6,9000
2024-01-09,8.98,9.15,8.26,8.4,30500
2024-01-10,8.4,8.99,8.21,8.29,24000
2024-01-11,8.84,8.84,8.2,8.2,71500
2024-01-12,8.21,8.49,8.16,8.21,17000
2024-01-15,8.25,8.45,8.19,8.25,43500
2024-01-16,8.25,8.39,8.0,8.39,2500
2024-01-17,8.0,8.1,7.72,8.0,177500
2024-01-18,7.99,8.0,7.81,7.82,36500
2024-01-19,8.0,8.2,8.0,8.0,11000
2024-01-22,7.67,8.0,7.65,8.0,99000
2024-01-23,8.0,8.0,8.0,8.0,45000
2024-01-24,8.0,8.04,8.0,8.04,60500
2024-01-25,8.0,8.0,7.99,8.0,136500
2024-01-26,8.0,8.0,8.0,8.0,4500
2024-01-29,7.8,7.8,7.8,7.8,11500
2024-01-30,7.8,8.0,7.8,8.0,14000
2024-02-07,7.8,7.8,7.4,7.69,67000
2024-02-09,7.95,7.95,7.95,7.95,2000
2024-02-12,7.2,7.2,6.95,7.09,313500
2024-02-13,7.09,7.09,7.09,7.09,6000
2024-02-14,7.12,7.2,7.12,7.2,6000
2024-02-15,6.8,7.0,6.8,7.0,2000
2024-02-16,7.0,7.0,7.0,7.0,2500
2024-02-19,6.65,6.65,6.65,6.65,1500
2024-02-20,7.05,7.05,6.01,6.9,168000
2024-02-21,7.0,7.44,7.0,7.39,14000
2024-02-22,7.05,7.35,7.05,7.35,28500
2024-02-26,7.2,7.45,6.63,7.0,36000
2024-02-27,6.8,7.15,6.8,7.15,2500
2024-02-28,7.2,7.2,6.52,7.02,13500
2024-02-29,7.01,7.06,7.01,7.06,17500
2024-03-01,7.1,7.34,7.1,7.17,19000
2024-03-04,7.39,7.43,7.15,7.17,20000
2024-03-05,7.1,7.1,7.01,7.01,10000
2024-03-06,7.38,7.4,7.01,7.2,19500
2024-03-07,7.02,7.02,6.8,6.8,108500
2024-03-08,7.0,7.26,6.4,7.22,50000
