date,open,high,low,close,volume
2023-09-22,5.19,5.19,5.19,5.19,1000
2023-09-25,4.6,5.01,4.6,5.01,1000
2023-09-26,5.0,5.0,5.0,5.0,2000
2023-10-02,5.19,5.23,4.51,4.51,9000
2023-10-03,5.04,5.05,5.04,5.05,5500
2023-10-05,5.18,5.19,5.18,5.19,2000
2023-10-13,4.85,4.91,4.85,4.91,2500
2023-10-16,4.96,4.96,4.95,4.95,1500
2023-10-17,5.0,5.0,5.0,5.0,5000
2023-10-18,4.99,4.99,4.99,4.99,500
2023-10-27,4.73,4.73,4.71,4.71,5500
2023-10-30,4.81,4.81,4.81,4.81,1000
2023-10-31,5.09,5.09,4.85,4.85,2000
2023-11-02,4.99,5.0,4.99,5.0,1500
2023-11-03,4.83,4.83,4.82,4.82,1000
2023-11-07,5.0,5.0,5.0,5.0,1000
2023-11-10,4.95,5.0,4.95,5.0,13000
2023-11-14,5.05,5.05,4.91,4.91,2500
2023-11-15,5.0,5.0,4.5,5.0,62500
2023-11-17,5.11,5.11,5.11,5.11,1500
2023-11-20,5.1,5.1,5.03,5.03,5500
2023-11-21,5.71,5.71,5.42,5.42,33000
2023-11-22,5.12,5.17,5.12,5.16,7000
2023-11-23,5.14,5.14,5.11,5.11,1500
2023-11-27,5.38,5.42,5.3,5.3,7000
2023-11-28,5.42,5.42,5.42,5.42,1000
2023-11-29,5.39,5.39,5.39,5.39,5500
2023-11-30,5.4,5.4,5.3,5.3,1500
2023-12-01,5.39,5.42,5.39,5.42,6500
2023-12-04,5.26,5.28,5.26,5.28,3500
2023-12-05,5.35,5.45,5.25,5.45,13000
2023-12-06,5.45,5.75,5.29,5.7,160000
2023-12-07,5.5,6.0,5.5,5.98,44500
2023-12-08,6.4,6.6,6.1,6.43,144500
2023-12-11,6.84,6.84,5.54,6.25,13500
2023-12-12,6.49,6.49,6.4,6.4,1000
2023-12-13,6.4,6.6,6.27,6.27,141000
2023-12-14,6.15,7.27,6.15,6.72,454500
2023-12-15,6.9,6.9,6.71,6.71,9500
2023-12-18,6.7,6.88,6.7,6.7,14500
2023-12-19,6.7,6.99,6.6,6.6,4000
2023-12-20,6.62,6.62,6.1,6.11,21000
2023-12-21,6.5,6.5,6.4,6.4,1000
2023-12-22,6.3,6.3,6.2,6.2,2000
2023-12-26,5.97,6.45,5.97,6.45,1000
2023-12-27,6.45,6.98,6.27,6.27,6000
2023-12-28,6.25,6.25,6.2,6.2,46000
2024-01-01,6.74,6.74,6.74,6.74,500
2024-01-08,6.07,6.07,6.07,6.07,500
2024-01-11,6.79,6.79,6.79,6.79,500
2024-01-15,6.01,6.1,5.96,5.99,10500
2024-01-18,6.0,6.0,6.0,6.0,29500
2024-01-22,6.0,6.0,5.96,5.96,7500
2024-01-24,5.89,6.0,5.89,6.0,1000
2024-01-31,6.68,6.68,6.68,6.68,500
2024-02-01,6.55,6.56,6.55,6.56,11500
2024-02-07,6.75,6.75,6.01,6.2,23500
2024-02-14,6.25,6.25,6.16,6.16,3500
2024-02-15,6.25,6.6,6.25,6.6,19500
2024-02-20,6.19,6.19,5.75,5.96,7000
2024-02-21,5.96,5.96,5.96,5.96,500
2024-02-22,6.0,6.05,6.0,6.03,1500
2024-02-27,5.9,5.9,5.86,5.86,11000
2024-02-28,6.05,6.05,6.05,6.05,10000
2024-02-29,5.97,5.97,5.83,5.85,31000
2024-03-04,5.99,5.99,5.76,5.76,14500
2024-03-05,5.86,6.0,5.85,5.91,18500
2024-03-06,6.15,6.18,6.15,6.17,2000
2024-03-07,6.0,6.0,6.0,6.0,5000
