date,open,high,low,close,volume
2024-01-17,3.59,3.59,3.22,3.25,90000
2024-01-18,3.23,3.4,3.23,3.37,65500
2024-01-19,3.46,3.46,3.31,3.32,14000
2024-01-22,3.1,3.38,3.1,3.3,242500
2024-01-23,3.3,3.3,3.03,3.07,325500
2024-01-24,3.06,3.21,3.06,3.2,130500
2024-01-25,3.25,3.25,3.12,3.22,56500
2024-01-26,3.24,3.35,3.2,3.21,88000
2024-01-29,3.2,3.2,3.05,3.14,25500
2024-01-30,3.09,3.18,2.81,2.88,114000
2024-01-31,3,3.14,2.8,2.94,58500
2024-02-01,3.05,3.1,2.92,2.99,10500
2024-02-02,3.05,3.1,2.81,2.91,63500
2024-02-06,2.95,3,2.9,3,241000
2024-02-07,3,3.05,2.9,2.96,315000
2024-02-09,2.7,3.1,2.57,3.1,22000
2024-02-12,2.81,3,2.77,2.86,151500
2024-02-13,2.7,3.15,2.69,2.99,263000
2024-02-14,3,3.12,2.82,3.1,157000
2024-02-15,3.11,3.12,2.86,2.86,94500
2024-02-16,2.9,2.9,2.75,2.81,94000
2024-02-19,2.89,2.97,2.72,2.95,23000
2024-02-20,2.85,2.97,2.55,2.71,481000
2024-02-21,2.98,2.98,2.78,2.81,57000
2024-02-22,2.31,2.86,2.31,2.85,55500
2024-02-23,2.89,3,2.66,2.8,131500
2024-02-26,2.89,2.89,2.82,2.84,36000
2024-02-27,2.86,2.9,2.84,2.85,89500
2024-02-28,2.9,2.9,2.71,2.77,345500
2024-02-29,2.88,2.88,2.77,2.8,107500
2024-03-01,2.81,2.86,2.8,2.86,58500
2024-03-04,2.9,2.9,2.78,2.8,152500
2024-03-05,2.86,2.86,2.71,2.73,84000
2024-03-06,2.85,2.95,2.72,2.86,207500
2024-03-07,2.85,2.85,2.7,2.77,161000
2024-03-08,2.82,2.87,2.7,2.71,204500
2024-03-11,2.8,2.85,2.69,2.69,116000
2024-03-12,2.72,2.88,2.7,2.85,376000
2024-03-13,2.85,2.85,2.8,2.8,19000
2024-03-14,2.8,2.84,2.8,2.81,85500
2024-03-15,2.81,2.81,2.8,2.8,16500
2024-03-18,2.78,2.79,2.72,2.73,20000
2024-03-19,2.5,2.8,2.5,2.79,53500
2024-03-20,2.8,2.84,2.72,2.82,72000
2024-03-21,2.97,2.97,2.8,2.85,140000
2024-03-22,2.85,2.85,2.85,2.85,22500
2024-03-25,2.85,3.15,2.85,2.85,302500
2024-03-26,2.95,3.12,2.95,3.02,349000
2024-03-27,2.96,3.08,2.95,2.99,40000
2024-03-28,2.99,3,2.96,2.96,16500
2024-03-29,2.91,3,2.9,3,44000
2024-04-01,3.11,3.11,2.97,2.97,3500
2024-04-02,2.99,3,2.95,2.95,10000
2024-04-03,3,3,2.95,2.96,196000
2024-04-04,2.99,3.01,2.9,2.95,132500
2024-04-08,2.85,2.92,2.85,2.92,20000
2024-04-09,2.75,3,2.75,2.95,75000
2024-04-15,2.95,3.01,2.92,2.92,207000
2024-04-16,2.92,3.12,2.92,3,336000
2024-04-17,3.02,3.03,2.99,2.99,2500
2024-04-18,3.01,3.02,2.99,2.99,11000
2024-04-19,2.95,3.04,2.85,2.9,36000
2024-04-22,3.01,3.01,2.95,2.96,318000
2024-04-23,2.84,2.95,2.84,2.91,46000
2024-04-24,2.98,2.98,2.92,2.93,16000
2024-04-25,2.91,2.91,2.8,2.8,225000
2024-04-26,2.8,2.8,2.7,2.8,145500
2024-04-29,2.85,2.85,2.75,2.77,62000
2024-04-30,2.8,2.8,2.75,2.75,143000
2024-05-02,2.61,2.79,2.61,2.61,81000
2024-05-03,2.75,2.8,2.68,2.73,73000
2024-05-06,2.98,2.98,2.61,2.69,270000
2024-05-07,2.8,2.84,2.8,2.83,97500
2024-05-08,2.83,2.92,2.71,2.71,37000
2024-05-09,2.75,2.91,2.7,2.72,72000
2024-05-10,2.68,2.96,2.68,2.93,164500
2024-05-13,2.99,3.09,2.8,3.01,538500
2024-05-14,3.05,3.05,2.9,2.99,152000
2024-05-15,3,3.02,2.94,2.97,49500
2024-05-16,2.81,2.98,2.81,2.85,45000
2024-05-17,2.9,2.91,2.9,2.9,3000
2024-05-20,2.91,3.03,2.82,3,75002
2024-05-21,2.97,3.07,2.97,3.02,157214
2024-05-22,3.14,3.14,2.95,3,106526
2024-05-23,3.06,3.13,2.92,2.93,167101
2024-05-24,3,3.05,2.98,3.05,15015
2024-05-27,3.05,3.05,2.85,2.85,26502
2024-05-29,2.95,2.95,2.71,2.78,229274
2024-05-30,2.76,3,2.76,2.85,44429
2024-05-31,2.98,2.98,2.78,2.85,16707
2024-06-03,2.96,2.99,2.83,2.9,9274
2024-06-04,2.95,2.95,2.75,2.77,67132
2024-06-05,2.85,2.85,2.8,2.8,3799
2024-06-06,2.94,2.94,2.71,2.78,87015
2024-06-07,2.79,2.98,2.66,2.75,23629
2024-06-10,2.72,3.02,2.72,2.8,71657
2024-06-11,2.68,2.9,2.68,2.89,16430
2024-06-12,2.75,2.86,2.73,2.73,10147
2024-06-13,2.74,2.9,2.74,2.76,60096
