date,open,high,low,close,volume
2024-01-05,299.9,319.39,299.9,302.62,62600
2024-01-08,298.0,304.0,294.0,295.02,8500
2024-01-09,296.0,309.0,293.02,304.95,8800
2024-01-10,300.11,303.4,300.0,300.05,2200
2024-01-11,300.0,300.0,290.0,291.59,6100
2024-01-12,295.0,299.0,294.0,294.0,700
2024-01-16,285.63,290.0,285.63,290.0,300
2024-01-17,286.66,287.0,286.65,287.0,400
2024-01-18,298.99,299.0,285.52,285.52,600
2024-01-19,285.52,292.0,285.52,289.5,3600
2024-01-22,284.01,287.0,284.0,286.5,400
2024-01-23,288.0,288.0,280.0,280.0,900
2024-01-24,285.0,285.0,282.16,282.16,200
2024-01-26,282.0,285.0,275.52,284.89,700
2024-01-29,271.55,272.2,270.0,271.02,1300
2024-01-30,267.0,267.0,252.18,255.14,4300
2024-01-31,255.0,255.0,250.0,252.0,1300
2024-02-01,252.0,252.0,252.0,252.0,200
2024-02-02,261.9,261.9,245.0,249.25,1200
2024-02-06,250.0,255.0,250.0,254.9,700
2024-02-07,263.78,263.78,253.0,259.0,800
2024-02-09,257.0,257.0,251.0,251.05,300
2024-02-12,238.0,238.0,232.22,232.22,2700
2024-02-13,237.0,237.0,237.0,237.0,400
2024-02-14,238.0,243.5,238.0,242.39,1000
2024-02-15,236.15,236.15,228.0,232.0,300
2024-02-16,225.7,225.7,221.72,221.72,1400
2024-02-19,218.0,230.0,218.0,230.0,1400
2024-02-20,230.0,236.0,230.0,235.3,1400
2024-02-21,237.0,250.0,235.0,248.37,3000
2024-02-22,250.0,250.01,243.01,243.03,1300
2024-02-26,246.99,246.99,241.9,242.0,1300
2024-02-27,244.99,244.99,240.0,240.0,400
2024-02-28,236.0,239.78,232.0,234.5,3200
2024-02-29,236.99,240.0,235.0,238.69,6100
2024-03-01,242.0,256.59,242.0,245.08,6400
2024-03-04,247.44,248.95,246.99,247.25,1200
2024-03-05,245.0,247.0,244.0,244.0,2500
2024-03-06,246.99,247.0,243.0,243.34,2100
2024-03-07,243.34,246.99,243.34,245.0,1200
2024-03-08,246.0,260.0,246.0,259.06,3900
2024-03-11,260.0,261.0,258.0,258.0,5000
2024-03-12,254.5,254.5,247.01,247.42,1200
2024-03-13,251.96,253.96,250.0,250.0,1200
2024-03-14,244.01,248.0,244.01,246.01,700
2024-03-15,248.0,250.0,244.3,244.65,700
2024-03-18,246.0,246.0,246.0,246.0,300
2024-03-19,249.99,256.0,249.99,256.0,1400
2024-03-20,251.6,251.6,251.6,251.6,200
2024-03-21,250.0,250.0,250.0,250.0,900
2024-03-22,242.0,243.0,240.0,241.5,600
2024-03-25,246.0,246.0,235.0,235.15,4300
2024-03-26,235.01,243.7,235.01,240.7,1400
2024-03-27,237.0,239.0,232.0,235.0,4600
2024-03-28,232.1,237.5,232.1,234.8,1000
2024-03-29,235.05,244.0,231.0,237.0,2000
2024-04-01,237.0,244.0,233.0,234.57,1800
2024-04-02,234.1,235.3,234.1,235.07,600
2024-04-03,236.0,240.0,236.0,240.0,1800
2024-04-04,240.0,240.0,237.1,237.8,500
2024-04-08,240.0,247.5,240.0,243.67,2600
2024-04-09,247.0,249.0,245.0,245.5,1300
2024-04-15,245.0,248.0,244.0,247.5,1800
2024-04-16,250.0,266.06,249.0,264.11,12400
2024-04-17,280.0,282.0,252.0,267.98,10700
2024-04-18,263.0,264.0,260.0,260.0,2900
2024-04-19,264.0,273.0,264.0,270.19,4000
2024-04-22,272.0,285.0,272.0,280.0,11297
2024-04-23,280.0,282.0,275.0,275.16,10224
2024-04-24,276.0,281.4,276.0,279.85,1531
2024-04-25,281.8,283.0,270.0,271.7,9994
2024-04-26,276.5,278.67,272.1,274.1,9952
2024-04-29,278.6,280.0,273.0,274.0,4611
2024-04-30,265.0,274.0,265.0,270.02,1237
2024-05-02,266.02,270.0,260.1,260.8,2891
2024-05-03,273.65,280.36,271.0,280.36,13921
2024-05-06,301.39,301.39,301.39,301.39,8862
2024-05-07,323.99,323.99,323.99,323.99,32265
2024-05-08,325.0,329.0,300.0,301.18,26722
2024-05-09,295.5,323.77,295.5,323.77,44242
2024-05-10,326.97,344.0,315.0,328.91,26821
2024-05-13,328.0,339.39,320.1,329.12,8423
2024-05-14,333.0,335.0,325.0,325.16,12324
2024-05-15,328.0,328.0,317.14,321.12,3683
2024-05-16,316.25,319.85,316.0,318.9,6833
2024-05-17,319.7,319.7,302.11,308.74,3871
2024-05-20,308.0,310.0,308.0,308.5,775
2024-05-21,304.11,310.0,304.0,306.01,1536
2024-05-22,309.99,310.0,305.0,306.96,2177
2024-05-23,303.01,306.0,302.0,302.04,352
2024-05-24,308.49,319.98,308.1,311.5,985
2024-05-27,312.0,312.0,308.0,309.27,468
2024-05-29,308.0,310.0,303.0,304.99,1010
2024-05-30,302.02,302.02,299.0,302.0,2458
2024-05-31,309.8,311.0,300.0,302.8,7082
2024-06-03,311.0,311.65,302.0,302.11,1969
2024-06-04,302.0,304.99,290.0,299.3,2357
2024-06-05,304.0,304.0,299.0,299.0,5246
2024-06-06,301.99,301.99,299.0,299.39,1464
2024-06-07,305.75,305.75,280.52,299.39,4326
2024-06-10,282.1,300.0,282.1,298.42,403
2024-06-11,290.01,299.0,282.0,294.39,1213
2024-06-12,294.0,300.0,292.0,300.0,3212
2024-06-13,300.9,310.0,300.9,303.8,6539
2024-06-14,311.0,311.0,295.0,299.51,6246
2024-06-20,310.0,310.0,300.0,303.0,2175
2024-06-21,302.2,305.0,302.01,303.16,1623
2024-06-24,303.16,307.0,303.0,306.37,2329
2024-06-25,304.1,314.87,299.99,301.29,7347
2024-06-26,303.0,303.0,290.0,291.01,6460
2024-06-27,291.4,295.41,291.4,291.5,2388
2024-06-28,295.0,296.0,292.5,295.05,1021
2024-07-01,296.0,296.0,285.01,287.98,407
2024-07-02,290.0,296.45,285.12,290.05,3309
2024-07-03,290.0,290.1,288.9,290.0,849
2024-07-04,290.12,292.0,290.0,290.0,1568
2024-07-05,292.0,292.0,292.0,290.0,66
2024-07-08,295.0,295.0,270.0,287.49,762
2024-07-09,292.0,300.96,291.9,296.59,2873
2024-07-10,295.99,314.0,295.99,305.68,13924
2024-07-11,295.0,330.3,295.0,310.76,34561
2024-07-12,309.99,309.99,300.05,304.41,2569
2024-07-15,304.0,307.0,301.0,302.03,4517
2024-07-18,301.55,320.0,299.45,312.12,36313
2024-07-19,315.0,315.0,304.0,305.3,5322
2024-07-22,302.0,307.9,290.0,292.5,3781
2024-07-23,304.0,306.66,295.02,298.5,5121
2024-07-24,305.0,305.0,299.5,299.5,2553
2024-07-25,308.0,311.99,280.0,287.02,11639
2024-07-26,284.0,284.99,263.11,278.17,3373
2024-07-29,282.0,289.88,282.0,282.81,1899
2024-07-30,270.11,289.0,270.11,275.04,1935
2024-07-31,285.0,285.0,271.0,273.7,3802
2024-08-01,255.1,285.99,255.1,274.33,5046
2024-08-02,261.5,297.77,261.5,279.83,2713
2024-08-05,284.9,284.9,266.75,269.89,2009
2024-08-06,269.0,290.0,269.0,269.9,1354
2024-08-07,270.1,272.9,270.05,272.21,1131
2024-08-08,273.9,273.9,271.01,271.43,1913
2024-08-09,270.0,279.0,270.0,273.0,1212
2024-08-12,269.12,273.0,269.0,271.44,1183
2024-08-13,277.0,278.99,270.0,276.64,2512
2024-08-15,271.0,279.0,261.1,267.13,2014
2024-08-16,270.0,272.0,256.5,265.61,1136
2024-08-19,270.98,270.98,261.5,261.57,2378
2024-08-20,264.9,265.0,258.0,262.5,1261
2024-08-21,278.77,278.77,258.0,258.46,5083
