date,open,high,low,close,volume
2024-01-15,506.25,506.25,497.05,498,5600
2024-01-16,491.76,499.99,491.25,499,1100
2024-01-17,499.9,512.75,499.9,507,332200
2024-01-18,500.1,510,500,507.21,50000
2024-01-19,514.93,531,508,510,18800
2024-01-22,517.95,517.95,508,510,50400
2024-01-23,508.01,524,508.01,522.11,6900
2024-01-24,515.01,515.01,515,515,900
2024-01-25,519.99,519.99,513,513,700
2024-01-26,510.1,511,495.01,508.58,138000
2024-01-29,499,501.5,488.25,494.8,14000
2024-01-30,490.01,500,490.01,494,7000
2024-01-31,493,493,492,493,800
2024-02-01,495,529,494.1,506.96,17500
2024-02-02,516,519.9,508,512.66,11600
2024-02-06,509.99,518,501.1,513,2600
2024-02-07,524.95,524.95,507,508,7600
2024-02-09,500,519.25,490,508.02,31300
2024-02-12,500,500.5,490,490,15300
2024-02-13,500,500,476,479.78,39900
2024-02-14,500,500.01,490,496.56,17200
2024-02-15,491.1,491.1,484,484.89,5700
2024-02-16,482,482,469.99,471.26,10800
2024-02-19,471.26,476.95,465.5,470.05,5200
2024-02-20,485,505.3,485,505.3,21600
2024-02-21,543,543.2,525,543.2,174600
2024-02-22,551.99,556,515,521.69,36500
2024-02-23,510,518.1,500,512.19,40400
2024-02-26,507.9,527,507.9,524.24,18200
2024-02-27,516.5,516.5,510.01,512,3500
2024-02-28,511,514.5,506.01,510,2800
2024-02-29,517.6,518,512,512,3800
2024-03-01,501.01,520,501.01,506.77,5800
2024-03-04,508.11,510,507,510,6700
2024-03-05,505,515,504,514.92,2800
2024-03-06,515,515,515,515,1400
2024-03-07,510,515,505,510.18,3400
2024-03-08,509,510,500,502.22,5300
2024-03-11,503,520,503,514.46,14887
2024-03-12,518,518,507,507.05,3423
2024-03-13,510,510,500,500.07,13358
2024-03-14,507,512,501,505.12,2967
2024-03-15,514,514,503,509,3012
2024-03-18,510,510,507,507.6,641
2024-03-19,506.5,511,506.5,509.2,9882
2024-03-20,512.45,512.45,507.2,507.52,9404
2024-03-21,512,515,508.16,510.09,8163
2024-03-22,508.25,515.01,508.25,514.5,11100
2024-03-25,522,522,503,514.13,1843
2024-03-26,515,515.55,510,512.9,4965
2024-03-27,514.98,517,508,514.52,4969
2024-03-28,518.01,518.01,513.25,516.53,4347
2024-03-29,519,524,505.01,509.44,16972
2024-04-01,515,515.98,506,508,4708
2024-04-02,514.6,514.6,508.51,510.86,12015
2024-04-03,511,513,504.77,508.92,24951
2024-04-04,524.01,547.09,515,547.09,159094
2024-04-08,584,584,552,573.13,49870
2024-04-09,577,577.99,568.01,574.77,9220
2024-04-15,559,569,558.11,566.35,19888
2024-04-16,563,567,556,560.38,14462
2024-04-17,545.01,570,545.01,565.43,8305
2024-04-18,535,535,527,533.16,26499
2024-04-19,545,545,520,528.97,10970
2024-04-22,530,535,520,531.63,33787
2024-04-23,533.95,542,530,536.28,13632
2024-04-24,533,555,533,550.05,21084
2024-04-25,558.49,560.01,535,555.56,10688
2024-04-26,555,580.01,555,577.4,19028
2024-04-29,577.1,605,577.1,595.18,23345
2024-04-30,590,597,582,585.18,10471
2024-05-02,560,605,560,570.26,14396
2024-05-03,584,584,565,569.94,17701
2024-05-06,563.26,582.99,563.26,581.87,52098
2024-05-07,584.5,625.51,572.5,623,196914
2024-05-08,666,666,610,649.82,32255
2024-05-09,649.99,680.75,640.82,653.67,156448
2024-05-10,660,695,659.99,684.76,95392
2024-05-13,695,725,695,711.87,42982
2024-05-14,710,720,695,703.63,120835
2024-05-15,700.01,710,650.86,660.69,568650
2024-05-16,672,673.88,664,670.34,34190
2024-05-17,678.35,681.98,665,678.99,33322
2024-05-20,684,684.8,665,671.24,4702
2024-05-21,671.25,676,655.05,664.56,13267
2024-05-22,677.8,680,661,665.08,44404
2024-05-23,674.3,674.3,655,660.33,5353
2024-05-24,671.5,671.5,648,670.88,30242
2024-05-27,671.5,675.19,661,673.65,49442
2024-05-29,663.02,682,663,678.22,46162
2024-05-30,678,680,667.01,677.93,11705
2024-05-31,670,684.9,670,680.49,4940
2024-06-03,680,690,668,678.11,6102
2024-06-04,670.1,685,670.1,684.23,112795
2024-06-05,671.01,688.79,670.1,683.94,45445
2024-06-06,681,685,679,681,8514
2024-06-07,679,689,652,684.32,64887
2024-06-10,677,687.5,677,681.46,8754
2024-06-11,695,699,680,693.67,18905
2024-06-12,695,700,695,697.39,2933
2024-06-13,701,735,690,731.01,28937
2024-06-14,675.1,745,675.1,725.04,9470
2024-06-20,739,739,702.2,726.76,6757
2024-06-21,725,739.9,711.2,724.55,6034
2024-06-24,724,724,709.04,710.36,14432
2024-06-25,715,715,710,710.22,2786
2024-06-26,717.8,717.8,700,705.16,830
2024-06-27,710,718.01,705,714.7,5749
2024-06-28,718,718,660.05,713.58,6344
2024-07-01,717.98,718,712.01,716.9,410
2024-07-02,717,718,712.11,713,2489
2024-07-03,717.8,720,707,719.12,18108
2024-07-04,723.6,729.8,714.5,714.78,15964
2024-07-05,722,722,706,715.12,3464
2024-07-08,723,723,700,701.46,5372
2024-07-09,708.98,719,703,711.94,2581
2024-07-10,712,723,700,700,22123
2024-07-11,712,716.75,699.99,709.07,4961
2024-07-12,714.8,714.8,703.6,704.81,1562
2024-07-15,710,713.5,707.5,709.99,1994
2024-07-18,715,715,701.12,702.52,3701
2024-07-19,700.02,716,700,715,12780
2024-07-22,650.11,730,650.11,691.97,43864
2024-07-23,690.5,709.99,688,705.84,2136
2024-07-24,713,717.3,700,709.95,1961
2024-07-25,715.9,715.9,680,705.92,4911
2024-07-26,711.99,711.99,696,699.35,1024
2024-07-29,701,714.89,701,712.83,1775
2024-07-30,719,719,690,696.62,4283
2024-07-31,710,710,626.96,683.35,5009
2024-08-01,692.8,692.8,673,677.57,1353
2024-08-02,698.8,698.8,679,686.69,2791
2024-08-05,695,695,670,672.11,4103
2024-08-06,697,697,665.1,666.61,2846
2024-08-07,686.9,686.9,666.7,671,4257
2024-08-08,651.01,685,651.01,670.03,7377
2024-08-09,679.99,679.99,660.05,669.39,2097
2024-08-12,662,670,651,656.56,5773
2024-08-13,660,670,655,659.98,7129
2024-08-15,661,690,661,671.15,32224
