date,open,high,low,close,volume
2023-11-10,1.56,1.69,1.54,1.69,32500
2023-11-13,1.57,1.67,1.57,1.61,18000
2023-11-14,1.66,1.66,1.56,1.64,13000
2023-11-15,1.65,1.65,1.6,1.6,23000
2023-11-16,1.68,1.68,1.6,1.61,33000
2023-11-17,1.52,1.66,1.52,1.66,37500
2023-11-20,1.68,1.69,1.65,1.67,108500
2023-11-21,1.69,1.82,1.67,1.71,824000
2023-11-22,1.75,1.95,1.71,1.82,159500
2023-11-23,1.88,1.89,1.8,1.82,93000
2023-11-24,1.86,1.86,1.75,1.84,39500
2023-11-27,1.8,1.99,1.77,1.96,912000
2023-11-28,2,2.4,1.92,2.15,1317500
2023-11-29,2.1,2.18,1.98,2.08,215500
2023-11-30,2.08,2.18,2,2.1,69500
2023-12-01,2.1,2.1,2,2.08,29000
2023-12-04,2,2.15,1.9,2.05,107500
2023-12-05,2,2.08,1.81,2.04,62000
2023-12-06,2,2.07,1.92,2.03,50500
2023-12-07,1.95,2.07,1.95,2.04,135500
2023-12-08,2,2.15,1.9,2.11,1147500
2023-12-11,2.06,2.32,2.06,2.2,208000
2023-12-12,2.14,2.25,2.14,2.24,164000
2023-12-13,2.19,2.4,2.11,2.2,585000
2023-12-14,2.38,2.49,2.25,2.43,670000
2023-12-15,2.5,2.65,2.42,2.59,1690500
2023-12-18,2.61,2.95,2.6,2.73,889500
2023-12-19,2.88,2.9,2.26,2.59,781000
2023-12-20,2.22,2.6,2.2,2.28,125500
2023-12-21,2.3,2.5,2.3,2.38,42000
2023-12-22,2.38,2.49,2.24,2.43,122000
2023-12-26,2.14,2.48,2.14,2.4,15500
2023-12-27,2.11,2.38,2.11,2.36,63500
2023-12-28,2.48,2.48,2.15,2.31,42500
2023-12-29,2.43,2.43,2.16,2.3,14500
2024-01-01,2.29,2.43,2.28,2.3,39500
2024-01-02,2.44,2.45,2.2,2.27,51000
2024-01-03,2.3,2.38,2.26,2.33,71000
2024-01-04,2.3,2.4,2.3,2.39,35000
2024-01-05,2.31,2.43,1.82,2.36,38500
2024-01-08,2.26,2.4,2.26,2.4,70500
2024-01-09,2.49,2.49,2.4,2.47,32000
2024-01-10,2.3,2.39,2.28,2.37,22500
2024-01-11,2.4,3.35,2.39,2.99,4155000
2024-01-12,3.1,3.2,2.53,2.8,1667500
2024-01-15,2.99,3.1,2.6,2.73,608500
2024-01-16,2.79,2.79,2.45,2.55,864000
2024-01-17,2.6,2.65,2.3,2.37,287500
2024-01-18,2.78,2.8,2.22,2.68,1050500
2024-01-19,2.69,2.8,2.6,2.68,234000
2024-01-22,2.55,2.65,2.4,2.48,746500
2024-01-23,2.41,2.63,2.35,2.61,149500
2024-01-24,2.5,2.67,2.5,2.62,154500
2024-01-25,2.5,2.6,2.4,2.43,91500
2024-01-26,2.4,2.45,2.3,2.32,230500
2024-01-29,2.5,2.5,2.02,2.11,374500
2024-01-30,2.29,2.3,1.9,1.92,823000
2024-01-31,2,2,1.86,1.88,320000
2024-02-01,1.95,2.1,1.95,1.99,322500
2024-02-02,2.01,2.13,1.96,2,308500
2024-02-06,1.82,2.15,1.82,2.12,149000
2024-02-07,2.14,2.14,2.02,2.1,150000
2024-02-09,1.91,2,1.75,1.9,123500
2024-02-12,2,2.12,1.77,1.81,51500
2024-02-13,1.75,1.75,1.31,1.45,640500
2024-02-14,1.4,1.68,1.25,1.54,1202500
2024-02-15,1.41,1.5,1.3,1.45,539500
2024-02-16,1.44,1.49,1.26,1.35,346500
2024-02-19,1.23,1.35,1.2,1.22,165500
2024-02-20,1.25,1.35,1.13,1.27,519000
2024-04-30,2.27,2.27,1.8,2.02,1471000
2024-05-02,1.95,1.99,1.55,1.69,1088000
2024-05-03,1.67,1.73,1.61,1.67,342500
2024-05-06,1.57,1.75,1.57,1.72,239500
2024-05-07,1.83,1.83,1.66,1.72,122500
2024-05-08,1.67,1.7,1.51,1.54,441500
2024-05-09,1.6,1.6,1.49,1.53,450500
2024-05-10,1.49,1.64,1.49,1.53,22500
2024-05-13,1.56,1.89,1.56,1.84,1152500
2024-05-14,1.86,2.1,1.86,1.9,2591500
2024-05-15,1.92,1.92,1.75,1.77,310500
2024-05-16,1.65,1.75,1.65,1.71,494500
2024-05-17,1.9,1.9,1.72,1.73,147000
2024-05-20,1.8,1.81,1.62,1.65,171500
2024-05-21,1.66,1.74,1.51,1.6,631500
2024-05-22,1.6,1.65,1.58,1.59,222000
2024-05-23,1.62,1.77,1.62,1.7,237500
2024-05-24,1.62,1.86,1.62,1.71,282500
2024-05-27,1.71,1.78,1.65,1.75,19005
2024-05-29,1.71,1.71,1.58,1.66,63106
2024-05-30,1.69,1.73,1.6,1.63,81681
2024-05-31,1.62,1.79,1.62,1.71,45143
2024-06-03,1.9,2.39,1.55,2.1,1742282
2024-06-04,2,2.2,1.7,1.89,1697899
2024-06-05,1.94,1.94,1.76,1.82,579672
2024-06-06,1.89,2.82,1.77,2.82,7632684
2024-06-07,3.25,3.82,3.03,3.82,8326166
2024-06-10,4.29,4.82,2.82,2.93,13274153
2024-06-11,3,3.5,3,3.14,3378541
2024-06-12,3.14,3.5,2.83,2.97,1222786
2024-06-13,3.22,3.22,2.75,2.8,1718679
2024-06-14,2.79,2.8,2.55,2.57,314100
2024-06-20,2.8,3.4,2.6,3.05,3837258
2024-06-21,3.19,3.19,2.7,2.82,1021989
2024-06-24,2.96,3.1,2.69,2.88,1422337
2024-06-25,2.96,2.96,2.6,2.67,1145227
2024-06-26,2.6,2.77,2.5,2.54,507326
2024-06-27,2.68,2.75,2.58,2.7,366831
2024-06-28,2.79,3.14,2.6,2.85,2464652
2024-07-01,2.91,2.97,2.7,2.76,755385
2024-07-02,2.9,2.9,2.65,2.83,381804
2024-07-03,2.9,2.9,2.68,2.74,301089
2024-07-04,2.75,2.85,2.65,2.7,276536
2024-07-05,2.7,2.9,2.6,2.74,535619
2024-07-08,2.66,2.85,2.62,2.71,94119
2024-07-09,2.79,2.79,2.61,2.68,273443
2024-07-10,2.62,2.79,2.5,2.62,343472
2024-07-11,2.52,2.6,2.41,2.45,501049
2024-07-12,2.58,2.6,2.34,2.45,617278
2024-07-15,2.45,2.58,2.11,2.31,755851
2024-07-18,2.42,2.42,2.01,2.12,613042
2024-07-19,2.07,2.24,1.9,2.08,546985
2024-07-22,2.15,2.15,2,2.03,215144
2024-07-23,2.14,2.39,1.95,2.26,996765
2024-07-24,2.27,2.27,2.01,2.05,415327
2024-07-25,2.15,2.36,2.05,2.09,743450
2024-07-26,2.23,2.23,2,2,642155
2024-07-29,2.14,2.5,2,2.41,1391119
2024-07-30,2.49,2.5,2.3,2.36,347789
2024-07-31,2.42,2.8,2.12,2.28,1389395
2024-08-01,2.4,2.46,2.26,2.3,290098
2024-08-02,2.4,2.65,2.36,2.53,1273167
2024-08-05,2.55,2.88,2.55,2.79,1989224
2024-08-06,2.89,2.97,2.61,2.73,2266599
2024-08-07,2.83,3.6,2.6,3.11,4328826
2024-08-08,3.11,3.28,2.92,3.02,1922786
2024-08-09,3.02,3.15,2.9,3.06,812671
2024-08-12,3.09,3.5,3.09,3.42,3321158
2024-08-13,3.5,3.7,3.02,3.48,4513948
2024-08-15,3.47,3.69,3.27,3.52,1588481
2024-08-16,3.6,3.62,3.12,3.16,1359033
2024-08-19,3.2,3.29,2.65,2.68,2153923
2024-08-20,2.75,2.79,2.62,2.7,515037
2024-08-21,2.8,2.99,2.8,2.92,723518
2024-08-22,3,3.3,2.9,3.07,1573460
2024-08-23,3.05,3.2,2.9,2.94,794152
2024-08-26,2.99,2.99,2.75,2.78,212636
2024-08-27,2.89,3,2.8,2.94,391101
2024-08-28,3.01,3.05,2.8,2.84,880043
2024-08-29,2.84,3.35,2.82,3.24,2297402
2024-08-30,3.34,4.24,3.33,3.69,9302760
2024-09-02,3.74,3.99,3.44,3.55,2804744
2024-09-03,3.7,3.99,3.42,3.78,3896469
2024-09-04,3.9,4.78,3.83,4.78,6913214
2024-09-05,5.29,5.47,4.65,4.85,10405266
2024-09-06,4.6,5.23,4.5,4.57,2814856
2024-09-09,4.43,4.74,4.22,4.3,1630748
2024-09-10,4.57,4.57,3.9,4.12,2354921
2024-09-11,4.2,4.2,3.85,3.93,369501
2024-09-12,4,4.38,3.9,4.06,2037878
2024-09-13,4.39,4.39,3.9,3.92,1705383
2024-09-16,3.75,4.14,3.75,3.93,479780
2024-09-18,4.1,4.15,3.9,3.92,756475
2024-09-19,4,4.1,3.8,3.82,684673
2024-09-20,3.82,3.99,3.17,3.59,669195
2024-09-23,3.69,3.85,3.5,3.7,800365
2024-09-24,3.78,3.85,3.7,3.7,856496
