date,open,high,low,close,volume
2024-01-12,26.7,27,26.11,26.26,417000
2024-01-15,26.01,26.78,25.91,26.05,230000
2024-01-16,26,26.55,25.71,26.47,202000
2024-01-17,26.55,26.69,26.1,26.5,177000
2024-01-18,26.15,26.15,25.51,25.76,111000
2024-01-19,26.23,26.23,25.61,25.81,104000
2024-01-22,26.15,26.45,25.52,26.19,194000
2024-01-23,26.21,26.53,25.9,26.18,357500
2024-01-24,26.11,26.85,26,26.14,383000
2024-01-25,26.28,26.44,25.35,25.48,333000
2024-01-26,25.3,25.65,25.26,25.4,77500
2024-01-29,25.26,25.48,24.72,24.81,167500
2024-01-30,24.81,25.1,23.95,24,257000
2024-01-31,24.05,24.39,24.02,24.08,100000
2024-02-01,24.11,24.11,23.81,23.97,55500
2024-02-02,24,24.35,23.75,24.14,49500
2024-02-06,24.08,24.64,24.01,24.52,200500
2024-02-07,24.75,25.4,24.75,24.92,251500
2024-02-09,24.48,24.66,23.9,24.26,91500
2024-02-12,23.88,24.1,22.9,23.07,137000
2024-02-13,23.07,23.88,22.4,23.18,178500
2024-02-14,23.9,24,23.3,23.47,262000
2024-02-15,23.5,24.15,22.75,23.74,325000
2024-02-16,23.62,23.62,22.1,22.49,336000
2024-02-19,22.09,23.1,22,22.96,91000
2024-02-20,23,23.78,23,23.21,125500
2024-02-21,23.85,24.14,23.45,24.06,180000
2024-02-22,23.93,24.1,23.7,23.9,110000
2024-02-23,23.9,24.25,23.61,24.08,134500
2024-02-26,23.62,24.4,23.62,23.94,179000
2024-02-27,23.91,23.91,23.25,23.3,117000
2024-02-28,23.25,24.29,23,23.41,346500
2024-02-29,23.21,24.1,23.2,23.7,614000
2024-03-01,23.27,23.6,23.01,23.26,400500
2024-03-04,23.73,23.73,23.26,23.34,123000
2024-03-05,23.6,23.6,22.81,22.89,286000
2024-03-06,23,23.28,22.77,22.89,263000
2024-03-07,23,23,22.7,22.77,81500
2024-03-08,23,23.5,22.7,23.25,289000
2024-03-11,23.48,24.99,23.4,24.91,2421000
2024-03-12,24.95,25.89,24.1,24.9,1050000
2024-03-13,24.52,24.7,23.65,23.73,180500
2024-03-14,23.97,24.85,23.97,24.27,498500
2024-03-15,24.5,25.98,24.12,25.03,1391000
2024-03-18,25.9,26.25,23.5,23.82,2030500
2024-03-19,23.75,23.89,23.45,23.49,246000
2024-03-20,23.75,23.75,23.01,23.13,293500
2024-03-21,23.2,23.3,22.82,23.05,212500
2024-03-22,22.8,23,22.8,22.94,59500
2024-03-25,22.94,23.3,22.94,23.29,25000
2024-03-26,23.63,23.63,22.96,23.06,131000
2024-03-27,22.91,23.2,22.91,22.97,78000
2024-03-28,23.23,23.42,23,23.03,99500
2024-03-29,23.27,23.4,22.8,22.92,106000
2024-04-01,23.01,23.38,22.8,22.87,74500
2024-04-02,22.71,23.14,22.71,23,169000
2024-04-03,23.15,23.3,23,23.18,123500
2024-04-04,23.38,23.9,23.01,23.3,327500
2024-04-08,23.26,23.64,23.26,23.55,382500
2024-04-09,23.8,23.8,23.4,23.43,126000
2024-04-15,23.48,23.8,23.25,23.62,160000
2024-04-16,23.87,24.05,23.3,23.5,297500
2024-04-17,23.5,23.6,23.2,23.32,108500
2024-04-18,23.6,23.6,23.32,23.46,73000
2024-04-19,23.67,24,23.3,23.87,438500
2024-04-22,24.1,24.9,24.05,24.5,1163500
2024-04-23,24.42,24.74,24,24.07,463000
2024-04-24,24.15,25.44,24.02,24.93,1365500
2024-04-25,25.2,25.4,24.6,24.77,947000
2024-04-26,24.85,24.85,24.45,24.49,176500
2024-04-29,24.78,24.78,24,24.06,347500
2024-04-30,24.66,25.86,24.66,25.86,3656500
2024-05-02,26.31,26.46,24.66,25.02,1877500
2024-05-03,25.23,25.51,24.6,24.78,1274500
2024-05-06,25.1,25.98,25,25.64,1578500
2024-05-07,25.69,27.48,25.45,26.32,4258000
2024-05-08,26.87,27.7,26.3,26.5,2438500
2024-05-09,27.1,28.1,26.65,27.45,3804000
2024-05-10,27.7,29.24,27.5,28.59,4939500
2024-05-13,29,30.73,29,30.73,2390966
2024-05-14,32.48,33.03,29.69,33.01,8387124
2024-05-15,34.15,35.49,33.55,34.01,7903654
2024-05-16,33.77,35.35,32.56,34.69,2956702
2024-05-17,35.2,37.29,34.5,37.14,6000376
2024-05-20,37,38.35,34.36,35.54,3711765
