date,open,high,low,close,volume
2023-08-28,274,274,250.1,266.5,1200
2023-08-30,266.45,266.45,266.45,266.45,400
2023-08-31,276.81,278,251,251,900
2023-09-12,259.99,259.99,259.99,259.99,1100
2023-09-14,250,250,250,250,100
2023-09-15,250,250,250,250,100
2023-09-20,263.8,263.8,250,259.75,300
2023-09-21,266.65,266.65,266.65,266.65,100
2023-09-25,250,261.99,250,261.99,300
2023-10-02,250,255,250,255,1600
2023-10-03,252,252,252,252,500
2023-10-05,260.8,260.8,250,250,300
2023-10-10,260.75,260.75,260.75,260.75,100
2023-10-11,250,259.8,250,251.96,500
2023-10-12,264.8,264.8,264.8,264.8,100
2023-10-19,251.09,251.09,250,251,2000
2023-10-20,251,252,251,251.5,200
2023-10-23,255,265,251,251.33,6200
2023-10-24,262,263,253,255,10200
2023-10-25,260,265,260,265,15000
2023-10-26,275,280,275,280,14000
2023-10-27,285,293,285,291.07,45800
2023-10-30,300,312.9,300,300,27800
2023-10-31,300,314.9,300,309,4200
2023-11-01,329,329.99,309,315,9400
2023-11-02,309,309,305.5,306.4,1400
2023-11-03,305,306,302,302,1800
2023-11-06,300,300,300,300,20000
2023-11-07,300,300,300,300,1300
2023-11-08,300.5,300.5,300,300,3500
2023-11-13,300,310,300,310,21000
2023-11-14,313,325,313,325,19400
2023-11-15,329,344,329,340,7900
2023-11-16,343,362.5,343,362.5,52000
2023-11-20,350.01,360,350,353.25,50900
2023-11-21,351,360,350,350.2,2100
2023-11-22,368,368.49,368,368.49,200
2023-11-23,351,362.98,350,362.98,2300
2023-11-28,358,364.5,352,364.5,1100
2023-11-29,389.98,389.98,365,365,500
2023-12-04,359.9,362.99,351.9,354.67,1300
2023-12-05,350,350,350,350,6600
2023-12-06,370,370,358,358,300
2023-12-07,360,360,350.1,350.1,300
2023-12-08,350,350,350,350,800
2023-12-11,360,360,350.01,359,1400
2023-12-12,369.99,369.99,369.99,369.99,100
2023-12-13,343.05,368.98,343.05,368.98,300
2023-12-21,341.31,341.31,341.31,341.31,400
2023-12-22,320,347.98,315.75,340.45,1100
2023-12-26,363.9,363.9,363.9,363.9,400
2024-01-02,350,371.98,350,367.58,700
2024-01-03,350,369,350,369,200
2024-01-04,369,369,350,367.98,700
2024-01-08,350.01,394.99,350,384.9,108800
2024-01-09,397,397.9,388,395.14,1400
2024-01-10,400,400,400,400,100
2024-01-11,375,400,375,400,200
2024-01-12,418,418,418,418,100
2024-01-16,402,402,402,402,500
2024-01-17,412,429,380,393.55,1200
2024-01-19,420,420,380,399.99,500
2024-01-22,400,400,400,400,22900
2024-01-23,371,371,371,371,100
2024-01-24,394,394,394,394,5000
2024-01-30,380,399,370,375,51500
2024-01-31,355,360,353,355.75,400
2024-02-02,355,380,355,378.3,400
2024-02-06,380,400,380,400,76500
2024-02-07,400,400.01,400,400,4400
2024-02-12,410,410,410,410,300
2024-02-20,379.26,379.26,379.26,379.26,300
2024-02-21,389,389,389,389,100
2024-02-22,398,398,398,398,100
2024-02-29,368.15,368.15,368.15,368.15,600
2024-03-01,385,385,385,385,100
2024-03-08,379,399,379,399,10200
2024-03-19,369.08,388,369.08,369.08,400
2024-03-21,374.9,374.9,374.9,374.9,100
2024-03-25,346.8,364.95,346.8,364.95,200
2024-04-01,369.9,369.9,369.9,369.9,100
2024-04-03,342.16,342.16,342.16,342.16,200
2024-04-04,350,350,350,350,100
2024-04-15,350,370,350,370,9000
2024-04-16,370,370,370,370,2500
2024-04-18,370,374,365,373.95,500
2024-04-19,370,370,370,370,600
2024-04-22,390,390,351,370.26,308
2024-04-23,374.99,374.99,374.99,374.99,100
2024-04-24,382,400,375,399.99,22628
2024-04-25,390,421,390,400.8,50052
2024-04-26,400,408.5,399.99,400,16044
2024-04-29,400,400,400,400,50952
2024-04-30,400,400,400,400,134
2024-05-02,400,400,400,400,79113
2024-05-06,370,387,369.98,380.18,1283
2024-05-07,355,379.9,355,379.9,131
2024-05-08,351,351,351,368.26,101
2024-05-09,350,360.11,350,354.22,9027
2024-05-10,354.99,360,350,360,2147
2024-05-13,351.11,366.9,350,360.95,3966
2024-05-14,370,370,370,360.95,5
2024-05-15,364,364,350.01,362.46,137
2024-05-16,358.9,360,352,355.01,837
2024-05-17,360,365.5,350.05,363.33,337
2024-05-20,356.9,386,356.5,363.33,231
2024-05-21,374.99,375,355.55,372.54,230
2024-05-23,355,370,355,355.35,3840
2024-05-24,365,365.5,365,365.01,87
2024-05-29,355.25,365,355,365,4054
2024-05-30,365,378,365,372.26,2197
2024-05-31,370,375,370,374.93,350
2024-06-04,361,369,361,369,1950
2024-06-06,355.01,365,355.01,369,13
2024-06-07,346,365,346,362,816
2024-06-10,360,365,355,360,5126
2024-06-12,355.01,380,355.01,365.9,251
2024-06-13,370,370,370,370,100
2024-06-14,370,370,370,370,1
2024-06-20,369,370.01,355.1,366.61,663
2024-06-21,387.77,397.77,387.77,397.77,41399
2024-06-24,405,408.9,400,400.05,7958
