date,open,high,low,close,volume
2024-01-10,34.5,35.0,33.81,34.06,191000
2024-01-11,34.67,34.9,33.9,34.48,96500
2024-01-12,34.64,35.0,34.2,34.28,215500
2024-01-15,34.2,34.45,33.79,33.99,100500
2024-01-16,33.89,33.89,33.15,33.43,74000
2024-01-17,33.5,33.8,33.0,33.16,52000
2024-01-18,32.65,33.39,31.5,32.19,126500
2024-01-19,32.89,32.9,32.41,32.6,20000
2024-01-22,32.5,32.97,31.9,32.19,67000
2024-01-23,32.0,33.31,32.0,32.71,126000
2024-01-24,33.49,33.8,33.0,33.2,91000
2024-01-25,33.0,33.69,32.61,32.63,21500
2024-01-26,32.42,33.0,32.42,32.62,33500
2024-01-29,32.8,33.75,32.4,32.53,65000
2024-01-30,32.0,32.2,31.21,31.7,41500
2024-01-31,32.0,32.5,31.6,31.82,29500
2024-02-01,31.52,32.0,31.25,31.64,26000
2024-02-02,32.0,32.5,31.81,31.99,55000
2024-02-06,32.02,32.45,32.0,32.23,29000
2024-02-07,32.99,32.99,32.26,32.4,34000
2024-02-09,30.7,32.65,30.5,32.4,23000
2024-02-12,31.27,31.9,30.5,30.7,42000
2024-02-13,30.1,30.5,29.33,30.25,63000
2024-02-14,30.53,31.01,30.5,30.67,22500
2024-02-15,30.61,31.43,30.3,30.35,22500
2024-02-16,30.55,30.55,29.0,29.37,40000
2024-02-19,29.6,30.3,29.3,30.02,11500
2024-02-20,31.3,32.27,31.3,32.23,267500
2024-02-21,32.99,33.51,31.6,32.74,347000
2024-02-22,32.5,32.5,31.5,31.95,129000
2024-02-23,32.0,32.0,31.52,31.91,28500
2024-02-26,31.3,32.4,31.3,31.92,70500
2024-02-27,31.51,31.91,31.3,31.58,46500
2024-02-28,31.75,31.92,31.6,31.61,12500
2024-02-29,31.25,31.5,31.15,31.23,82000
2024-03-01,31.16,31.25,31.03,31.2,51500
2024-03-04,31.99,31.99,30.15,31.22,33500
2024-03-05,31.35,31.7,31.1,31.51,50000
2024-03-06,31.7,31.7,31.65,31.65,3000
2024-03-07,31.69,32.0,31.3,31.81,53500
2024-03-08,31.55,31.87,30.16,31.6,18000
2024-03-11,31.99,33.45,31.99,33.08,267000
2024-03-12,33.0,33.0,31.55,31.96,30500
2024-03-13,32.0,32.01,31.31,31.5,37000
2024-03-14,32.0,32.01,31.61,31.91,34000
2024-03-15,31.51,31.51,31.5,31.5,7000
2024-03-18,31.8,31.8,31.8,31.8,1000
2024-03-19,31.99,31.99,31.41,31.5,3000
2024-03-20,31.37,31.7,31.26,31.3,17000
2024-03-21,32.0,32.0,31.41,31.5,26000
2024-03-22,31.3,31.5,30.76,31.4,58500
2024-03-25,31.03,31.7,30.55,31.01,22000
2024-03-26,31.0,31.5,30.8,30.85,42000
2024-03-27,30.6,31.0,30.1,30.66,38500
2024-03-28,31.49,31.49,30.82,31.0,17500
2024-03-29,30.67,31.47,30.12,30.36,201000
2024-04-01,30.26,31.48,30.26,30.84,83000
2024-04-02,31.39,31.39,30.5,30.95,20500
2024-04-03,30.8,31.8,30.8,31.42,89500
2024-04-04,33.0,33.78,32.2,32.75,222500
2024-04-08,33.5,33.5,32.5,33.05,168000
2024-04-09,33.3,33.3,32.06,32.21,46000
2024-04-15,32.2,32.51,31.5,32.0,52500
2024-04-16,32.4,32.45,31.31,31.46,28000
2024-04-17,31.99,32.01,31.31,31.36,50000
2024-04-18,31.31,31.7,31.23,31.42,42000
2024-04-19,31.31,32.0,31.25,31.62,50500
2024-04-22,31.85,32.26,31.5,32.06,112000
2024-04-23,32.05,32.05,31.35,31.64,126000
2024-04-24,31.7,31.95,31.52,31.89,42000
2024-04-25,31.99,32.3,31.3,31.47,85000
2024-04-26,31.32,31.99,31.31,31.5,71000
2024-04-29,31.45,31.9,31.0,31.17,121000
2024-04-30,31.22,31.4,31.18,31.21,13000
2024-05-02,31.5,31.9,30.5,31.0,76500
2024-05-03,30.76,31.3,30.53,31.14,36000
2024-05-06,31.3,32.74,30.91,32.25,226500
2024-05-07,32.0,33.25,32.0,32.6,254000
2024-05-08,33.2,33.9,32.51,33.09,267000
2024-05-09,33.02,35.57,32.6,35.57,909000
2024-05-10,37.0,37.4,34.0,34.86,374000
2024-05-13,34.56,35.38,34.5,34.77,146000
2024-05-14,34.51,34.97,34.0,34.09,88500
2024-05-15,34.5,35.7,34.25,35.24,292000
2024-05-16,35.49,35.8,34.49,34.6,166000
2024-05-17,34.1,35.0,34.1,34.48,173000
2024-05-20,34.51,34.51,33.5,33.54,90305
2024-05-21,33.8,33.89,33.03,33.15,42361
2024-05-22,33.11,33.35,32.7,32.76,58459
2024-05-23,32.85,33.39,32.52,32.81,30188
2024-05-24,33.3,33.3,32.95,33.08,12971
2024-05-27,33.0,34.49,32.52,33.11,62102
2024-05-29,33.1,33.1,32.57,32.78,57493
2024-05-30,32.78,32.78,32.5,32.69,13936
2024-05-31,33.6,33.6,32.02,32.66,35281
2024-06-03,33.53,33.53,32.5,32.61,49738
2024-06-04,32.51,32.9,31.0,31.39,111384
2024-06-05,31.6,31.95,31.52,31.67,56194
2024-06-06,31.9,31.9,31.38,31.63,64297
2024-06-07,31.01,33.05,31.0,32.83,221974
2024-06-10,32.98,33.1,32.02,33.0,72832
2024-06-11,33.39,33.39,32.4,32.47,64381
2024-06-12,32.0,33.0,32.0,32.79,26196
2024-06-13,33.99,33.99,32.5,33.58,306737
2024-06-14,33.5,33.9,33.0,33.45,171829
2024-06-20,33.04,33.6,32.26,32.53,153212
2024-06-21,32.5,33.2,32.0,32.1,161806
2024-06-24,32.03,32.58,31.51,31.77,99061
2024-06-25,31.63,31.94,31.5,31.64,40144
2024-06-26,31.9,32.5,31.39,31.52,314205
2024-06-27,31.5,31.73,30.9,30.96,133340
2024-06-28,30.8,31.5,30.8,30.91,49160
2024-07-01,31.0,31.7,31.0,31.3,26403
2024-07-02,31.8,32.5,31.52,31.77,113621
2024-07-03,31.77,32.0,31.5,31.66,42137
2024-07-04,31.9,31.9,31.55,31.61,47806
2024-07-05,31.89,31.89,31.25,31.57,19240
