date,open,high,low,close,volume
2024-06-03,2.9,2.9,2.9,2.79,103
2024-06-04,3.79,3.79,3.79,3.79,4957
2024-06-05,4.79,4.79,4.5,4.79,133410
2024-06-06,5.79,5.79,5.79,5.79,75201
2024-06-07,6.79,6.79,6,6.79,155615
2024-06-10,7.79,7.79,7.5,7.79,178635
2024-06-11,8.32,8.5,6.79,6.87,145196
2024-06-12,6.78,7.4,6,7.23,56779
2024-06-13,7.4,7.75,7,7.25,29438
2024-06-14,7.01,7.5,6.6,7.11,45348
2024-06-20,7.5,7.5,6.5,7,43506
2024-06-21,6.6,7.3,6,7,82796
2024-06-24,7,7,6.5,6.51,5003
2024-06-25,6.8,7,6.16,6.62,10120
2024-06-26,7.2,7.62,6.61,7.62,313605
2024-06-27,8.62,8.62,8.62,8.62,100114
2024-06-28,9.62,9.62,7.62,7.77,582419
2024-07-01,7.95,8.45,6.96,7.06,86687
2024-07-02,7.3,7.3,6.56,6.99,33294
2024-07-03,7.15,7.15,6.7,7.04,35911
2024-07-04,7.2,7.2,6.85,6.89,31791
2024-07-05,6.82,7.1,6.3,6.5,7642
2024-07-08,6,6.66,5.9,6.06,22026
2024-07-09,6.4,7.06,6.12,6.61,244902
2024-07-10,6.23,6.68,6,6.07,19167
2024-07-11,6.4,6.65,5.7,6.21,24900
2024-07-12,6.44,6.44,5.7,6.01,2540
2024-07-15,6,6.44,5.6,6.22,13761
2024-07-18,5.75,6.29,5.75,5.8,7025
2024-07-19,5.75,5.75,5.2,5.44,3220
2024-07-22,5.1,5.6,5,5.02,4155
2024-07-23,5.59,6.02,5.5,5.68,252755
2024-07-24,6.3,6.3,5.35,5.41,336252
2024-07-25,5.7,6.41,5.41,6.41,196707
2024-07-26,6.75,7.41,6.75,7.41,536968
2024-07-29,8,8,6.9,7.35,260715
2024-07-30,7.65,8.2,6.41,7,89113
2024-07-31,7.47,7.47,6.3,6.53,56759
2024-08-01,6.5,6.9,6.12,6.14,3708
2024-08-02,6.4,6.4,5.6,5.76,36624
2024-08-05,6.17,6.17,5.65,5.66,9657
2024-08-06,5.89,6.1,5.15,6,7692
2024-08-07,6.2,7,5.11,6.99,91083
2024-08-08,7.01,7.99,7.01,7.99,185465
2024-08-09,8.99,8.99,8.99,8.99,331579
2024-08-12,9.99,9.99,7.99,8,1104983
2024-08-13,8.19,8.19,7.41,7.55,61881
2024-08-15,7.95,7.95,7.15,7.27,39701
2024-08-16,7.95,7.95,6.65,6.97,29255
2024-08-19,7.05,7.35,6.42,7.26,194145
2024-08-20,7.65,8.08,7,7.12,199643
2024-08-21,7.69,7.69,7,7.33,14843
2024-08-22,7.79,8.33,7,8.33,261622
2024-08-23,9.28,9.33,7.75,7.9,504514
2024-08-26,8,8.9,7.4,8.53,341458
2024-08-27,8.64,8.8,8.1,8.17,81526
2024-08-28,8.7,8.7,8,8.01,7440
2024-08-29,8.45,9.01,8.05,8.5,100720
2024-08-30,8.99,9.5,8.72,9.5,320985
2024-09-02,9.99,9.99,8.8,9.47,255740
2024-09-03,9.5,9.8,9.1,9.17,27227
2024-09-04,9.49,9.84,9,9.06,57352
2024-09-05,9.08,9.3,8.82,8.92,29302
2024-09-06,8.5,8.9,8.5,8.5,17986
2024-09-09,8.97,9.14,8.65,8.99,17185
2024-09-10,8.88,9.21,8.15,9.07,19211
2024-09-11,9.28,9.28,8.86,9,6321
2024-09-12,9.8,9.8,8.75,8.92,7192
2024-09-13,9.49,9.49,8.55,8.62,5104
2024-09-16,8.72,8.86,8.6,8.6,4004
2024-09-18,8.57,8.6,8.3,8.39,9080
2024-09-19,9.3,9.3,8.46,8.5,24779
2024-09-20,8.88,8.88,8.5,8.66,1152
2024-09-23,8.3,8.3,7.75,8.23,30579
2024-09-24,7.75,8.96,7.75,8.83,22575
2024-09-25,8.5,9,8.2,8.94,9707
2024-09-26,9,9,7.94,8,28733
2024-09-27,8,8,7.02,7.4,73624
2024-09-30,7.99,7.99,7.05,7.15,42818
2024-10-01,7.25,7.65,7.1,7.14,8020
2024-10-02,7.5,7.5,7.45,7.49,2900
2024-10-03,7.2,7.7,7.2,7.68,801
2024-10-04,7.95,7.95,7.2,7.21,21820
2024-10-07,7.28,7.6,7.01,7.54,1169
2024-10-08,6.67,7.45,6.61,6.91,18115
2024-10-09,6.75,7.33,6.75,6.91,1000
2024-10-10,7.39,7.39,7,7.1,4001
2024-10-11,6.5,7.08,6.5,7.07,2502
2024-10-14,6.56,7,6.56,6.63,723
2024-10-15,6.6,7.08,6.6,6.63,20
2024-10-16,7.28,7.28,6.6,6.63,6
2024-10-17,7.06,7.06,6.1,6.93,905
2024-10-18,6.06,7.39,6.06,6.93,205
2024-10-21,6.5,7.08,6.5,7,5857
2024-10-22,7.39,7.4,6.11,7.09,217121
2024-10-23,7.48,7.48,6.4,7.3,214635
2024-10-24,7.5,7.79,6.75,7.26,18880
2024-10-25,7.49,8,6.8,7.64,22583
2024-10-28,7.13,7.9,7.13,7.82,2146
2024-10-29,7.15,7.99,7.11,7.82,517
2024-10-30,7,8,6.85,7.18,4620
2024-10-31,7.15,7.63,6.26,6.61,7901
2024-11-01,6.62,7.35,6.14,7.24,6014
2024-11-04,7.24,7.79,6.7,7,270204
2024-11-05,7.64,7.64,6.5,7,56535
2024-11-06,7,7.3,6.6,6.85,8139
2024-11-07,6.61,7.02,6.61,7.02,6418
2024-11-08,7.23,7.9,6.55,6.89,6340
2024-11-11,7,7.09,6.89,7.03,7397
2024-11-12,6.9,7.9,6.71,6.84,57177
2024-11-13,7.1,7.5,6.15,6.59,15494
2024-11-14,6.6,7,6.6,6.65,4731
2024-11-15,6.3,7.05,5.81,7.04,3361
2024-11-18,6.7,7,6.7,7.04,182
2024-11-19,6.76,7.5,6.76,7.35,3819
2024-11-20,7,7,6.45,6.65,10041
2024-11-21,6.99,7.2,6.11,6.43,59991
2024-11-22,6,7,5.55,6.31,10077
2024-11-25,5.62,6.85,5.62,6.09,9811
2024-11-26,6.5,6.89,5.21,5.73,36211
2024-11-27,5.55,6.33,5.55,5.71,6181
2024-11-28,6.22,6.71,5.99,6.54,21347
2024-11-29,7.4,7.54,7.1,7.54,50755
2024-12-02,7.54,8.54,7.54,8.54,32176
2024-12-03,7.61,9.54,7.61,9.51,198690
2024-12-04,10,10.51,9.75,10.51,120402
2024-12-05,11.55,11.56,11,11.56,204240
2024-12-06,12,12.11,10.4,10.4,294963
2024-12-09,9.9,10.47,9.5,9.55,80093
2024-12-10,9.55,10.55,9.25,10.55,300118
2024-12-11,11,11.61,11,11.61,215637
2024-12-12,12.73,12.77,11,11.17,266979
2024-12-13,11.75,12.25,10.06,12.01,530865
2024-12-16,12.35,12.69,11.11,12.15,141341
2024-12-17,12.15,12.15,10.94,10.95,68111
2024-12-18,10.95,11.58,10.21,10.33,19082
2024-12-19,10.5,10.77,10,10.4,83048
2024-12-20,9.36,11,9.36,9.94,26145
2024-12-23,10.44,10.94,10.05,10.92,38408
2024-12-24,10.5,10.9,9.83,10.01,41458
2024-12-26,9.35,10.15,9.35,9.58,12733
2024-12-27,9.2,9.9,8.7,9.03,27489
2024-12-30,8.5,10.03,8.5,10.03,15632
2024-12-31,10.8,11.03,10.05,10.93,31468
2025-01-01,12,12,10.5,10.58,39484
2025-01-02,11.6,11.6,9.52,10.54,69102
