date,open,high,low,close,volume
2024-01-10,1.31,1.4,1.2,1.4,74000
2024-01-11,1.31,1.37,1.16,1.33,70000
2024-01-12,1.37,1.49,1.32,1.38,269000
2024-01-15,1.38,1.44,1.3,1.31,44500
2024-01-16,1.43,1.43,1.3,1.37,20500
2024-01-17,1.36,1.37,1.36,1.37,1500
2024-01-18,1.28,1.35,1.25,1.31,29500
2024-01-19,1.34,1.44,1.27,1.33,4500
2024-01-22,1.41,1.41,1.33,1.36,2000
2024-01-23,1.34,1.34,1.28,1.31,37000
2024-01-24,1.27,1.34,1.27,1.28,33000
2024-01-25,1.35,1.36,1.25,1.27,93500
2024-01-26,1.35,1.35,1.2,1.33,17000
2024-01-29,1.33,1.33,1.23,1.23,23000
2024-01-30,1.21,1.34,1.1,1.2,82000
2024-01-31,1.31,1.31,1.15,1.24,7000
2024-02-01,1.28,1.28,1.22,1.23,10000
2024-02-02,1.27,1.28,1.21,1.27,15500
2024-02-06,1.28,1.28,1.2,1.25,68500
2024-02-07,1.25,1.26,1.2,1.26,26000
2024-02-09,1.29,1.39,1.25,1.33,22500
2024-02-12,1.27,1.29,1.15,1.19,107000
2024-02-13,1.16,1.23,1.11,1.14,181000
2024-02-14,1.25,1.25,1.12,1.18,62000
2024-02-15,1.25,1.25,1.21,1.21,10500
2024-02-16,1.24,1.24,1.24,1.24,500
2024-02-19,1.18,1.24,1.15,1.2,24000
2024-02-20,1.15,1.24,1.15,1.17,77000
2024-02-21,1.2,1.22,1.15,1.18,106000
2024-02-22,1.18,1.21,1.1,1.2,225000
2024-02-23,1.15,1.28,1.12,1.22,160500
2024-02-26,1.3,1.36,1.16,1.33,297500
2024-02-27,1.36,1.36,1.2,1.29,83000
2024-02-28,1.35,1.35,1.2,1.2,31000
2024-02-29,1.28,1.29,1.18,1.2,41500
2024-03-01,1.24,1.3,1.21,1.26,56000
2024-03-04,1.3,1.3,1.12,1.25,168000
2024-03-05,1.27,1.27,1.2,1.25,40000
2024-03-06,1.27,1.34,1.2,1.31,270500
2024-03-07,1.35,1.71,1.31,1.61,3708500
2024-03-08,1.65,1.67,1.45,1.49,828000
2024-03-11,1.54,1.6,1.4,1.48,457000
2024-03-12,1.56,1.56,1.27,1.37,71000
2024-03-13,1.45,1.58,1.36,1.4,322500
2024-03-14,1.56,1.57,1.35,1.5,223000
2024-03-15,1.52,1.52,1.38,1.39,96000
2024-03-18,1.43,1.46,1.35,1.41,34000
2024-03-19,1.45,1.5,1.33,1.42,192500
2024-03-20,1.5,1.54,1.45,1.48,93000
2024-03-21,1.51,1.76,1.5,1.62,2150000
2024-03-22,1.73,1.75,1.45,1.49,276000
2024-03-25,1.55,1.6,1.3,1.41,293000
2024-03-26,1.45,1.46,1.4,1.4,97000
2024-03-27,1.36,1.44,1.32,1.33,132000
2024-03-28,1.44,1.44,1.37,1.37,33000
2024-03-29,1.37,1.37,1.31,1.32,108500
2024-04-01,1.43,1.43,1.3,1.3,375500
2024-04-02,1.3,1.32,1.29,1.29,720500
2024-04-03,1.35,1.37,1.3,1.31,177500
2024-04-04,1.4,1.46,1.29,1.35,72000
2024-04-08,1.39,1.39,1.31,1.33,37500
2024-04-09,1.44,1.44,1.3,1.37,136500
2024-04-15,1.39,1.56,1.32,1.53,683500
2024-04-16,1.61,1.61,1.4,1.5,735500
2024-04-17,1.45,1.49,1.41,1.43,42500
2024-04-18,1.52,1.52,1.38,1.49,78500
2024-04-19,1.4,1.49,1.4,1.4,99500
2024-04-22,1.53,1.53,1.37,1.39,79000
2024-04-23,1.37,1.48,1.36,1.36,33500
2024-04-24,1.35,1.48,1.35,1.41,2272500
2024-04-25,1.47,1.47,1.31,1.37,308500
2024-04-26,1.42,1.48,1.3,1.36,329000
2024-04-29,1.45,1.45,1.34,1.35,13500
2024-04-30,1.32,1.41,1.32,1.34,50500
2024-05-02,1.33,1.33,1.32,1.33,33500
2024-05-03,1.42,1.43,1.3,1.32,321500
2024-05-06,1.39,1.39,1.26,1.27,458500
2024-05-07,1.34,1.36,1.3,1.35,74000
2024-05-08,1.35,1.39,1.28,1.37,213500
2024-05-09,1.42,1.42,1.31,1.37,164500
2024-05-10,1.39,1.4,1.3,1.38,253500
2024-05-13,1.44,1.44,1.36,1.39,56000
2024-05-14,1.43,1.43,1.33,1.37,122500
2024-05-15,1.37,1.41,1.29,1.31,764000
2024-05-16,1.4,1.4,1.28,1.32,56500
2024-05-17,1.37,1.38,1.33,1.38,50000
2024-05-20,1.39,1.39,1.31,1.33,22000
2024-05-21,1.37,1.37,1.34,1.36,24000
2024-05-22,1.33,1.51,1.31,1.48,735500
2024-05-23,1.51,1.59,1.45,1.52,607500
2024-05-24,1.59,1.59,1.52,1.53,321000
2024-05-27,1.58,1.58,1.46,1.46,92839
2024-05-29,1.59,1.59,1.42,1.47,6650
2024-05-30,1.55,1.55,1.4,1.44,214538
2024-05-31,1.54,1.54,1.36,1.46,58087
2024-06-03,1.58,1.58,1.37,1.45,21811
