date,open,high,low,close,volume
2024-01-15,50,50,48.3,48.81,43000
2024-01-16,49,49.49,48.5,48.97,43000
2024-01-17,48.5,48.6,48.25,48.42,17000
2024-01-18,49.9,49.9,48,48.02,24000
2024-01-19,48,48.02,48,48,78500
2024-01-22,48.01,48.01,47.51,48,29500
2024-01-23,48,48,47,47.74,161000
2024-01-24,47,47.5,46,47.31,139000
2024-01-25,47.25,47.5,46,46.34,66500
2024-01-26,46.01,46.5,45.12,46.29,37000
2024-01-29,46,46,46,46,10000
2024-01-30,45.5,45.9,45.01,45.9,9000
2024-01-31,46,46,45.25,45.3,12000
2024-02-01,45.51,45.51,45,45,43500
2024-02-02,45.1,45.5,44.9,45.03,131500
2024-02-06,45,45.25,44.9,45,78500
2024-02-07,45.5,48.38,42.98,43.6,707000
2024-02-09,43.1,44,40.33,44,28000
2024-02-12,42.6,43.88,42.55,43.88,3500
2024-02-13,41.01,47.17,41.01,45.17,529000
2024-02-14,45.25,46,44.56,45.38,7000
2024-02-15,45.55,46,45.05,45.25,64000
2024-02-16,45,45.2,44.65,44.72,6500
2024-02-19,44,45.94,44,44.41,8000
2024-02-20,42.55,45.94,42.55,45.73,34500
2024-02-21,45.9,45.9,42.3,42.3,246500
2024-02-22,39.99,40.25,39.13,39.18,569000
2024-02-23,39.75,40.95,38.55,39.89,257000
2024-02-26,40,41,40,40.77,54500
2024-02-27,40.5,40.9,40.25,40.5,13000
2024-02-28,40.95,41.13,38.11,39.02,87000
2024-02-29,39.6,40.4,39,40.3,119500
2024-03-01,40.25,40.5,39.6,40.25,37000
2024-03-04,39.1,40.85,39.1,39.86,63000
2024-03-05,40.24,40.75,39.75,39.75,8500
2024-03-06,39.5,39.8,39,39.06,24000
2024-03-07,39,39.2,38.75,38.82,14000
2024-03-08,39,39.3,38.95,38.99,10000
2024-03-11,38.7,40.15,38.7,39.8,111000
2024-03-12,39.95,39.95,39.1,39.35,17000
2024-03-13,39.5,39.6,39.11,39.11,14500
2024-03-14,39.51,39.75,39.5,39.6,9000
2024-03-15,39.12,39.17,39,39,6500
2024-03-18,39,39.6,39,39.25,31000
2024-03-19,38.6,39.5,38.6,39.3,3000
2024-03-20,39.5,39.5,39,39.05,19000
2024-03-21,39.25,39.75,39.15,39.21,58000
2024-03-22,39.94,39.94,38.8,38.91,1207000
2024-03-25,40,40.75,39,39.14,56000
2024-03-26,39.01,39.5,39.01,39.29,1120000
2024-03-27,39.5,39.79,39.3,39.5,12500
2024-03-29,39.01,39.25,39,39.01,3000
2024-04-01,39.01,39.5,39,39.13,1117000
2024-04-02,39.8,39.8,38.5,38.51,101500
2024-04-03,38.5,39.5,38.5,38.94,1038000
2024-04-04,39,39.29,39,39.19,2000
2024-04-08,39.7,39.7,38.1,38.81,31500
2024-04-09,40.8,40.8,38.61,38.94,8000
2024-04-15,38.1,40.25,38.01,39.65,151500
2024-04-16,38.76,39.5,38.75,39,96000
2024-04-17,38.6,40.49,38.05,38.95,198000
2024-04-18,39,39,38.53,38.94,13000
2024-04-19,38.56,39,37.91,38.73,70500
2024-04-22,39.25,39.4,38.51,38.8,44000
2024-04-23,39,39.4,39,39.08,90500
2024-04-24,39.5,41,39.4,40.93,81000
2024-04-25,41,41.42,39.6,40.35,58000
2024-04-26,39.6,40.6,39.6,40.3,26500
2024-04-29,40.3,40.99,39.76,40.18,6000
2024-04-30,39.78,39.78,39.7,39.74,5000
2024-05-02,39.5,40,39.5,40,17000
2024-05-03,40.01,40.6,40.01,40.19,4000
2024-05-06,40.05,41.09,40.05,40.43,30500
2024-05-07,40.1,40.1,39.61,40.05,19500
2024-05-08,40.75,40.9,39.79,39.79,6000
2024-05-09,39.5,40.15,39.5,40,15500
