date,open,high,low,close,volume
2023-01-02,18.27,18.27,18.27,18.27,500
2023-01-09,19.64,19.64,19.64,19.64,500
2023-02-16,18.2,18.2,18.2,18.2,500
2023-02-17,16.9,16.9,16.9,16.9,5500
2023-02-22,16.05,16.05,16.05,16.05,2000
2023-02-23,15.3,15.3,15.3,15.3,1000
2023-02-24,14.26,14.26,14.25,14.25,1500
2023-02-27,14.97,15.31,14.97,15.31,2000
2023-02-28,16.4,16.4,14.2,14.2,6500
2023-03-06,15.15,15.2,15.15,15.2,1000
2023-05-15,14.1,14.1,14.1,14.1,500
2023-05-16,13.51,13.51,13.51,13.51,500
2023-05-17,13.8,13.8,13.8,13.8,500
2023-05-29,14.84,14.84,14.84,14.84,2000
2023-05-31,15.94,15.94,15.94,15.94,500
2023-07-04,14.74,14.74,14.74,14.74,500
2023-07-06,13.63,14.0,13.63,14.0,1000
2023-07-19,15.05,15.05,15.05,15.05,500
2023-08-02,16.01,16.18,15.5,15.8,11000
2023-08-03,16.6,16.99,16.6,16.99,1000
2023-08-04,18.25,18.25,18.25,18.25,500
2023-08-08,19.6,19.6,19.6,19.6,500
2023-08-18,17.45,18.95,17.45,18.95,1000
2023-08-23,17.02,17.02,17.02,17.02,500
2023-08-28,18.25,18.25,18.25,18.25,500
2023-10-05,17.0,17.0,17.0,17.0,1000
2023-10-12,16.0,16.0,16.0,16.0,500
2023-10-13,15.01,15.01,15.01,15.01,1000
2023-10-16,16.14,16.14,16.14,16.14,2500
2023-11-02,16.0,16.0,15.99,15.99,1500
2023-11-06,15.5,15.99,15.5,15.99,1500
2023-11-08,16.5,16.5,16.5,16.5,500
2023-11-10,15.26,15.3,15.26,15.3,1000
2023-11-15,14.26,14.26,14.26,14.26,500
2023-11-17,15.15,15.15,15.15,15.15,500
2023-11-20,15.95,15.95,15.95,15.95,500
2023-11-21,14.75,14.76,14.75,14.75,15500
2023-11-24,14.5,14.5,14.5,14.5,500
2023-11-27,14.49,15.59,14.49,15.59,13500
2023-11-28,15.85,15.85,15.8,15.82,3500
2023-11-29,15.85,15.85,15.85,15.85,2500
2023-11-30,14.66,15.45,14.66,14.66,7000
2023-12-07,15.76,15.76,15.76,15.76,500
2023-12-08,15.5,15.5,15.5,15.5,1000
2023-12-13,14.34,15.9,14.34,15.9,1500
2023-12-14,15.5,15.5,15.5,15.5,1000
2023-12-19,15.5,15.5,15.5,15.5,1500
2024-01-01,15.5,15.5,15.5,15.5,5000
2024-01-02,15.5,15.5,15.5,15.5,1000
2024-01-04,15.5,15.5,15.5,15.5,3500
2024-01-05,15.5,15.5,15.5,15.5,3000
2024-01-10,15.5,15.5,15.5,15.5,3000
2024-01-16,15.5,15.5,15.5,15.5,4500
2024-01-19,16.0,16.0,15.5,15.5,5000
2024-01-23,15.5,15.5,15.5,15.5,1000
2024-02-01,15.5,15.5,15.5,15.5,7500
2024-02-21,15.5,15.5,15.5,15.5,500
2024-02-22,15.0,15.5,15.0,15.5,15500
2024-03-01,15.0,15.0,15.0,15.0,500
2024-03-26,14.0,14.0,14.0,14.0,3000
2024-04-19,14.1,14.1,14.1,14.1,2500
2024-05-20,15.15,15.15,15.15,15.15,500
2024-06-04,14.0,14.0,14.0,14.0,500
2024-06-25,13.01,13.01,13.0,14.0,100
2024-06-26,13.11,13.11,13.11,14.0,10
2024-07-01,13.25,13.25,13.25,14.0,10
2024-07-02,13.02,14.0,13.0,13.2,500
2024-07-15,14.2,14.2,13.0,13.0,1005
2024-07-18,12.52,12.52,12.52,13.0,1
2024-07-19,13.0,13.0,13.0,13.0,166
2024-08-07,13.5,13.5,13.0,13.25,1000
2024-08-16,14.58,14.58,12.26,12.26,3501
2024-08-19,13.49,13.49,13.49,13.49,3017
2024-08-20,14.84,14.84,14.84,14.84,4467
2024-08-21,16.32,16.32,16.32,16.32,1187
2024-08-22,17.95,17.95,17.95,17.95,1151
2024-08-23,19.75,19.75,16.16,16.42,5252
2024-08-27,14.78,15.31,14.78,15.31,7002
2024-08-28,16.84,16.84,14.75,16.75,2963
2024-08-29,17.97,17.97,17.97,16.75,1
2024-08-30,16.98,17.5,15.12,17.5,4034
2024-09-04,19.25,19.25,16.0,16.02,1707
2024-09-05,17.6,17.6,17.6,16.02,101
2024-09-06,17.5,17.6,14.52,16.02,102
2024-09-09,17.6,17.6,14.52,14.72,907
2024-09-10,15.9,15.9,14.34,14.72,220
2024-09-11,16.1,16.1,13.41,14.72,17
2024-09-12,16.0,16.0,16.0,14.72,5
2024-09-13,15.89,15.89,15.89,14.72,5
2024-09-16,16.0,16.0,13.27,13.51,1566
2024-09-18,14.86,14.86,14.46,13.51,301
2024-09-19,14.8,14.8,13.06,13.12,1246
2024-09-20,12.54,12.54,12.54,13.12,1
2024-09-23,13.99,13.99,12.38,13.12,300
2024-09-25,12.27,12.42,12.27,13.12,200
2024-09-26,12.32,12.32,12.31,13.12,107
2024-10-01,11.87,11.87,11.85,11.86,1000
2024-10-02,13.0,13.0,12.99,11.86,105
2024-10-03,0.0,0.0,0.0,11.86,500
2024-10-07,11.8,11.8,11.8,11.8,500
2024-10-08,11.25,11.25,11.25,11.25,500
2024-10-10,12.38,12.38,11.1,11.25,200
2024-10-11,12.38,12.38,12.38,11.25,100
2024-10-16,11.52,11.52,11.52,11.25,100
2024-10-17,0.0,0.0,0.0,11.25,100
2024-10-18,0.0,0.0,0.0,11.25,5
2024-10-24,10.75,10.75,10.75,10.75,500
2024-10-28,0.0,0.0,0.0,10.75,1500
2024-11-05,11.83,11.83,11.83,10.75,20
2024-11-06,11.83,11.83,10.85,10.75,429
2024-11-08,11.83,11.83,11.83,10.75,100
2024-11-11,11.5,11.5,11.0,10.75,150
2024-11-12,10.76,10.76,10.76,10.75,300
2024-11-15,10.61,10.66,10.61,10.61,501
2024-11-21,11.64,11.65,11.64,10.61,235
2024-12-03,10.61,10.61,10.26,10.26,1001
2024-12-04,11.29,11.29,11.29,11.29,1710
2024-12-05,12.41,12.42,11.5,11.66,5319
2024-12-06,12.79,12.83,11.0,12.58,1860
2024-12-09,13.8,13.84,13.02,13.74,772
2024-12-10,14.0,14.0,12.4,12.4,6351
2024-12-11,12.0,12.89,12.0,12.4,19
2024-12-12,12.49,12.49,12.46,12.4,115
2024-12-13,12.25,12.25,12.25,12.25,5000
2024-12-16,12.25,12.55,12.25,12.5,2846
2024-12-17,0.0,0.0,0.0,12.5,2
2024-12-18,12.75,12.75,12.75,12.5,61
2024-12-19,11.31,11.31,11.3,11.3,1001
2024-12-20,10.31,10.31,10.31,11.3,1
2024-12-26,12.43,12.43,12.0,11.3,101
2024-12-27,11.5,11.5,11.5,11.3,12
2024-12-31,12.4,12.4,11.05,11.3,178
2025-01-01,12.43,12.43,12.4,11.3,20
2025-01-02,12.43,12.43,12.43,11.3,227
2025-01-08,12.33,12.33,11.2,11.3,11
2025-01-14,11.5,11.5,11.5,11.3,100
2025-01-17,0.0,0.0,0.0,11.3,3000
2025-01-22,11.15,11.15,11.0,11.01,1000
2025-01-24,11.2,11.2,11.0,11.01,235
2025-01-28,12.0,12.0,12.0,11.01,13
2025-01-31,11.02,12.11,11.0,11.01,408
2025-02-06,12.08,12.08,11.03,11.01,2001
2025-02-10,10.14,12.0,10.14,10.48,2106
2025-02-12,11.53,11.53,11.53,11.53,1010
2025-02-13,12.68,12.68,12.68,12.68,1529
2025-02-14,13.25,13.95,12.5,12.59,10339
2025-02-17,0.0,0.0,0.0,12.59,100
2025-02-19,13.8,13.85,12.01,13.85,9370
2025-02-20,15.24,15.24,15.24,15.24,654
2025-02-21,16.76,16.76,16.76,16.76,7610
2025-02-24,18.0,18.0,15.08,15.36,2142
2025-02-25,15.99,15.99,15.05,15.05,689
2025-02-26,14.32,15.44,14.32,15.05,71
2025-02-27,14.02,15.0,14.02,14.15,602
2025-02-28,12.84,14.5,12.84,14.15,216
2025-03-03,13.5,13.5,13.5,13.5,500
2025-03-04,12.3,13.49,12.22,12.46,1117
2025-03-05,13.7,13.71,13.7,13.71,3290
2025-03-06,15.08,15.08,14.02,15.07,5477
2025-03-07,15.17,16.58,15.0,16.55,12838
2025-03-10,16.0,17.5,15.1,16.09,4722
2025-03-11,16.09,16.09,14.53,14.55,2096
2025-03-12,14.5,16.01,14.5,16.01,5685
2025-03-13,17.0,17.5,16.01,16.25,3728
2025-03-14,15.51,16.79,14.66,15.75,1953
2025-03-17,15.0,15.79,14.21,14.61,2330
2025-03-18,15.0,15.9,14.61,15.0,1114
2025-03-19,13.51,14.89,13.51,15.0,103
2025-03-20,14.94,14.94,14.94,15.0,1
2025-03-21,14.0,14.5,14.0,14.26,2093
2025-03-24,15.39,15.39,13.0,14.26,302
2025-03-27,14.2,14.2,14.0,14.0,821
2025-04-03,13.21,13.21,13.21,14.0,224
2025-04-04,13.5,14.89,13.4,13.4,6224
2025-04-08,13.4,13.5,13.4,13.5,3000
2025-04-09,13.5,13.5,13.5,13.5,1400
2025-04-10,13.01,14.49,13.0,13.07,2600
2025-04-15,14.29,14.29,14.29,13.07,20
2025-04-21,12.32,12.51,12.32,13.07,2
2025-04-25,0.0,0.0,0.0,13.07,9
2025-04-28,12.06,12.06,12.0,12.0,500
2025-04-29,11.0,13.0,11.0,13.0,2001
2025-04-30,13.0,13.0,12.85,12.9,1521
2025-05-06,13.99,13.99,12.01,12.9,185
2025-05-08,14.0,14.0,14.0,12.9,1
2025-05-09,14.0,14.0,14.0,12.9,1
2025-05-13,13.0,13.0,13.0,13.0,1999
2025-05-14,12.03,13.96,12.03,13.0,81
2025-05-15,14.29,14.29,12.0,12.75,2502
2025-05-19,12.24,12.24,12.24,12.24,615
2025-05-20,12.0,13.3,12.0,12.24,452
2025-05-21,13.39,13.46,13.39,13.46,8394
2025-05-22,14.8,14.81,13.15,14.8,70314
2025-05-23,16.24,16.28,13.62,14.8,111
2025-05-26,16.25,16.25,13.32,13.42,42947
2025-05-27,14.38,14.74,13.7,14.53,21773
2025-05-29,15.14,15.4,14.5,14.5,4601
2025-05-30,14.4,15.3,14.4,14.9,3807
2025-06-02,15.85,15.85,13.65,13.65,1008
2025-06-03,14.6,14.6,12.6,12.77,523
2025-06-04,14.0,14.05,12.71,13.26,4341
2025-06-05,14.59,14.59,12.23,14.55,519
2025-06-11,13.27,16.01,13.25,15.99,44950
2025-06-12,15.02,17.55,14.39,14.54,9917
2025-06-13,14.54,15.0,13.5,14.54,683
2025-06-16,14.1,14.99,13.76,14.42,1518
2025-06-17,14.42,14.94,13.46,14.42,420
2025-06-18,14.05,14.05,14.05,14.05,944
2025-06-19,15.15,15.15,14.0,14.0,2144
2025-06-20,14.8,15.2,14.8,15.1,1000
2025-06-23,15.1,16.0,15.1,15.66,1929
2025-06-24,15.8,17.23,14.8,16.87,13492
2025-06-26,18.5,18.5,15.5,15.64,2776
2025-06-27,15.64,15.84,14.08,15.7,14753
2025-06-30,15.99,17.27,15.99,17.27,28118
2025-07-01,17.27,19.0,17.0,19.0,20571
2025-07-02,20.5,20.9,20.0,20.9,5565
2025-07-03,22.99,22.99,22.99,22.99,2124
2025-07-04,25.29,25.29,25.29,25.29,3245
2025-07-07,27.82,27.82,27.82,27.82,9301
2025-07-08,30.6,30.6,27.05,30.6,65213
2025-07-09,31.0,31.2,27.54,27.6,74479
2025-07-10,27.6,28.6,26.0,28.01,31295
2025-07-11,26.05,28.6,26.05,27.87,7666
2025-07-14,27.0,28.48,26.05,26.6,7466
2025-07-15,27.33,29.26,25.0,26.36,53681
2025-07-16,28.95,28.95,27.0,27.0,2014
2025-07-17,28.55,28.55,26.12,27.8,3376
2025-07-18,28.5,28.5,25.04,27.8,516
2025-07-21,27.8,28.45,25.02,25.26,9879
2025-07-22,27.0,27.0,25.26,25.26,95
2025-07-23,26.99,26.99,26.0,25.26,378
2025-07-24,25.54,26.89,23.0,24.26,976
2025-07-25,24.35,26.0,22.81,24.85,1719
2025-07-28,24.85,26.5,24.85,24.85,114
2025-07-29,26.0,26.0,22.37,24.78,1369
2025-07-30,24.99,25.0,24.9,24.93,728
2025-07-31,24.7,25.75,24.0,25.46,1096
2025-08-01,22.96,27.49,22.96,23.0,1502
2025-08-04,23.0,23.94,21.0,23.9,5777
2025-08-05,25.49,26.29,25.0,25.91,7049
2025-08-06,25.05,25.05,23.32,23.34,12741
2025-08-07,23.51,24.96,23.51,24.5,6808
2025-08-08,24.5,26.0,23.21,24.5,6723
2025-08-11,26.0,26.0,24.0,24.09,3143
2025-08-12,26.0,26.0,24.35,24.09,169
2025-08-13,25.88,25.88,22.0,23.01,8348
2025-08-15,23.01,24.8,21.01,22.23,2704
2025-08-18,22.6,22.6,22.5,22.23,300
2025-08-19,21.03,23.84,21.0,21.37,951
2025-08-20,23.0,23.0,20.05,21.71,3736
2025-08-21,21.71,21.71,20.2,21.71,60
2025-08-22,22.1,22.1,20.4,20.74,550
2025-08-25,20.8,22.81,20.8,22.81,8294
2025-08-26,24.94,25.09,24.1,25.09,16794
2025-08-27,26.9,26.9,22.58,22.59,21644
2025-08-28,21.01,22.6,21.0,22.22,4328
2025-08-29,21.0,21.5,20.5,21.5,1227
2025-09-01,23.59,23.65,23.5,23.65,15659
2025-09-02,26.02,26.02,21.29,23.11,41619
2025-09-03,24.0,24.0,22.36,23.11,54
2025-09-04,24.0,25.0,23.5,23.88,512
2025-09-05,24.5,26.17,21.64,22.56,619
