date,open,high,low,close,volume
2023-01-23,17.5,17.5,17.5,17.5,4000
2023-01-24,17.49,17.49,17.49,17.49,3500
2023-03-15,15.54,16.6,15.54,16.6,1000
2023-05-03,14.8,14.8,14.55,14.55,17500
2023-05-04,13.46,13.46,13.46,13.46,2000
2023-05-05,14.46,14.46,14.4,14.4,2000
2023-05-24,15,15,15,15,115500
2023-05-30,14.99,14.99,14.99,14.99,500
2023-05-31,14,14,14,14,11000
2023-06-16,13,13,13,13,500
2023-07-04,14,14,14,13,500
2023-07-11,13.03,13.03,13.03,13.03,500
2023-07-13,14,14,14,14,500
2023-07-18,15,15.05,15,15.05,183000
2023-07-20,13.83,13.83,13.83,13.83,500
2023-07-21,14.8,14.87,14.8,14.87,1500
2023-07-24,13.75,13.75,13.75,13.75,500
2023-08-01,13.7,13.9,13.1,13.9,11500
2023-08-07,13.9,13.9,13.9,13.9,1000
2023-08-22,14.94,14.94,14.94,14.94,5500
2023-08-24,16.05,16.06,16.05,16.05,5500
2023-09-19,16.48,16.48,16.01,16.01,1000
2023-10-03,15,15,15,15,2000
2023-10-04,14,14,14,14,500
2023-10-25,15.05,15.05,15.05,15.05,1000
2023-10-26,16.18,16.18,16.18,16.18,500
2024-01-02,15.01,15.01,14.97,15,10000
2024-01-11,14.4,14.4,14.4,14.4,1000
2024-01-18,14.7,15.48,14.7,15.16,2000
2024-02-01,14.06,14.06,14.06,14.06,1000
2024-02-02,15.1,15.11,15.1,15.11,1000
2024-02-29,13.98,14.11,13.98,14.11,1000
2024-03-01,13.05,13.05,13.05,13.05,500
2024-03-05,14.05,14.05,13.5,13.5,1000
2024-03-14,12.49,14.5,12.49,14.5,1500
2024-03-21,14.7,14.7,14.7,14.7,500
2024-05-13,13.6,13.75,13.6,13.67,10500
2024-05-22,13.67,13.67,13.67,13.67,5000
2024-05-30,13.67,13.67,13.67,13.67,3000
2024-05-31,12.58,12.58,12.58,13.67,1
2024-06-03,12.62,12.62,12.62,13.67,1
2024-06-11,12.51,12.51,12.51,13.67,1
2024-06-12,12.52,13.6,12.52,13.67,2
2024-06-14,12.52,12.52,12.52,13.67,1100
2024-06-20,12.51,12.51,12.51,13.67,1
2024-06-24,13.01,13.01,13,13,652
2024-06-26,12.01,13,12,13,2761
2024-06-27,13.01,13.01,13,13,1976
2024-07-26,11.7,11.7,11.7,11.7,550
2024-07-30,11.6,11.6,11.55,11.58,550
2024-08-01,10.5,12.73,10.46,12.72,13100
2024-08-02,13.99,13.99,13.99,13.99,2221
2024-08-12,13.5,13.5,13.5,13.5,500
2024-08-16,14.84,14.85,14.84,14.85,3591
2024-08-20,14,14,14,14,501
2024-08-22,13.16,13.35,13.16,14,2
2024-08-26,13.5,13.5,13.5,14,50
2024-08-27,13.01,14,12.8,14,4150
2024-08-30,14,14,14,14,10
2024-09-02,14.99,14.99,13.21,14,400
2024-09-03,15,15.4,14.5,14.57,15060
2024-09-04,15,15.1,14.5,14.5,4200
2024-09-06,14.5,15.95,14.5,15.94,8110
2024-09-09,14.61,14.64,14.61,14.62,2221
2024-09-11,14.1,14.1,14.1,14.62,150
2024-09-19,14.49,14.49,14.05,14.62,2
2024-09-20,13.24,13.24,13.2,13.2,500
2024-09-23,12.71,12.71,12.7,12.7,1100
2024-09-26,12.99,12.99,12.99,12.7,400
2024-09-27,11.45,11.45,11.45,11.45,500
2024-10-02,12.6,12.6,12.6,11.45,1
2024-10-03,10.36,10.36,10.36,11.45,1
2024-10-04,11,11,10.36,10.87,500
2024-10-14,10.4,11.96,10.04,10.6,677
2024-10-15,11.66,11.66,11.66,10.6,26
2024-10-16,11.66,11.66,11.66,10.6,3
2024-11-05,11.66,11.66,11.66,11.66,500
2024-11-06,12.83,12.83,12.82,12.83,1271
2024-11-07,13.99,14.11,13.99,14.08,3529
2024-11-08,14.99,14.99,13.3,13.7,1522
2024-11-11,14.86,15.07,14.5,14.51,2556
2024-11-12,15.5,15.96,15.5,15.88,1122
2024-11-13,15.5,17.36,15.5,15.88,160
2024-11-14,17.45,17.45,14.29,14.29,3721
2024-11-15,15.72,15.72,13.6,14.03,527
2024-11-18,15.39,15.39,12.65,14.17,511
2024-11-19,15.36,15.36,12.76,14.17,320
2024-11-20,15.23,15.36,14.25,14.17,121
2024-11-21,13.62,14.25,13.62,14.17,199
2024-11-22,14.1,14.99,14.1,14.17,420
2024-11-25,15,15,15,14.17,10
2024-11-26,14,14.49,14,14.17,258
2024-11-27,14.3,14.4,12.75,13.34,2913
2024-11-28,14.55,14.67,13,14.67,9001
2024-11-29,15.44,15.44,14,14.54,2702
2024-12-03,14.01,14.01,14,14,500
2024-12-04,14.55,14.55,13.55,14,201
2024-12-06,12.7,13.05,12.7,14,100
2024-12-09,14,14,14,14,9
2024-12-10,14,14,14,14,2
2024-12-11,14,14,14,14,2
2024-12-12,13,13.5,13,14,44
2024-12-17,12.75,14.99,12.75,14.16,546
2024-12-18,13,13,13,14.16,307
2024-12-19,12.8,14.98,12.8,12.97,546
2024-12-26,12.8,12.8,12.8,12.97,300
2024-12-30,14,14.27,14,14.25,2732
2024-12-31,15.24,15.24,15.24,14.25,95
2025-01-08,13.02,15.68,13.02,15.68,28100
2025-01-09,15.72,15.72,14.8,15.6,764
2025-01-10,14.06,14.09,14.05,14.06,534
2025-01-13,14.3,14.8,13.5,14.29,1100
2025-01-14,15,15.72,14.2,14.99,12921
2025-01-15,15.72,16.37,13.49,14.8,1975
2025-01-16,14.5,15.67,14.5,14.6,2118
2025-01-17,13.15,15.98,13.15,14.76,1883
