date,open,high,low,close,volume
2026-06-01,55,60.05,50,59.9,127530
2026-06-02,60.25,65.89,53.91,65.89,149486
2026-06-03,67.95,72.48,67.95,72.48,24522
2026-06-04,73.57,79.73,73.57,79.73,74916
2026-06-05,83.5,87.7,80,85.82,71020
2026-06-08,86,86,77.24,77.27,100102
2026-06-09,77.27,77.9,69.54,69.56,68905
2026-06-10,69.56,75.33,64.01,70.49,22213
2026-06-11,71,77.54,69,77,54492
2026-06-12,78.13,84.7,77,78.44,41609
2026-06-15,80.89,80.89,70.6,74.17,33714
2026-06-16,74.17,78.44,67.11,69.48,25580
2026-06-17,73.88,74.9,69,71.13,30696
2026-06-18,74.9,74.9,69,70.49,24333
2026-06-19,71,74,69,71.62,40093
2026-06-22,71.49,71.49,67.99,68.21,5639
2026-06-23,68.5,72.25,66.15,71.06,22185
2026-06-24,70.99,78,70.99,74.51,53817
2026-06-29,74.5,74.5,68,69.73,41254
2026-06-30,72.5,72.5,64.12,68.99,3052
2026-07-01,71.06,71.06,62.29,65.94,80785
2026-07-02,65,68.55,64,66.44,1623
2026-07-03,67,69.78,63.25,65.6,2548
2026-07-06,67,67,63,63.78,4183
2026-07-07,63.78,63.78,61.5,61.84,6115
2026-07-08,61.6,63.99,60,60,2847
2026-07-09,60,60.99,58,58.32,770
2026-07-10,59.5,59.5,52.49,55.02,9250
2026-07-13,55.02,55.02,49.8,50.33,6550
2026-07-14,50.33,54.98,47.41,50.33,460
2026-07-15,45.61,55.36,45.61,55.2,10610
2026-07-16,57.2,60.72,56.8,60.72,27128
