date,open,high,low,close,volume
2024-01-16,129.99,130,129.99,130,2500
2024-01-17,126.11,129.66,126.11,127.6,2700
2024-01-18,133.99,133.99,124,126.5,2500
2024-01-19,129,129.99,129,129,900
2024-01-23,126,127.5,126,126.63,4600
2024-01-24,126.2,126.76,125,125.93,1700
2024-01-25,125.07,127,125.07,126.47,900
2024-01-26,129,129,129,126.47,100
2024-01-29,123.02,123.5,122,122.77,2100
2024-01-30,122.09,123,120.56,121.83,2400
2024-01-31,119.2,122.99,119.2,121.43,400
2024-02-01,116.22,121.88,115.22,120.91,2900
2024-02-02,120,120,120,120.91,300
2024-02-06,121.01,125,121,124.77,5700
2024-02-07,124.5,124.5,120.5,121.73,10300
2024-02-09,122,124,121.5,121.88,600
2024-02-12,122.25,122.25,117.3,118.6,5200
2024-02-13,116.5,118,115.25,117.91,4300
2024-02-14,118.01,121.5,118,119.51,800
2024-02-15,119,119,118.01,119.51,200
2024-02-16,116.06,119.5,114.7,115.69,3100
2024-02-19,115.02,116.5,114.05,115.68,500
2024-02-20,118.9,118.9,118.9,118.9,1000
2024-02-21,118.8,118.98,117.01,118.62,1500
2024-02-22,121,125,120.01,121.05,4300
2024-02-23,122,122,120.12,121.42,1800
2024-02-26,125,129.5,125,128.56,7800
2024-02-27,127.11,128.5,127,127.7,8300
2024-02-28,129,134,124,124.96,13000
2024-02-29,123,126.07,123,124.01,3500
2024-03-01,122.15,122.15,120,120.88,7200
2024-03-04,120.5,121.85,120.5,121.43,2200
2024-03-05,122,122,119.15,119.43,6200
2024-03-06,121.9,122,119.45,119.7,7700
2024-03-07,120,120.6,120,120.12,2400
2024-03-08,122.99,123,120,120.29,4900
2024-03-11,121,122.7,121,121.03,4100
2024-03-12,121.5,123,121.11,121.11,1600
2024-03-13,121.11,121.5,119.01,119.51,4600
2024-03-14,121.1,122,121.1,121.83,1300
2024-03-15,122.22,122.5,122.22,122.5,1200
2024-03-18,120.05,122.75,120.05,122.17,800
2024-03-19,122,122.65,120,122.09,2600
2024-03-20,121.5,121.51,121,121.01,1100
2024-03-21,122,122.25,120.3,120.95,500
2024-03-22,122,122,120.05,121.32,1500
2024-03-25,119.1,123.95,117.05,119.37,1700
2024-03-26,120.01,120.01,117.5,118,2700
2024-03-27,119,119,118.95,118.99,1100
2024-03-28,119.6,122,119.6,121.02,2400
2024-03-29,121.49,121.5,121.49,121.5,1000
2024-04-01,120.55,120.55,120.55,121.5,100
2024-04-02,121.8,121.85,121.8,121.83,400
2024-04-03,120.01,121.99,120,121.71,1600
2024-04-04,122,122.84,122,122.84,2000
2024-04-08,123,123,122.04,122.04,1300
2024-04-09,123,125,123,125,2300
2024-04-15,124.49,124.49,123.01,123.67,600
2024-04-16,124.95,125,123.75,123.77,5000
2024-04-17,124.85,124.85,124.85,124.85,700
2024-04-18,124.05,124.05,120.15,120.25,3200
2024-04-19,122,123,120.05,122.13,8400
2024-04-22,118,124.42,118,123.31,6075
2024-04-23,124,126.99,122,123.77,6290
2024-04-24,124.01,127,124,124.76,5498
2024-04-25,124.5,126,124,124.03,2019
2024-04-26,125,126.9,122.5,124.03,9468
2024-04-29,124,125,123.2,123.74,5880
2024-04-30,120.2,123.95,118.69,119.56,8171
2024-05-02,119.56,119.56,117.1,118.48,3943
2024-05-03,119,120.9,118,118.36,20231
2024-05-06,118.6,120.98,118.5,120.4,7414
2024-05-07,120,121.75,118,120,6137
2024-05-08,118,120,118,118.58,4154
2024-05-09,118.14,120.97,118.14,119.99,4998
2024-05-10,119,123.95,118.52,119.64,4924
2024-05-13,120.98,124.5,120.98,122.98,22164
2024-05-14,122.5,126.5,122.5,126.2,7097
2024-05-15,126,134,124,129.74,11581
2024-05-16,134.99,137.5,130,134.34,36820
2024-05-17,134.34,140.4,131,135.76,21724
2024-05-20,136,136,131,131.9,4509
2024-05-21,130.55,130.55,126.3,129.57,4722
2024-05-22,132.98,132.98,128.7,129.07,2355
2024-05-23,130,130,128,130,2367
