date,open,high,low,close,volume
2024-01-04,110.3,110.3,108.6,109.7,56600
2024-01-05,108.02,112.0,108.0,111.03,244900
2024-01-08,111.0,113.0,108.0,108.18,84000
2024-01-09,109.99,114.0,109.99,111.5,178400
2024-01-10,112.0,114.45,111.0,113.0,36000
2024-01-11,114.0,118.0,114.0,116.86,126000
2024-01-12,119.0,119.75,115.51,117.88,60500
2024-01-15,116.0,121.0,115.02,119.66,98700
2024-01-16,117.0,118.75,116.01,118.0,10000
2024-01-17,117.8,117.85,116.0,116.0,10600
2024-01-18,114.01,116.0,111.55,115.97,83400
2024-01-19,116.0,116.0,115.0,115.19,22700
2024-01-22,115.1,115.77,114.0,114.51,78900
2024-01-23,114.99,119.8,114.99,117.05,34300
2024-01-24,117.5,117.5,117.0,117.0,15600
2024-01-25,118.0,118.0,116.0,116.0,62700
2024-01-26,115.5,117.0,115.5,116.06,7700
2024-01-29,115.0,116.0,115.0,115.0,17600
2024-01-30,114.05,115.0,114.0,114.0,21200
2024-01-31,113.0,113.5,112.51,113.33,3600
2024-02-01,112.0,115.0,112.0,114.65,49100
2024-02-02,114.0,114.0,114.0,114.0,1000
2024-02-06,113.02,117.0,113.02,114.97,17800
2024-02-07,115.5,116.01,114.0,114.93,42700
2024-02-09,107.3,114.99,107.1,111.04,4000
2024-02-12,109.95,109.95,105.0,107.37,14100
2024-02-13,109.95,113.5,105.0,109.04,46200
2024-02-14,112.89,115.0,110.0,113.0,90100
2024-02-15,113.0,113.0,110.0,110.13,9600
2024-02-16,110.5,113.99,109.95,110.93,6900
2024-02-19,108.0,112.0,108.0,112.0,6900
2024-02-21,113.0,113.0,112.0,112.0,12700
2024-02-22,112.0,115.0,112.0,113.08,37200
2024-02-23,114.95,115.0,114.5,114.5,14400
2024-02-26,115.0,119.97,114.0,116.95,35900
2024-02-27,116.0,116.0,114.0,114.21,6600
2024-02-28,114.5,116.1,114.5,114.94,3100
2024-02-29,117.0,118.0,113.1,113.5,21700
2024-03-01,113.0,114.5,113.0,114.02,14500
2024-03-04,116.96,116.96,113.35,114.96,11500
2024-03-05,119.47,119.47,114.5,115.48,9300
2024-03-06,112.51,114.0,112.51,113.02,1900
2024-03-07,113.0,116.0,112.0,115.68,55900
2024-03-11,114.0,117.98,114.0,114.09,2300
2024-03-13,113.0,114.0,112.51,113.17,300
2024-03-14,114.5,117.0,114.0,114.98,17800
2024-03-15,114.98,115.1,114.0,114.8,18800
2024-03-19,115.0,115.0,114.0,114.18,10400
2024-03-20,115.0,117.0,114.0,116.0,30700
2024-03-21,118.0,123.0,115.0,117.46,127500
2024-03-22,116.0,116.0,113.01,114.89,32000
2024-03-25,114.0,115.0,113.0,114.8,28600
2024-03-26,114.5,116.0,113.0,115.02,75200
2024-03-27,115.01,119.0,115.0,117.19,34200
2024-03-28,118.0,118.0,115.55,117.52,30400
2024-03-29,116.03,119.0,116.0,118.52,36600
2024-04-01,118.1,119.99,117.2,117.41,46400
2024-04-02,116.5,118.97,116.5,117.12,600
2024-04-03,116.61,117.8,115.0,116.27,5400
2024-04-04,116.5,124.75,116.0,117.39,21600
2024-04-08,117.5,117.5,116.55,117.03,800
2024-04-09,115.51,117.9,115.1,117.01,10100
2024-04-15,117.5,119.0,117.45,117.5,8700
2024-04-16,118.0,119.0,117.5,117.5,38000
2024-04-17,118.0,118.25,118.0,118.0,7200
2024-04-18,119.0,119.49,118.2,118.5,5400
2024-04-19,115.5,115.5,113.0,113.08,26700
2024-04-22,113.2,115.0,112.6,112.87,46002
2024-04-23,114.0,115.0,114.0,114.5,12924
2024-04-24,113.01,116.0,113.01,115.99,18064
2024-04-25,114.5,114.5,112.5,113.23,30064
2024-04-26,111.5,114.0,111.5,113.48,9489
2024-04-29,113.22,113.22,109.5,111.0,7033
2024-04-30,108.11,110.0,108.11,108.8,1201
2024-05-02,106.0,108.0,106.0,106.05,8252
2024-05-03,106.5,106.5,105.5,105.99,12846
2024-05-06,106.5,113.94,106.0,110.63,100170
2024-05-07,110.0,110.0,108.51,109.0,45560
2024-05-08,112.99,113.0,108.81,112.56,268296
2024-05-09,111.99,114.9,111.55,113.31,58056
2024-05-10,113.99,115.99,110.2,113.43,12771
2024-05-13,113.99,121.5,113.99,120.03,174173
2024-05-14,118.2,121.5,116.02,120.64,34799
2024-05-15,121.0,129.69,118.3,129.69,442730
2024-05-16,135.9,139.35,132.98,138.49,650537
2024-05-17,138.5,146.0,133.51,143.85,181385
2024-05-20,145.49,154.64,145.49,151.01,455947
2024-05-21,154.0,154.0,145.4,146.57,23351
2024-05-22,145.51,148.0,141.0,143.48,46810
2024-05-23,140.01,144.97,139.0,140.16,34817
2024-05-24,143.0,147.1,137.65,146.47,96672
2024-05-27,143.1,149.0,143.1,145.12,128491
2024-05-29,144.0,146.0,141.63,142.24,23634
2024-05-30,143.0,143.25,141.0,142.97,23856
2024-05-31,149.94,149.94,142.53,146.0,77716
2024-06-03,147.0,147.5,138.0,138.65,94111
2024-06-04,149.74,149.74,133.0,133.8,83718
2024-06-05,133.8,136.77,128.0,129.17,47316
2024-06-06,129.0,130.01,125.0,126.0,25167
2024-06-07,123.0,128.0,121.06,127.16,65285
2024-06-10,125.0,127.9,124.0,124.52,16459
2024-06-11,124.09,124.09,121.0,122.55,16140
2024-06-12,121.01,123.95,121.0,122.89,2995
2024-06-13,124.49,131.0,124.49,130.09,79160
2024-06-14,131.98,134.0,130.0,130.06,17672
2024-06-20,141.0,141.0,131.0,135.93,15830
2024-06-21,135.0,135.0,130.15,130.54,374
2024-06-24,131.0,137.9,120.0,122.23,95327
2024-06-25,123.0,124.9,122.5,123.39,43848
2024-06-26,123.01,125.0,118.06,121.79,59997
2024-06-27,124.5,124.87,121.0,124.87,11902
2024-06-28,121.0,128.0,121.0,126.0,901
2024-07-01,124.8,126.0,124.8,125.45,6157
2024-07-02,126.0,130.0,124.0,126.38,57489
2024-07-03,127.0,135.0,125.0,131.58,16225
2024-07-04,131.6,140.0,128.25,130.0,173747
2024-07-05,126.51,130.0,125.0,126.82,58079
2024-07-08,138.87,138.87,125.1,131.37,8528
2024-07-09,136.2,136.2,125.6,129.83,14083
2024-07-10,129.0,130.0,126.26,130.0,24505
2024-07-11,129.98,129.98,126.55,126.64,2107
2024-07-12,129.99,129.99,123.01,126.29,17163
2024-07-15,124.01,130.5,124.01,128.21,22346
2024-07-18,129.9,129.9,125.6,127.02,13210
2024-07-19,128.0,129.99,123.6,126.74,8807
2024-07-22,129.88,129.88,118.25,120.22,11488
2024-07-23,127.74,129.5,118.0,129.0,194290
2024-07-24,130.0,137.0,128.0,135.99,101884
2024-07-25,136.0,147.0,134.0,137.17,443460
2024-07-26,131.01,138.99,131.0,132.35,7694
2024-07-29,133.0,145.59,131.6,145.59,593214
2024-07-30,149.0,160.15,147.5,154.85,611253
2024-07-31,157.0,157.0,146.0,146.22,28713
2024-08-01,143.0,160.84,143.0,160.84,512839
2024-08-02,164.01,170.0,158.0,167.09,146793
2024-08-05,169.99,173.0,155.6,166.32,142519
2024-08-06,168.0,180.0,164.0,173.74,283486
2024-08-07,174.0,179.0,166.02,169.99,15477
2024-08-08,174.9,174.9,160.0,169.47,183845
2024-08-09,170.0,175.49,166.41,173.85,62439
2024-08-12,166.11,175.49,166.11,171.16,17552
2024-08-13,176.99,176.99,167.3,174.97,319459
2024-08-15,175.0,179.0,175.0,176.0,17912
2024-08-16,179.99,179.99,170.0,171.83,11711
2024-08-19,171.99,172.0,161.2,163.6,18497
2024-08-20,166.99,166.99,158.0,164.22,37416
2024-08-21,161.35,168.9,161.1,167.59,13934
2024-08-22,163.06,171.5,163.06,168.75,15160
2024-08-23,172.99,172.99,165.0,166.38,20480
2024-08-26,166.29,166.3,160.0,164.14,32645
2024-08-27,160.05,167.88,150.15,161.97,86878
2024-08-28,165.5,169.0,155.1,161.51,32001
2024-08-29,164.95,164.95,155.02,160.31,21325
2024-08-30,160.0,175.0,155.51,171.85,87052
