date,open,high,low,close,volume
2023-09-11,8.1,8.1,8.02,8.02,1500
2023-09-19,8.04,8.79,8.04,8.65,4000
2023-09-27,8.65,8.65,8.65,8.65,500
2023-10-02,8.85,8.85,8.79,8.79,1500
2023-10-05,8.01,8.89,8,8.89,1500
2023-10-09,8.01,8.49,8.01,8.49,1500
2023-10-11,8.89,9.25,8.89,9.25,5000
2023-10-16,9,9.45,9,9.1,3000
2023-10-18,9.36,9.36,9.36,9.36,500
2023-10-25,8.51,10,8.51,9.5,15000
2023-10-26,9.8,10,9.7,9.98,28000
2023-10-30,10,10,9.33,9.33,15500
2023-10-31,9.54,9.54,9.54,9.54,500
2023-11-01,9.9,9.9,9.9,9.9,500
2023-11-03,10.63,10.63,10,10,4500
2023-11-06,9.35,10,9.35,10,6500
2023-11-07,10.24,10.24,10.24,10.24,500
2023-11-13,10.14,10.2,9.99,10.2,11000
2023-11-14,9.23,9.77,9.23,9.77,3000
2023-11-15,10,10.15,9.97,10.15,36000
2023-11-16,10.14,10.44,10,10.4,60000
2023-11-17,10.65,10.89,10.41,10.41,23500
2023-11-20,10.9,10.9,10.05,10.32,92500
2023-11-21,10.7,11.15,10.6,10.6,27500
2023-11-22,10.99,11,10.7,10.8,27500
2023-11-23,10.6,10.74,10.5,10.74,9000
2023-11-24,10.41,10.89,10.4,10.87,5000
2023-11-27,10.28,10.28,10.28,10.28,500
2023-11-28,10.5,10.84,10.35,10.35,27500
2023-11-29,10.6,11.1,10.5,10.53,7000
2023-11-30,10.79,10.8,10.79,10.8,5000
2023-12-01,10.31,10.6,10.3,10.47,39500
2023-12-04,10.6,11.25,10.6,11.21,60000
2023-12-05,11,12.15,11,12.01,78500
2023-12-06,13.01,13.01,13.01,13.01,19000
2023-12-07,14.01,14.01,14.01,14.01,164500
2023-12-08,15.06,15.06,14.2,15.06,432000
2023-12-11,15.49,16,14.8,15.8,189000
2023-12-12,16.2,16.2,15.25,15.27,43500
2023-12-13,14.7,14.95,14.12,14.12,84000
2023-12-14,14.47,14.47,13.3,14.11,41500
2023-12-15,14.5,15.17,14.3,14.85,82500
2023-12-18,14.99,14.99,13.77,13.8,57500
2023-12-19,13.15,13.15,12.85,12.9,14500
2023-12-20,12.61,13.38,12.6,13.02,18000
2023-12-21,13.69,13.99,13,13,40500
2023-12-22,13.49,13.64,13,13,39500
2023-12-26,12.25,12.89,12.25,12.42,19500
2023-12-27,12.38,12.4,12.38,12.4,5000
2023-12-28,13.35,13.35,13.29,13.34,7000
2023-12-29,12.62,12.62,12.5,12.5,5500
2024-01-01,13,13.5,13,13.45,22500
2024-01-02,13.79,13.79,13.79,13.79,500
2024-01-03,13.94,13.94,13.05,13.07,7000
2024-01-09,13,13,13,13,1500
2024-01-10,13.15,13.15,13.15,13.15,500
2024-01-11,13,13.49,12.51,13,17000
2024-01-12,12.75,13.74,12.7,13,10500
2024-01-15,13.02,13.44,13,13.05,10500
2024-01-18,13.05,13.05,13.05,13.05,50500
2024-01-19,13,13,13,13,1000
2024-01-23,13.25,13.45,13.25,13.45,1500
2024-01-24,14.4,14.4,14.4,14.4,500
2024-01-25,13.33,13.99,13.32,13.99,2000
2024-01-29,13,13,12.94,12.94,4000
2024-01-31,12.51,12.51,12.5,12.51,1000
2024-02-07,12.99,12.99,12.99,12.99,500
2024-02-09,12.12,12.7,12.12,12.7,10000
2024-02-12,12.5,12.5,12.5,12.5,1000
2024-02-14,12.12,13.12,12.12,13.12,1000
2024-02-21,12.12,12.15,12.12,12.15,2000
2024-02-22,12.15,12.15,12.15,12.15,10500
2024-02-23,12.15,12.15,12.15,12.15,5000
2024-02-26,12.96,12.96,12.96,12.96,500
2024-02-27,12.01,12.74,12.01,12.74,1000
2024-02-28,12.75,12.75,12.75,12.75,10500
2024-02-29,12.5,12.5,12.5,12.5,3000
2024-03-04,12.63,12.65,12.63,12.65,12000
2024-03-06,12.75,12.75,12.75,12.75,1000
2024-03-07,12.7,12.7,12.7,12.7,1000
2024-03-08,12.7,12.7,12.7,12.7,500
2024-03-11,12,12.7,12,12.7,4500
2024-03-13,12.5,12.5,12,12.01,6500
2024-03-14,12.2,12.2,12.2,12.2,1000
2024-03-15,12,12,12,12,5500
2024-03-18,12.65,13,12.65,13,41000
2024-03-19,13.89,14,13.5,14,54000
2024-03-20,15.05,15.05,14,14.48,93500
2024-03-21,14.5,14.5,13.39,13.39,56000
2024-03-22,12.41,12.8,12.39,12.39,31000
2024-03-25,12.39,13.39,12.39,13.24,26500
2024-03-26,14.18,14.18,14.18,14.18,500
2024-03-27,13.2,13.49,13.15,13.2,8000
2024-03-28,12.8,12.8,12.6,12.6,5000
2024-03-29,12.8,13.45,12.8,13.45,1500
2024-04-01,14.19,14.19,14.19,14.19,500
2024-04-03,13.25,14,13.25,14,1500
2024-04-04,13.55,14.05,13.03,13.03,6500
2024-04-08,13,13.9,13,13.9,10500
2024-04-09,14.4,14.4,13,13,1500
2024-04-15,14,14,13.95,14,118500
2024-04-16,14.45,14.9,13.5,14.15,31000
2024-04-17,14.5,14.5,13.25,14.21,12500
2024-04-22,13.52,14.1,13.4,14,6500
2024-04-23,14.3,14.3,14.3,14.3,500
2024-04-24,14.2,14.2,14.2,14.2,2500
2024-04-25,14.49,14.49,14.49,14.49,1000
2024-04-26,13.5,14,13.5,14,3000
2024-04-29,13.25,13.25,12.95,13,6000
2024-04-30,13,13.3,13,13,6500
2024-05-02,13.4,13.4,13,13,20000
2024-05-03,12.6,13.1,12.6,13.1,1000
2024-05-06,13,13.5,13,13.17,14500
2024-05-07,13.75,13.75,12.95,12.95,4500
2024-05-09,13,13,13,13,1500
2024-05-10,13.01,14,13,13.99,30000
2024-05-13,13.87,13.89,13.2,13.36,20500
2024-05-14,13.85,13.87,13.85,13.87,1000
2024-05-15,14.86,14.86,14.05,14.1,7500
2024-05-16,14,14,14,14,1000
2024-05-17,14.9,14.9,14.9,14.9,1500
2024-05-20,14,14.5,13.79,14.33,23000
2024-05-24,14.95,14.95,14,14.5,2500
2024-05-27,14.5,14.5,13.4,13.58,6350
2024-05-29,13.15,13.7,13.01,13.7,4331
2024-05-30,13.69,13.99,13.69,13.7,1279
2024-05-31,13.99,14.3,13.4,14.07,42603
2024-06-03,14.4,14.99,13.99,14,1096
2024-06-04,13.9,14.48,13.9,13.95,750
2024-06-05,13.8,13.8,13.8,13.8,3004
2024-06-06,13.8,14.49,13.8,14.35,1000
2024-06-07,13.8,13.9,13.8,13.81,1072
2024-06-10,13.77,13.77,13.73,13.73,1800
2024-06-11,13.01,13.01,13,13,3000
2024-06-12,12.01,13.7,12.01,13,12
2024-06-13,13.7,13.7,13.6,13.6,2614
2024-06-14,13.5,13.5,13.5,13.5,5999
2024-06-20,13.7,13.7,13.5,13.66,1098
2024-06-21,14.6,14.6,14,13.66,200
2024-06-24,14.36,14.36,13.73,13.66,300
2024-06-25,12.79,13.7,12.78,13.7,505
2024-06-26,13.01,13.59,13,13,6582
2024-06-27,13.69,13.7,13.1,13.1,5567
2024-06-28,13.68,13.68,13.12,13.1,7
2024-07-01,13.12,13.14,13.05,13.08,5649
2024-07-02,13.63,13.63,13.63,13.08,300
2024-07-03,13.68,13.69,13.68,13.68,505
2024-07-04,13.7,13.98,13.7,13.94,2099
2024-07-08,14.4,14.8,13.95,14.22,1057
2024-07-10,13.21,13.21,13.08,13.08,6010
2024-07-11,13.97,13.97,13.97,13.08,102
2024-07-12,13.99,13.99,13.99,13.08,100
2024-07-15,13.05,14,13.05,13.7,20101
2024-07-18,14.4,14.4,13.1,13.17,51010
2024-07-19,13.89,13.89,13.42,13.53,28601
2024-07-22,13.21,13.21,13.21,13.53,200
2024-07-23,13.94,13.94,13.94,13.53,100
2024-07-24,13.89,13.89,13.8,13.8,5113
2024-07-25,13.98,14,13.95,13.99,1130
2024-07-26,14.2,14.2,13.12,13.35,3708
2024-07-29,13.91,14.69,13.88,14.64,16431
2024-07-30,15.25,15.25,14.3,14.79,38901
2024-07-31,15.05,15.33,14.6,14.86,39114
2024-08-01,14.1,15.36,14.1,15.06,893
2024-08-02,16.49,16.49,14.99,15.72,10188
2024-08-05,15.97,16.44,15.1,15.56,7540
2024-08-06,15.45,15.7,15.45,15.5,14500
2024-08-07,15.41,16.3,15.05,16,12255
2024-08-08,16,16,14.6,15.79,26310
2024-08-09,15.5,17,15.5,15.67,17395
2024-08-12,16.72,16.97,15.11,15.25,18956
2024-08-13,15.14,16.15,15.14,16.15,11100
2024-08-15,16.15,16.24,15.11,16.03,1172
2024-08-16,15.21,15.48,15.14,15.48,3300
2024-08-19,16.99,16.99,15.25,15.25,1600
2024-08-21,15.5,16,15.25,16,26700
2024-08-22,15.97,15.99,15.01,15.88,1200
2024-08-23,14.35,15,14.32,14.46,4653
2024-08-26,15.5,15.5,15.5,14.46,1
2024-08-28,13.2,14.99,13.1,14.94,17051
2024-08-29,14.51,14.96,14.03,14.55,1019
2024-08-30,14.06,14.72,14.03,14.31,6900
2024-09-02,13.81,13.81,13.01,13.5,15194
2024-09-03,14.3,14.3,14.29,14.3,35600
2024-09-04,13.4,14.29,13,13.29,2950
2024-09-05,14.1,14.62,13.99,14,4002
2024-09-06,13.31,13.31,13.2,13.2,5000
2024-09-09,13,13.85,13,13,5198
2024-09-10,13.8,13.8,13.8,13,100
2024-09-11,13.15,13.86,13,13.01,8655
2024-09-12,14,14,13.3,13.3,601
2024-09-13,13.1,13.72,13,13,4555
2024-09-16,13.5,13.65,13,13,27001
2024-09-18,13,13,13,13,1000
2024-09-19,13,13.64,12.21,13,25002
