date,open,high,low,close,volume
2024-01-17,17.02,17.3,16.91,17.15,251500
2024-01-18,17,17.1,16.95,17.01,186000
2024-01-19,17.15,17.75,15.73,15.73,2411000
2024-01-22,15,16,14.72,15.2,1445000
2024-01-23,15.25,15.68,15,15.24,945500
2024-01-24,15.25,15.25,14.75,14.84,747500
2024-01-25,14.99,15,14.46,14.64,366500
2024-01-26,14.69,14.7,14.44,14.49,58000
2024-01-29,14.27,14.5,14.1,14.1,155000
2024-01-30,14.16,14.26,13.76,13.83,101500
2024-01-31,13.9,14.1,13.51,13.71,274500
2024-02-01,13.79,13.8,13.5,13.54,116000
2024-02-02,13.54,13.65,13.3,13.38,148000
2024-02-06,13.55,13.6,13.2,13.5,336000
2024-02-07,13.41,13.89,13.41,13.81,68000
2024-02-09,13.35,13.89,13.35,13.7,46500
2024-02-12,13.42,14,13.3,13.65,164000
2024-02-13,13.5,13.99,13.2,13.88,357500
2024-02-14,13.9,14.92,13.9,14.91,948000
2024-02-15,14.7,15.7,14.6,15.45,1425000
2024-02-16,15.1,15.6,14.5,15.15,1032000
2024-02-19,14.84,14.84,14.4,14.58,550000
2024-02-20,14.32,14.64,14.32,14.5,92000
2024-02-21,14.7,15.1,14.36,14.57,151000
2024-02-22,14.41,14.6,14.01,14.5,92500
2024-02-23,14.4,14.59,14.4,14.49,76000
2024-02-26,14.44,15.1,14.3,14.42,363500
2024-02-27,14.32,14.78,14.01,14.4,139000
2024-02-28,14.6,14.6,14.31,14.31,787000
2024-02-29,14.7,14.7,14.2,14.23,146000
2024-03-01,14.3,14.41,13.5,13.67,1002500
2024-03-04,13.7,13.9,13.5,13.78,838500
2024-03-05,13.82,14.5,13.82,14.18,2805500
2024-03-06,12.49,12.95,12.25,12.64,982000
2024-03-07,12.83,12.83,12.4,12.59,339500
2024-03-08,12.6,12.88,12.43,12.72,157000
2024-03-11,12.7,12.84,12.01,12.17,1156000
2024-03-12,12.3,12.34,11.9,11.98,476500
2024-03-13,12,12.44,12,12.11,268000
2024-03-14,12.45,12.45,12.11,12.34,42000
2024-03-15,12.43,12.43,11.87,11.91,650500
2024-03-18,11.85,12.16,11.81,11.91,151000
2024-03-19,11.83,12.24,11.83,12.11,380000
2024-03-20,12.2,12.39,12.15,12.19,258000
2024-03-21,12.3,12.45,12.15,12.18,150500
2024-03-22,12.1,12.25,11.98,12.15,397500
2024-03-25,12.25,12.4,11.81,11.9,456500
2024-03-26,11.9,11.9,11.5,11.67,453500
2024-03-27,11.55,11.64,11.4,11.47,540500
2024-03-28,11.55,11.98,11.53,11.62,455500
2024-03-29,11.66,11.7,11.38,11.5,93500
2024-04-01,11.74,11.8,11.5,11.74,157000
2024-04-02,11.81,12.19,11.61,12.13,810500
2024-04-03,12.26,12.88,12.2,12.54,2508000
2024-04-04,12.59,13.1,12.35,13.05,3996000
2024-04-08,12.86,13.2,12.42,12.49,1365500
2024-04-09,12.45,12.5,12.1,12.16,384000
2024-04-15,12.16,12.25,11.5,11.57,1883500
2024-04-16,11.69,11.9,11.36,11.75,3599000
