date,open,high,low,close,volume
2024-01-11,141.7,146,140.15,144.37,345672
2024-01-12,144.98,146.7,140.13,141.63,73288
2024-01-15,140.6,143,139.5,140.64,137239
2024-01-16,139.5,141,136,137.79,127716
2024-01-17,138,144.39,138,143.44,1320912
2024-01-18,145,145.5,137,138.34,499558
2024-01-19,139,141,137.12,137.55,117055
2024-01-22,139,139,133.11,133.94,137304
2024-01-23,133,136.38,131.47,135.97,170419
2024-01-24,136,141,136,139.38,271615
2024-01-25,140,143,140,142.12,479943
2024-01-26,143,143,140.1,141.94,266480
2024-01-29,142.38,143.25,140,142.19,859189
2024-01-30,143.4,143.4,134.2,135.23,1254360
2024-01-31,136.5,136.5,132,134.25,222117
2024-02-01,136.11,136.11,131,132.63,43161
2024-02-02,134.49,136,132.01,134.83,84920
2024-02-06,136.3,138.5,134.01,137.53,173819
2024-02-07,139,139,137.22,138.86,39364
2024-02-09,137.5,137.5,128,133.39,55187
2024-02-12,135.9,135.9,127,127.68,355852
2024-02-13,127.68,133,125,131.63,90682
2024-02-14,133.55,135.99,131.8,135,149954
2024-02-15,136.88,136.88,127,127.69,51491
2024-02-16,127.99,129.45,126,126.54,7048
2024-02-19,126,126.99,121.51,125.19,42925
2024-02-20,125.5,128,124.11,126.17,48270
2024-02-21,129.99,129.99,128,129.27,65668
2024-02-22,129.99,130.9,129,130.09,35284
2024-02-23,132.98,132.98,125.1,129.36,40938
2024-02-26,131.1,132.98,130.49,131.85,100440
2024-02-27,132.5,134.75,131.01,131.77,115533
2024-02-28,131.98,138,131.98,133.72,290432
2024-02-29,136,137,132,132.43,215550
2024-03-01,134.9,134.9,132,133.15,59292
2024-03-04,135.85,138.15,133,134.18,83725
2024-03-05,134.98,137,130,132.08,360266
2024-03-06,134,134,130,130.42,39571
2024-03-07,132,134,128,129.38,55579
2024-03-08,131.5,134,130,132.14,110923
2024-03-11,132.95,135.88,132,134.46,220246
2024-03-12,135,135.5,132.76,133,128041
2024-03-13,134,134,129.1,132.56,79832
2024-03-14,130.2,135.35,130.2,134.2,77878
2024-03-15,134.95,134.95,133.5,133.56,89407
2024-03-18,133.5,133.5,130.01,130.62,23059
2024-03-19,131,132.6,129.77,131.19,15715
2024-03-20,131.79,137.5,131.6,136.28,768472
2024-03-21,137.99,138.96,134,137.22,795043
2024-03-22,137.5,139,136,138.48,337874
2024-03-25,139,140.25,137,139.74,751001
2024-03-26,141.5,141.5,137,139.29,152619
2024-03-27,141,143.9,139,139.83,778834
2024-03-28,141,143,139.02,142,286201
2024-03-29,144,144,141.2,142.02,220306
2024-04-01,139.15,144,139.15,140.39,12275
2024-04-02,141,141.9,138.5,138.83,74908
2024-04-03,140.95,144.5,138.55,143.8,426389
2024-04-04,142.3,144.3,142,142.14,72029
2024-04-08,142.95,147.89,140,147.37,488855
2024-04-09,146.9,151,146.9,147.12,329333
2024-04-15,147,154,144,152.6,447486
2024-04-16,154.75,164.05,154.01,160,1598946
2024-04-17,158,158,150.65,152.2,362513
2024-04-18,154,155,150,151.18,565969
2024-04-19,150.4,152,147.62,149.96,205057
2024-04-22,147,154.38,147,151.57,203004
2024-04-23,152.9,156.2,151.01,155.41,466335
2024-04-24,155.4,159.49,150.1,157.06,189515
2024-04-25,158,159,152.6,153.8,84668
2024-04-26,154,157.49,150.53,152.63,228595
2024-04-29,155.68,156.01,153,153.22,349998
2024-04-30,152.11,153.89,147,148.18,172194
2024-05-02,149.8,150,145.5,149.2,206463
2024-05-03,150.48,154.25,150.48,153.06,659987
2024-05-06,154.5,160,154.2,156.02,310476
2024-05-07,157.5,159.2,154.1,155,295303
2024-05-08,155,156,151,153.18,374775
2024-05-09,153.51,155,152,153.85,110371
2024-05-10,155,157.98,152.95,157.09,633584
2024-05-13,158.4,168.87,158.39,165.21,2978200
2024-05-14,167.4,168,162.3,165.35,441236
2024-05-15,165.98,165.98,161.12,163.88,158303
2024-05-16,163.9,176.17,162,176.17,2060674
2024-05-17,180.01,189.28,178.94,182.44,3662074
2024-05-20,183.5,195.8,182.44,194.08,2768463
2024-05-21,194.5,196,187.51,190.84,1235395
2024-05-22,191,193.9,186.36,188,783597
2024-05-23,189,191.8,185.22,188.76,536491
2024-05-24,190,196.97,184,193.06,1834126
2024-05-27,194.85,195,187.5,191.35,708708
2024-05-29,192.9,192.9,187,188.68,468520
2024-05-30,189.89,193.5,187.99,191.03,899162
2024-05-31,193.9,198.98,191.15,196.68,2459071
2024-06-03,195,195.89,190.5,192.36,851064
2024-06-04,192.36,193.5,187.5,188.7,1040780
2024-06-05,189,189,181,182.42,891329
2024-06-06,183.9,186.4,178.01,179.38,607633
2024-06-07,180,184.35,171.99,183.53,1779117
2024-06-10,183.5,185.45,180.41,180.94,617621
2024-06-11,182.16,184,179,179.83,762427
2024-06-12,182.65,183.95,179.05,181.29,319689
2024-06-13,186,190.2,184,188.88,1082121
2024-06-14,191,199.01,187.51,192.07,3579239
2024-06-20,192.9,197.7,190.02,195.9,2924835
2024-06-21,195,203,194.11,194.79,1043446
2024-06-24,194.78,196.9,191.74,192.49,683786
2024-06-25,193,195.2,191,191.05,796336
2024-06-26,192,194.95,190.02,191.17,622464
2024-06-27,191.6,195.1,189.4,191.67,857514
2024-06-28,192,199.7,191.96,195.71,1940811
2024-07-01,195,197.3,192.5,195.91,1011374
2024-07-02,197,213.54,197,213.54,4755585
2024-07-03,213.54,214.5,204.12,205.67,2750923
2024-07-04,206.85,216.6,204,211.23,4321517
2024-07-05,212.98,212.98,207,208.25,1279243
2024-07-08,205.84,219,205.84,213.04,1376391
2024-07-09,213,219,212.25,217.77,2137097
2024-07-10,218.55,222,212,212.76,1094158
2024-07-11,213,213,207.8,210.14,2747758
2024-07-12,210.9,212.9,201.4,209.26,1793163
2024-07-15,212.51,213.75,208,209.84,995878
2024-07-18,211,222,210,213.95,4102231
2024-07-19,214.5,214.5,193.62,194.93,3664566
2024-07-22,193,194.75,177.84,183.49,2243445
2024-07-23,184,193,182,191.61,1588400
2024-07-24,192.61,197,188.1,189.09,971030
2024-07-25,190,190,182,182.66,557416
2024-07-26,181.15,182.66,176.4,177.28,1189537
2024-07-29,178.28,181.99,175.3,179.73,906347
2024-07-30,180.9,181.7,175.99,177.89,846797
2024-07-31,178,182,175.01,175.88,796564
2024-08-01,177.5,177.5,172.5,174.61,308110
2024-08-02,175.48,179.5,175.02,176.52,1534955
2024-08-05,178.9,178.9,174.4,175.48,398492
2024-08-06,176.51,178,174.25,177.47,839271
2024-08-07,177.5,185,177.5,181.38,1698398
2024-08-08,182,183.4,178.6,182,478042
2024-08-09,182,183,181,181.53,548495
2024-08-12,181,183.1,179.31,179.93,503195
2024-08-13,179.93,181.93,178.5,180.68,348539
2024-08-15,180.89,182,179.26,181,397440
2024-08-16,181.88,183,179.7,180.27,725432
2024-08-19,180.02,182.48,177.3,180.83,835409
2024-08-20,182.33,182.62,177,181.34,1142631
2024-08-21,182.5,185,180.5,181.24,867460
2024-08-22,182.6,184.49,181.5,181.59,268849
2024-08-23,174.2,179,173.6,177.01,902089
2024-08-26,177.01,181,171,180,1465981
2024-08-27,180.49,180.49,178,178.52,910607
2024-08-28,180,182,175.15,176.5,155517
2024-08-29,178.97,178.97,175,175.08,131298
2024-08-30,177.95,177.95,167.2,168.8,532519
2024-09-02,167.1,167.1,154,155.45,379924
2024-09-03,156,160.98,155.21,159.38,247122
2024-09-04,160.98,165,157.6,161.75,335950
2024-09-05,161.76,163.9,159,159.64,90027
2024-09-06,160.89,162,159.03,160.78,58113
2024-09-09,161.98,161.98,158,158.6,17391
2024-09-10,160.89,161,156.71,159.52,192512
2024-09-11,161,161,155.99,157.7,305734
2024-09-12,157,161.2,155,160.11,497124
2024-09-13,165,168.45,163,163.41,286718
2024-09-16,163,172.99,160.5,170.11,530890
2024-09-18,166.9,166.9,158,159.8,209723
2024-09-19,161,161.97,157.5,158.66,56705
2024-09-20,158,160.5,155,156.89,29266
2024-09-23,156.89,157.99,154.01,154.58,48536
2024-09-24,154.01,156.93,153.5,154.17,10619
2024-09-25,153.95,153.99,152.1,152.78,63173
2024-09-26,153.6,155.35,151.51,152.41,85571
2024-09-27,153.99,154.95,151,151.19,22667
2024-09-30,152.9,152.9,136.07,137.14,981319
2024-10-01,139.8,141,135,140.15,533590
2024-10-02,139.99,143,136.1,136.52,117644
2024-10-03,137.98,141,136.12,138.62,255846
2024-10-04,138.89,139.75,135,136.19,106940
2024-10-07,135.13,141.95,134.01,140.54,276715
2024-10-08,143.9,148.75,142,144.13,306767
2024-10-09,146.98,146.98,141.51,141.6,135487
2024-10-10,141.6,144,140.25,140.96,71489
2024-10-11,142.95,145,141,141.45,108340
2024-10-14,142.3,151.8,142.2,149.22,462034
2024-10-15,150.99,161.61,149.7,159.36,646824
2024-10-16,162,163,155,157.84,448026
2024-10-17,159.84,159.84,155,155.47,185493
2024-10-18,157,158.84,154,156.6,193719
2024-10-21,155.25,158.1,155.25,156.74,121081
2024-10-22,158.78,158.78,156.55,157.55,124218
2024-10-23,159.98,165.2,158.5,162.86,519750
2024-10-24,164,166,159,160.39,242945
2024-10-25,160,163.96,154.51,155.68,629806
2024-10-28,156,158,147.85,148.56,312690
2024-10-29,148.56,150,140.56,144.07,163061
2024-10-30,145.6,147.49,140,140.44,208031
2024-10-31,142,143.47,135,137.01,384665
2024-11-01,138,144.5,136.8,143.42,315994
2024-11-04,143,150.8,141.1,149.95,697933
2024-11-05,152.5,154,148,148.39,433362
2024-11-06,149.5,151,146.02,147.38,265393
2024-11-07,148.6,149.5,145.5,146.16,118248
2024-11-08,148.88,154.44,143.9,153.28,847941
2024-11-11,153.28,157.9,153.28,155.5,331036
2024-11-12,156.5,156.5,151,151.64,239106
2024-11-13,151.88,163,147.1,156.44,1246781
2024-11-14,156.44,163,156.44,159.22,511988
2024-11-15,161.99,161.99,157,157.23,100524
2024-11-18,158.88,158.88,153.11,155.06,163055
2024-11-19,156.56,156.56,153.13,154.02,95759
2024-11-20,155,157,153,154.89,287263
2024-11-21,155.96,156,153.35,154.18,111782
2024-11-22,154,155.3,150.5,151.1,329968
2024-11-25,151.59,152,149,150.35,96246
2024-11-26,151.71,151.71,141,141.85,246833
2024-11-27,142.5,147.5,142.5,146.97,125406
2024-11-28,150,156.9,147,150.62,491797
2024-11-29,152,155,149,150.44,309775
2024-12-02,153.85,158.5,152.5,156.73,739250
2024-12-03,158.5,168,158.5,165.36,1733525
2024-12-04,166,166,162.95,163.98,481765
2024-12-05,164,180.38,164,180.38,2014067
2024-12-06,182,194.1,173.1,189.78,2950727
2024-12-09,191.56,195.99,182.2,187.92,986254
2024-12-10,188,191.5,178,181.04,1602811
2024-12-11,184.5,187.9,180.6,181.7,845776
2024-12-12,183,183.69,182,182.79,248305
2024-12-13,182.5,185,178.15,181.91,432086
2024-12-16,185,195,182,187.83,1244443
2024-12-17,188.55,194.66,182.28,188.61,1029600
2024-12-18,187.1,192.95,182.01,182.88,633634
2024-12-19,183,183,164.59,165.82,1065535
2024-12-20,164.99,171.9,163.5,168.19,346025
2024-12-23,170,176.95,170,175.16,346554
2024-12-24,174.5,178.5,173,176.89,366557
2024-12-26,176.91,176.91,166.12,173.74,159678
2024-12-27,174.2,176.74,170.15,173.58,242186
2024-12-30,173,185,173,182.44,722380
2024-12-31,183.2,184.39,177,178.29,368551
2025-01-01,179.1,192.99,179,191.35,2027559
2025-01-02,190,192.4,183.9,184.48,692726
2025-01-03,183,187.5,180,185.83,276639
2025-01-06,187.9,187.9,180,181.79,487459
2025-01-07,181.51,186,174.02,178.85,360927
2025-01-08,178.5,181.69,172.11,173.95,387387
2025-01-09,170.16,173.99,170.01,171.99,271158
2025-01-10,171.99,174.9,169.01,172.13,106528
2025-01-13,172,174.9,170,173.61,167294
2025-01-14,173.9,176,173,174.33,116421
2025-01-15,174.33,178.88,173.5,175.02,277091
2025-01-16,175,175.79,170.45,170.92,273066
2025-01-17,170,175,169,170.26,433435
2025-01-20,170.5,173.69,168.11,169.21,819341
2025-01-21,169.21,171.8,162,164.02,351741
2025-01-22,164.06,168.55,164.06,167.36,295853
2025-01-23,167.46,170.5,164.5,165.04,177348
2025-01-24,167,168.47,163,164.89,141791
2025-01-27,166.95,166.95,160.23,161.2,167082
2025-01-28,161.2,163,153.5,156.95,345429
2025-01-29,155.05,156.95,152,153.47,107116
2025-01-30,153.47,155.7,152.02,155.19,43768
2025-01-31,154.99,158.41,150,157.67,242692
2025-02-03,157.93,164,157,162.08,365139
2025-02-04,162.08,165,162,162.95,187594
2025-02-06,165,165,158.21,163.7,107343
2025-02-07,162.01,164.67,162,163.4,138318
2025-02-10,165,165,160.5,162.83,99928
2025-02-11,161.11,165.5,161.11,163.05,47388
2025-02-12,165.88,165.88,163,163.51,55348
2025-02-13,164.99,164.99,163,163.37,33060
2025-02-14,162.56,166,161,161.87,110780
2025-02-17,163,163.5,161.55,162.94,182259
2025-02-18,161,163.98,160.15,163.28,24698
2025-02-19,161.5,164.28,161.5,163,18074
2025-02-20,163.48,168,161.62,163.76,170509
2025-02-21,164.01,167.98,161.85,162.09,139010
2025-02-24,163.98,163.98,160.61,161.52,32409
2025-02-25,160.3,163.51,160.3,162,137211
2025-02-26,161.11,162.7,158,160.01,103087
2025-02-27,160,161.89,157,160,97413
2025-02-28,158.11,161.7,156,157.32,76857
2025-03-03,159.8,159.8,155,157.02,60405
2025-03-04,155.29,158,155.29,156.73,19737
2025-03-05,157,159.9,156.1,159.45,514868
2025-03-06,159.25,165.98,159.25,165.21,349753
2025-03-07,166,171,165.1,170.12,1038055
2025-03-10,170.5,170.75,167.4,167.77,93892
2025-03-11,167,167,161.99,162.1,205101
2025-03-12,162.1,163.85,161.56,162.21,77895
2025-03-13,163,163,161,161.45,115077
2025-03-14,161.4,165,160,160.93,52869
2025-03-17,160.93,163,159,159.23,198135
2025-03-18,160.98,162.5,158.5,158.93,174735
2025-03-19,161.48,161.48,158,159.03,96704
2025-03-20,160,160.5,157.91,158.29,156408
2025-03-21,159,160.07,158.61,159.85,49884
2025-03-24,160,164,159,161.45,282174
2025-03-25,159.2,162.5,159,159.22,60616
2025-03-26,161.5,162,158.76,159.93,118352
2025-03-27,159.55,161.74,157.1,160.31,178067
2025-04-03,160.5,163,159.01,161.01,170792
2025-04-04,162,163.48,159,159.23,178206
2025-04-07,159.55,160.5,145.06,150.9,344907
2025-04-08,154.99,159.99,150.15,159.79,607953
2025-04-09,158,162,151,158.67,148324
2025-04-10,161,161,158.67,160.22,122290
2025-04-11,157.07,161.49,156.5,157.56,42785
2025-04-14,158.3,160.5,156,160.01,45063
2025-04-15,156.55,161.85,156.55,159.53,40649
2025-04-16,159.99,160.9,152.08,153.21,167650
2025-04-17,153,154.49,150,152.8,94791
2025-04-18,156,163.72,152.5,158.69,501846
2025-04-21,161.96,161.96,157,159.25,66867
2025-04-22,160,160,157.11,157.78,48955
2025-04-23,157.5,158.64,155.16,155.99,74100
2025-04-24,155,155.5,150,150.82,123680
2025-04-25,150.61,153,146.5,149.2,141195
2025-04-28,149,151,147,150.15,119808
2025-04-29,151,151,140.6,143.48,478607
2025-04-30,143.57,143.57,137,137.46,179628
2025-05-02,139.99,142,139.02,140.26,43417
2025-05-05,140,142.95,138.8,142,49969
2025-05-06,143,144.84,142,143,150362
2025-05-07,130.1,140.5,130,133.37,157850
2025-05-08,133.5,137.48,120.03,120.16,241343
2025-05-09,125,132.18,119.99,131.44,676079
2025-05-12,144,144.58,137,144.58,560014
2025-05-13,148,148,141.65,142.87,101249
2025-05-14,144,145.49,140.2,143.6,95841
2025-05-15,144.99,147.25,144.49,144.97,120390
2025-05-16,145.02,158.44,145.02,153.29,727141
2025-05-19,153.29,161,150.25,158.15,617107
2025-05-20,160,160.35,155,159.99,178044
2025-05-21,156.5,159.99,156.5,158.52,43451
2025-05-22,158.02,160,155.01,155.51,61629
2025-05-23,155.51,155.51,152.02,153.68,29419
2025-05-26,154.09,155.87,152.01,153.84,19188
2025-05-27,154.5,154.5,153.02,153.9,7089
2025-05-29,154.7,168.4,153.05,164.41,1099565
2025-05-30,165.97,167,162.81,163.12,221385
2025-06-02,162.51,165.5,162.51,164.54,273183
2025-06-03,165,179.9,164,178.3,1354642
2025-06-04,179.5,180.45,171,174.89,541260
2025-06-05,173,175.8,171.5,173.64,122536
2025-06-10,173.65,184,173.61,180.12,1162196
2025-06-11,184,185.5,177.2,178.35,833650
2025-06-12,178.11,179.9,172.06,174.2,169969
2025-06-13,170.1,171,165.15,166.22,135903
2025-06-16,166.23,171.5,165.5,168.95,49030
2025-06-17,166.11,169,165.5,166.4,173131
2025-06-18,167.5,167.5,160,160.45,128000
2025-06-19,162.9,164.98,160.01,160.14,126762
2025-06-20,160,164.59,159.5,160.5,192504
2025-06-23,160,160,153.05,154.86,125559
2025-06-24,167,169.39,160.13,164.3,197129
2025-06-25,162.45,167,162,162.9,81506
2025-06-26,163.25,167,163,166.02,191537
2025-06-27,166.5,171.66,165.5,167.59,142107
2025-06-30,168.5,179.5,166.3,177.01,655203
2025-07-01,178.5,182.5,178,181.5,809395
