date,open,high,low,close,volume
2024-01-11,7.8,7.95,7.72,7.75,1200000
2024-01-12,7.98,7.98,7.76,7.78,38000
2024-01-15,7.8,7.85,7.66,7.67,122000
2024-01-16,7.6,7.64,7.5,7.52,78500
2024-01-17,7.45,7.65,7.45,7.65,77000
2024-01-18,7.79,7.79,7.25,7.58,152000
2024-01-19,7.66,7.66,7.28,7.31,50500
2024-01-22,7.35,7.35,7.15,7.21,32000
2024-01-23,7.24,7.29,7.05,7.18,92500
2024-01-24,7.2,7.4,7.2,7.4,162500
2024-01-25,7.5,7.5,7.24,7.29,12500
2024-01-26,7.2,7.42,7.12,7.23,31000
2024-01-29,7.16,7.33,7,7.2,61000
2024-01-30,7.1,7.24,7.05,7.21,89000
2024-01-31,7.35,7.35,7.1,7.18,36500
2024-02-01,7.32,7.32,7.06,7.15,29000
2024-02-02,7.25,7.3,7.11,7.24,83000
2024-02-06,7.41,7.41,7.29,7.37,40000
2024-02-07,7.56,7.57,7.31,7.53,160500
2024-02-09,7.35,7.35,6.9,7.05,178500
2024-02-12,7.03,7.03,6.9,6.94,40000
2024-02-13,6.61,7,6.61,6.98,25000
2024-02-14,7.24,7.35,6.84,7.24,24500
2024-02-15,7.02,7.02,6.5,6.73,153000
2024-02-16,6.53,6.62,6.42,6.43,99500
2024-02-19,6.4,6.5,6.27,6.32,19000
2024-02-20,6.49,6.49,6.24,6.27,72500
2024-02-21,6.86,6.86,6.35,6.45,247500
2024-02-22,6.62,6.62,6.41,6.44,95000
2024-02-23,6.49,6.66,6.49,6.64,113500
2024-02-26,6.54,6.84,6.4,6.42,219000
2024-02-27,6.59,6.59,6.3,6.33,58000
2024-02-28,6.39,6.48,6.31,6.44,93000
2024-02-29,6.4,6.59,6.31,6.48,65000
2024-03-01,6.39,6.5,6.31,6.34,41500
2024-03-04,6.46,6.6,6.38,6.48,164500
2024-03-05,6.6,6.6,6.2,6.39,100500
2024-03-06,6.4,6.4,6.23,6.25,248000
2024-03-07,6.25,6.4,6.18,6.35,77000
2024-03-08,6.31,6.54,6.3,6.49,126500
2024-03-11,6.64,7.12,6.45,6.95,1407000
2024-03-12,6.89,6.89,6.71,6.72,66000
2024-03-13,6.44,6.74,6.44,6.56,34000
2024-03-14,6.88,6.88,6.35,6.64,287500
2024-03-15,6.79,6.79,6.54,6.6,107500
2024-03-18,6.52,6.63,6.4,6.43,24000
2024-03-19,6.58,6.69,6.4,6.44,51000
2024-03-20,6.6,6.6,6.5,6.5,79500
2024-03-21,6.5,6.69,6.47,6.47,27500
2024-03-22,6.45,6.55,6.38,6.55,139500
2024-03-25,6.58,6.88,6.19,6.29,329500
2024-03-26,6.5,6.5,6.24,6.3,29500
2024-03-27,6.34,6.4,6.22,6.25,63500
2024-03-28,6.38,6.39,6.2,6.21,159500
2024-03-29,6.19,6.2,5.99,6.1,1608000
2024-04-01,6.18,6.28,6.1,6.16,268500
2024-04-02,6.19,6.34,6.15,6.23,69000
2024-04-03,6.16,6.32,6.16,6.26,131000
2024-04-04,6.28,6.28,6.11,6.16,96000
2024-04-08,6.01,6.28,6.01,6.11,453500
2024-04-09,6.15,6.29,6.15,6.2,72000
2024-04-15,6.15,6.2,6,6,861000
2024-04-16,6.06,6.48,6,6.41,5054000
2024-04-17,6.49,6.57,6.29,6.39,1963000
2024-04-18,6.38,6.55,6.26,6.3,782500
2024-04-19,6.3,6.34,6.2,6.2,105000
2024-04-22,6.3,6.47,6.22,6.26,684000
2024-04-23,6.25,6.55,6.25,6.28,681000
2024-04-24,6.48,6.58,6.11,6.23,1051000
2024-04-25,6.26,6.44,6,6.13,783500
2024-04-26,6.24,6.3,6.1,6.12,115500
2024-04-29,6.11,6.23,6.01,6.04,230000
2024-04-30,6.05,6.09,5.87,5.9,451500
2024-05-02,6.14,6.14,5.83,5.9,111000
2024-05-03,5.9,6,5.9,5.97,110000
2024-05-06,5.91,6.1,5.91,6.03,579000
2024-05-07,6.09,6.27,6.09,6.19,483000
2024-05-08,6.2,6.3,6.1,6.12,471000
2024-05-09,6.23,6.23,6.07,6.08,238500
2024-05-10,6.22,6.4,6.17,6.34,624500
2024-05-13,6.45,7.29,6.2,7.02,6799000
2024-05-14,7.18,7.19,6.6,6.66,1232000
2024-05-15,6.66,6.68,6.3,6.42,750000
2024-05-16,6.5,6.66,6.3,6.56,696500
2024-05-17,6.72,7.05,6.66,6.84,1508500
2024-05-20,6.85,6.85,6.65,6.69,407158
2024-05-21,6.82,6.82,6.54,6.63,206591
2024-05-22,6.61,6.7,6.35,6.4,951060
2024-05-23,6.32,6.53,6.32,6.43,159606
2024-05-24,6.3,6.72,6.3,6.47,672361
2024-05-27,6.54,6.54,6.3,6.31,253937
2024-05-29,6.35,6.4,6.23,6.36,118449
2024-05-30,6.4,6.45,6.2,6.39,232610
2024-05-31,6.4,6.78,6.3,6.64,540846
2024-06-03,6.6,7,6.6,6.8,749723
2024-06-04,6.75,6.8,6.45,6.45,343284
2024-06-05,6.49,6.55,6.3,6.32,79813
2024-06-06,6.5,6.5,6.06,6.1,404552
2024-06-07,6.11,6.3,5.97,6.24,351805
2024-06-10,6.26,6.5,6.25,6.39,110916
2024-06-11,6.8,6.8,6.2,6.23,68033
2024-06-12,6.41,6.41,6.2,6.3,55136
2024-06-13,6.6,6.7,6.46,6.51,908624
2024-06-14,6.58,6.58,6.25,6.31,236564
2024-06-20,6.27,6.38,6.18,6.23,219897
2024-06-21,6.3,6.31,6.05,6.19,874572
2024-06-24,6.19,6.24,6.05,6.13,110535
2024-06-25,6.1,6.1,5.99,6.03,296271
2024-06-26,6.1,6.15,5.9,5.95,859390
2024-06-27,6,6.1,5.96,6,42743
2024-06-28,5.98,6.15,5.9,6.08,59788
2024-07-01,6.1,6.18,6,6,85264
2024-07-02,6.1,6.2,6.05,6.19,122474
2024-07-03,6.2,6.25,6.14,6.17,67771
2024-07-04,6.25,6.29,6.1,6.14,87236
2024-07-05,6.16,6.25,6.02,6.13,135534
2024-07-08,6.21,6.21,6.05,6.09,23222
2024-07-09,6.18,6.19,6,6.1,90521
2024-07-10,6.16,6.44,6,6.01,171653
2024-07-11,6.24,6.24,6.01,6.03,42011
2024-07-12,6.1,6.1,6,6.06,45478
2024-07-15,6.23,6.23,5.95,6.01,83127
2024-07-18,6.1,6.1,5.93,5.94,157790
2024-07-19,5.94,6.05,5.8,5.82,96947
2024-07-22,5.67,5.87,5.6,5.6,132308
2024-07-23,5.62,5.92,5.6,5.76,81864
2024-07-24,5.96,5.96,5.6,5.67,63700
2024-07-25,6.05,6.05,5.54,5.64,148635
2024-07-26,5.7,5.7,5.51,5.53,47419
2024-07-29,5.69,5.7,5.5,5.59,54542
2024-07-30,5.52,5.78,5.5,5.64,51003
2024-07-31,5.76,5.76,5.31,5.46,143368
2024-08-01,5.58,5.59,5.4,5.49,38475
2024-08-02,5.55,5.6,5.45,5.55,64142
2024-08-05,5.4,5.6,5.35,5.59,203417
2024-08-06,5.79,5.99,5.42,5.62,489849
2024-08-07,5.7,5.75,5.56,5.62,74625
2024-08-08,5.47,5.67,5.47,5.51,125060
2024-08-09,5.64,5.64,5.48,5.51,69719
2024-08-12,5.55,5.67,5.4,5.47,235860
2024-08-13,5.55,5.75,5.5,5.6,89114
2024-08-15,5.51,5.72,5.26,5.55,83656
2024-08-16,5.58,5.6,5.44,5.54,69971
2024-08-19,5.69,5.69,5.46,5.5,42762
2024-08-20,5.56,5.56,5.36,5.41,45431
2024-08-21,5.47,5.61,5.47,5.59,210156
2024-08-22,5.64,6.59,5.64,6.59,4531096
2024-08-23,6.88,7.18,6.4,6.51,4273491
2024-08-26,6.5,6.64,6.02,6.17,383495
2024-08-27,6.4,6.7,6.11,6.45,1508041
2024-08-28,6.6,7,6.4,6.6,2811948
2024-08-29,6.7,6.9,6.6,6.7,945849
2024-08-30,6.7,6.84,6.51,6.53,500154
2024-09-02,6.61,6.79,6.01,6.03,247622
2024-09-03,6.25,6.45,6,6.4,289236
2024-09-04,6.44,6.5,6.28,6.41,265509
2024-09-05,6.5,6.51,6.3,6.36,96907
2024-09-06,6.31,6.45,6.25,6.27,76759
2024-09-09,6.4,6.4,6.15,6.17,107301
2024-09-10,6.23,6.24,6.12,6.21,57841
2024-09-11,6.28,6.49,6.06,6.14,287050
2024-09-12,6.12,6.33,6,6.3,568224
2024-09-13,6.45,6.5,6.25,6.3,389333
2024-09-16,6.69,6.69,6.1,6.15,137530
2024-09-18,6.15,6.25,6.1,6.18,108775
2024-09-19,6.2,6.26,6,6.04,169354
2024-09-20,6.2,6.2,5.87,6.08,29717
2024-09-23,6.08,6.25,6.01,6.13,22410
2024-09-24,6.22,6.22,5.9,6.05,69575
2024-09-25,6.2,6.2,5.9,6.06,215839
2024-09-26,6.06,6.14,5.8,5.86,42593
2024-09-27,6.09,6.26,5.8,5.91,55855
2024-09-30,5.99,5.99,5.44,5.6,395410
2024-10-01,5.7,5.98,5.64,5.98,157470
2024-10-02,5.9,5.9,5.5,5.52,464140
2024-10-03,5.75,5.75,5.54,5.66,25061
2024-10-04,5.7,5.75,5.51,5.52,37508
2024-10-07,5.74,5.75,5.49,5.6,56139
2024-10-08,5.8,5.8,5.51,5.59,32860
2024-10-09,5.78,5.78,5.56,5.61,36162
2024-10-10,5.51,5.8,5.41,5.5,253291
2024-10-11,5.42,5.6,5.37,5.4,96377
2024-10-14,5.62,5.68,5.49,5.58,130715
2024-10-15,5.63,5.69,5.4,5.51,170890
2024-10-16,5.43,5.58,5.4,5.42,104795
2024-10-17,5.6,5.6,5.35,5.48,146950
2024-10-18,5.6,5.65,5.4,5.4,57938
2024-10-21,5.59,5.6,5.45,5.5,42245
2024-10-22,5.58,5.69,5.51,5.59,386137
2024-10-23,5.55,5.81,5.55,5.7,407580
2024-10-24,5.71,5.8,5.65,5.7,198490
2024-10-25,5.73,5.8,5.47,5.52,273674
2024-10-28,5.51,5.64,5.5,5.52,176870
2024-10-29,5.59,5.69,5.5,5.52,92456
2024-10-30,5.52,5.65,5.42,5.45,98465
2024-10-31,5.48,5.58,5.43,5.5,170371
2024-11-01,5.5,5.7,5.41,5.47,103336
2024-11-04,5.68,6.24,5.47,5.8,1280975
2024-11-05,6,6.01,5.8,5.85,192701
2024-11-06,5.99,6.6,5.85,6.12,2160087
2024-11-07,6.14,6.21,6.01,6.1,466624
2024-11-08,6.02,6.15,5.9,6.06,256991
2024-11-11,6.08,6.15,5.98,6.01,386810
2024-11-12,6.18,6.18,5.95,6.03,183849
2024-11-13,6.07,6.19,5.75,5.97,866656
2024-11-14,5.93,6.35,5.92,6.18,780843
2024-11-15,6.27,6.35,6.15,6.24,564816
2024-11-18,6.21,6.36,6.19,6.32,604951
2024-11-19,6.24,6.49,6.21,6.33,741737
2024-11-20,6.46,6.6,6.28,6.45,2107603
2024-11-21,6.45,6.79,6.3,6.59,2298465
2024-11-22,6.5,6.81,6.13,6.29,1152690
2024-11-25,6.2,6.45,6.2,6.35,119729
2024-11-26,6.29,6.56,6.12,6.18,710917
2024-11-27,6.3,6.45,6.2,6.25,629470
2024-11-28,6.44,6.99,6.42,6.51,1176173
