date,open,high,low,close,volume
2023-10-11,62.75,62.75,58.25,61.61,6500
2023-10-12,58.01,63.24,57.59,62.1,6000
2023-10-16,63.3,63.3,63.3,63.3,5500
2023-10-17,58.6,60,58.6,59.07,3000
2023-10-18,58,63.45,58,61.45,7500
2023-10-19,59.25,63.9,58.36,63.01,16000
2023-10-20,66.5,66.5,60.26,64,3500
2023-10-23,61.5,63.95,59.2,61.99,19500
2023-10-25,57.75,63,57.55,61.56,31500
2023-10-26,59,66,58.01,61.48,20500
2023-10-27,58.26,60.94,56.87,58.12,22000
2023-10-31,53.8,59.7,53.76,59.04,96500
2023-11-01,61.7,61.7,55.9,59.46,5000
2023-11-06,55.11,58.64,55.11,55.5,4500
2023-11-07,53.2,56.99,52.05,56.57,25500
2023-11-08,53.3,56.84,53,55.62,13500
2023-11-10,56.9,56.9,51.5,55.39,92500
2023-11-13,54.99,58.6,51.3,57.75,70000
2023-11-14,54.66,56.5,54.01,55.7,10500
2023-11-15,52.29,56.35,52.26,55.22,163500
2023-11-16,53.01,55.99,53,55.61,19500
2023-11-17,56.45,58.5,52.01,57.29,20500
2023-11-20,54.12,59.48,52.99,58.98,118500
2023-11-21,55.11,57.85,54.6,56.94,51000
2023-11-22,55.49,56.35,55.49,56.26,7000
2023-11-23,52.52,54.85,52.2,54.75,21000
2023-11-24,54.85,54.85,54.85,54.85,1000
2023-11-27,51.52,54.44,50.74,54.1,47000
2023-11-28,52.95,52.95,50.04,50.04,14500
2023-11-29,47.05,47.45,46.29,46.29,10000
2023-11-30,42.82,49.75,42.82,48.08,336000
2023-12-06,45.15,49.25,45.15,48.97,44000
2023-12-08,51.5,51.5,45.31,50.42,63000
2023-12-11,47.05,49.9,46.64,49.68,88000
2023-12-13,46.05,48.35,46.01,47.96,4000
2023-12-14,47.98,47.98,47.98,47.98,50000
2023-12-20,48,50.35,48,50.31,55000
2023-12-22,46.54,49.8,46.54,49.26,3000
2023-12-27,45.57,48.86,45.57,48.75,34000
2023-12-28,47,47.99,47,47.95,25500
2023-12-29,48.98,50.94,48.9,50.88,102000
2024-01-01,51.24,52.48,51.24,52.43,77500
2024-01-02,52.63,52.63,52.63,52.63,1000
2024-01-03,52.88,52.88,52.88,52.88,1000
2024-01-04,49.05,54.99,49.05,54.65,13500
2024-01-05,57.05,57.45,52,56.54,32000
2024-01-09,52.3,55.85,52.3,54.48,32500
2024-01-10,53.99,58.5,53.99,58.27,91000
2024-01-11,59.95,59.95,53.9,56.38,16500
2024-01-15,56.09,60.5,56.09,59.72,57000
2024-01-16,56.01,60.9,55.24,59.74,61500
2024-01-17,55.36,61.9,55.31,59.88,86000
2024-01-19,55.39,59.87,55.39,59.83,25500
2024-01-22,55.51,58.68,55.34,58.27,42500
2024-01-23,57.05,59.44,57.05,59.31,11000
2024-01-24,55.37,58.85,55.05,56.98,11000
2024-01-25,57.95,57.95,52.71,54.98,43500
2024-01-26,55.35,55.89,55.35,55.88,9500
2024-01-30,51.69,60,51.69,59.5,125500
2024-01-31,59,63.95,59,61.49,10500
2024-02-01,56.88,62.95,56.88,60.93,29000
2024-02-02,60.85,60.85,60.85,60.85,2000
2024-02-07,62.7,62.7,58,59.99,5500
2024-02-09,60.73,60.73,60.73,60.73,2500
2024-02-12,56.2,59.99,56.2,59.99,1500
2024-02-14,55.86,60.95,55.86,60.64,15500
2024-02-16,61,62.74,61,62.61,6500
2024-02-21,57.78,60.94,57.78,60.94,1000
2024-03-12,57,63.99,57,63.41,15000
2024-03-20,58.65,64.9,58.65,63.83,22000
2024-03-22,63.99,63.99,63.99,63.99,500
2024-03-26,64.93,64.93,64.93,64.93,500
2024-03-29,64.95,65.93,64.95,65.67,4000
2024-04-03,70.48,70.48,70.48,70.48,2500
2024-04-04,65.19,71.98,65.19,71.21,13500
2024-04-08,66.05,73.85,66.05,72.7,6000
2024-04-09,72.93,72.93,72.93,72.93,2000
2024-04-15,76.95,76.95,74.45,74.45,6000
2024-04-16,70,74.87,70,74.39,11000
2024-04-17,71.05,77.8,71.05,77.74,107000
2024-04-18,78,80,78,79.45,4500
2024-04-19,80,81.9,80,81.63,3500
2024-04-22,81,86.75,80.6,84.9,104500
2024-04-23,89.75,89.75,81.5,87.51,85500
2024-04-24,88.88,89,82,85.94,5000
2024-04-25,82.08,86.95,82.08,86.77,4500
2024-05-02,86.88,91.78,86.88,91.21,8000
2024-05-03,90,96.85,84.5,93.8,85000
2024-05-06,91,95.5,87,87,25000
2024-05-07,87.5,93.45,81.5,93.45,291500
2024-05-08,92,92.94,92,92.94,2000
2024-05-09,95,97,90.89,95.9,21500
2024-05-10,90.31,99,90.25,96.51,16000
2024-05-14,92,97.4,89.35,96.96,23500
2024-05-16,92.8,99.8,92.8,98.93,19000
2024-05-17,93.15,96.95,91.52,94.7,26000
2024-05-20,88.55,93.5,87.6,90.42,55500
2024-05-21,85.05,91.43,83.65,90.52,74500
2024-05-23,83.9,93.8,83.9,91.7,26500
2024-05-24,85.69,90.9,84.85,88.46,24500
2024-05-27,82.01,89.35,81.38,85.69,74520
2024-05-29,87.95,91.7,80.16,91.7,151110
2024-05-30,91.44,97.7,86,96.25,73903
2024-05-31,89.25,98.8,88.55,91.78,33677
2024-06-03,92.75,92.75,86.81,91.54,5251
2024-06-04,85.51,90.7,85.16,90.39,11790
2024-06-05,85.01,89.49,85.01,89.08,20150
2024-06-06,90,92.65,82.55,89.61,26042
2024-06-07,84.11,87.98,84.11,87.32,6327
2024-06-10,81.45,90.99,80.05,90.57,49015
2024-06-11,84.75,89.9,84.75,90.57,86
2024-06-12,85.01,88.95,85.01,90.57,64
2024-06-13,85.05,90.5,85.05,90.38,3736
2024-06-14,86,91.3,82.71,90.41,58402
2024-06-20,84.05,87.99,84.05,84.05,950
2024-06-21,84.5,90.5,79,89.88,97637
2024-06-24,83.11,90,83.11,89.95,11011
2024-06-25,97.7,97.7,86.7,95.58,39013
2024-06-26,89,97.49,89,97.43,3797
2024-06-27,92.5,105.99,88.67,104.65,61329
2024-06-28,103.89,103.89,102,102.62,4299
2024-07-01,95.51,101.48,95.51,101.48,19174
2024-07-02,96.02,100.95,96.02,101.48,5
2024-07-03,95,100,95,101.48,5
2024-07-04,98,99.99,92.59,98.98,33504
2024-07-05,93,98,92.5,98.98,17
2024-07-08,100.95,104.95,90,103.2,22810
2024-07-09,93.45,99.85,93.45,99.52,33802
2024-07-10,98.9,99.95,98.9,99.91,113802
2024-07-11,93.5,98,92.5,99.91,12
2024-07-12,105,109,92,100.4,69687
2024-07-15,91.01,99.4,90.9,97.8,6505
2024-07-18,95.9,98.77,91.02,98.54,30504
2024-07-19,106,107.9,91.51,106.85,77056
2024-07-22,100,109.48,96.25,108.53,36637
2024-07-23,100.01,109.8,97.76,108.06,36750
2024-07-24,114.49,115,97.25,110.16,81565
2024-07-25,102.02,107,99.14,106.44,25460
2024-07-29,97.5,104.79,97.5,106.44,16
2024-07-30,105.9,105.95,98.01,104.6,45553
2024-07-31,109,109,98.25,102.95,12257
2024-08-01,100.95,100.95,95.75,102.95,200069
2024-08-02,95.3,100.85,92.66,98.67,112135
2024-08-05,96,96,90,98.67,387
2024-08-06,89.51,96,88.8,95.56,43126
2024-08-07,93.75,93.95,86,87.26,3674
2024-08-08,94.9,94.9,80,93.14,36047
2024-08-09,99.98,99.98,83.83,92.65,79276
2024-08-12,98.85,98.89,83.39,89.16,74280
2024-08-13,81.12,94,81,93.82,97526
2024-08-15,90.6,99,90.6,98.86,10286
2024-08-16,102.95,103.95,92,102.8,12174
2024-08-19,102,102,102,102.8,50
2024-08-20,108.48,108.48,95.35,104.91,654
2024-08-21,103.5,108,95,102.87,72329
2024-08-22,96.05,100.95,95.55,99.93,5727
2024-08-23,100.75,102.5,94.85,99.46,1407
2024-08-26,108.85,108.85,92,102.82,32699
2024-08-27,99.46,107.98,96.09,96.13,35206
2024-08-28,99.99,99.99,91.15,99.18,4114
2024-08-29,91.22,98.99,89.3,97.05,26155
2024-08-30,96.5,98.94,87.4,93.31,17590
2024-09-02,85.01,93.85,85.01,93.8,546
2024-09-03,92.46,92.46,86.01,90.96,5749
2024-09-04,92.95,96.99,86,93.72,32625
2024-09-05,93.45,99.9,90,99.38,46332
2024-09-06,106.9,106.9,90.09,96.94,6401
2024-09-09,89.01,97.43,89.01,96.94,204
2024-09-10,88.21,103.9,88.15,102.7,72417
2024-09-11,93.52,99.5,92.43,92.43,48134
2024-09-12,90.85,91.95,84.56,90.23,110723
2024-09-13,85.75,88.5,81.21,86.45,25049
2024-09-16,86,89.75,77.85,88.86,69685
2024-09-18,80.26,87.85,79.97,86.34,86757
2024-09-19,80.99,82.98,77.71,79.48,31046
2024-09-20,73.29,83.8,73.29,83.69,62282
2024-09-23,84.95,84.95,77.5,82.6,32802
2024-09-24,84.48,84.5,74.76,81.54,32918
2024-09-25,75.2,81.94,73.39,73.4,21793
2024-09-26,72.99,73.55,66.06,73,42254
2024-09-27,78.7,78.98,68,78.51,73923
2024-09-30,72.13,83.99,72.13,79.28,2202
2024-10-01,79.28,84.5,71.61,76.02,37144
2024-10-02,73.9,79.4,68.5,69.91,73211
2024-10-03,69.98,74.49,67.15,74.14,51545
2024-10-04,69.76,78.75,67.1,78.27,72967
2024-10-07,74,80.55,70.44,70.97,14014
2024-10-08,72.9,76.85,65.55,76.26,197290
2024-10-09,69.19,79.85,69.19,78.79,82823
2024-10-10,71.05,74.82,70.91,71.9,7474
2024-10-11,65.16,73.94,65,73.49,102699
2024-10-14,68.8,74.49,68.8,74.36,8431
2024-10-15,77.86,77.86,72,75.71,42589
2024-10-16,69.05,79.15,68.15,73.78,148705
2024-10-17,72,74.5,68.16,71.64,10781
2024-10-18,68.51,71.5,68.01,71.41,11532
2024-10-21,66.51,70.75,66.51,71.41,373
2024-10-22,71.4,72.45,64.55,72.26,23873
2024-10-23,67.16,70.98,67.16,68,57449
2024-10-24,69.98,69.98,65.11,69.51,2611
2024-10-25,67.5,71.85,64.2,71.7,39361
