date,open,high,low,close,volume
2023-11-01,52,52,52,52,500
2023-11-02,53,54,52,52.5,2500
2023-11-03,52.01,52.01,52.01,52.01,500
2023-11-06,52,52,52,52,500
2023-11-07,50,50,50,50,500
2023-11-08,52.99,52.99,52.99,52.99,500
2023-11-13,54,54,54,54,500
2023-11-15,50,50,50,50,500
2023-11-16,48.8,49.1,48.8,49.1,2000
2023-11-17,50,50.6,50,50.6,1500
2023-11-20,52,52,52,52,3500
2023-11-21,55.75,55.9,55.75,55.9,8500
2023-11-22,59,60.09,59,60.09,12500
2023-11-23,63,64.6,63,64.6,7000
2023-11-24,68.99,69.45,62.1,62.72,5500
2023-11-27,64.24,64.25,64.2,64.2,2500
2023-11-28,61.1,61.2,61.1,61.2,2500
2023-11-29,65.25,65.25,65.25,65.25,500
2023-11-30,68.99,68.99,68.99,68.99,500
2023-12-04,63.82,63.82,63.82,63.82,1000
2023-12-05,61,61,60.5,60.5,1000
2023-12-08,60,60,60,60,1500
2023-12-12,55.51,59.7,55.5,59.7,217500
2023-12-13,59.9,64.18,55.22,60.16,153000
2023-12-14,63.99,63.99,59.5,61.49,12500
2023-12-15,62.25,62.75,61,62.72,14500
2023-12-18,63.89,63.89,58.02,58.02,30000
2023-12-19,55.25,58,54.5,55.67,5000
2023-12-20,57,57,54,56.98,4500
2023-12-21,57.5,57.5,57.5,57.5,500
2023-12-22,54.75,58.77,54.75,58.77,1500
2023-12-27,57.5,58.45,57.5,58.39,15500
2023-12-29,62.24,62.24,62.24,62.24,500
2024-01-01,57.57,60.88,57.57,57.57,30000
2024-01-03,55,57.44,55,56.14,258500
2024-01-04,56.5,57,55.5,56,258500
2024-01-05,56.7,59.45,55.5,55.83,118500
2024-01-08,57.5,58.9,57,58.9,39000
2024-01-09,59.4,59.4,59.4,59.4,500
2024-01-10,63,63,56,59.76,32500
2024-01-11,60,62.9,59,61.8,40500
2024-01-12,63.5,63.5,61.5,61.5,11000
2024-01-15,61.4,65.99,61.4,63.4,11000
2024-01-16,64.99,67.9,58.65,58.65,67000
2024-01-17,57,59.79,56,59.79,9500
2024-01-18,61.49,61.49,61.49,61.49,500
2024-01-19,57.6,60.95,56.88,56.88,35500
2024-01-23,55,55,55,55,5500
2024-01-24,56,57,56,57,7000
2024-01-25,57,57.99,57,57.99,3000
2024-01-26,58.87,58.87,58.87,58.87,500
2024-01-30,54.45,58.8,54.45,57.3,2500
2024-01-31,57.29,57.5,54.51,55,9000
2024-02-01,56.9,56.9,56.9,56.9,500
2024-02-07,56.88,58.39,56.88,58.39,10500
2024-02-09,57.4,60.74,57.4,60.74,7000
2024-02-12,56.2,56.2,56.2,56.2,500
2024-02-13,57,59.5,57,59.5,2500
2024-02-14,58.99,60.45,58.99,60.45,4000
2024-02-16,56,59.95,56,59.95,1000
2024-02-20,60.74,60.74,60.74,60.74,500
2024-02-26,57,62.24,56.25,62.24,24000
2024-02-27,59.9,61.64,57.57,61.64,3500
2024-02-28,57.5,57.5,57.5,57.5,1000
2024-02-29,59.89,61.81,59.89,61.81,8500
2024-03-01,60.7,63.9,60.7,63.9,7500
2024-03-05,63.94,63.94,60,62,11500
2024-03-06,62.9,62.9,62.9,62.9,500
2024-03-11,65,65,65,65,500
2024-03-12,66.99,66.99,66.99,66.99,500
2024-03-13,66.99,68.99,61.97,62.5,2000
2024-03-15,61.99,62.5,61.99,62.5,26000
2024-03-19,63,63,63,63,500
2024-03-29,58.28,61.25,58.28,61.25,3000
2024-04-03,60,61.23,60,61.23,1500
2024-04-04,60,60.99,60,60.99,4000
2024-04-09,61.25,61.25,61.25,61.25,500
2024-04-16,60,61.24,60,61.24,1500
2024-04-19,56.85,65.83,56.85,65.83,7000
2024-04-23,60.89,63.98,60.89,62.44,3000
2024-04-24,58.05,62.18,58.05,62.18,2500
2024-04-25,64.82,64.82,57.55,58.52,4500
2024-04-26,60.99,60.99,60.99,60.99,500
2024-05-06,63.74,63.74,63.74,63.74,500
2024-05-07,60,60,58.96,60,4000
2024-05-08,61.69,61.69,61.69,61.69,500
2024-05-14,57.1,60.96,57.1,60.96,4500
2024-05-17,56.52,60.19,56.52,60.19,1000
2024-05-20,59.75,62.74,58.01,58.01,7500
2024-05-21,60,60,58.1,59.9,2500
2024-05-22,57.5,59.94,57.5,59.94,1000
2024-05-23,59.9,64.44,59.9,62.09,40500
2024-05-24,66.01,66.01,60.55,62.78,9000
2024-05-27,62,67.8,61.01,66.22,27953
2024-05-29,71,71,62.5,70.14,28003
2024-05-30,72.45,72.45,66.1,70.14,103
2024-05-31,66,71.49,66,71.47,19575
2024-06-03,66.11,69.84,65.75,65.75,21610
2024-06-04,66.98,67.85,62,67.43,44905
2024-06-05,69.8,69.8,62.04,62.08,17259
2024-06-06,62,63.4,59.5,62,7131
2024-06-07,60.02,62,58.51,61.88,2727
2024-06-10,62.45,62.45,61.99,62.38,3190
2024-06-11,60.02,61.73,60.02,61.73,1002
2024-06-12,63.48,63.48,58.21,59.66,452
2024-06-13,61.95,63.62,57.26,62.89,4601
2024-06-14,63.9,63.9,60.03,60.06,5552
2024-06-20,62.82,62.82,62.3,62.57,7752
2024-06-21,62.98,62.98,59.2,62.57,280
2024-06-24,62.98,62.98,58.16,62.57,151
2024-06-25,61.99,64.18,61.99,62.57,231
2024-06-26,63.48,63.48,59.3,62.57,175
2024-06-27,58.02,58.02,56.94,56.94,11077
2024-06-28,57.98,57.98,55,56.9,3288
2024-07-01,56.9,57.98,54.75,57.94,14875
2024-07-02,57.89,57.89,57.84,57.88,22100
2024-07-03,57.8,59.5,57.5,59.11,3068
2024-07-04,59,60.94,59,60.01,2369
2024-07-05,64.75,64.75,57,60.01,128
2024-07-08,61,61,58.25,60.01,152
2024-07-09,60.95,60.95,59.99,60.01,301
2024-07-10,59.98,61.98,59,61.01,25141
2024-07-11,60,60.99,55.21,60.12,90952
2024-07-12,60.95,63.97,55.21,60.48,21392
2024-07-15,61.99,61.99,59.25,59.25,56269
2024-07-18,59.25,60.5,58,59.48,18115
2024-07-19,60.49,60.49,58,59.71,4607
2024-07-22,60.98,60.98,57.02,59.44,1302
2024-07-23,60.49,60.49,58,59.68,551
2024-07-24,60.95,60.95,58,59.74,12505
2024-07-26,60.49,60.49,56.25,57.97,480
2024-07-29,59.96,59.96,56.02,59.48,15536
2024-07-30,60.75,60.75,56.02,59.12,21401
2024-07-31,56.75,60,56.75,59.6,18397
2024-08-01,56,62.95,56,61.69,10407
2024-08-02,63,63.9,61,62.25,2465
2024-08-05,63.98,63.98,62,62.65,908
2024-08-06,65.65,65.65,61.5,63.16,4916
2024-08-07,64,69.48,60.5,67.35,28072
2024-08-08,70.89,74.09,68.25,74.09,157896
2024-08-09,81.49,81.5,81.4,81.5,67004
2024-08-12,87.5,89.65,83.05,89.65,205400
2024-08-13,96.5,98.62,81.11,95.02,217228
2024-08-15,97,97,86.77,90.66,75365
2024-08-16,94,99.73,91,99.73,98678
2024-08-19,107,109.7,89.76,89.76,293022
2024-08-20,84.6,98.25,83,93.74,133509
2024-08-21,90.26,103.11,90.26,103.11,126460
2024-08-22,113.42,113.42,113.42,113.42,21576
2024-08-23,124.76,124.76,124.76,124.76,17440
2024-08-26,137.24,137.24,112.28,112.28,108771
2024-08-27,107,118,101.05,101.05,82347
2024-08-28,99.99,111.16,90.95,111.16,236118
2024-08-29,111.16,119.95,100.04,100.05,554311
2024-08-30,100.9,102.49,90.05,90.05,258298
2024-09-02,89.9,92.2,81.05,81.05,366582
2024-09-03,79.98,89.16,72.95,73.04,552414
2024-09-04,71,74,65.77,66.41,276357
2024-09-05,68,72.4,67.2,68.12,156935
2024-09-06,68,70.95,68,68.96,47608
2024-09-09,69.89,70.97,67.8,69.85,84707
2024-09-10,68.56,69.97,68.01,68.13,7430
2024-09-11,68.5,69.38,67,67.02,41602
2024-09-12,68.99,72,67,69.69,48620
2024-09-13,70.94,71.9,69.25,70.07,75034
2024-09-16,67.5,70.5,67.11,68.55,16069
2024-09-18,68.11,69.99,68.11,69.03,6390
2024-09-19,69.95,69.95,67.7,67.89,37658
2024-09-20,68,68.44,66,68.44,2084
2024-09-23,69.95,69.95,64.02,66.63,22662
2024-09-24,64.02,64.75,62.8,63.33,14870
2024-09-25,62.5,65,60.76,62.37,2809
2024-09-26,63,65,61.1,62.78,11280
2024-09-27,63.5,65.97,63,64.01,1665
2024-09-30,66.77,66.77,60,60.79,22271
2024-10-01,61,66.87,61,65.35,76043
2024-10-02,65.89,65.89,63.5,63.58,9819
2024-10-03,64.4,64.4,63,63.58,5086
2024-10-04,61.14,63.8,61.1,62.91,4820
2024-10-07,62,63.9,60.35,62.82,9025
2024-10-08,61.16,63.99,61.16,63.19,5279
2024-10-09,66.33,66.33,63,63.79,1916
2024-10-10,64.89,64.89,62.26,63.56,2518
2024-10-11,61.76,67,61.6,64.21,5085
2024-10-14,61.52,64.98,61.52,64.27,3607
2024-10-15,63.99,63.99,60.51,61.12,13821
2024-10-16,61,63,61,62.89,7212
2024-10-17,61.51,69.18,61.25,68.83,104725
2024-10-18,69.9,70,66,68.46,4770
2024-10-21,69.5,69.5,66.1,67.87,5416
2024-10-22,69,69,69,67.87,1
2024-10-23,69.9,70,63.02,67.95,5420
2024-10-24,69.48,70,66.3,66.95,1579
2024-10-25,69.98,70.49,67,67.33,2106
2024-10-28,67.2,69,60.6,61.82,21595
2024-10-29,61.26,63.75,61.1,61.85,16082
2024-10-30,62.9,62.9,60.35,60.55,10833
2024-10-31,60.61,64.49,57.13,61.68,36945
2024-11-01,65.77,65.77,62,63.7,2541
2024-11-04,69,69,63.01,64.05,10408
2024-11-05,68.89,68.89,63.25,64.74,5654
2024-11-06,67.8,67.8,63,63.34,6369
2024-11-07,64.89,64.94,62,62.4,3912
2024-11-08,64.49,68.64,62,67.95,89591
2024-11-11,67.62,71.89,65.02,65.19,63316
2024-11-12,69.9,69.9,64.5,64.56,5645
2024-11-13,67,67,63.5,63.98,1913
2024-11-14,64.05,66.33,63.05,63.76,2438
2024-11-15,65.92,65.92,62.01,64.97,3627
2024-11-18,62,66.9,62,65.82,8935
2024-11-19,66.05,68.49,66.05,66.99,1046
2024-11-20,64.16,67.49,64.16,64.35,4436
2024-11-21,63,70.67,63,66.27,286702
2024-11-22,68.49,70,67.5,70,47020
2024-11-25,68.69,68.69,66.1,66.13,3030
2024-11-26,69.8,69.8,60.16,65.88,5885
2024-11-27,65.79,72.47,62.26,67.7,214198
2024-11-28,67,68,65.02,66.49,23346
2024-11-29,66.5,68.99,63.01,68.33,36038
2024-12-02,67,67.99,66.1,67,3321
2024-12-03,69.89,70,66,66.26,16386
2024-12-04,65.13,67.26,65.13,66.86,25252
2024-12-05,64.76,69.4,64.51,69.11,43700
2024-12-06,65.12,68,64.53,66.5,36279
2024-12-09,67.98,67.98,65.5,65.53,15372
2024-12-10,67.99,70,66.5,67,55143
2024-12-11,66.99,71,65,69.06,74436
2024-12-12,66,71.9,66,67.6,31561
2024-12-13,66.16,67.94,64,66.01,12504
2024-12-16,62.56,67.99,62.56,65.16,13023
2024-12-17,66.03,66.03,64,64.05,5110
2024-12-18,62.63,64.23,62,62,6158
2024-12-19,60.6,64,60.33,61,7197
2024-12-20,60.1,65.9,59,59.74,46553
2024-12-23,63.98,64.99,62.52,64.5,5333
2024-12-24,65.39,68.97,63.51,66.28,12506
2024-12-26,64,64,61,63.69,24753
2024-12-27,64.33,64.39,60,60.98,2300
2024-12-30,63.4,65.99,63,63,47822
2024-12-31,64,64,62,62.07,43457
2025-01-01,60.6,64,60.6,63,3143
2025-01-02,63.05,63.99,63,63,9037
2025-01-03,62.14,65.89,62.14,64.31,16639
2025-01-06,64.99,70.74,64.5,66.74,65444
2025-01-07,67.49,69.7,64.05,67.65,36594
2025-01-08,66,66,64.21,64.78,9567
2025-01-09,64,64,64,64,2151
2025-01-10,64,64,60,60.99,13757
2025-01-13,62.5,63,62,62.99,12857
2025-01-14,63.47,64.7,62.5,64.23,6642
