date,open,high,low,close,volume
2024-01-12,10.29,10.4,9.82,9.95,19919000
2024-01-15,10,10.03,9.92,9.98,491500
2024-01-16,9.99,9.99,9.81,9.98,122000
2024-01-17,9.98,10.1,9.85,9.9,2565000
2024-01-18,9.94,9.95,9.75,9.85,59500
2024-01-19,9.99,10.01,9.5,9.88,828000
2024-01-22,9.89,10,9.71,9.94,1020000
2024-01-23,9.84,9.87,9.77,9.82,309500
2024-01-24,9.8,10,9.8,9.99,572500
2024-01-25,9.86,10.06,9.81,9.99,131000
2024-01-26,9.82,9.98,9.81,9.93,124000
2024-01-29,9.9,9.92,9.8,9.9,56500
2024-01-30,9.9,9.9,9.5,9.57,77500
2024-01-31,9.12,10.19,9.11,10.05,729000
2024-02-01,9.72,9.96,9.72,9.94,37500
2024-02-02,9.98,9.98,9.95,9.95,5500
2024-02-06,9.53,9.9,9.53,9.85,58000
2024-02-07,9.8,9.93,9.5,9.62,242500
2024-02-09,9.88,9.89,9.4,9.78,67500
2024-02-12,9.3,9.3,8.84,9,932000
2024-02-13,9.01,9.01,8.3,8.47,1379500
2024-02-14,8.75,9.47,8.75,9.34,460500
2024-02-15,9.45,9.45,8.88,8.99,255000
2024-02-16,8.85,8.98,8.5,8.62,238500
2024-02-19,8.26,8.94,8.26,8.94,530000
2024-02-20,9.2,9.27,8.62,9.18,532000
2024-02-21,9.1,9.22,8.51,8.88,936500
2024-02-22,8.85,8.9,8.66,8.8,526000
2024-02-23,8.7,8.97,8.67,8.95,473000
2024-02-26,8.97,9.24,8.7,9.07,519000
2024-02-27,8.75,9.25,8.75,9.15,1632000
2024-02-28,9,9.05,8.15,8.26,3027000
2024-02-29,8.25,8.8,8.15,8.47,3526500
2024-03-01,8.6,9.2,8.52,8.99,1851500
2024-03-04,8.9,9,8.57,8.73,1201500
2024-03-05,9,9,8.5,8.59,818000
2024-03-06,8.59,8.93,8.52,8.75,400500
2024-03-07,8.89,9.2,8.75,8.88,79000
2024-03-08,8.61,8.93,8.57,8.88,465000
2024-03-11,8.71,8.94,8.7,8.84,124500
2024-03-12,8.76,8.85,8.7,8.79,112500
2024-03-13,8.89,8.89,8.65,8.83,21000
2024-03-14,8.62,8.85,8.62,8.75,150000
2024-03-15,8.6,9,8.6,8.93,196500
2024-03-18,8.9,9.1,8.85,9.02,398000
2024-03-19,9.22,9.55,9.09,9.19,1168000
2024-03-20,9.25,9.3,9,9.22,2756500
2024-03-21,9.23,9.3,9.06,9.13,3033000
2024-03-22,9.11,9.25,8.9,8.93,921000
2024-03-25,9.14,9.14,8.85,9.05,93000
2024-03-26,9,9.22,9,9.17,232000
2024-03-27,9.3,9.4,9.21,9.3,357500
2024-03-28,9.31,9.45,9.03,9.3,230000
2024-03-29,9.39,9.39,9.16,9.26,1298500
2024-04-01,9.01,9.05,8.85,8.94,548500
2024-04-02,8.8,9.17,8.8,9.07,261000
2024-04-03,9.01,9.2,9.01,9.18,120000
2024-04-04,9.18,9.18,8.88,9.16,48500
2024-04-08,9.2,10.16,9.11,9.24,1396000
2024-04-09,9.11,9.2,9.03,9.12,60000
2024-04-15,9.05,9.24,9.05,9.23,58500
2024-04-16,9.4,9.4,9.03,9.22,33500
2024-04-17,9.05,9.31,9.05,9.26,240000
2024-04-18,9.2,9.2,9.09,9.17,32500
2024-04-19,9.1,9.2,9.02,9.09,112500
2024-04-22,9.25,9.87,9.24,9.24,59500
2024-04-23,9.22,9.44,9.01,9.16,205500
2024-04-24,9.19,9.28,9.01,9.16,453000
2024-04-25,9.05,9.11,9.05,9.05,27500
2024-04-26,9.15,9.8,9.1,9.58,511500
2024-04-29,9.59,10.58,9.13,9.96,698500
2024-04-30,9.74,10.2,9.41,9.95,238500
2024-05-02,9.6,9.6,9,9.33,2817500
2024-05-03,9.12,9.25,8.9,9.17,1151000
2024-05-06,8.9,9.29,8.62,9.1,208500
2024-05-07,8.93,9.43,8.93,9.18,594500
2024-05-08,9.15,9.22,8.83,9.17,676000
2024-05-09,9.14,9.75,8.96,9.24,4782000
2024-05-10,9.3,9.3,8.9,9.25,4484000
2024-05-13,9.25,9.27,9.06,9.14,2025500
2024-05-14,9.14,9.28,9.03,9.22,3296000
2024-05-15,9.45,9.45,9.02,9.04,1681500
2024-05-16,9.05,9.09,8.99,9.08,322500
2024-05-17,9.2,9.2,8.97,9.04,311500
2024-05-20,9.15,9.15,8.92,9,316182
2024-05-21,9.09,9.15,9,9,455798
2024-05-22,9,9.34,8.95,9.17,516242
2024-05-23,9,9.38,9,9.28,220215
2024-05-24,9.2,9.3,9.03,9.27,241111
2024-05-27,9.27,9.27,9.02,9.02,33250
2024-05-29,9.25,9.4,9,9.32,513170
2024-05-30,9.2,9.34,9.05,9.31,54702
2024-05-31,9.25,9.35,9.05,9.2,910613
2024-06-03,9.23,9.24,8.87,9,1731997
2024-06-04,8.87,9.12,8.87,9,1532694
2024-06-05,8.95,9.14,8.94,9.09,1654
2024-06-06,9.21,9.21,8.97,9.12,129812
2024-06-07,9,9.19,8.99,9.08,898551
2024-06-10,9,9.1,8.52,8.57,628528
2024-06-11,8.62,9.5,8.1,9.18,3883223
2024-06-12,9,9.32,9,9.18,371101
2024-06-13,9.1,9.33,9,9.27,1067139
2024-06-14,9.24,9.28,9,9.17,498733
2024-06-20,9.22,9.59,9.15,9.4,2609568
2024-06-21,9.25,9.5,9.14,9.29,1832134
2024-06-24,9.19,9.55,9.08,9.11,16864576
2024-06-25,9.24,9.29,9.1,9.25,346951
2024-06-26,9.38,9.55,9.19,9.49,1978153
2024-06-27,9.48,10.49,9.41,10.15,13366157
2024-06-28,10.5,10.5,9.7,9.77,1120118
2024-07-01,9.89,9.99,9.61,9.68,434964
2024-07-02,9.7,10.68,9.7,10.48,1575780
2024-07-03,10.46,11.48,10.46,11.01,2069471
2024-07-04,11.4,11.41,10.18,10.37,1204944
2024-07-05,10.73,11.37,10.11,11.11,1179492
2024-07-08,11.35,12.11,11.35,11.92,995330
2024-07-09,12.15,13.05,11.7,11.91,1123183
2024-07-10,11.61,11.85,11.22,11.25,835312
2024-07-11,11,11.74,11,11.39,162035
2024-07-12,11.26,11.95,11,11.53,660674
2024-07-15,11.45,11.75,10.9,11.04,638638
2024-07-18,11.11,11.35,10.8,11.22,249831
2024-07-19,10.8,11.2,10.15,10.42,874255
2024-07-22,10.5,10.5,9.6,9.89,4250922
2024-07-23,9.9,10,9.73,9.81,429933
2024-07-24,9.85,10.17,9.77,9.99,381739
2024-07-25,10.2,10.2,9.8,9.82,75124
2024-07-26,10,10,9.44,9.72,748842
2024-07-29,9.52,10.34,9.4,10.09,846369
2024-07-30,10.23,10.45,9.9,10.15,405265
2024-07-31,10.12,10.6,10.01,10.15,621802
2024-08-01,10.09,10.34,9.81,10.18,216558
2024-08-02,10.19,10.58,10,10.39,410320
2024-08-05,10.03,10.83,9.51,9.55,1449491
2024-08-06,9.75,9.98,9.45,9.86,1066829
2024-08-07,9.89,10.25,9.75,10.15,424980
2024-08-08,10.37,10.37,9.86,10.15,92859
2024-08-09,9.99,10.38,9.81,10.21,10788959
2024-08-12,9.9,10.34,9.9,9.99,221645
