date,open,high,low,close,volume
2026-05-18,11.8,12,9.75,10.63,344839
2026-05-19,10.72,10.72,10.05,10.37,119181
2026-05-20,10.08,10.48,9.91,9.93,61835
2026-05-21,10.05,10.24,9.53,9.97,69669
2026-05-22,9.99,10.97,9.65,9.92,124809
2026-05-25,9.99,10.05,9.65,10.01,42462
2026-05-29,9.72,11.01,9.01,10.62,459250
2026-06-01,10.15,10.75,10.15,10.22,301403
2026-06-02,10.11,10.6,10.11,10.31,49694
2026-06-03,10.5,10.8,10.1,10.45,73839
2026-06-04,10.12,10.6,10.11,10.45,22114
2026-06-05,10.5,10.6,10.25,10.6,37153
2026-06-08,10.74,10.74,10.21,10.31,6026
2026-06-09,10.75,10.75,10.25,10.68,23853
2026-06-10,10.68,10.68,10.31,10.55,10161
2026-06-11,10.23,10.85,10.23,10.78,220165
2026-06-12,10.5,10.84,10.5,10.76,255849
2026-06-15,10.76,10.8,10.51,10.6,25331
2026-06-16,10.51,10.8,10.51,10.7,37727
2026-06-17,10.52,10.85,10.52,10.52,22310
2026-06-18,10.26,10.8,10.26,10.35,59640
2026-06-19,10.75,10.75,10.4,10.62,8864
2026-06-22,10.56,10.74,10.4,10.41,12007
2026-06-23,10.75,10.75,10.44,10.52,6794
2026-06-24,10.55,10.77,10.45,10.53,40411
2026-06-29,10.55,10.8,10.52,10.64,12046
2026-06-30,10.66,11.1,10.51,10.88,63412
2026-07-01,10.8,10.8,10.61,10.78,27381
2026-07-02,11,11,10.61,10.74,14633
2026-07-03,10.53,10.94,10.53,10.7,23346
2026-07-06,10.7,10.9,10.61,10.71,25006
2026-07-07,10.7,10.85,10.7,10.71,18107
2026-07-08,10.8,10.8,10.71,10.72,12362
2026-07-09,10.8,11,10.51,10.68,24050
2026-07-10,10.99,10.99,10.61,10.62,9657
2026-07-13,10.8,10.85,10.7,10.85,17071
2026-07-14,10.9,10.94,10.75,10.8,28542
2026-07-15,11,11,10.62,10.63,4959
2026-07-16,10.65,10.82,10.65,10.65,2549
2026-07-17,10.95,10.95,10.51,10.61,19868
2026-07-20,10.9,10.9,10.61,10.61,9526
2026-07-21,10.9,10.9,10.7,10.75,4743
2026-07-22,10.75,10.89,10.7,10.74,9109
2026-07-23,10.56,10.88,10.56,10.71,21179
2026-07-24,10.89,10.89,10.61,10.7,2159
2026-07-27,10.61,10.75,10.61,10.75,1510
2026-07-28,10.62,10.9,10.62,10.7,8157
2026-07-29,10.75,10.89,10.51,10.57,18503
2026-07-30,10.89,10.89,10.5,10.86,2277
2026-07-31,10.89,10.9,10.55,10.7,13664
2026-08-03,10.7,10.7,10.55,10.56,15101
2026-08-04,10.7,10.7,10.55,10.55,517
2026-08-05,10.6,10.6,10.55,10.55,501
2026-08-06,10.55,10.7,9.53,10.46,10306
2026-08-07,10.46,10.89,10.35,10.7,6880
2026-08-10,10.88,10.88,10,10.36,2710
2026-08-11,10.85,10.85,10.37,10.4,3248
2026-08-12,10.4,10.8,10.4,10.55,13458
2026-08-13,10.55,10.7,9.51,10.03,16877
2026-08-17,10.8,10.8,10.03,10.5,8800
2026-08-18,10.73,10.73,10.5,10.5,3219
2026-08-19,10.75,10.75,10.5,10.5,2012
2026-08-20,10.6,10.6,10.5,10.5,4959
2026-08-21,10.52,10.73,10,10.69,6296
2026-08-24,10.7,10.7,10,10.41,10821
2026-08-25,10.59,10.65,10.59,10.6,1053
2026-08-27,10.4,10.6,10.15,10.54,6301
2026-08-28,10.5,10.9,10,10.13,12450
2026-08-31,10.6,10.7,10.6,10.6,6082
2026-09-01,10.6,10.8,10.5,10.8,5192
2026-09-02,10.8,10.8,10.45,10.53,7567
2026-09-03,10.89,10.89,10.6,10.6,3086
2026-09-04,10.65,10.8,10.45,10.5,5364
