date,open,high,low,close,volume
2023-01-26,81.0,81.0,81.0,81.0,3900
2023-03-31,427.22,427.22,427.22,427.22,100
2023-04-03,459.26,459.26,459.26,459.26,100
2023-04-04,493.7,493.7,493.7,493.7,100
2023-04-05,530.72,530.72,530.72,530.72,100
2023-04-10,570.52,570.52,570.52,570.52,100
2023-04-11,613.3,613.3,527.75,610.0,400
2023-04-12,650.0,650.0,650.0,650.0,100
2023-04-17,698.75,698.75,601.25,690.0,400
2023-04-18,638.25,690.0,638.25,638.25,200
2023-04-19,680.0,680.0,680.0,680.0,100
2023-04-20,722.9,722.9,722.0,722.45,200
2023-04-26,774.9,774.9,774.9,774.9,100
2023-05-02,716.79,795.0,716.79,795.0,300
2023-05-04,849.0,849.0,735.38,735.38,200
2023-05-05,772.0,772.0,772.0,772.0,200
2023-05-08,714.1,775.0,714.1,770.0,500
2023-05-19,712.25,712.25,712.25,712.25,700
2023-05-31,506.8,588.5,506.8,588.5,800
2023-06-01,630.0,630.0,630.0,630.0,100
2023-06-02,582.75,582.75,582.75,582.75,200
2023-06-09,625.0,625.0,625.0,625.0,100
2023-06-12,654.0,654.0,654.0,654.0,100
2023-06-13,684.0,684.0,684.0,684.0,100
2023-06-14,709.0,709.0,709.0,709.0,100
2023-06-15,753.0,753.0,753.0,753.0,100
2023-07-11,801.09,801.09,801.09,801.09,50
2023-07-13,844.0,844.0,844.0,844.0,50
2023-07-19,901.0,901.0,901.0,901.0,50
2023-08-01,833.43,833.43,833.43,833.43,50
2023-08-04,894.0,894.0,894.0,894.0,50
2023-08-08,949.0,949.0,949.0,949.0,50
2023-08-09,877.83,877.83,877.83,877.83,50
2023-08-16,811.99,811.99,811.99,811.99,500
2023-10-06,751.02,751.02,751.02,751.02,150
2024-03-21,612.53,612.53,612.53,612.53,350
2024-04-29,560.26,560.26,560.26,560.26,87
2024-05-14,518.24,518.24,518.24,518.24,148
2024-05-16,479.37,515.0,479.37,480.71,369
2024-05-17,444.66,444.66,444.66,460.73,32
2024-05-20,426.18,426.18,426.18,426.18,201
2024-05-21,426.18,458.0,394.22,449.0,1099
2024-05-22,415.33,465.0,415.33,416.48,303
2024-05-23,387.01,435.0,387.0,432.5,2287
2024-05-24,410.1,450.0,401.1,438.11,395
2024-05-29,430.0,430.0,415.0,415.0,108
2024-06-03,388.0,388.03,388.0,415.0,27
2024-06-04,390.01,425.0,384.0,398.4,293
2024-06-05,390.0,390.0,390.0,398.4,1
2024-06-06,378.0,380.0,375.0,377.54,70
2024-06-07,363.0,363.0,355.0,359.95,103
2024-06-10,390.0,390.0,390.0,359.95,1
2024-06-12,350.0,350.0,350.0,359.95,32
2024-06-13,390.0,390.0,329.5,345.05,336
2024-06-14,359.95,359.95,359.95,359.95,100
2024-06-21,330.0,330.0,330.0,359.95,1
2024-06-24,340.02,340.02,340.0,359.95,63
2024-06-25,335.2,350.0,335.01,342.04,114
2024-06-26,350.0,350.0,350.0,342.04,50
2024-06-28,359.2,359.2,359.2,342.04,1
2024-07-03,312.0,360.0,312.0,342.04,63
2024-07-04,354.9,354.9,319.99,320.0,881
2024-07-05,339.0,339.0,337.5,320.0,15
2024-07-08,318.0,318.0,317.0,317.01,543
2024-07-09,318.0,318.0,314.0,316.28,269
2024-07-10,317.01,340.0,317.01,316.54,8
2024-07-12,300.0,339.98,300.0,316.54,3
2024-07-15,340.0,340.0,335.0,316.54,2
2024-07-18,325.49,346.61,325.49,332.14,1754
2024-07-19,359.0,363.65,325.02,363.08,1083
2024-07-22,332.0,385.0,332.0,336.58,710
2024-07-23,302.92,360.0,302.92,309.11,116
2024-07-24,320.05,340.02,320.05,340.02,461
2024-07-25,327.02,327.02,327.02,327.02,100
2024-07-26,327.02,347.86,327.02,342.09,236
2024-07-29,342.0,342.0,342.0,342.09,71
2024-07-30,368.9,376.3,368.9,372.87,187
2024-07-31,355.1,355.1,345.5,372.87,28
2024-08-01,350.01,409.0,350.0,372.87,18
2024-08-02,410.16,410.16,370.0,372.87,25
2024-08-05,410.16,410.16,410.0,410.08,156
2024-08-06,410.0,451.09,410.0,443.62,112
2024-08-07,444.0,487.98,444.0,487.98,258
2024-08-08,536.78,536.78,536.49,536.54,130
2024-08-09,590.19,590.19,487.02,588.89,423
2024-08-12,646.99,646.99,540.11,623.64,637
2024-08-13,570.0,600.0,565.0,569.19,123
2024-08-15,512.27,512.27,512.27,569.19,1
2024-08-16,590.0,590.0,512.27,569.19,20
2024-08-19,559.98,559.98,559.98,569.19,20
2024-08-21,540.0,540.0,513.01,532.35,124
2024-08-22,531.0,585.59,513.35,575.19,221
2024-08-23,619.99,619.99,519.25,585.66,95
2024-08-26,586.0,625.0,586.0,621.9,310
