date,open,high,low,close,volume
2023-01-02,40.26,43,40.02,40.02,6500
2023-01-03,42,43.02,42,43.02,23000
2023-01-04,44.99,46.24,44.99,46.24,17000
2023-01-05,46.55,49.7,46.54,49.7,81000
2023-01-06,51,51.9,50,50.27,39000
2023-01-09,47.6,48.01,46.55,46.55,3500
2023-01-10,49.9,50.04,48.91,50.04,45500
2023-01-11,51.95,53,50,50,14000
2023-01-12,51.95,53.45,51,53,14500
2023-01-13,51.01,51.7,51,51.28,6000
2023-01-17,48,51.28,47.45,47.86,3500
2023-01-18,49.9,49.9,49.9,49.9,500
2023-01-19,51.98,51.98,51.98,51.98,500
2023-01-20,53.49,53.49,53.49,53.49,500
2023-01-24,52.5,57.45,52,52.85,14500
2023-01-26,53.5,53.7,50.11,53,5000
2023-01-30,50.25,50.26,50.25,50.25,2500
2023-01-31,50,54.01,50,54.01,73000
2023-02-01,51.15,56.6,51.15,54.03,3000
2023-02-02,55,56.5,54,54.57,7000
2023-02-03,52.5,54,52.25,53.01,2500
2023-02-06,52,53,52,53,2000
2023-02-07,52.6,54.49,51,52,15000
2023-02-14,49.01,51.49,49.01,51.49,1000
2023-02-17,53.5,53.5,53.5,53.5,500
2023-02-20,49.5,49.5,49.5,49.5,500
2023-02-27,47,47,47,47,1000
2023-03-03,49.95,49.95,49.95,49.95,1000
2023-03-07,46.4,46.4,46.35,46.35,1000
2023-03-10,48.85,48.85,48.85,48.85,500
2023-03-13,45.2,49,45.19,49,14000
2023-03-16,48,48.75,47.99,48,9000
2023-03-21,44.4,45.01,44.4,45.01,2000
2023-05-02,45.05,48.38,45.05,48.38,3000
2023-05-03,46.01,46.5,46.01,46.5,1500
2023-05-04,45.07,45.07,45.07,45.07,2000
2023-05-05,45,45,45,45,7000
2023-05-26,47.5,47.5,47.5,47.5,500
2023-05-29,50.75,51.06,48,51.06,36000
2023-05-30,50,52.95,49.5,50.95,3500
2023-05-31,49.14,49.14,48.14,48.8,4000
2023-06-01,49,49,48.5,48.5,6000
2023-06-06,49.89,50,49.89,50,5000
2023-06-07,50,50,49,49,1500
2023-06-08,52,52.68,52,52.68,1000
2023-06-09,49.02,51.45,49.02,50.51,12500
2023-06-12,48.01,48.01,46.72,46.72,6500
2023-06-13,44.02,47,43.24,47,7000
2023-06-16,43.6,43.6,43.6,43.6,1000
2023-06-20,40.5,40.5,40.5,40.5,1500
2023-06-26,42.9,42.9,42.9,42.9,500
2023-06-27,40,42.95,40,42.95,1000
2023-07-03,44.85,44.85,42,43,3000
2023-07-20,43.5,43.75,43.5,43.75,1000
2023-07-26,43.7,47,43,44.01,17000
2023-07-31,42.5,47.31,42.25,46.89,40500
2023-08-01,44.51,46.75,44.51,46.75,8000
2023-08-02,46,46,45.9,46,5000
2023-08-03,43.5,45,43.5,45,8000
2023-08-11,42,42,42,42,1500
2023-08-15,40.11,42,40.11,41,8500
2023-08-16,41.97,41.98,41.97,41.98,1000
2023-08-18,42,42,42,42,5500
2023-08-21,40,42.02,40,42,14500
2023-08-22,42,42,42,42,1500
2023-08-23,40.04,45.15,39.05,45.15,19000
2023-08-24,44.6,47.99,44.47,46,34000
2023-08-25,47,47.5,42.55,42.55,20500
2023-08-29,39.65,43.8,39.61,43.8,2000
2023-08-30,42,42,42,42,26000
2023-08-31,42,42,42,42,9000
2023-09-05,39.6,39.6,39.6,39.6,500
2023-09-06,41.45,41.99,41.45,41.99,2500
2023-09-07,41.99,43.49,41.99,43.49,1000
2023-09-08,42,42,42,42,8500
2023-09-13,40.05,40.05,40,40.02,1500
2023-09-14,42.49,42.49,42.49,42.49,1000
2023-09-19,40.05,43,40.05,43,3000
2023-09-20,44.49,44.5,44.49,44.5,1500
2023-09-21,44.49,44.49,44.49,44.49,500
2023-09-26,45.99,47.53,45.99,47.53,2000
2023-09-27,43.97,43.97,43.97,43.97,5000
2023-09-28,41.8,41.8,41.5,41.5,2500
2023-10-02,42.85,43,42.85,42.93,2500
2023-10-03,43.98,43.98,43,43,3500
2023-10-04,42.16,42.16,42,42,7500
2023-10-05,42.95,44,42.95,44,9500
2023-10-06,44,45,44,44,3000
2023-10-13,43.25,46.89,43.25,46.82,23500
2023-10-16,46.5,46.5,46.5,46.5,1000
2023-10-20,44.5,46.66,44.5,46.66,1500
2023-10-23,50,50,45.99,46,3500
