date,open,high,low,close,volume
2024-01-10,240.01,246.98,239.1,240.98,41495
2024-01-11,242.99,246.0,239.0,241.9,18582
2024-01-12,240.01,247.0,235.0,237.16,29574
2024-01-15,242.99,242.99,230.3,234.74,9665
2024-01-16,234.0,234.5,220.62,230.0,19201
2024-01-17,234.69,234.69,221.51,225.18,20046
2024-01-18,229.98,229.98,215.01,225.97,6535
2024-01-19,232.49,232.49,223.0,224.9,35412
2024-01-22,227.0,232.45,220.11,225.64,4333
2024-01-23,225.0,230.5,219.4,229.88,29119
2024-01-24,225.1,235.0,225.1,234.06,7958
2024-01-25,232.0,235.0,230.0,233.27,5692
2024-01-26,228.01,234.98,226.1,228.03,2833
2024-01-29,233.99,233.99,225.01,227.67,1843
2024-01-30,225.0,230.0,220.16,222.07,6375
2024-01-31,223.99,224.0,213.5,215.77,4950
2024-02-01,219.98,223.99,210.01,219.73,14806
2024-02-02,222.0,227.48,213.55,215.77,5645
2024-02-06,221.88,221.88,215.0,219.72,10099
2024-02-07,217.98,229.89,217.7,226.47,2354
2024-02-09,220.0,229.89,215.0,217.34,25877
2024-02-12,218.99,218.99,210.0,212.95,8449
2024-02-13,214.79,214.79,200.12,209.1,40213
2024-02-14,212.99,215.99,205.32,214.23,87178
2024-02-15,218.0,220.0,203.11,211.37,26619
2024-02-16,208.0,212.0,200.0,202.51,30593
2024-02-19,208.0,210.0,197.01,208.29,118881
2024-02-20,207.0,209.8,204.02,205.31,1914
2024-02-21,210.97,215.84,205.0,211.43,23834
2024-02-22,216.0,216.0,210.0,213.44,5096
2024-02-23,214.9,214.9,210.5,211.97,6052
2024-02-26,214.0,221.0,207.75,208.74,45148
2024-02-27,210.0,212.9,208.0,210.07,23475
2024-02-28,212.0,216.0,209.8,214.62,10949
2024-02-29,215.98,216.98,212.66,213.0,4970
2024-03-01,214.0,218.0,205.0,210.26,10373
2024-03-04,215.0,217.0,210.0,216.88,22550
2024-03-05,219.0,219.88,213.51,214.9,6283
2024-03-06,216.0,217.99,212.0,214.42,32994
2024-03-07,216.0,220.03,200.25,219.08,23443
2024-03-08,220.0,223.0,218.01,220.05,9233
2024-03-11,224.98,224.98,218.1,220.0,43969
2024-03-12,223.98,223.98,210.0,214.0,66411
2024-03-13,214.02,217.0,212.0,213.16,12493
2024-03-14,214.99,225.0,211.05,222.45,10620
2024-03-15,222.45,222.45,212.2,214.8,8114
2024-03-18,217.98,217.98,212.02,215.04,2781
2024-03-19,217.89,219.45,210.0,212.02,133363
2024-03-20,214.0,217.0,210.0,211.03,153224
2024-03-21,209.0,212.5,205.0,206.81,106163
2024-03-22,208.98,209.0,206.0,206.08,16057
2024-03-25,208.98,213.0,203.0,206.24,32111
2024-03-26,209.0,214.0,206.5,210.57,54201
2024-03-27,214.0,219.99,211.0,218.2,57170
2024-03-28,219.9,225.0,210.11,224.7,60906
2024-03-29,220.01,225.0,220.0,224.98,10347
2024-04-01,215.52,224.75,215.51,221.56,34809
2024-04-02,224.0,224.0,215.51,217.57,21235
2024-04-03,220.98,223.5,213.51,221.88,119892
2024-04-04,223.9,223.9,215.5,218.75,54406
2024-04-08,222.98,222.98,218.01,221.0,73780
2024-04-09,221.0,222.98,218.51,220.01,67607
2024-04-15,218.98,219.0,208.1,218.66,11649
2024-04-16,219.99,219.99,215.0,215.72,16790
2024-04-17,217.9,218.0,213.26,214.0,50392
