date,open,high,low,close,volume
2024-01-15,39.72,39.72,39,39.54,34500
2024-01-16,39.31,39.5,39.1,39.19,36500
2024-01-17,39,39.5,38.7,38.9,76500
2024-01-18,38.7,39,38.7,38.85,20500
2024-01-19,39,39,38.6,38.9,43000
2024-01-22,39,39.38,38.63,38.91,197000
2024-01-23,39.2,39.4,38.9,38.93,27500
2024-01-24,39.94,39.94,39.02,39.04,6500
2024-01-25,38.7,39.55,38.7,39.2,17500
2024-01-26,39.48,39.48,39,39.19,10500
2024-01-29,39.1,39.35,39.01,39.35,10000
2024-01-30,40,42,38.5,39.45,27000
2024-01-31,39.59,39.6,39.15,39.5,14000
2024-02-01,39.55,39.69,39.03,39.66,19000
2024-02-02,39.89,40.1,38.99,39.99,39000
2024-02-06,40.5,41.96,39.5,40.2,22000
2024-02-07,40,40.02,39.51,39.99,15000
2024-02-09,39.5,39.99,38.86,39.48,26500
2024-02-12,39.3,39.99,39.25,39.25,18000
2024-02-13,38.02,39.98,38.02,39.95,13000
2024-02-14,39.13,39.96,36.95,39.5,41500
2024-02-15,39.97,39.99,39.5,39.53,13500
2024-02-16,39.8,39.97,39.42,39.42,31000
2024-02-19,37.51,40,37.51,39.88,12500
2024-02-20,40,40.08,39.01,40.02,39500
2024-02-21,40,40.46,39.32,39.78,46500
2024-02-22,39.8,40,39.78,39.96,9000
2024-02-23,40,40.4,36.96,37.94,254500
2024-02-26,37.49,40,36.55,37.99,179500
2024-02-27,38,38.1,36.6,36.83,113000
2024-02-28,36.6,37.4,36.6,37,68000
2024-02-29,37.05,37.3,36.71,36.9,61500
2024-03-01,37,38,37,37.38,42500
2024-03-04,37.05,37.66,37,37.25,37000
2024-03-05,37.25,37.46,36.61,36.98,27000
2024-03-06,37.2,37.2,36.9,36.91,51000
2024-03-07,36.99,36.99,36.9,36.95,19500
2024-03-08,36.99,37.5,36.9,37,21500
2024-03-11,36.7,36.87,35.96,36.17,488500
2024-03-12,36.39,36.39,36.06,36.21,9500
2024-03-13,36,36.3,36,36.2,16000
2024-03-14,36.49,36.49,36.11,36.39,14500
2024-03-15,36.39,36.4,36.2,36.39,25000
2024-03-18,36.5,36.5,36.32,36.48,25000
2024-03-19,36,37.46,36,37,29500
2024-03-20,36.75,37,36.75,36.98,7500
2024-03-21,37.26,37.29,36.8,36.8,3000
2024-03-22,36.8,37.2,36.8,37.15,9000
2024-03-25,37.15,37.15,36.9,36.95,29000
2024-03-26,37.43,37.43,36.85,36.88,15500
2024-03-27,36.95,37.15,36.9,36.91,27000
2024-03-28,36.85,37.3,36.85,37.21,28000
2024-03-29,37.2,37.6,37.2,37.56,26000
2024-04-01,37.21,38.17,36,38.1,58500
2024-04-02,38.37,39.5,38.1,38.81,42500
2024-04-03,38.6,39.43,38.6,39.28,10500
2024-04-04,39.48,39.9,39,39.46,27500
2024-04-08,39.12,39.83,39.01,39.51,18000
2024-04-09,39.78,39.89,39.1,39.53,31000
2024-04-15,39,39.75,39,39.4,29000
2024-04-16,39.25,39.45,39.15,39.22,33000
