date,open,high,low,close,volume
2024-01-17,6.15,6.15,5.87,6.1,100000
2024-01-18,5.82,5.85,5.6,5.7,71000
2024-01-19,5.98,5.98,5.5,5.5,27000
2024-01-22,5.11,5.68,5.11,5.36,61500
2024-01-23,5.13,5.48,5.13,5.26,71000
2024-01-24,5.55,5.58,5.35,5.54,31500
2024-01-25,5.32,5.55,5.15,5.34,60500
2024-01-26,5.35,5.45,5,5.11,37500
2024-01-29,5.1,5.36,4.8,4.87,63500
2024-01-30,5,5.08,4.6,4.62,47000
2024-01-31,4.8,5.43,4.8,4.84,123500
2024-02-01,5.09,5.09,4.82,4.84,13000
2024-02-02,4.95,4.99,4.86,4.87,15500
2024-02-06,4.67,5.5,4.67,5.1,169000
2024-02-07,5.11,5.3,5.1,5.25,48000
2024-02-09,5.11,5.45,5.11,5.18,19000
2024-02-12,5.15,5.15,4.77,4.79,26000
2024-02-13,5.35,5.35,5.35,5.35,500
2024-02-14,5,5.15,5,5.15,9500
2024-02-15,5.4,5.4,4.77,4.91,104500
2024-02-16,4.85,4.85,4.7,4.7,24000
2024-02-19,4.7,4.7,4.7,4.7,1000
2024-02-20,4.65,4.75,4.65,4.7,16500
2024-02-21,4.75,5.22,4.72,4.8,78500
2024-02-22,4.8,5.1,4.8,5.05,14000
2024-02-23,4.83,5.99,4.83,5.77,259500
2024-02-26,5.7,5.85,5.5,5.52,126500
2024-02-27,5.25,5.3,5,5.28,50500
2024-02-28,5.09,6.28,5.09,6.28,447000
2024-02-29,6.59,6.85,5.7,5.95,662000
2024-03-01,5.75,6.25,5.5,5.82,69000
2024-03-04,5.89,5.94,5.67,5.71,62000
2024-03-05,5.7,5.75,5.4,5.48,247000
2024-03-06,5.49,5.6,5.37,5.5,45500
2024-03-07,5.5,5.5,5.49,5.5,67000
2024-03-08,5.5,5.7,5.02,5.34,51000
2024-03-11,5.11,5.49,5.11,5.43,57000
2024-03-12,5.49,5.75,5.02,5.06,133500
2024-03-13,5.24,5.24,5,5,60500
2024-03-14,5.01,5.24,5,5.2,37000
2024-03-15,5.2,5.2,5.1,5.11,30000
2024-03-18,5.29,5.29,5.15,5.15,8500
2024-03-19,5.01,5.3,5,5.12,41000
2024-03-20,5.34,5.34,5.1,5.11,34500
2024-03-21,5.01,5.29,5,5.2,290500
2024-03-22,5.29,5.35,5.2,5.3,150000
2024-03-25,5.39,6.3,5.39,6.05,887000
2024-03-26,6.2,6.2,5.76,5.91,223500
2024-03-27,5.99,5.99,5.61,5.76,65500
2024-03-28,5.92,5.92,5.8,5.89,49500
2024-03-29,5.6,5.91,5.55,5.68,75000
2024-04-01,5.89,5.89,5.5,5.65,12500
2024-04-02,5.5,5.87,5.35,5.87,15500
2024-04-03,5.61,5.89,5.6,5.77,42000
2024-04-04,5.8,5.91,5.6,5.84,31000
2024-04-08,5.65,5.8,5.51,5.63,38500
2024-04-09,5.8,5.93,5.36,5.73,55000
2024-04-15,5.5,5.91,5.5,5.75,20500
2024-04-16,5.6,5.9,5.5,5.86,101000
2024-04-17,5.94,5.94,5.75,5.8,8500
2024-04-18,5.92,6.8,5.8,6.17,1217000
2024-04-19,5.91,6.2,5.75,5.94,137500
2024-04-22,5.81,6.94,5.75,6.94,771000
2024-04-23,6.84,7.49,5.94,6.11,886500
2024-04-24,6.2,6.28,6,6.06,148500
2024-04-25,6.09,6.15,5.95,6.11,66000
2024-04-26,6.15,6.15,5.87,5.9,54000
2024-04-29,6.1,6.15,5.75,5.87,75500
2024-04-30,5.8,5.95,5.61,5.84,88000
2024-05-02,5.8,5.84,5.44,5.55,96000
2024-05-03,5.6,6,5.5,6,79000
2024-05-06,6,6.11,5.35,5.8,146000
2024-05-07,5.7,5.97,5.6,5.84,113000
2024-05-08,5.7,5.98,5.7,5.79,138000
2024-05-09,5.8,5.96,5.72,5.82,31000
2024-05-10,5.96,5.97,5.62,5.81,78000
2024-05-13,5.82,5.84,5.72,5.78,48000
2024-05-14,5.98,6.05,5.71,5.96,69500
2024-05-15,5.99,6.16,5.73,5.79,94000
2024-05-16,5.8,6,5.63,5.92,81000
2024-05-17,5.9,6.11,5.61,5.7,107500
2024-05-20,5.78,5.94,5.7,5.91,81500
2024-05-21,6,6,5.72,5.97,68500
2024-05-22,6,6.04,5.64,5.71,343500
2024-05-23,5.75,6.25,5.7,6,301000
2024-05-24,6.25,6.25,5.8,5.84,150500
2024-05-27,5.84,6.13,5.66,6.11,215514
2024-05-29,6,6.1,5.9,5.97,14610
2024-05-30,5.9,6.08,5.55,6.01,98854
2024-05-31,6.14,6.29,5.75,5.8,187312
2024-06-03,5.94,6.1,5.71,5.73,110477
2024-06-04,5.94,5.94,5.6,5.73,82231
2024-06-05,5.61,5.99,5.61,5.88,71384
2024-06-06,5.98,5.98,5.58,5.61,144958
2024-06-07,5.6,5.76,5.6,5.7,82651
2024-06-10,5.66,5.74,5.61,5.73,15114
2024-06-11,5.53,5.8,5.3,5.5,106660
2024-06-12,5.55,5.8,5.43,5.54,46346
2024-06-13,5.37,5.7,5.37,5.48,95094
2024-06-14,5.5,5.87,5.31,5.49,32578
2024-06-20,5.27,5.6,5.27,5.37,59027
2024-06-21,5.54,6.37,5.5,6.37,1494441
2024-06-24,6.45,6.5,5.4,5.54,781286
2024-06-25,5.85,5.85,5.5,5.6,197980
2024-06-26,5.55,5.74,5.51,5.56,40106
2024-06-27,5.69,5.69,5.5,5.5,46273
2024-06-28,5.51,5.7,5.45,5.69,200274
2024-07-01,6,6,5.41,5.6,21502
2024-07-02,5.6,5.88,5.53,5.7,88198
2024-07-03,5.98,6.7,5.61,6.7,1128053
2024-07-04,7.3,7.7,6,6.18,1580925
2024-07-05,6.37,6.37,5.93,6.01,191480
2024-07-08,6.06,6.39,6.05,6.25,213075
2024-07-09,6.25,6.34,6,6.01,80899
2024-07-10,5.91,6.15,5.7,5.93,141845
2024-07-11,5.76,6,5.6,5.73,132958
2024-07-12,5.7,5.88,5.27,5.42,81485
2024-07-15,5.7,5.87,5.63,5.65,14615
2024-07-18,5.6,5.93,5.5,5.51,105783
2024-07-19,5.5,5.6,5.36,5.46,112848
2024-07-22,5.4,5.41,5.19,5.21,62755
2024-07-23,5.29,5.35,4.71,4.8,294648
2024-07-24,4.9,4.99,4.85,4.86,62965
2024-07-25,4.81,5.1,4.81,4.97,105118
2024-07-26,5,5.47,4.76,4.83,172854
2024-07-29,4.83,5.18,4.75,4.86,126086
2024-07-30,4.99,5.14,4.85,4.88,20716
2024-07-31,5.09,5.12,4.9,4.94,17389
2024-08-01,4.9,5.07,4.85,4.9,25499
2024-08-02,5.03,5.03,4.11,4.39,148500
2024-08-05,4.89,5.29,4.61,4.92,215785
2024-08-06,5.1,5.92,4.76,5.89,932958
2024-08-07,6.2,6.3,5.7,5.89,674351
2024-08-08,6,6.02,5.55,5.75,115426
2024-08-09,5.7,5.8,5.35,5.57,156411
2024-08-12,5.9,6.57,5.62,6.57,1526772
2024-08-13,6.95,7.25,6.49,7.11,2305349
2024-08-15,7.1,8.11,6.65,7.95,2119541
2024-08-16,8.39,8.95,8.39,8.95,1238018
2024-08-19,9.9,9.95,8.36,9.95,1674428
2024-08-20,10.44,10.79,9.95,10.45,1867760
2024-08-21,10.55,10.55,9.41,9.44,694027
2024-08-22,9.82,9.82,8.44,8.7,1418141
2024-08-23,8.7,9.25,7.72,8.13,491921
2024-08-26,8.01,8.3,7.31,7.47,119911
2024-08-27,7.74,8.24,7.3,8.09,445825
2024-08-28,8.47,8.47,7.76,8.02,327736
2024-08-29,8.28,8.5,8,8.04,283377
2024-08-30,8.25,8.29,7.5,7.66,192293
2024-09-02,7.99,7.99,7.2,7.5,191112
2024-09-03,7.69,8,7.4,7.75,112754
2024-09-04,7.89,8.35,7.7,8.08,449952
2024-09-05,8.01,8.28,7.6,7.67,480319
2024-09-06,7.5,7.74,7.3,7.31,46958
2024-09-09,7.96,7.96,7.36,7.36,8140
2024-09-10,7.7,7.7,6.88,7.05,73066
2024-09-11,6.75,7.4,6.75,7.13,15087
2024-09-12,7.25,7.4,6.87,7.14,117295
